6401    , -2265.73    , array([ 0.220042   ,  0.0150465  ,  0.000694651,  2.2312e-05 ])
6402    , -2265.79    , array([ 0.220262   ,  0.0150465  ,  0.000694651,  2.2312e-05 ])
6403    , -2265.76    , array([ 0.220042   ,  0.0150615  ,  0.000694651,  2.2312e-05 ])
6404    , -2265.69    , array([ 0.220042   ,  0.0150465  ,  0.000695346,  2.2312e-05 ])
6405    , -2265.71    , array([ 0.220042   ,  0.0150465  ,  0.000694651,  2.23344e-05])
6406    , -2265.73    , array([ 0.220042   ,  0.0150465  ,  0.000694651,  2.2312e-05 ])
6407    , -2133.02    , array([ 0.108584   ,  0.0108036  ,  0.00120653 ,  3.09318e-05])
6408    , -2133.02    , array([ 0.108584   ,  0.0108036  ,  0.00120653 ,  3.09318e-05])
6409    , -2133.16    , array([ 0.108693   ,  0.0108036  ,  0.00120653 ,  3.09318e-05])
6410    , -2133.05    , array([ 0.108584   ,  0.0108144  ,  0.00120653 ,  3.09318e-05])
6411    , -2132.88    , array([ 0.108584   ,  0.0108036  ,  0.00120774 ,  3.09318e-05])
6412    , -2132.98    , array([ 0.108584   ,  0.0108036  ,  0.00120653 ,  3.09628e-05])
6413    , -7529.44    , array([ 0.0064389  ,  0.00287143 ,  0.0109806  ,  0.000114254])
6414    , -7529.44    , array([ 0.0064389  ,  0.00287143 ,  0.0109806  ,  0.000114254])
6415    , -7528.95    , array([ 0.00644534 ,  0.00287143 ,  0.0109806  ,  0.000114254])
6416    , -7529.09    , array([ 0.0064389  ,  0.0028743  ,  0.0109806  ,  0.000114254])
6417    , -7528.92    , array([ 0.0064389  ,  0.00287143 ,  0.0109915  ,  0.000114254])
6418    , -7529.6     , array([ 0.0064389  ,  0.00287143 ,  0.0109806  ,  0.000114368])
6419    , -2112.7     , array([ 0.101362   ,  0.0104604  ,  0.00127322 ,  3.19323e-05])
6420    , -2112.7     , array([ 0.101362   ,  0.0104604  ,  0.00127322 ,  3.19323e-05])
6421    , -2112.85    , array([ 0.101464   ,  0.0104604  ,  0.00127322 ,  3.19323e-05])
6422    , -2112.73    , array([ 0.101362   ,  0.0104709  ,  0.00127322 ,  3.19323e-05])
6423    , -2112.55    , array([ 0.101362   ,  0.0104604  ,  0.00127449 ,  3.19323e-05])
6424    , -2112.66    , array([ 0.101362   ,  0.0104604  ,  0.00127322 ,  3.19642e-05])
6425    , -2090.53    , array([ 0.0945185  ,  0.010123   ,  0.00134473 ,  3.29815e-05])
6426    , -2090.53    , array([ 0.0945185  ,  0.010123   ,  0.00134473 ,  3.29815e-05])
6427    , -2090.7     , array([ 0.0946131  ,  0.010123   ,  0.00134473 ,  3.29815e-05])
6428    , -2090.57    , array([ 0.0945185  ,  0.0101331  ,  0.00134473 ,  3.29815e-05])
6429    , -2090.37    , array([ 0.0945185  ,  0.010123   ,  0.00134607 ,  3.29815e-05])
6430    , -2090.49    , array([ 0.0945185  ,  0.010123   ,  0.00134473 ,  3.30145e-05])
6431    , -1964.02    , array([ 0.0246697  ,  0.00539143 ,  0.00384263 ,  6.13862e-05])
6432    , -1964.02    , array([ 0.0246697  ,  0.00539143 ,  0.00384263 ,  6.13862e-05])
6433    , -1963.33    , array([ 0.0246944  ,  0.00539143 ,  0.00384263 ,  6.13862e-05])
