56893   , -16966      , array([ 6.76985    ,  0.809324   ,  4.24756e-47,  0.00382278 ,  0.31698    ])
56894   , -2166.43    , array([ 0.583727   ,  0.0611443  ,  4.24756e-47,  0.00380786 ,  0.0233214  ])
56895   , -2166.43    , array([ 0.583727   ,  0.0611443  ,  4.24756e-47,  0.00380786 ,  0.0233214  ])
56896   , -2165       , array([ 0.584311   ,  0.0611443  ,  4.24756e-47,  0.00380786 ,  0.0233214  ])
56897   , -2164.31    , array([ 0.583727   ,  0.0612055  ,  4.24756e-47,  0.00380786 ,  0.0233214  ])
56898   , -2166.43    , array([ 0.583727   ,  0.0611443  ,  4.25181e-47,  0.00380786 ,  0.0233214  ])
56899   , -2166.43    , array([ 0.583727   ,  0.0611443  ,  4.24756e-47,  0.00381167 ,  0.0233214  ])
56900   , -2169.49    , array([ 0.583727   ,  0.0611443  ,  4.24756e-47,  0.00380786 ,  0.0233447  ])
56901   , -1779.99    , array([ 1.03269    ,  0.0896423  ,  4.24756e-47,  0.00628444 ,  0.0317954  ])
56902   , -1779.99    , array([ 1.03269    ,  0.0896423  ,  4.24756e-47,  0.00628444 ,  0.0317954  ])
56903   , -1779.44    , array([ 1.03372    ,  0.0896423  ,  4.24756e-47,  0.00628444 ,  0.0317954  ])
56904   , -1780.31    , array([ 1.03269    ,  0.089732   ,  4.24756e-47,  0.00628444 ,  0.0317954  ])
56905   , -1779.99    , array([ 1.03269    ,  0.0896423  ,  4.25181e-47,  0.00628444 ,  0.0317954  ])
56906   , -1779.99    , array([ 1.03269    ,  0.0896423  ,  4.24756e-47,  0.00629072 ,  0.0317954  ])
56907   , -1780.39    , array([ 1.03269    ,  0.0896423  ,  4.24756e-47,  0.00628444 ,  0.0318272  ])
56908   , -2073.84    , array([ 0.611765   ,  0.032648   ,  4.24756e-47,  0.0092495  ,  0.0103432  ])
56909   , -2073.84    , array([ 0.611765   ,  0.032648   ,  4.24756e-47,  0.0092495  ,  0.0103432  ])
56910   , -2073.7     , array([ 0.612377   ,  0.032648   ,  4.24756e-47,  0.0092495  ,  0.0103432  ])
56911   , -2076.81    , array([ 0.611765   ,  0.0326807  ,  4.24756e-47,  0.0092495  ,  0.0103432  ])
56912   , -2073.84    , array([ 0.611765   ,  0.032648   ,  4.25181e-47,  0.0092495  ,  0.0103432  ])
56913   , -2073.84    , array([ 0.611765   ,  0.032648   ,  4.24756e-47,  0.00925876 ,  0.0103432  ])
56914   , -2070.64    , array([ 0.611765   ,  0.032648   ,  4.24756e-47,  0.0092495  ,  0.0103535  ])
56915   , -1733.05    , array([ 0.913466   ,  0.0707513  ,  4.24756e-47,  0.0068801  ,  0.0244395  ])
56916   , -1733.05    , array([ 0.913466   ,  0.0707513  ,  4.24756e-47,  0.0068801  ,  0.0244395  ])
56917   , -1732.61    , array([ 0.91438    ,  0.0707513  ,  4.24756e-47,  0.0068801  ,  0.0244395  ])
56918   , -1733.96    , array([ 0.913466   ,  0.070822   ,  4.24756e-47,  0.0068801  ,  0.0244395  ])
56919   , -1733.05    , array([ 0.913466   ,  0.0707513  ,  4.25181e-47,  0.0068801  ,  0.0244395  ])
56920   , -1733.05    , array([ 0.913466   ,  0.0707513  ,  4.24756e-47,  0.00688698 ,  0.0244395  ])
56921   , -1732.45    , array([ 0.913466   ,  0.0707513  ,  4.24756e-47,  0.0068801  ,  0.0244639  ])
56922   , -1663.48    , array([ 1.08775    ,  0.0698937  ,  4.24756e-47,  0.00927476 ,  0.0246819  ])
56923   , -1663.48    , array([ 1.08775    ,  0.0698937  ,  4.24756e-47,  0.00927476 ,  0.0246819  ])
56924   , -1663.25    , array([ 1.08884    ,  0.0698937  ,  4.24756e-47,  0.00927476 ,  0.0246819  ])
56925   , -1663.82    , array([ 1.08775    ,  0.0699636  ,  4.24756e-47,  0.00927476 ,  0.0246819  ])
56926   , -1663.48    , array([ 1.08775    ,  0.0698937  ,  4.25181e-47,  0.00927476 ,  0.0246819  ])
56927   , -1663.48    , array([ 1.08775    ,  0.0698937  ,  4.24756e-47,  0.00928404 ,  0.0246819  ])
56928   , -1663.3     , array([ 1.08775    ,  0.0698937  ,  4.24756e-47,  0.00927476 ,  0.0247066  ])
56929   , -1635.04    , array([ 1.30277    ,  0.0692966  ,  4.24756e-47,  0.0201592  ,  0.0248361  ])
56930   , -1635.04    , array([ 1.30277    ,  0.0692966  ,  4.24756e-47,  0.0201592  ,  0.0248361  ])
56931   , -1634.97    , array([ 1.30408    ,  0.0692966  ,  4.24756e-47,  0.0201592  ,  0.0248361  ])
56932   , -1635.02    , array([ 1.30277    ,  0.0693659  ,  4.24756e-47,  0.0201592  ,  0.0248361  ])
56933   , -1635.04    , array([ 1.30277    ,  0.0692966  ,  4.25181e-47,  0.0201592  ,  0.0248361  ])
56934   , -1635.04    , array([ 1.30277    ,  0.0692966  ,  4.24756e-47,  0.0201794  ,  0.0248361  ])
56935   , -1635.12    , array([ 1.30277    ,  0.0692966  ,  4.24756e-47,  0.0201592  ,  0.0248609  ])
56936   , -1629.01    , array([ 1.40574    ,  0.0682951  ,  4.24756e-47,  0.0847995  ,  0.0245097  ])
56937   , -1629.01    , array([ 1.40574    ,  0.0682951  ,  4.24756e-47,  0.0847995  ,  0.0245097  ])
56938   , -1629       , array([ 1.40714    ,  0.0682951  ,  4.24756e-47,  0.0847995  ,  0.0245097  ])
56939   , -1629.05    , array([ 1.40574    ,  0.0683634  ,  4.24756e-47,  0.0847995  ,  0.0245097  ])
56940   , -1629.01    , array([ 1.40574    ,  0.0682951  ,  4.25181e-47,  0.0847995  ,  0.0245097  ])
56941   , -1629.01    , array([ 1.40574    ,  0.0682951  ,  4.24756e-47,  0.0848843  ,  0.0245097  ])
56942   , -1628.99    , array([ 1.40574    ,  0.0682951  ,  4.24756e-47,  0.0847995  ,  0.0245342  ])
56943   , -1634.05    , array([ 1.58556    ,  0.0667539  ,  4.24756e-47,  1.65332    ,  0.0240228  ])
56944   , -1634.05    , array([ 1.58556    ,  0.0667539  ,  4.24756e-47,  1.65332    ,  0.0240228  ])
56945   , -1634.12    , array([ 1.58714    ,  0.0667539  ,  4.24756e-47,  1.65332    ,  0.0240228  ])
56946   , -1635.73    , array([ 1.58556    ,  0.0668207  ,  4.24756e-47,  1.65332    ,  0.0240228  ])
56947   , -1634.05    , array([ 1.58556    ,  0.0667539  ,  4.25181e-47,  1.65332    ,  0.0240228  ])
56948   , -1634.11    , array([ 1.58556    ,  0.0667539  ,  4.24756e-47,  1.65497    ,  0.0240228  ])
56949   , -1632.42    , array([ 1.58556    ,  0.0667539  ,  4.24756e-47,  1.65332    ,  0.0240469  ])
56950   , -1620.47    , array([ 1.49212    ,  0.0675272  ,  4.24756e-47,  0.369368   ,  0.0242673  ])
56951   , -1620.47    , array([ 1.49212    ,  0.0675272  ,  4.24756e-47,  0.369368   ,  0.0242673  ])
56952   , -1620.5     , array([ 1.49361    ,  0.0675272  ,  4.24756e-47,  0.369368   ,  0.0242673  ])
56953   , -1620.81    , array([ 1.49212    ,  0.0675947  ,  4.24756e-47,  0.369368   ,  0.0242673  ])
56954   , -1620.47    , array([ 1.49212    ,  0.0675272  ,  4.25181e-47,  0.369368   ,  0.0242673  ])
56955   , -1620.46    , array([ 1.49212    ,  0.0675272  ,  4.24756e-47,  0.369738   ,  0.0242673  ])
56956   , -1620.12    , array([ 1.49212    ,  0.0675272  ,  4.24756e-47,  0.369368   ,  0.0242915  ])
56957   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.794889   ,  0.024142   ])
56958   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.794889   ,  0.024142   ])
56959   , -1616.33    , array([ 1.54073    ,  0.0671307  ,  4.24756e-47,  0.794889   ,  0.024142   ])
56960   , -1617.08    , array([ 1.53919    ,  0.0671978  ,  4.24756e-47,  0.794889   ,  0.024142   ])
56961   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.25181e-47,  0.794889   ,  0.024142   ])
56962   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.795685   ,  0.024142   ])
56963   , -1615.48    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.794889   ,  0.0241661  ])
56971   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.79489    ,  0.024142   ])
56972   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.79489    ,  0.024142   ])
56973   , -1616.33    , array([ 1.54073    ,  0.0671307  ,  4.24756e-47,  0.79489    ,  0.024142   ])
56974   , -1617.08    , array([ 1.53919    ,  0.0671978  ,  4.24756e-47,  0.79489    ,  0.024142   ])
56975   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.25181e-47,  0.79489    ,  0.024142   ])
56976   , -1616.28    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.795685   ,  0.024142   ])
56977   , -1615.48    , array([ 1.53919    ,  0.0671307  ,  4.24756e-47,  0.79489    ,  0.0241661  ])
56978   , -1616       , array([ 1.553      ,  0.0668957  ,  4.24756e-47,  0.987362   ,  0.0240959  ])
56979   , -1616       , array([ 1.553      ,  0.0668957  ,  4.24756e-47,  0.987362   ,  0.0240959  ])
56980   , -1616.05    , array([ 1.55456    ,  0.0668957  ,  4.24756e-47,  0.987362   ,  0.0240959  ])
56981   , -1616.95    , array([ 1.553      ,  0.0669626  ,  4.24756e-47,  0.987362   ,  0.0240959  ])
56982   , -1616       , array([ 1.553      ,  0.0668957  ,  4.25181e-47,  0.987362   ,  0.0240959  ])
56983   , -1616       , array([ 1.553      ,  0.0668957  ,  4.24756e-47,  0.98835    ,  0.0240959  ])
56984   , -1615.03    , array([ 1.553      ,  0.0668957  ,  4.24756e-47,  0.987362   ,  0.02412    ])
56985   , -1615.44    , array([ 1.55419    ,  0.0668075  ,  4.24756e-47,  1.00088    ,  0.0240821  ])
56986   , -1615.44    , array([ 1.55419    ,  0.0668075  ,  4.24756e-47,  1.00088    ,  0.0240821  ])
56987   , -1615.5     , array([ 1.55575    ,  0.0668075  ,  4.24756e-47,  1.00088    ,  0.0240821  ])
56988   , -1616.39    , array([ 1.55419    ,  0.0668743  ,  4.24756e-47,  1.00088    ,  0.0240821  ])
56989   , -1615.44    , array([ 1.55419    ,  0.0668075  ,  4.25181e-47,  1.00088    ,  0.0240821  ])
56990   , -1615.45    , array([ 1.55419    ,  0.0668075  ,  4.24756e-47,  1.00188    ,  0.0240821  ])
56991   , -1614.49    , array([ 1.55419    ,  0.0668075  ,  4.24756e-47,  1.00088    ,  0.0241062  ])
56992   , -1613.29    , array([ 1.55896    ,  0.0664558  ,  4.24756e-47,  1.05682    ,  0.0240272  ])
56993   , -1613.29    , array([ 1.55896    ,  0.0664558  ,  4.24756e-47,  1.05682    ,  0.0240272  ])
56994   , -1613.35    , array([ 1.56052    ,  0.0664558  ,  4.24756e-47,  1.05682    ,  0.0240272  ])
56995   , -1614.21    , array([ 1.55896    ,  0.0665223  ,  4.24756e-47,  1.05682    ,  0.0240272  ])
56996   , -1613.29    , array([ 1.55896    ,  0.0664558  ,  4.25181e-47,  1.05682    ,  0.0240272  ])
56997   , -1613.3     , array([ 1.55896    ,  0.0664558  ,  4.24756e-47,  1.05787    ,  0.0240272  ])
56998   , -1612.36    , array([ 1.55896    ,  0.0664558  ,  4.24756e-47,  1.05682    ,  0.0240513  ])
56999   , -1605.57    , array([ 1.57817    ,  0.0650676  ,  4.24756e-47,  1.31364    ,  0.0238089  ])
57000   , -1605.57    , array([ 1.57817    ,  0.0650676  ,  4.24756e-47,  1.31364    ,  0.0238089  ])
57001   , -1605.62    , array([ 1.57975    ,  0.0650676  ,  4.24756e-47,  1.31364    ,  0.0238089  ])
57002   , -1606.4     , array([ 1.57817    ,  0.0651327  ,  4.24756e-47,  1.31364    ,  0.0238089  ])
57003   , -1605.57    , array([ 1.57817    ,  0.0650676  ,  4.25181e-47,  1.31364    ,  0.0238089  ])
57004   , -1605.57    , array([ 1.57817    ,  0.0650676  ,  4.24756e-47,  1.31495    ,  0.0238089  ])
57005   , -1604.71    , array([ 1.57817    ,  0.0650676  ,  4.24756e-47,  1.31364    ,  0.0238327  ])
57006   , -1588.67    , array([ 1.62211    ,  0.0627629  ,  4.24756e-47,  2.01544    ,  0.0236911  ])
57007   , -1588.67    , array([ 1.62211    ,  0.0627629  ,  4.24756e-47,  2.01544    ,  0.0236911  ])
57008   , -1588.74    , array([ 1.62373    ,  0.0627629  ,  4.24756e-47,  2.01544    ,  0.0236911  ])
57009   , -1589.32    , array([ 1.62211    ,  0.0628257  ,  4.24756e-47,  2.01544    ,  0.0236911  ])
57010   , -1588.67    , array([ 1.62211    ,  0.0627629  ,  4.25181e-47,  2.01544    ,  0.0236911  ])
57011   , -1588.68    , array([ 1.62211    ,  0.0627629  ,  4.24756e-47,  2.01746    ,  0.0236911  ])
57012   , -1587.98    , array([ 1.62211    ,  0.0627629  ,  4.24756e-47,  2.01544    ,  0.0237149  ])
57013   , -1570.25    , array([ 1.65349    ,  0.0592127  ,  4.24756e-47,  2.95744    ,  0.0237414  ])
57014   , -1570.25    , array([ 1.65349    ,  0.0592127  ,  4.24756e-47,  2.95744    ,  0.0237414  ])
57015   , -1570.32    , array([ 1.65514    ,  0.0592127  ,  4.24756e-47,  2.95744    ,  0.0237414  ])
57016   , -1570.13    , array([ 1.65349    ,  0.059272   ,  4.24756e-47,  2.95744    ,  0.0237414  ])
57017   , -1570.25    , array([ 1.65349    ,  0.0592127  ,  4.25181e-47,  2.95744    ,  0.0237414  ])
57018   , -1570.21    , array([ 1.65349    ,  0.0592127  ,  4.24756e-47,  2.9604     ,  0.0237414  ])
57019   , -1570.27    , array([ 1.65349    ,  0.0592127  ,  4.24756e-47,  2.95744    ,  0.0237652  ])
57020   , -1816.6     , array([ 1.73199    ,  0.0547571  ,  4.24756e-47,  9.48295    ,  0.0239012  ])
57021   , -1816.6     , array([ 1.73199    ,  0.0547571  ,  4.24756e-47,  9.48295    ,  0.0239012  ])
57022   , -1816.69    , array([ 1.73372    ,  0.0547571  ,  4.24756e-47,  9.48295    ,  0.0239012  ])
57023   , -1819.79    , array([ 1.73199    ,  0.0548119  ,  4.24756e-47,  9.48295    ,  0.0239012  ])
57024   , -1816.6     , array([ 1.73199    ,  0.0547571  ,  4.25181e-47,  9.48295    ,  0.0239012  ])
57025   , -1817.67    , array([ 1.73199    ,  0.0547571  ,  4.24756e-47,  9.49244    ,  0.0239012  ])
57026   , -1814.48    , array([ 1.73199    ,  0.0547571  ,  4.24756e-47,  9.48295    ,  0.0239252  ])
57027   , -1565.37    , array([ 1.66887    ,  0.0582949  ,  4.24756e-47,  3.73216    ,  0.0237732  ])
57028   , -1565.37    , array([ 1.66887    ,  0.0582949  ,  4.24756e-47,  3.73216    ,  0.0237732  ])
57029   , -1565.44    , array([ 1.67054    ,  0.0582949  ,  4.24756e-47,  3.73216    ,  0.0237732  ])
57030   , -1565.53    , array([ 1.66887    ,  0.0583533  ,  4.24756e-47,  3.73216    ,  0.0237732  ])
57031   , -1565.37    , array([ 1.66887    ,  0.0582949  ,  4.25181e-47,  3.73216    ,  0.0237732  ])
57032   , -1565.37    , array([ 1.66887    ,  0.0582949  ,  4.24756e-47,  3.7359     ,  0.0237732  ])
57033   , -1565.15    , array([ 1.66887    ,  0.0582949  ,  4.24756e-47,  3.73216    ,  0.023797   ])
57034   , -1562.41    , array([ 1.6455     ,  0.0575909  ,  4.24756e-47,  4.37369    ,  0.0240011  ])
57035   , -1562.41    , array([ 1.6455     ,  0.0575909  ,  4.24756e-47,  4.37369    ,  0.0240011  ])
57036   , -1562.47    , array([ 1.64715    ,  0.0575909  ,  4.24756e-47,  4.37369    ,  0.0240011  ])
57037   , -1562.61    , array([ 1.6455     ,  0.0576485  ,  4.24756e-47,  4.37369    ,  0.0240011  ])
57038   , -1562.41    , array([ 1.6455     ,  0.0575909  ,  4.25181e-47,  4.37369    ,  0.0240011  ])
57039   , -1562.44    , array([ 1.6455     ,  0.0575909  ,  4.24756e-47,  4.37807    ,  0.0240011  ])
57040   , -1562.19    , array([ 1.6455     ,  0.0575909  ,  4.24756e-47,  4.37369    ,  0.0240251  ])
57041   , -1558.14    , array([ 1.56987    ,  0.0577095  ,  4.24756e-47,  4.52039    ,  0.0244599  ])
57042   , -1558.14    , array([ 1.56987    ,  0.0577095  ,  4.24756e-47,  4.52039    ,  0.0244599  ])
57043   , -1558.19    , array([ 1.57145    ,  0.0577095  ,  4.24756e-47,  4.52039    ,  0.0244599  ])
57044   , -1558.09    , array([ 1.56987    ,  0.0577673  ,  4.24756e-47,  4.52039    ,  0.0244599  ])
57045   , -1558.14    , array([ 1.56987    ,  0.0577095  ,  4.25181e-47,  4.52039    ,  0.0244599  ])
57046   , -1558.14    , array([ 1.56987    ,  0.0577095  ,  4.24756e-47,  4.52491    ,  0.0244599  ])
57047   , -1558.15    , array([ 1.56987    ,  0.0577095  ,  4.24756e-47,  4.52039    ,  0.0244844  ])
57048   , -1556.24    , array([ 1.49132    ,  0.0580987  ,  4.24756e-47,  4.61087    ,  0.0248117  ])
57049   , -1556.24    , array([ 1.49132    ,  0.0580987  ,  4.24756e-47,  4.61087    ,  0.0248117  ])
57050   , -1556.26    , array([ 1.49281    ,  0.0580987  ,  4.24756e-47,  4.61087    ,  0.0248117  ])
57051   , -1556.13    , array([ 1.49132    ,  0.0581568  ,  4.24756e-47,  4.61087    ,  0.0248117  ])
57052   , -1556.24    , array([ 1.49132    ,  0.0580987  ,  4.25181e-47,  4.61087    ,  0.0248117  ])
57053   , -1556.23    , array([ 1.49132    ,  0.0580987  ,  4.24756e-47,  4.61549    ,  0.0248117  ])
57054   , -1556.33    , array([ 1.49132    ,  0.0580987  ,  4.24756e-47,  4.61087    ,  0.0248365  ])
57055   , -1555.35    , array([ 1.44758    ,  0.0587834  ,  4.24756e-47,  4.47854    ,  0.0250006  ])
57056   , -1555.35    , array([ 1.44758    ,  0.0587834  ,  4.24756e-47,  4.47854    ,  0.0250006  ])
57057   , -1555.35    , array([ 1.44902    ,  0.0587834  ,  4.24756e-47,  4.47854    ,  0.0250006  ])
57058   , -1555.25    , array([ 1.44758    ,  0.0588422  ,  4.24756e-47,  4.47854    ,  0.0250006  ])
57059   , -1555.35    , array([ 1.44758    ,  0.0587834  ,  4.25181e-47,  4.47854    ,  0.0250006  ])
57060   , -1555.34    , array([ 1.44758    ,  0.0587834  ,  4.24756e-47,  4.48302    ,  0.0250006  ])
57061   , -1555.43    , array([ 1.44758    ,  0.0587834  ,  4.24756e-47,  4.47854    ,  0.0250256  ])
57062   , -1554.91    , array([ 1.43203    ,  0.0593923  ,  4.24756e-47,  4.31662    ,  0.0250595  ])
57063   , -1554.91    , array([ 1.43203    ,  0.0593923  ,  4.24756e-47,  4.31662    ,  0.0250595  ])
57064   , -1554.91    , array([ 1.43347    ,  0.0593923  ,  4.24756e-47,  4.31662    ,  0.0250595  ])
57065   , -1554.89    , array([ 1.43203    ,  0.0594517  ,  4.24756e-47,  4.31662    ,  0.0250595  ])
57066   , -1554.91    , array([ 1.43203    ,  0.0593923  ,  4.25181e-47,  4.31662    ,  0.0250595  ])
57067   , -1554.91    , array([ 1.43203    ,  0.0593923  ,  4.24756e-47,  4.32094    ,  0.0250595  ])
57068   , -1554.93    , array([ 1.43203    ,  0.0593923  ,  4.24756e-47,  4.31662    ,  0.0250846  ])
57069   , -1554.88    , array([ 1.43614    ,  0.059492   ,  4.24756e-47,  4.26771    ,  0.0250346  ])
57070   , -1554.88    , array([ 1.43614    ,  0.059492   ,  4.24756e-47,  4.26771    ,  0.0250346  ])
57071   , -1554.88    , array([ 1.43757    ,  0.059492   ,  4.24756e-47,  4.26771    ,  0.0250346  ])
57072   , -1554.88    , array([ 1.43614    ,  0.0595515  ,  4.24756e-47,  4.26771    ,  0.0250346  ])
57073   , -1554.88    , array([ 1.43614    ,  0.059492   ,  4.25181e-47,  4.26771    ,  0.0250346  ])
57074   , -1554.88    , array([ 1.43614    ,  0.059492   ,  4.24756e-47,  4.27198    ,  0.0250346  ])
57075   , -1554.88    , array([ 1.43614    ,  0.059492   ,  4.24756e-47,  4.26771    ,  0.0250597  ])
57076   , -1554.89    , array([ 1.43692    ,  0.0594768  ,  4.24756e-47,  4.27174    ,  0.0250305  ])
57077   , -1554.89    , array([ 1.43692    ,  0.0594768  ,  4.24756e-47,  4.27174    ,  0.0250305  ])
57078   , -1554.89    , array([ 1.43836    ,  0.0594768  ,  4.24756e-47,  4.27174    ,  0.0250305  ])
57079   , -1554.89    , array([ 1.43692    ,  0.0595363  ,  4.24756e-47,  4.27174    ,  0.0250305  ])
57080   , -1554.89    , array([ 1.43692    ,  0.0594768  ,  4.25181e-47,  4.27174    ,  0.0250305  ])
57081   , -1554.89    , array([ 1.43692    ,  0.0594768  ,  4.24756e-47,  4.27602    ,  0.0250305  ])
57082   , -1554.89    , array([ 1.43692    ,  0.0594768  ,  4.24756e-47,  4.27174    ,  0.0250555  ])
57083   , -1554.88    , array([ 1.43614    ,  0.0594918  ,  4.24756e-47,  4.26776    ,  0.0250346  ])
57084   , -1554.88    , array([ 1.43614    ,  0.0594918  ,  4.24756e-47,  4.26776    ,  0.0250346  ])
57085   , -1554.88    , array([ 1.43758    ,  0.0594918  ,  4.24756e-47,  4.26776    ,  0.0250346  ])
