1564    , -54505.2    , array([ 0.0560296  ,  1.98799    ,  0.0464089  ,  0.00717962 ])
1565    , -54504.8    , array([ 0.0560296  ,  1.98799    ,  0.0463625  ,  0.0071868  ])
1566    , -54478.7    , array([ 0.0852417  ,  2.10038    ,  0.0703282  ,  0.0072694  ])
1567    , -54478.7    , array([ 0.0852417  ,  2.10038    ,  0.0703282  ,  0.0072694  ])
1568    , -54479.2    , array([ 0.085327   ,  2.10038    ,  0.0703282  ,  0.0072694  ])
1569    , -54478.7    , array([ 0.0852417  ,  2.10248    ,  0.0703282  ,  0.0072694  ])
1570    , -54478.4    , array([ 0.0852417  ,  2.10038    ,  0.0703986  ,  0.0072694  ])
1571    , -54478.1    , array([ 0.0852417  ,  2.10038    ,  0.0703282  ,  0.00727668 ])
1578    , -54478.7    , array([ 0.0852411  ,  2.10038    ,  0.0703277  ,  0.00726941 ])
1579    , -54478.7    , array([ 0.0852411  ,  2.10038    ,  0.0703277  ,  0.00726941 ])
1580    , -54479.2    , array([ 0.0853264  ,  2.10038    ,  0.0703277  ,  0.00726941 ])
1581    , -54478.7    , array([ 0.0852411  ,  2.10248    ,  0.0703277  ,  0.00726941 ])
1582    , -54478.4    , array([ 0.0852411  ,  2.10038    ,  0.0703981  ,  0.00726941 ])
1583    , -54478.1    , array([ 0.0852411  ,  2.10038    ,  0.0703277  ,  0.00727668 ])
1584    , -54451.7    , array([ 0.0620965  ,  2.09889    ,  0.0502173  ,  0.00763662 ])
1585    , -54451.7    , array([ 0.0620965  ,  2.09889    ,  0.0502173  ,  0.00763662 ])
1586    , -54452.1    , array([ 0.0621586  ,  2.09889    ,  0.0502173  ,  0.00763662 ])
1587    , -54451.6    , array([ 0.0620965  ,  2.10099    ,  0.0502173  ,  0.00763662 ])
1588    , -54451.2    , array([ 0.0620965  ,  2.09889    ,  0.0502676  ,  0.00763662 ])
1589    , -54450.8    , array([ 0.0620965  ,  2.09889    ,  0.0502173  ,  0.00764426 ])
1590    , -54394.4    , array([ 0.0543222  ,  2.18418    ,  0.0433495  ,  0.00825032 ])
1591    , -54394.4    , array([ 0.0543222  ,  2.18418    ,  0.0433495  ,  0.00825032 ])
1592    , -54394.8    , array([ 0.0543765  ,  2.18418    ,  0.0433495  ,  0.00825032 ])
1593    , -54394.3    , array([ 0.0543222  ,  2.18637    ,  0.0433495  ,  0.00825032 ])
1594    , -54393.8    , array([ 0.0543222  ,  2.18418    ,  0.0433929  ,  0.00825032 ])
1595    , -54393.4    , array([ 0.0543222  ,  2.18418    ,  0.0433495  ,  0.00825858 ])
1596    , -54114      , array([ 0.031814   ,  2.56147    ,  0.0240716  ,  0.0112396  ])
1597    , -54114      , array([ 0.031814   ,  2.56147    ,  0.0240716  ,  0.0112396  ])
1598    , -54114.6    , array([ 0.0318458  ,  2.56147    ,  0.0240716  ,  0.0112396  ])
1599    , -54113.9    , array([ 0.031814   ,  2.56404    ,  0.0240716  ,  0.0112396  ])
1600    , -54113.3    , array([ 0.031814   ,  2.56147    ,  0.0240957  ,  0.0112396  ])
1601    , -54112.9    , array([ 0.031814   ,  2.56147    ,  0.0240716  ,  0.0112508  ])
1602    , -53638.4    , array([ 0.00374266 ,  4.84498    ,  0.0022887  ,  0.0387135  ])
1603    , -53638.4    , array([ 0.00374266 ,  4.84498    ,  0.0022887  ,  0.0387135  ])
1604    , -53638.6    , array([ 0.00374641 ,  4.84498    ,  0.0022887  ,  0.0387135  ])
1605    , -53638.3    , array([ 0.00374266 ,  4.84982    ,  0.0022887  ,  0.0387135  ])
1606    , -53638.1    , array([ 0.00374266 ,  4.84498    ,  0.00229099 ,  0.0387135  ])
1607    , -53639.4    , array([ 0.00374266 ,  4.84498    ,  0.0022887  ,  0.0387523  ])
1608    , -53559.9    , array([ 0.0110329  ,  3.51127    ,  0.00751303 ,  0.020727   ])
1609    , -53559.9    , array([ 0.0110329  ,  3.51127    ,  0.00751303 ,  0.020727   ])
1610    , -53560.7    , array([ 0.011044   ,  3.51127    ,  0.00751303 ,  0.020727   ])
1611    , -53559.9    , array([ 0.0110329  ,  3.51478    ,  0.00751303 ,  0.020727   ])
1612    , -53559.3    , array([ 0.0110329  ,  3.51127    ,  0.00752055 ,  0.020727   ])
