49461   , -620.944    , array([ 0.0370941  ,  3.22936    ,  0.157192   ,  8.7472e-30 ])
49462   , -618.859    , array([ 0.0371312  ,  3.22936    ,  0.157192   ,  8.7472e-30 ])
49463   , -620.944    , array([ 0.0370941  ,  3.23259    ,  0.157192   ,  8.7472e-30 ])
49464   , -623.718    , array([ 0.0370941  ,  3.22936    ,  0.15735    ,  8.7472e-30 ])
49465   , -620.944    , array([ 0.0370941  ,  3.22936    ,  0.157192   ,  8.75595e-30])
49466   , -620.944    , array([ 0.0370941  ,  3.22936    ,  0.157192   ,  8.7472e-30 ])
49467   , -2952.51    , array([ 0.06806    ,  3.22936    ,  0.0701173  ,  8.7472e-30 ])
49468   , -2952.51    , array([ 0.06806    ,  3.22936    ,  0.0701173  ,  8.7472e-30 ])
49469   , -2950.91    , array([ 0.0681281  ,  3.22936    ,  0.0701173  ,  8.7472e-30 ])
49470   , -2952.51    , array([ 0.06806    ,  3.23259    ,  0.0701173  ,  8.7472e-30 ])
49471   , -2951.65    , array([ 0.06806    ,  3.22936    ,  0.0701874  ,  8.7472e-30 ])
49472   , -2952.51    , array([ 0.06806    ,  3.22936    ,  0.0701173  ,  8.75595e-30])
49473   , -396.477    , array([ 0.0403876  ,  3.22936    ,  0.140376   ,  8.7472e-30 ])
49474   , -396.477    , array([ 0.0403876  ,  3.22936    ,  0.140376   ,  8.7472e-30 ])
49475   , -396.736    , array([ 0.040428   ,  3.22936    ,  0.140376   ,  8.7472e-30 ])
49476   , -396.477    , array([ 0.0403876  ,  3.23259    ,  0.140376   ,  8.7472e-30 ])
49477   , -396.123    , array([ 0.0403876  ,  3.22936    ,  0.140516   ,  8.7472e-30 ])
49478   , -396.477    , array([ 0.0403876  ,  3.22936    ,  0.140376   ,  8.75595e-30])
49479   , -3475.86    , array([ 1.69783    ,  3.22936    ,  2.36129    ,  8.7472e-30 ])
49480   , -3475.86    , array([ 1.69783    ,  3.22936    ,  2.36129    ,  8.7472e-30 ])
49481   , -3479.66    , array([ 1.69953    ,  3.22936    ,  2.36129    ,  8.7472e-30 ])
49482   , -3475.86    , array([ 1.69783    ,  3.23259    ,  2.36129    ,  8.7472e-30 ])
49483   , -3474.12    , array([ 1.69783    ,  3.22936    ,  2.36365    ,  8.7472e-30 ])
49484   , -3475.86    , array([ 1.69783    ,  3.22936    ,  2.36129    ,  8.75595e-30])
49485   , -394.616    , array([ 0.0449314  ,  3.22936    ,  0.152143   ,  8.7472e-30 ])
49486   , -394.616    , array([ 0.0449314  ,  3.22936    ,  0.152143   ,  8.7472e-30 ])
49487   , -394.783    , array([ 0.0449763  ,  3.22936    ,  0.152143   ,  8.7472e-30 ])
49488   , -394.616    , array([ 0.0449314  ,  3.23259    ,  0.152143   ,  8.7472e-30 ])
49489   , -394.391    , array([ 0.0449314  ,  3.22936    ,  0.152295   ,  8.7472e-30 ])
