267853  , -14206.1    , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03966e-39,  0.00322033 ])
267854  , -14235      , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03363e-39,  0.00322355 ])
267862  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267863  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267864  , -14206.1    , array([ 3.89999    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267865  , -14176.6    , array([ 3.89609    ,  0.00407577 ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267866  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81958e-07,  6.03363e-39,  0.00321991 ])
267867  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03966e-39,  0.00321991 ])
267868  , -14235      , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00322313 ])
267869  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267870  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267871  , -14206.1    , array([ 3.89993    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267872  , -14176.5    , array([ 3.89603    ,  0.00407525 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267873  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81958e-07,  6.03363e-39,  0.00321949 ])
267874  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03966e-39,  0.00321949 ])
267875  , -14235      , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00322271 ])
267883  , -14206.1    , array([ 3.89602    ,  0.00407105 ,  1.81776e-07,  6.03363e-39,  0.00321938 ])
267884  , -14206.1    , array([ 3.89602    ,  0.00407105 ,  1.81776e-07,  6.03363e-39,  0.00321938 ])
267885  , -14206.1    , array([ 3.89992    ,  0.00407105 ,  1.81776e-07,  6.03363e-39,  0.00321938 ])
267886  , -14176.5    , array([ 3.89602    ,  0.00407513 ,  1.81776e-07,  6.03363e-39,  0.00321938 ])
267887  , -14206.1    , array([ 3.89602    ,  0.00407105 ,  1.81958e-07,  6.03363e-39,  0.00321938 ])
267888  , -14206.1    , array([ 3.89602    ,  0.00407105 ,  1.81776e-07,  6.03966e-39,  0.00321938 ])
267889  , -14235      , array([ 3.89602    ,  0.00407105 ,  1.81776e-07,  6.03363e-39,  0.0032226  ])
267890  , -14206      , array([ 3.896      ,  0.00407092 ,  1.81776e-07,  6.03363e-39,  0.00321928 ])
267891  , -14206      , array([ 3.896      ,  0.00407092 ,  1.81776e-07,  6.03363e-39,  0.00321928 ])
267892  , -14206.1    , array([ 3.8999     ,  0.00407092 ,  1.81776e-07,  6.03363e-39,  0.00321928 ])
267893  , -14176.5    , array([ 3.896      ,  0.004075   ,  1.81776e-07,  6.03363e-39,  0.00321928 ])
267894  , -14206      , array([ 3.896      ,  0.00407092 ,  1.81958e-07,  6.03363e-39,  0.00321928 ])
267895  , -14206      , array([ 3.896      ,  0.00407092 ,  1.81776e-07,  6.03966e-39,  0.00321928 ])
