183400  , -25851.4    , array([ 0.56164    ,  0.633732   ,  7.69597e-51,  0.000230775,  0.197813   ])
183401  , -25851.4    , array([ 0.56164    ,  0.633732   ,  7.68827e-51,  0.000231006,  0.197813   ])
183402  , -25875.4    , array([ 0.56164    ,  0.633732   ,  7.68827e-51,  0.000230775,  0.198011   ])
183403  , -19906.4    , array([ 0.58979    ,  0.475907   ,  7.68827e-51,  4.8075e-05 ,  0.169861   ])
183404  , -19906.4    , array([ 0.58979    ,  0.475907   ,  7.68827e-51,  4.8075e-05 ,  0.169861   ])
183405  , -19885.5    , array([ 0.59038    ,  0.475907   ,  7.68827e-51,  4.8075e-05 ,  0.169861   ])
183406  , -19909.6    , array([ 0.58979    ,  0.476384   ,  7.68827e-51,  4.8075e-05 ,  0.169861   ])
183407  , -19906.4    , array([ 0.58979    ,  0.475907   ,  7.69597e-51,  4.8075e-05 ,  0.169861   ])
183408  , -19906.4    , array([ 0.58979    ,  0.475907   ,  7.68827e-51,  4.81231e-05,  0.169861   ])
183409  , -19927.7    , array([ 0.58979    ,  0.475907   ,  7.68827e-51,  4.8075e-05 ,  0.170031   ])
183410  , -10601.9    , array([ 0.655754   ,  0.324958   ,  7.68827e-51,  3.46417e-06,  0.113599   ])
183411  , -10601.9    , array([ 0.655754   ,  0.324958   ,  7.68827e-51,  3.46417e-06,  0.113599   ])
183412  , -10590      , array([ 0.65641    ,  0.324958   ,  7.68827e-51,  3.46417e-06,  0.113599   ])
183413  , -10604      , array([ 0.655754   ,  0.325283   ,  7.68827e-51,  3.46417e-06,  0.113599   ])
183414  , -10601.9    , array([ 0.655754   ,  0.324958   ,  7.69597e-51,  3.46417e-06,  0.113599   ])
183415  , -10601.9    , array([ 0.655754   ,  0.324958   ,  7.68827e-51,  3.46764e-06,  0.113599   ])
183416  , -10614.1    , array([ 0.655754   ,  0.324958   ,  7.68827e-51,  3.46417e-06,  0.113713   ])
183417  , -4319.45    , array([ 0.715288   ,  0.178104   ,  7.68827e-51,  9.61978e-08,  0.0626543  ])
