92      , -57764.2    , array([ 0.00456775 ,  0.00241604 ,  0.000339651,  2.94557e-50,  4.06866e-05])
93      , -57764.2    , array([ 0.00456775 ,  0.00241604 ,  0.000339651,  2.94557e-50,  4.06866e-05])
94      , -57768      , array([ 0.00457232 ,  0.00241604 ,  0.000339651,  2.94557e-50,  4.06866e-05])
95      , -57777.1    , array([ 0.00456775 ,  0.00241846 ,  0.000339651,  2.94557e-50,  4.06866e-05])
96      , -57764.2    , array([ 0.00456775 ,  0.00241604 ,  0.000339991,  2.94557e-50,  4.06866e-05])
97      , -57764.2    , array([ 0.00456775 ,  0.00241604 ,  0.000339651,  2.94852e-50,  4.06866e-05])
98      , -57747.3    , array([ 0.00456775 ,  0.00241604 ,  0.000339651,  2.94557e-50,  4.07273e-05])
99      , -57760.9    , array([ 0.00456749 ,  0.00241587 ,  0.000339651,  2.94557e-50,  4.06918e-05])
100     , -57760.9    , array([ 0.00456749 ,  0.00241587 ,  0.000339651,  2.94557e-50,  4.06918e-05])
101     , -57764.8    , array([ 0.00457206 ,  0.00241587 ,  0.000339651,  2.94557e-50,  4.06918e-05])
102     , -57773.9    , array([ 0.00456749 ,  0.00241829 ,  0.000339651,  2.94557e-50,  4.06918e-05])
103     , -57760.9    , array([ 0.00456749 ,  0.00241587 ,  0.000339991,  2.94557e-50,  4.06918e-05])
104     , -57760.9    , array([ 0.00456749 ,  0.00241587 ,  0.000339651,  2.94852e-50,  4.06918e-05])
105     , -57744      , array([ 0.00456749 ,  0.00241587 ,  0.000339651,  2.94557e-50,  4.07325e-05])
106     , -57757.6    , array([ 0.00456723 ,  0.0024157  ,  0.000339651,  2.94557e-50,  4.06969e-05])
107     , -57757.6    , array([ 0.00456723 ,  0.0024157  ,  0.000339651,  2.94557e-50,  4.06969e-05])
108     , -57761.5    , array([ 0.0045718  ,  0.0024157  ,  0.000339651,  2.94557e-50,  4.06969e-05])
109     , -57770.6    , array([ 0.00456723 ,  0.00241812 ,  0.000339651,  2.94557e-50,  4.06969e-05])
