1440    , -1421.79    , array([ 0.81334    ,  0.0851475  ,  4.57674    ,  4.87725    ,  0.0486409  ])
1441    , -1421.21    , array([ 0.814154   ,  0.0851475  ,  4.57674    ,  4.87725    ,  0.0486409  ])
1442    , -1421.68    , array([ 0.81334    ,  0.0852327  ,  4.57674    ,  4.87725    ,  0.0486409  ])
1443    , -1421.56    , array([ 0.81334    ,  0.0851475  ,  4.58132    ,  4.87725    ,  0.0486409  ])
1444    , -1421.91    , array([ 0.81334    ,  0.0851475  ,  4.57674    ,  4.88213    ,  0.0486409  ])
1445    , -1422       , array([ 0.81334    ,  0.0851475  ,  4.57674    ,  4.87725    ,  0.0486896  ])
1453    , -1421.79    , array([ 0.813339   ,  0.0851479  ,  4.57679    ,  4.87722    ,  0.0486413  ])
1454    , -1421.79    , array([ 0.813339   ,  0.0851479  ,  4.57679    ,  4.87722    ,  0.0486413  ])
1455    , -1421.2     , array([ 0.814152   ,  0.0851479  ,  4.57679    ,  4.87722    ,  0.0486413  ])
1456    , -1421.67    , array([ 0.813339   ,  0.0852331  ,  4.57679    ,  4.87722    ,  0.0486413  ])
1457    , -1421.55    , array([ 0.813339   ,  0.0851479  ,  4.58137    ,  4.87722    ,  0.0486413  ])
1458    , -1421.91    , array([ 0.813339   ,  0.0851479  ,  4.57679    ,  4.8821     ,  0.0486413  ])
1459    , -1422       , array([ 0.813339   ,  0.0851479  ,  4.57679    ,  4.87722    ,  0.0486899  ])
1460    , -1421.79    , array([ 0.813337   ,  0.0851484  ,  4.57687    ,  4.87718    ,  0.0486418  ])
1461    , -1421.79    , array([ 0.813337   ,  0.0851484  ,  4.57687    ,  4.87718    ,  0.0486418  ])
1462    , -1421.2     , array([ 0.814151   ,  0.0851484  ,  4.57687    ,  4.87718    ,  0.0486418  ])
1463    , -1421.67    , array([ 0.813337   ,  0.0852336  ,  4.57687    ,  4.87718    ,  0.0486418  ])
1464    , -1421.55    , array([ 0.813337   ,  0.0851484  ,  4.58144    ,  4.87718    ,  0.0486418  ])
1465    , -1421.9     , array([ 0.813337   ,  0.0851484  ,  4.57687    ,  4.88206    ,  0.0486418  ])
1466    , -1422       , array([ 0.813337   ,  0.0851484  ,  4.57687    ,  4.87718    ,  0.0486904  ])
1474    , -1421.78    , array([ 0.813337   ,  0.0851485  ,  4.57688    ,  4.87718    ,  0.0486418  ])
1475    , -1421.78    , array([ 0.813337   ,  0.0851485  ,  4.57688    ,  4.87718    ,  0.0486418  ])
1476    , -1421.2     , array([ 0.81415    ,  0.0851485  ,  4.57688    ,  4.87718    ,  0.0486418  ])
1477    , -1421.67    , array([ 0.813337   ,  0.0852337  ,  4.57688    ,  4.87718    ,  0.0486418  ])
1478    , -1421.55    , array([ 0.813337   ,  0.0851485  ,  4.58146    ,  4.87718    ,  0.0486418  ])
1479    , -1421.9     , array([ 0.813337   ,  0.0851485  ,  4.57688    ,  4.88205    ,  0.0486418  ])
1480    , -1422       , array([ 0.813337   ,  0.0851485  ,  4.57688    ,  4.87718    ,  0.0486905  ])
1481    , -1421.78    , array([ 0.813336   ,  0.0851486  ,  4.5769     ,  4.87717    ,  0.048642   ])
1482    , -1421.78    , array([ 0.813336   ,  0.0851486  ,  4.5769     ,  4.87717    ,  0.048642   ])
1483    , -1421.2     , array([ 0.81415    ,  0.0851486  ,  4.5769     ,  4.87717    ,  0.048642   ])
1484    , -1421.67    , array([ 0.813336   ,  0.0852338  ,  4.5769     ,  4.87717    ,  0.048642   ])
