87324   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.42107e-41,  2.7787e-10 ])
87325   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.78148e-10])
87326   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87327   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87328   , -79089.4    , array([ 0.0241015  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87329   , -79089.4    , array([ 0.0240774  ,  0.0119046  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87330   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485628,  1.41965e-41,  2.7787e-10 ])
87331   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.42107e-41,  2.7787e-10 ])
87332   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.78148e-10])
87333   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87334   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87335   , -79084.6    , array([ 0.00777017 ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87336   , -79084.6    , array([ 0.0077624  ,  0.0016905  ,  0.000485143,  1.41965e-41,  6.10073e-09])
87337   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485628,  1.41965e-41,  6.10073e-09])
87338   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.42107e-41,  6.10073e-09])
87339   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10683e-09])
87340   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87341   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87342   , -79084.6    , array([ 0.00777017 ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87343   , -79084.6    , array([ 0.0077624  ,  0.0016905  ,  0.000485143,  1.41965e-41,  6.10073e-09])
87344   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485628,  1.41965e-41,  6.10073e-09])
87345   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.42107e-41,  6.10073e-09])
87346   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10683e-09])
87347   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87348   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87349   , -79084.6    , array([ 0.00777017 ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87350   , -79084.6    , array([ 0.0077624  ,  0.0016905  ,  0.000485143,  1.41965e-41,  6.10073e-09])
87351   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485628,  1.41965e-41,  6.10073e-09])
87352   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.42107e-41,  6.10073e-09])
87353   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10683e-09])
87361   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87362   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87363   , -79084.6    , array([ 0.00777017 ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87364   , -79084.6    , array([ 0.0077624  ,  0.0016905  ,  0.000485143,  1.41965e-41,  6.10073e-09])
87365   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485628,  1.41965e-41,  6.10073e-09])
87366   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.42107e-41,  6.10073e-09])
87367   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10683e-09])
87368   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87369   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87370   , -79084.6    , array([ 0.00777017 ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10073e-09])
87371   , -79084.6    , array([ 0.0077624  ,  0.0016905  ,  0.000485143,  1.41965e-41,  6.10073e-09])
87372   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485628,  1.41965e-41,  6.10073e-09])
87373   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.42107e-41,  6.10073e-09])
87374   , -79084.6    , array([ 0.0077624  ,  0.00168881 ,  0.000485143,  1.41965e-41,  6.10683e-09])
87375   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87376   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87377   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87378   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87379   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87380   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87381   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87382   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87383   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87384   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87385   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87386   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87387   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87388   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87389   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87390   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87391   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87392   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87393   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87394   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87395   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87403   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87404   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87405   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87406   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87407   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87408   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87409   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87410   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87411   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87412   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87413   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87414   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87415   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87416   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87424   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87425   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87426   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87427   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87428   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87429   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87430   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87431   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87432   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87433   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87434   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87435   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87436   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87437   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87445   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87446   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87447   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87448   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87449   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87450   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87451   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87452   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87453   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87454   , -79072.7    , array([ 0.005855   ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87455   , -79072.7    , array([ 0.00584915 ,  0.00103774 ,  0.000485143,  1.41965e-41,  1.32059e-08])
87456   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485628,  1.41965e-41,  1.32059e-08])
87457   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.42107e-41,  1.32059e-08])
87458   , -79072.7    , array([ 0.00584915 ,  0.00103671 ,  0.000485143,  1.41965e-41,  1.32191e-08])
87459   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87460   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87461   , -79071.3    , array([ 0.00575235 ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87462   , -79071.3    , array([ 0.0057466  ,  0.00100657 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87463   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485628,  1.41965e-41,  1.38589e-08])
87464   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.42107e-41,  1.38589e-08])
87465   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38727e-08])
87466   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87467   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87468   , -79071.3    , array([ 0.00575235 ,  0.00100557 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87469   , -79071.3    , array([ 0.0057466  ,  0.00100657 ,  0.000485143,  1.41965e-41,  1.38589e-08])
87470   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485628,  1.41965e-41,  1.38589e-08])
87471   , -79071.3    , array([ 0.0057466  ,  0.00100557 ,  0.000485143,  1.42107e-41,  1.38589e-08])
