45010   , -2333.11    , array([ 0.00758218 ,  0.178355   ,  7.15415e-52,  4.1837e-05 ])
45011   , -2333.11    , array([ 0.00758977 ,  0.178355   ,  7.15415e-52,  4.1837e-05 ])
45012   , -2333.12    , array([ 0.00758218 ,  0.178533   ,  7.15415e-52,  4.1837e-05 ])
45013   , -2333.11    , array([ 0.00758218 ,  0.178355   ,  7.16131e-52,  4.1837e-05 ])
45014   , -2333.11    , array([ 0.00758218 ,  0.178355   ,  7.15415e-52,  4.18789e-05])
45015   , -2333.11    , array([ 0.00758218 ,  0.178355   ,  7.15415e-52,  4.1837e-05 ])
45016   , -2319.89    , array([ 0.00758218 ,  0.0817552  ,  7.15415e-52,  7.94687e-05])
45017   , -2319.89    , array([ 0.00758218 ,  0.0817552  ,  7.15415e-52,  7.94687e-05])
45018   , -2319.89    , array([ 0.00758977 ,  0.0817552  ,  7.15415e-52,  7.94687e-05])
45019   , -2319.91    , array([ 0.00758218 ,  0.0818369  ,  7.15415e-52,  7.94687e-05])
45020   , -2319.89    , array([ 0.00758218 ,  0.0817552  ,  7.16131e-52,  7.94687e-05])
45021   , -2319.87    , array([ 0.00758218 ,  0.0817552  ,  7.15415e-52,  7.95482e-05])
45022   , -2771.65    , array([ 0.00758218 ,  0.00360939 ,  7.15415e-52,  0.00103451 ])
45023   , -2771.65    , array([ 0.00758218 ,  0.00360939 ,  7.15415e-52,  0.00103451 ])
45024   , -2771.65    , array([ 0.00758977 ,  0.00360939 ,  7.15415e-52,  0.00103451 ])
45025   , -2769.65    , array([ 0.00758218 ,  0.003613   ,  7.15415e-52,  0.00103451 ])
45026   , -2771.65    , array([ 0.00758218 ,  0.00360939 ,  7.16131e-52,  0.00103451 ])
45027   , -2773.61    , array([ 0.00758218 ,  0.00360939 ,  7.15415e-52,  0.00103555 ])
45028   , -2208.54    , array([ 0.00758218 ,  0.0263339  ,  7.15415e-52,  0.000201772])
45029   , -2208.54    , array([ 0.00758218 ,  0.0263339  ,  7.15415e-52,  0.000201772])
45030   , -2208.54    , array([ 0.00758977 ,  0.0263339  ,  7.15415e-52,  0.000201772])
45031   , -2208.66    , array([ 0.00758218 ,  0.0263602  ,  7.15415e-52,  0.000201772])
45032   , -2208.54    , array([ 0.00758218 ,  0.0263339  ,  7.16131e-52,  0.000201772])
45033   , -2208.43    , array([ 0.00758218 ,  0.0263339  ,  7.15415e-52,  0.000201974])
45034   , -1804       , array([ 0.00758218 ,  0.00811848 ,  7.15415e-52,  0.000531112])
45035   , -1804       , array([ 0.00758218 ,  0.00811848 ,  7.15415e-52,  0.000531112])
