10974   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55807e-05,  7.8957e-31 ])
10975   , -2025.99    , array([ 0.0011512  ,  1.19715    ,  2.55807e-05,  7.8957e-31 ])
10976   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55807e-05,  7.8957e-31 ])
10977   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56063e-05,  7.8957e-31 ])
10978   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55807e-05,  7.9036e-31 ])
10979   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10980   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10981   , -2025.99    , array([ 0.00115119 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10982   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55808e-05,  7.8957e-31 ])
10983   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56063e-05,  7.8957e-31 ])
10984   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.9036e-31 ])
10991   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10992   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10993   , -2025.99    , array([ 0.00115119 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10994   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55808e-05,  7.8957e-31 ])
10995   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56064e-05,  7.8957e-31 ])
10996   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.9036e-31 ])
10997   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10998   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
10999   , -2025.99    , array([ 0.00115119 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11000   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55808e-05,  7.8957e-31 ])
11001   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56064e-05,  7.8957e-31 ])
11002   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.9036e-31 ])
11009   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11010   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11011   , -2025.99    , array([ 0.00115119 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11012   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55808e-05,  7.8957e-31 ])
11013   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56064e-05,  7.8957e-31 ])
11014   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.9036e-31 ])
11015   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11016   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11017   , -2025.99    , array([ 0.00115119 ,  1.19715    ,  2.55808e-05,  7.8957e-31 ])
11018   , -2025.77    , array([ 0.00115004 ,  1.19835    ,  2.55808e-05,  7.8957e-31 ])
11019   , -2025.55    , array([ 0.00115004 ,  1.19715    ,  2.56064e-05,  7.8957e-31 ])
11020   , -2025.77    , array([ 0.00115004 ,  1.19715    ,  2.55808e-05,  7.9036e-31 ])
11021   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11022   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11023   , -1982.44    , array([ 0.00104274 ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11024   , -1982.21    , array([ 0.0010417  ,  1.19835    ,  2.8131e-05 ,  7.8957e-31 ])
11025   , -1981.98    , array([ 0.0010417  ,  1.19715    ,  2.81592e-05,  7.8957e-31 ])
11026   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.9036e-31 ])
11027   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11028   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11029   , -1982.44    , array([ 0.00104274 ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11030   , -1982.21    , array([ 0.0010417  ,  1.19835    ,  2.8131e-05 ,  7.8957e-31 ])
11031   , -1981.98    , array([ 0.0010417  ,  1.19715    ,  2.81592e-05,  7.8957e-31 ])
11032   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.9036e-31 ])
11033   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11034   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11035   , -1982.44    , array([ 0.00104274 ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11036   , -1982.21    , array([ 0.0010417  ,  1.19835    ,  2.8131e-05 ,  7.8957e-31 ])
11037   , -1981.98    , array([ 0.0010417  ,  1.19715    ,  2.81592e-05,  7.8957e-31 ])
11038   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.9036e-31 ])
11045   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11046   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11047   , -1982.44    , array([ 0.00104274 ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
11048   , -1982.21    , array([ 0.0010417  ,  1.19835    ,  2.8131e-05 ,  7.8957e-31 ])
11049   , -1981.98    , array([ 0.0010417  ,  1.19715    ,  2.81592e-05,  7.8957e-31 ])
11050   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.9036e-31 ])
11051   , -1982.21    , array([ 0.0010417  ,  1.19715    ,  2.8131e-05 ,  7.8957e-31 ])
