2506    , -2322.84    , array([ 2.52665    ,  0.7014     ,  5.80101e-10,  0.00172361 ])
2507    , -2322.84    , array([ 2.52918    ,  0.7014     ,  5.80101e-10,  0.00172361 ])
2508    , -2322.89    , array([ 2.52665    ,  0.702102   ,  5.80101e-10,  0.00172361 ])
2509    , -2322.84    , array([ 2.52665    ,  0.7014     ,  5.80682e-10,  0.00172361 ])
2510    , -2322.83    , array([ 2.52665    ,  0.7014     ,  5.80101e-10,  0.00172533 ])
2511    , -2322.84    , array([ 2.52665    ,  0.7014     ,  5.80101e-10,  0.00172361 ])
2512    , -2225.51    , array([ 2.52665    ,  0.266531   ,  5.80101e-10,  0.00230257 ])
2513    , -2225.51    , array([ 2.52665    ,  0.266531   ,  5.80101e-10,  0.00230257 ])
2514    , -2225.51    , array([ 2.52918    ,  0.266531   ,  5.80101e-10,  0.00230257 ])
2515    , -2225.64    , array([ 2.52665    ,  0.266798   ,  5.80101e-10,  0.00230257 ])
2516    , -2225.51    , array([ 2.52665    ,  0.266531   ,  5.80682e-10,  0.00230257 ])
2517    , -2225.4     , array([ 2.52665    ,  0.266531   ,  5.80101e-10,  0.00230488 ])
2518    , -7322.34    , array([ 2.52665    ,  0.00555743 ,  5.80101e-10,  0.00733351 ])
2519    , -7322.34    , array([ 2.52665    ,  0.00555743 ,  5.80101e-10,  0.00733351 ])
2520    , -7322.34    , array([ 2.52918    ,  0.00555743 ,  5.80101e-10,  0.00733351 ])
2521    , -7319.88    , array([ 2.52665    ,  0.00556299 ,  5.80101e-10,  0.00733351 ])
2522    , -7322.34    , array([ 2.52665    ,  0.00555743 ,  5.80681e-10,  0.00733351 ])
2523    , -7324       , array([ 2.52665    ,  0.00555743 ,  5.80101e-10,  0.00734085 ])
2524    , -2181.4     , array([ 2.52665    ,  0.211458   ,  5.80101e-10,  0.00246775 ])
2525    , -2181.4     , array([ 2.52665    ,  0.211458   ,  5.80101e-10,  0.00246775 ])
2526    , -2181.4     , array([ 2.52918    ,  0.211458   ,  5.80101e-10,  0.00246775 ])
2527    , -2181.58    , array([ 2.52665    ,  0.21167    ,  5.80101e-10,  0.00246775 ])
2528    , -2181.4     , array([ 2.52665    ,  0.211458   ,  5.80682e-10,  0.00246775 ])
2529    , -2181.27    , array([ 2.52665    ,  0.211458   ,  5.80101e-10,  0.00247022 ])
2530    , -2127.33    , array([ 2.52665    ,  0.168264   ,  5.80101e-10,  0.00264242 ])
2531    , -2127.33    , array([ 2.52665    ,  0.168264   ,  5.80101e-10,  0.00264242 ])
2532    , -2127.33    , array([ 2.52918    ,  0.168264   ,  5.80101e-10,  0.00264242 ])
2533    , -2127.54    , array([ 2.52665    ,  0.168432   ,  5.80101e-10,  0.00264242 ])
2534    , -2127.33    , array([ 2.52665    ,  0.168264   ,  5.80682e-10,  0.00264242 ])
2535    , -2127.16    , array([ 2.52665    ,  0.168264   ,  5.80101e-10,  0.00264506 ])
2536    , -1847.96    , array([ 2.52665    ,  0.0305797  ,  5.80101e-10,  0.00440207 ])
2537    , -1847.96    , array([ 2.52665    ,  0.0305797  ,  5.80101e-10,  0.00440207 ])
2538    , -1847.96    , array([ 2.52918    ,  0.0305797  ,  5.80101e-10,  0.00440207 ])
2539    , -1847.47    , array([ 2.52665    ,  0.0306103  ,  5.80101e-10,  0.00440207 ])
2540    , -1847.96    , array([ 2.52665    ,  0.0305797  ,  5.80682e-10,  0.00440207 ])
2541    , -1848.35    , array([ 2.52665    ,  0.0305797  ,  5.80101e-10,  0.00440647 ])
2542    , -1969.51    , array([ 2.52665    ,  0.100745   ,  5.80101e-10,  0.0030809  ])
2543    , -1969.51    , array([ 2.52665    ,  0.100745   ,  5.80101e-10,  0.0030809  ])
2544    , -1969.51    , array([ 2.52918    ,  0.100745   ,  5.80101e-10,  0.0030809  ])
2545    , -1969.78    , array([ 2.52665    ,  0.100846   ,  5.80101e-10,  0.0030809  ])
2546    , -1969.51    , array([ 2.52665    ,  0.100745   ,  5.80682e-10,  0.0030809  ])
2547    , -1969.26    , array([ 2.52665    ,  0.100745   ,  5.80101e-10,  0.00308398 ])
2548    , -1752.93    , array([ 2.52665    ,  0.0447049  ,  5.80101e-10,  0.00392911 ])
2549    , -1752.93    , array([ 2.52665    ,  0.0447049  ,  5.80101e-10,  0.00392911 ])
2550    , -1752.93    , array([ 2.52918    ,  0.0447049  ,  5.80101e-10,  0.00392911 ])
2551    , -1752.95    , array([ 2.52665    ,  0.0447496  ,  5.80101e-10,  0.00392911 ])
2552    , -1752.93    , array([ 2.52665    ,  0.0447049  ,  5.80682e-10,  0.00392911 ])
2553    , -1752.88    , array([ 2.52665    ,  0.0447049  ,  5.80101e-10,  0.00393304 ])
2560    , -1752.93    , array([ 2.52665    ,  0.0447031  ,  5.80101e-10,  0.00392923 ])
2561    , -1752.93    , array([ 2.52665    ,  0.0447031  ,  5.80101e-10,  0.00392923 ])
2562    , -1752.93    , array([ 2.52918    ,  0.0447031  ,  5.80101e-10,  0.00392923 ])
2563    , -1752.94    , array([ 2.52665    ,  0.0447479  ,  5.80101e-10,  0.00392923 ])
2564    , -1752.93    , array([ 2.52665    ,  0.0447031  ,  5.80682e-10,  0.00392923 ])
2565    , -1752.87    , array([ 2.52665    ,  0.0447031  ,  5.80101e-10,  0.00393316 ])
2566    , -1752.13    , array([ 2.52665    ,  0.0434094  ,  5.80101e-10,  0.00401733 ])
2567    , -1752.13    , array([ 2.52665    ,  0.0434094  ,  5.80101e-10,  0.00401733 ])
2568    , -1752.13    , array([ 2.52918    ,  0.0434094  ,  5.80101e-10,  0.00401733 ])
2569    , -1752.11    , array([ 2.52665    ,  0.0434528  ,  5.80101e-10,  0.00401733 ])
2570    , -1752.13    , array([ 2.52665    ,  0.0434094  ,  5.80682e-10,  0.00401733 ])
2571    , -1752.11    , array([ 2.52665    ,  0.0434094  ,  5.80101e-10,  0.00402135 ])
2572    , -1750.47    , array([ 2.52665    ,  0.0447466  ,  5.80101e-10,  0.0041623  ])
