81822   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33062e-37,  0.000169791,  5.14514e-12])
81823   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81824   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81825   , -79089.4    , array([ 0.0081442  ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81826   , -79089.4    , array([ 0.00813606 ,  0.010585   ,  1.33062e-37,  0.000169791,  4.27718e-11])
81827   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33195e-37,  0.000169791,  4.27718e-11])
81828   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169961,  4.27718e-11])
81829   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.28146e-11])
81837   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81838   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81839   , -79089.4    , array([ 0.0081442  ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81840   , -79089.4    , array([ 0.00813606 ,  0.010585   ,  1.33062e-37,  0.000169791,  4.27718e-11])
81841   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33195e-37,  0.000169791,  4.27718e-11])
81842   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169961,  4.27718e-11])
81843   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.28146e-11])
81844   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81845   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
81846   , -79089.4    , array([ 0.0081442  ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
