99258   , -61714.6    , array([ 0.202578   ,  0.95611    ,  0.000140323,  9.10523e-21,  0.00448629 ])
99259   , -61723.3    , array([ 0.202781   ,  0.95611    ,  0.000140323,  9.10523e-21,  0.00448629 ])
99260   , -61718.4    , array([ 0.202578   ,  0.957066   ,  0.000140323,  9.10523e-21,  0.00448629 ])
99261   , -61714.6    , array([ 0.202578   ,  0.95611    ,  0.000140463,  9.10523e-21,  0.00448629 ])
99262   , -61714.6    , array([ 0.202578   ,  0.95611    ,  0.000140323,  9.11434e-21,  0.00448629 ])
99263   , -61701.8    , array([ 0.202578   ,  0.95611    ,  0.000140323,  9.10523e-21,  0.00449078 ])
99264   , -61714.6    , array([ 0.202578   ,  0.95611    ,  0.000140323,  9.10523e-21,  0.00448629 ])
99265   , -45638.2    , array([ 0.116978   ,  0.749626   ,  0.000140323,  9.10523e-21,  0.010105   ])
99266   , -45638.2    , array([ 0.116978   ,  0.749626   ,  0.000140323,  9.10523e-21,  0.010105   ])
99267   , -45639.6    , array([ 0.117095   ,  0.749626   ,  0.000140323,  9.10523e-21,  0.010105   ])
99268   , -45644.6    , array([ 0.116978   ,  0.750376   ,  0.000140323,  9.10523e-21,  0.010105   ])
99269   , -45638.2    , array([ 0.116978   ,  0.749626   ,  0.000140463,  9.10523e-21,  0.010105   ])
99270   , -45638.2    , array([ 0.116978   ,  0.749626   ,  0.000140323,  9.11434e-21,  0.010105   ])
99271   , -45628.8    , array([ 0.116978   ,  0.749626   ,  0.000140323,  9.10523e-21,  0.0101151  ])
99272   , -42771.5    , array([ 0.162843   ,  0.107963   ,  0.000140323,  9.10523e-21,  0.0891113  ])
99273   , -42771.5    , array([ 0.162843   ,  0.107963   ,  0.000140323,  9.10523e-21,  0.0891113  ])
99274   , -42735.5    , array([ 0.163006   ,  0.107963   ,  0.000140323,  9.10523e-21,  0.0891113  ])
99275   , -42756.3    , array([ 0.162843   ,  0.108071   ,  0.000140323,  9.10523e-21,  0.0891113  ])
99276   , -42771.5    , array([ 0.162843   ,  0.107963   ,  0.000140463,  9.10523e-21,  0.0891113  ])
99277   , -42771.5    , array([ 0.162843   ,  0.107963   ,  0.000140323,  9.11434e-21,  0.0891113  ])
99278   , -42818.9    , array([ 0.162843   ,  0.107963   ,  0.000140323,  9.10523e-21,  0.0892004  ])
99279   , -38470.5    , array([ 0.125474   ,  0.497146   ,  0.000140323,  9.10523e-21,  0.0160288  ])
99280   , -38470.5    , array([ 0.125474   ,  0.497146   ,  0.000140323,  9.10523e-21,  0.0160288  ])
99281   , -38462.6    , array([ 0.125599   ,  0.497146   ,  0.000140323,  9.10523e-21,  0.0160288  ])
99282   , -38481.1    , array([ 0.125474   ,  0.497643   ,  0.000140323,  9.10523e-21,  0.0160288  ])
99283   , -38470.5    , array([ 0.125474   ,  0.497146   ,  0.000140463,  9.10523e-21,  0.0160288  ])
99284   , -38470.5    , array([ 0.125474   ,  0.497146   ,  0.000140323,  9.11434e-21,  0.0160288  ])
99285   , -38465.2    , array([ 0.125474   ,  0.497146   ,  0.000140323,  9.10523e-21,  0.0160449  ])
99286   , -26367.2    , array([ 0.145836   ,  0.206015   ,  0.000140323,  9.10523e-21,  0.0431209  ])
99287   , -26367.2    , array([ 0.145836   ,  0.206015   ,  0.000140323,  9.10523e-21,  0.0431209  ])
99288   , -26337.6    , array([ 0.145982   ,  0.206015   ,  0.000140323,  9.10523e-21,  0.0431209  ])
99289   , -26379      , array([ 0.145836   ,  0.206221   ,  0.000140323,  9.10523e-21,  0.0431209  ])
99290   , -26367.2    , array([ 0.145836   ,  0.206015   ,  0.000140463,  9.10523e-21,  0.0431209  ])
99291   , -26367.2    , array([ 0.145836   ,  0.206015   ,  0.000140323,  9.11434e-21,  0.0431209  ])
99292   , -26381.1    , array([ 0.145836   ,  0.206015   ,  0.000140323,  9.10523e-21,  0.043164   ])
99300   , -26364.7    , array([ 0.145693   ,  0.205691   ,  0.000140323,  9.10523e-21,  0.0430803  ])
99301   , -26364.7    , array([ 0.145693   ,  0.205691   ,  0.000140323,  9.10523e-21,  0.0430803  ])
99302   , -26335.1    , array([ 0.145839   ,  0.205691   ,  0.000140323,  9.10523e-21,  0.0430803  ])
99303   , -26376.5    , array([ 0.145693   ,  0.205897   ,  0.000140323,  9.10523e-21,  0.0430803  ])
99304   , -26364.7    , array([ 0.145693   ,  0.205691   ,  0.000140463,  9.10523e-21,  0.0430803  ])
99305   , -26364.7    , array([ 0.145693   ,  0.205691   ,  0.000140323,  9.11434e-21,  0.0430803  ])
99306   , -26378.7    , array([ 0.145693   ,  0.205691   ,  0.000140323,  9.10523e-21,  0.0431234  ])
99307   , -25568.1    , array([ 0.0633299  ,  0.0540716  ,  0.000140379,  9.10523e-21,  0.0193662  ])
99308   , -25568.1    , array([ 0.0633299  ,  0.0540716  ,  0.000140379,  9.10523e-21,  0.0193662  ])
99309   , -25537.5    , array([ 0.0633932  ,  0.0540716  ,  0.000140379,  9.10523e-21,  0.0193662  ])
99310   , -25572.7    , array([ 0.0633299  ,  0.0541257  ,  0.000140379,  9.10523e-21,  0.0193662  ])
99311   , -25568.1    , array([ 0.0633299  ,  0.0540716  ,  0.000140519,  9.10523e-21,  0.0193662  ])
99312   , -25568.1    , array([ 0.0633299  ,  0.0540716  ,  0.000140379,  9.11434e-21,  0.0193662  ])
99313   , -25591      , array([ 0.0633299  ,  0.0540716  ,  0.000140379,  9.10523e-21,  0.0193855  ])
99314   , -23792.5    , array([ 0.113272   ,  0.104519   ,  0.000140304,  9.10523e-21,  0.0342455  ])
99315   , -23792.5    , array([ 0.113272   ,  0.104519   ,  0.000140304,  9.10523e-21,  0.0342455  ])
99316   , -23763.3    , array([ 0.113385   ,  0.104519   ,  0.000140304,  9.10523e-21,  0.0342455  ])
99317   , -23798.4    , array([ 0.113272   ,  0.104624   ,  0.000140304,  9.10523e-21,  0.0342455  ])
99318   , -23792.5    , array([ 0.113272   ,  0.104519   ,  0.000140445,  9.10523e-21,  0.0342455  ])
99319   , -23792.5    , array([ 0.113272   ,  0.104519   ,  0.000140304,  9.11434e-21,  0.0342455  ])
99320   , -23812.3    , array([ 0.113272   ,  0.104519   ,  0.000140304,  9.10523e-21,  0.0342798  ])
99321   , -28103      , array([ 1.15925    ,  1.45917    ,  0.000140008,  9.10523e-21,  0.334847   ])
99322   , -28103      , array([ 1.15925    ,  1.45917    ,  0.000140008,  9.10523e-21,  0.334847   ])
99323   , -28084.2    , array([ 1.16041    ,  1.45917    ,  0.000140008,  9.10523e-21,  0.334847   ])
99324   , -28112.8    , array([ 1.15925    ,  1.46063    ,  0.000140008,  9.10523e-21,  0.334847   ])
99325   , -28103      , array([ 1.15925    ,  1.45917    ,  0.000140148,  9.10523e-21,  0.334847   ])
99326   , -28103      , array([ 1.15925    ,  1.45917    ,  0.000140008,  9.11434e-21,  0.334847   ])
99327   , -28124      , array([ 1.15925    ,  1.45917    ,  0.000140008,  9.10523e-21,  0.335182   ])
99328   , -21409.3    , array([ 0.284358   ,  0.296696   ,  0.000140187,  9.10523e-21,  0.084432   ])
99329   , -21409.3    , array([ 0.284358   ,  0.296696   ,  0.000140187,  9.10523e-21,  0.084432   ])
99330   , -21383.6    , array([ 0.284643   ,  0.296696   ,  0.000140187,  9.10523e-21,  0.084432   ])
99331   , -21416.7    , array([ 0.284358   ,  0.296993   ,  0.000140187,  9.10523e-21,  0.084432   ])
99332   , -21409.3    , array([ 0.284358   ,  0.296696   ,  0.000140327,  9.10523e-21,  0.084432   ])
99333   , -21409.3    , array([ 0.284358   ,  0.296696   ,  0.000140187,  9.11434e-21,  0.084432   ])
99334   , -21425.9    , array([ 0.284358   ,  0.296696   ,  0.000140187,  9.10523e-21,  0.0845165  ])
99335   , -14834.2    , array([ 0.171497   ,  0.107616   ,  0.000146455,  9.10523e-21,  0.0363622  ])
99336   , -14834.2    , array([ 0.171497   ,  0.107616   ,  0.000146455,  9.10523e-21,  0.0363622  ])
99337   , -14814.4    , array([ 0.171669   ,  0.107616   ,  0.000146455,  9.10523e-21,  0.0363622  ])
99338   , -14837.7    , array([ 0.171497   ,  0.107723   ,  0.000146455,  9.10523e-21,  0.0363622  ])
99339   , -14834.2    , array([ 0.171497   ,  0.107616   ,  0.000146602,  9.10523e-21,  0.0363622  ])
99340   , -14834.2    , array([ 0.171497   ,  0.107616   ,  0.000146455,  9.11434e-21,  0.0363622  ])
99341   , -14848      , array([ 0.171497   ,  0.107616   ,  0.000146455,  9.10523e-21,  0.0363986  ])
99342   , -7162.19    , array([ 0.816634   ,  0.286254   ,  0.000214938,  9.10523e-21,  0.101422   ])
99343   , -7162.19    , array([ 0.816634   ,  0.286254   ,  0.000214938,  9.10523e-21,  0.101422   ])
99344   , -7154.97    , array([ 0.817451   ,  0.286254   ,  0.000214938,  9.10523e-21,  0.101422   ])
99345   , -7163.44    , array([ 0.816634   ,  0.28654    ,  0.000214938,  9.10523e-21,  0.101422   ])
99346   , -7162.19    , array([ 0.816634   ,  0.286254   ,  0.000215153,  9.10523e-21,  0.101422   ])
99347   , -7162.19    , array([ 0.816634   ,  0.286254   ,  0.000214938,  9.11434e-21,  0.101422   ])
99348   , -7170.8     , array([ 0.816634   ,  0.286254   ,  0.000214938,  9.10523e-21,  0.101524   ])
99349   , -3321.16    , array([ 0.238936   ,  0.0275066  ,  0.00026171 ,  9.10523e-21,  0.0114037  ])
99350   , -3321.16    , array([ 0.238936   ,  0.0275066  ,  0.00026171 ,  9.10523e-21,  0.0114037  ])
99351   , -3318.78    , array([ 0.239175   ,  0.0275066  ,  0.00026171 ,  9.10523e-21,  0.0114037  ])
99352   , -3316.09    , array([ 0.238936   ,  0.0275342  ,  0.00026171 ,  9.10523e-21,  0.0114037  ])
99353   , -3321.16    , array([ 0.238936   ,  0.0275066  ,  0.000261972,  9.10523e-21,  0.0114037  ])
99354   , -3321.16    , array([ 0.238936   ,  0.0275066  ,  0.00026171 ,  9.11434e-21,  0.0114037  ])
99355   , -3327.86    , array([ 0.238936   ,  0.0275066  ,  0.00026171 ,  9.10523e-21,  0.0114152  ])
99356   , -2510.6     , array([ 0.282628   ,  0.032404   ,  0.000392429,  9.10523e-21,  0.0110341  ])
99357   , -2510.6     , array([ 0.282628   ,  0.032404   ,  0.000392429,  9.10523e-21,  0.0110341  ])
