301230  , -79089.4    , array([ 0.242105   ,  0.0218143  ,  0.000347447,  4.57187e-28,  1.16706e-09])
301231  , -79089.4    , array([ 0.242347   ,  0.0218143  ,  0.000347447,  4.57187e-28,  1.16706e-09])
301232  , -79089.4    , array([ 0.242105   ,  0.0218361  ,  0.000347447,  4.57187e-28,  1.16706e-09])
301233  , -79089.4    , array([ 0.242105   ,  0.0218143  ,  0.000347795,  4.57187e-28,  1.16706e-09])
301234  , -79089.4    , array([ 0.242105   ,  0.0218143  ,  0.000347447,  4.57644e-28,  1.16706e-09])
301235  , -79089.4    , array([ 0.242105   ,  0.0218143  ,  0.000347447,  4.57187e-28,  1.16823e-09])
301236  , -79089.4    , array([ 0.242105   ,  0.0218143  ,  0.000347447,  4.57187e-28,  1.16706e-09])
301237  , -79089.4    , array([ 0.241175   ,  0.0204858  ,  0.000347447,  4.57187e-28,  1.24764e-09])
301238  , -79089.4    , array([ 0.241175   ,  0.0204858  ,  0.000347447,  4.57187e-28,  1.24764e-09])
301239  , -79089.4    , array([ 0.241416   ,  0.0204858  ,  0.000347447,  4.57187e-28,  1.24764e-09])
301240  , -79089.4    , array([ 0.241175   ,  0.0205063  ,  0.000347447,  4.57187e-28,  1.24764e-09])
301241  , -79089.4    , array([ 0.241175   ,  0.0204858  ,  0.000347795,  4.57187e-28,  1.24764e-09])
301242  , -79089.4    , array([ 0.241175   ,  0.0204858  ,  0.000347447,  4.57644e-28,  1.24764e-09])
301243  , -79089.4    , array([ 0.241175   ,  0.0204858  ,  0.000347447,  4.57187e-28,  1.24889e-09])
301244  , -79089.3    , array([ 0.237492   ,  0.0159334  ,  0.000347447,  4.57187e-28,  1.62956e-09])
301245  , -79089.3    , array([ 0.237492   ,  0.0159334  ,  0.000347447,  4.57187e-28,  1.62956e-09])
301246  , -79089.3    , array([ 0.237729   ,  0.0159334  ,  0.000347447,  4.57187e-28,  1.62956e-09])
301247  , -79089.3    , array([ 0.237492   ,  0.0159493  ,  0.000347447,  4.57187e-28,  1.62956e-09])
301248  , -79089.3    , array([ 0.237492   ,  0.0159334  ,  0.000347795,  4.57187e-28,  1.62956e-09])
301249  , -79089.3    , array([ 0.237492   ,  0.0159334  ,  0.000347447,  4.57644e-28,  1.62956e-09])
301250  , -79089.3    , array([ 0.237492   ,  0.0159334  ,  0.000347447,  4.57187e-28,  1.63119e-09])
301251  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301252  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301253  , -79088.5    , array([ 0.223535   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301254  , -79088.5    , array([ 0.223312   ,  0.00583661 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301255  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347795,  4.57187e-28,  4.7423e-09 ])
301256  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57644e-28,  4.7423e-09 ])
301257  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.74704e-09])
301265  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301266  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301267  , -79088.5    , array([ 0.223535   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301268  , -79088.5    , array([ 0.223312   ,  0.00583661 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301269  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347795,  4.57187e-28,  4.7423e-09 ])
301270  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57644e-28,  4.7423e-09 ])
301271  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.74704e-09])
301272  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301273  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301274  , -79088.5    , array([ 0.223535   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301275  , -79088.5    , array([ 0.223312   ,  0.00583661 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301276  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347795,  4.57187e-28,  4.7423e-09 ])
301277  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57644e-28,  4.7423e-09 ])
301278  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.74704e-09])
301286  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301287  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301288  , -79088.5    , array([ 0.223535   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301289  , -79088.5    , array([ 0.223312   ,  0.00583661 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301290  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347795,  4.57187e-28,  4.7423e-09 ])
301291  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57644e-28,  4.7423e-09 ])
301292  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.74704e-09])
301293  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301294  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301295  , -79088.5    , array([ 0.223535   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301296  , -79088.5    , array([ 0.223312   ,  0.00583661 ,  0.000347448,  4.57187e-28,  4.7423e-09 ])
301297  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347795,  4.57187e-28,  4.7423e-09 ])
301298  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57644e-28,  4.7423e-09 ])
301299  , -79088.5    , array([ 0.223312   ,  0.00583078 ,  0.000347448,  4.57187e-28,  4.74704e-09])
301300  , -79081.8    , array([ 0.209979   ,  0.00213375 ,  0.000347448,  4.57187e-28,  1.38009e-08])
301301  , -79081.8    , array([ 0.209979   ,  0.00213375 ,  0.000347448,  4.57187e-28,  1.38009e-08])
