42792   , -2336.81    , array([ 3.25595    ,  0.322501   ,  5.27759e-08,  1.3252e-41 ])
42793   , -2336.81    , array([ 3.25595    ,  0.322501   ,  5.27232e-08,  1.32652e-41])
42794   , -2336.8     , array([ 2.92206    ,  0.322501   ,  2.73328e-08,  1.3252e-41 ])
42795   , -2336.8     , array([ 2.92206    ,  0.322501   ,  2.73328e-08,  1.3252e-41 ])
42796   , -2336.8     , array([ 2.92498    ,  0.322501   ,  2.73328e-08,  1.3252e-41 ])
42797   , -2336.8     , array([ 2.92206    ,  0.322824   ,  2.73328e-08,  1.3252e-41 ])
42798   , -2336.8     , array([ 2.92206    ,  0.322501   ,  2.73602e-08,  1.3252e-41 ])
42799   , -2336.8     , array([ 2.92206    ,  0.322501   ,  2.73328e-08,  1.32652e-41])
42800   , -2336.8     , array([ 2.62458    ,  0.322501   ,  1.42459e-08,  1.3252e-41 ])
42801   , -2336.8     , array([ 2.62458    ,  0.322501   ,  1.42459e-08,  1.3252e-41 ])
42802   , -2336.8     , array([ 2.62721    ,  0.322501   ,  1.42459e-08,  1.3252e-41 ])
42803   , -2336.8     , array([ 2.62458    ,  0.322824   ,  1.42459e-08,  1.3252e-41 ])
42804   , -2336.8     , array([ 2.62458    ,  0.322501   ,  1.42601e-08,  1.3252e-41 ])
42805   , -2336.8     , array([ 2.62458    ,  0.322501   ,  1.42459e-08,  1.32652e-41])
42806   , -2336.8     , array([ 2.35981    ,  0.322501   ,  7.47261e-09,  1.3252e-41 ])
42807   , -2336.8     , array([ 2.35981    ,  0.322501   ,  7.47261e-09,  1.3252e-41 ])
42808   , -2336.8     , array([ 2.36217    ,  0.322501   ,  7.47261e-09,  1.3252e-41 ])
42809   , -2336.8     , array([ 2.35981    ,  0.322824   ,  7.47261e-09,  1.3252e-41 ])
42810   , -2336.8     , array([ 2.35981    ,  0.322501   ,  7.48009e-09,  1.3252e-41 ])
42811   , -2336.8     , array([ 2.35981    ,  0.322501   ,  7.47261e-09,  1.32652e-41])
42812   , -2336.8     , array([ 2.12432    ,  0.322501   ,  3.94913e-09,  1.3252e-41 ])
42813   , -2336.8     , array([ 2.12432    ,  0.322501   ,  3.94913e-09,  1.3252e-41 ])
42814   , -2336.8     , array([ 2.12645    ,  0.322501   ,  3.94913e-09,  1.3252e-41 ])
42815   , -2336.8     , array([ 2.12432    ,  0.322824   ,  3.94913e-09,  1.3252e-41 ])
42816   , -2336.8     , array([ 2.12432    ,  0.322501   ,  3.95309e-09,  1.3252e-41 ])
42817   , -2336.8     , array([ 2.12432    ,  0.322501   ,  3.94913e-09,  1.32652e-41])
42818   , -2336.8     , array([ 1.91549    ,  0.322501   ,  2.10819e-09,  1.3252e-41 ])
42819   , -2336.8     , array([ 1.91549    ,  0.322501   ,  2.10819e-09,  1.3252e-41 ])
