22211   , -1931.81    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219557  ])
22219   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22220   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22221   , -1931.42    , array([ 97.364     ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22222   , -1931.2     , array([ 97.2667    ,  0.0602218  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22223   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17905e-49,  1.99825e-15,  0.0219337  ])
22224   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  2.00025e-15,  0.0219337  ])
22225   , -1931.81    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219557  ])
22233   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22234   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22235   , -1931.42    , array([ 97.364     ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22236   , -1931.2     , array([ 97.2667    ,  0.0602218  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22237   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17905e-49,  1.99825e-15,  0.0219337  ])
22238   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  2.00025e-15,  0.0219337  ])
22239   , -1931.81    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219557  ])
22247   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22248   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22249   , -1931.42    , array([ 97.364     ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22250   , -1931.2     , array([ 97.2667    ,  0.0602218  ,  7.17187e-49,  1.99825e-15,  0.0219337  ])
22251   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17905e-49,  1.99825e-15,  0.0219337  ])
22252   , -1931.41    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  2.00025e-15,  0.0219337  ])
22253   , -1931.81    , array([ 97.2667    ,  0.0601617  ,  7.17187e-49,  1.99825e-15,  0.0219557  ])
22254   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22255   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22256   , -1928.63    , array([ 99.2778    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22257   , -1928.43    , array([ 99.1786    ,  0.0591664  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22258   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17905e-49,  1.99825e-15,  0.0215186  ])
22259   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  2.00025e-15,  0.0215186  ])
22260   , -1928.96    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215402  ])
22268   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22269   , -1928.62    , array([ 99.1786    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22270   , -1928.63    , array([ 99.2778    ,  0.0591073  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
22271   , -1928.43    , array([ 99.1786    ,  0.0591664  ,  7.17187e-49,  1.99825e-15,  0.0215186  ])
