1       , -28166.8    , array([ 0.336131   ,  0.363931   ,  1.7378     ,  9.9        ,  0.0898627  ])
2       , -28152      , array([ 0.336467   ,  0.363931   ,  1.7378     ,  9.9        ,  0.0898627  ])
3       , -28186.6    , array([ 0.336131   ,  0.364295   ,  1.7378     ,  9.9        ,  0.0898627  ])
4       , -28165.7    , array([ 0.336131   ,  0.363931   ,  1.73954    ,  9.9        ,  0.0898627  ])
5       , -28179.7    , array([ 0.336131   ,  0.363931   ,  1.7378     ,  9.9099     ,  0.0898627  ])
6       , -28169.6    , array([ 0.336131   ,  0.363931   ,  1.7378     ,  9.9        ,  0.0899526  ])
7       , -28166.8    , array([ 0.336131   ,  0.363931   ,  1.7378     ,  9.9        ,  0.0898627  ])
8       , -6699.69    , array([ 0.572733   ,  0.178209   ,  1.80978    ,  6.22812    ,  0.0813728  ])
9       , -6699.69    , array([ 0.572733   ,  0.178209   ,  1.80978    ,  6.22812    ,  0.0813728  ])
10      , -6694.05    , array([ 0.573306   ,  0.178209   ,  1.80978    ,  6.22812    ,  0.0813728  ])
11      , -6710.79    , array([ 0.572733   ,  0.178387   ,  1.80978    ,  6.22812    ,  0.0813728  ])
12      , -6699.04    , array([ 0.572733   ,  0.178209   ,  1.81159    ,  6.22812    ,  0.0813728  ])
13      , -6704.78    , array([ 0.572733   ,  0.178209   ,  1.80978    ,  6.23435    ,  0.0813728  ])
14      , -6698.07    , array([ 0.572733   ,  0.178209   ,  1.80978    ,  6.22812    ,  0.0814542  ])
22      , -6696.56    , array([ 0.572685   ,  0.178156   ,  1.80981    ,  6.22844    ,  0.0813995  ])
23      , -6696.56    , array([ 0.572685   ,  0.178156   ,  1.80981    ,  6.22844    ,  0.0813995  ])
24      , -6690.92    , array([ 0.573257   ,  0.178156   ,  1.80981    ,  6.22844    ,  0.0813995  ])
25      , -6707.66    , array([ 0.572685   ,  0.178334   ,  1.80981    ,  6.22844    ,  0.0813995  ])
26      , -6695.91    , array([ 0.572685   ,  0.178156   ,  1.81162    ,  6.22844    ,  0.0813995  ])
27      , -6701.65    , array([ 0.572685   ,  0.178156   ,  1.80981    ,  6.23467    ,  0.0813995  ])
28      , -6694.95    , array([ 0.572685   ,  0.178156   ,  1.80981    ,  6.22844    ,  0.081481   ])
29      , -5049.71    , array([ 0.528151   ,  0.133864   ,  1.84438    ,  6.54723    ,  0.111246   ])
30      , -5049.71    , array([ 0.528151   ,  0.133864   ,  1.84438    ,  6.54723    ,  0.111246   ])
31      , -5042.53    , array([ 0.52868    ,  0.133864   ,  1.84438    ,  6.54723    ,  0.111246   ])
32      , -5054.76    , array([ 0.528151   ,  0.133998   ,  1.84438    ,  6.54723    ,  0.111246   ])
33      , -5048.01    , array([ 0.528151   ,  0.133864   ,  1.84623    ,  6.54723    ,  0.111246   ])
34      , -5051.65    , array([ 0.528151   ,  0.133864   ,  1.84438    ,  6.55378    ,  0.111246   ])
35      , -5050.7     , array([ 0.528151   ,  0.133864   ,  1.84438    ,  6.54723    ,  0.111357   ])
43      , -5049.69    , array([ 0.528153   ,  0.133864   ,  1.84438    ,  6.54725    ,  0.111246   ])
44      , -5049.69    , array([ 0.528153   ,  0.133864   ,  1.84438    ,  6.54725    ,  0.111246   ])
45      , -5042.52    , array([ 0.528681   ,  0.133864   ,  1.84438    ,  6.54725    ,  0.111246   ])
46      , -5054.74    , array([ 0.528153   ,  0.133998   ,  1.84438    ,  6.54725    ,  0.111246   ])
47      , -5048       , array([ 0.528153   ,  0.133864   ,  1.84623    ,  6.54725    ,  0.111246   ])
48      , -5051.63    , array([ 0.528153   ,  0.133864   ,  1.84438    ,  6.5538     ,  0.111246   ])
49      , -5050.68    , array([ 0.528153   ,  0.133864   ,  1.84438    ,  6.54725    ,  0.111358   ])
50      , -5049.45    , array([ 0.528169   ,  0.133862   ,  1.84443    ,  6.5475     ,  0.11125    ])
51      , -5049.45    , array([ 0.528169   ,  0.133862   ,  1.84443    ,  6.5475     ,  0.11125    ])
52      , -5042.27    , array([ 0.528698   ,  0.133862   ,  1.84443    ,  6.5475     ,  0.11125    ])
53      , -5054.5     , array([ 0.528169   ,  0.133996   ,  1.84443    ,  6.5475     ,  0.11125    ])
54      , -5047.75    , array([ 0.528169   ,  0.133862   ,  1.84627    ,  6.5475     ,  0.11125    ])
55      , -5051.39    , array([ 0.528169   ,  0.133862   ,  1.84443    ,  6.55405    ,  0.11125    ])
