62965   , -89918.3    , array([ 0.013883   ,  0.0836465  ,  1.13704e-15,  0.133075   ,  0.0107167  ])
62966   , -89845.6    , array([ 0.0138969  ,  0.0836465  ,  1.13704e-15,  0.133075   ,  0.0107167  ])
62967   , -89937      , array([ 0.013883   ,  0.0837302  ,  1.13704e-15,  0.133075   ,  0.0107167  ])
62968   , -89918.3    , array([ 0.013883   ,  0.0836465  ,  1.13818e-15,  0.133075   ,  0.0107167  ])
62969   , -89918.4    , array([ 0.013883   ,  0.0836465  ,  1.13704e-15,  0.133209   ,  0.0107167  ])
62970   , -89966      , array([ 0.013883   ,  0.0836465  ,  1.13704e-15,  0.133075   ,  0.0107274  ])
62971   , -89918.3    , array([ 0.013883   ,  0.0836465  ,  1.13704e-15,  0.133075   ,  0.0107167  ])
62972   , -33098      , array([ 0.0317012  ,  0.0676403  ,  1.13704e-15,  0.133012   ,  0.00623576 ])
62973   , -33098      , array([ 0.0317012  ,  0.0676403  ,  1.13704e-15,  0.133012   ,  0.00623576 ])
62974   , -33074.4    , array([ 0.0317329  ,  0.0676403  ,  1.13704e-15,  0.133012   ,  0.00623576 ])
62975   , -33114      , array([ 0.0317012  ,  0.067708   ,  1.13704e-15,  0.133012   ,  0.00623576 ])
62976   , -33098      , array([ 0.0317012  ,  0.0676403  ,  1.13818e-15,  0.133012   ,  0.00623576 ])
62977   , -33098      , array([ 0.0317012  ,  0.0676403  ,  1.13704e-15,  0.133145   ,  0.00623576 ])
62978   , -33104      , array([ 0.0317012  ,  0.0676403  ,  1.13704e-15,  0.133012   ,  0.006242   ])
62986   , -33076      , array([ 0.0317143  ,  0.0675746  ,  1.13704e-15,  0.133012   ,  0.0062392  ])
62987   , -33076      , array([ 0.0317143  ,  0.0675746  ,  1.13704e-15,  0.133012   ,  0.0062392  ])
62988   , -33052.4    , array([ 0.031746   ,  0.0675746  ,  1.13704e-15,  0.133012   ,  0.0062392  ])
62989   , -33092      , array([ 0.0317143  ,  0.0676422  ,  1.13704e-15,  0.133012   ,  0.0062392  ])
62990   , -33076      , array([ 0.0317143  ,  0.0675746  ,  1.13818e-15,  0.133012   ,  0.0062392  ])
62991   , -33076      , array([ 0.0317143  ,  0.0675746  ,  1.13704e-15,  0.133145   ,  0.0062392  ])
62992   , -33082.1    , array([ 0.0317143  ,  0.0675746  ,  1.13704e-15,  0.133012   ,  0.00624544 ])
62993   , -33054      , array([ 0.0317274  ,  0.0675089  ,  1.13704e-15,  0.133011   ,  0.00624264 ])
62994   , -33054      , array([ 0.0317274  ,  0.0675089  ,  1.13704e-15,  0.133011   ,  0.00624264 ])
62995   , -33030.4    , array([ 0.0317592  ,  0.0675089  ,  1.13704e-15,  0.133011   ,  0.00624264 ])
62996   , -33070      , array([ 0.0317274  ,  0.0675765  ,  1.13704e-15,  0.133011   ,  0.00624264 ])
62997   , -33054      , array([ 0.0317274  ,  0.0675089  ,  1.13818e-15,  0.133011   ,  0.00624264 ])
62998   , -33054.1    , array([ 0.0317274  ,  0.0675089  ,  1.13704e-15,  0.133145   ,  0.00624264 ])
62999   , -33060.1    , array([ 0.0317274  ,  0.0675089  ,  1.13704e-15,  0.133011   ,  0.00624889 ])
63000   , -165246     , array([ 0.0934911  ,  0.00532056 ,  1.13704e-15,  0.132602   ,  0.0263889  ])
63001   , -165246     , array([ 0.0934911  ,  0.00532056 ,  1.13704e-15,  0.132602   ,  0.0263889  ])
63002   , -165231     , array([ 0.0935846  ,  0.00532056 ,  1.13704e-15,  0.132602   ,  0.0263889  ])
63003   , -165097     , array([ 0.0934911  ,  0.00532588 ,  1.13704e-15,  0.132602   ,  0.0263889  ])
63004   , -165246     , array([ 0.0934911  ,  0.00532056 ,  1.13818e-15,  0.132602   ,  0.0263889  ])
63005   , -165238     , array([ 0.0934911  ,  0.00532056 ,  1.13704e-15,  0.132734   ,  0.0263889  ])
63006   , -165394     , array([ 0.0934911  ,  0.00532056 ,  1.13704e-15,  0.132602   ,  0.0264153  ])
63007   , -19962.4    , array([ 0.0420997  ,  0.034718   ,  1.13704e-15,  0.132904   ,  0.00910401 ])
63008   , -19962.4    , array([ 0.0420997  ,  0.034718   ,  1.13704e-15,  0.132904   ,  0.00910401 ])
63009   , -19938.4    , array([ 0.0421419  ,  0.034718   ,  1.13704e-15,  0.132904   ,  0.00910401 ])
63010   , -19971.5    , array([ 0.0420997  ,  0.0347527  ,  1.13704e-15,  0.132904   ,  0.00910401 ])
63011   , -19962.4    , array([ 0.0420997  ,  0.034718   ,  1.13818e-15,  0.132904   ,  0.00910401 ])
63012   , -19962.4    , array([ 0.0420997  ,  0.034718   ,  1.13704e-15,  0.133037   ,  0.00910401 ])
63013   , -19975.6    , array([ 0.0420997  ,  0.034718   ,  1.13704e-15,  0.132904   ,  0.00911312 ])
63021   , -19961.2    , array([ 0.042052   ,  0.0346738  ,  1.13704e-15,  0.132916   ,  0.00909257 ])
63022   , -19961.2    , array([ 0.042052   ,  0.0346738  ,  1.13704e-15,  0.132916   ,  0.00909257 ])
63023   , -19937.2    , array([ 0.0420941  ,  0.0346738  ,  1.13704e-15,  0.132916   ,  0.00909257 ])
63024   , -19970.4    , array([ 0.042052   ,  0.0347085  ,  1.13704e-15,  0.132916   ,  0.00909257 ])
63025   , -19961.2    , array([ 0.042052   ,  0.0346738  ,  1.13818e-15,  0.132916   ,  0.00909257 ])
63026   , -19961.2    , array([ 0.042052   ,  0.0346738  ,  1.13704e-15,  0.133049   ,  0.00909257 ])
63027   , -19974.5    , array([ 0.042052   ,  0.0346738  ,  1.13704e-15,  0.132916   ,  0.00910166 ])
63028   , -19960.1    , array([ 0.0420043  ,  0.0346296  ,  1.13704e-15,  0.132928   ,  0.00908113 ])
63029   , -19960.1    , array([ 0.0420043  ,  0.0346296  ,  1.13704e-15,  0.132928   ,  0.00908113 ])
63030   , -19936.1    , array([ 0.0420464  ,  0.0346296  ,  1.13704e-15,  0.132928   ,  0.00908113 ])
63031   , -19969.3    , array([ 0.0420043  ,  0.0346643  ,  1.13704e-15,  0.132928   ,  0.00908113 ])
63032   , -19960.1    , array([ 0.0420043  ,  0.0346296  ,  1.13818e-15,  0.132928   ,  0.00908113 ])
63033   , -19960.1    , array([ 0.0420043  ,  0.0346296  ,  1.13704e-15,  0.133061   ,  0.00908113 ])
