293205  , -30809.6    , array([ 9.26703    ,  0.00820921 ,  8.15463e-24,  3.702e-87  ,  0.000588783])
293206  , -30809.6    , array([ 9.27631    ,  0.00820921 ,  8.15463e-24,  3.702e-87  ,  0.000588783])
293207  , -30836.3    , array([ 9.26703    ,  0.00821742 ,  8.15463e-24,  3.702e-87  ,  0.000588783])
293208  , -30809.6    , array([ 9.26703    ,  0.00820921 ,  8.16279e-24,  3.702e-87  ,  0.000588783])
293209  , -30809.6    , array([ 9.26703    ,  0.00820921 ,  8.15463e-24,  3.70571e-87,  0.000588783])
293210  , -30782.8    , array([ 9.26703    ,  0.00820921 ,  8.15463e-24,  3.702e-87  ,  0.000589372])
293211  , -30809.6    , array([ 9.26703    ,  0.00820921 ,  8.15463e-24,  3.702e-87  ,  0.000588783])
293212  , -2919.26    , array([ 9.26344    ,  0.00402027 ,  8.15463e-24,  3.702e-87  ,  0.00120292 ])
293213  , -2919.26    , array([ 9.26344    ,  0.00402027 ,  8.15463e-24,  3.702e-87  ,  0.00120292 ])
293214  , -2919.26    , array([ 9.2727     ,  0.00402027 ,  8.15463e-24,  3.702e-87  ,  0.00120292 ])
293215  , -2923.73    , array([ 9.26344    ,  0.00402429 ,  8.15463e-24,  3.702e-87  ,  0.00120292 ])
293216  , -2919.26    , array([ 9.26344    ,  0.00402027 ,  8.16279e-24,  3.702e-87  ,  0.00120292 ])
293217  , -2919.26    , array([ 9.26344    ,  0.00402027 ,  8.15463e-24,  3.70571e-87,  0.00120292 ])
293218  , -2914.73    , array([ 9.26344    ,  0.00402027 ,  8.15463e-24,  3.702e-87  ,  0.00120412 ])
293226  , -2919.23    , array([ 9.26335    ,  0.00402122 ,  8.15463e-24,  3.702e-87  ,  0.00120321 ])
293227  , -2919.23    , array([ 9.26335    ,  0.00402122 ,  8.15463e-24,  3.702e-87  ,  0.00120321 ])
293228  , -2919.23    , array([ 9.27262    ,  0.00402122 ,  8.15463e-24,  3.702e-87  ,  0.00120321 ])
293229  , -2923.69    , array([ 9.26335    ,  0.00402524 ,  8.15463e-24,  3.702e-87  ,  0.00120321 ])
293230  , -2919.23    , array([ 9.26335    ,  0.00402122 ,  8.16279e-24,  3.702e-87  ,  0.00120321 ])
293231  , -2919.23    , array([ 9.26335    ,  0.00402122 ,  8.15463e-24,  3.70571e-87,  0.00120321 ])
293232  , -2914.7     , array([ 9.26335    ,  0.00402122 ,  8.15463e-24,  3.702e-87  ,  0.00120441 ])
293233  , -2919.19    , array([ 9.26326    ,  0.00402217 ,  8.15463e-24,  3.702e-87  ,  0.00120349 ])
293234  , -2919.19    , array([ 9.26326    ,  0.00402217 ,  8.15463e-24,  3.702e-87  ,  0.00120349 ])
293235  , -2919.2     , array([ 9.27253    ,  0.00402217 ,  8.15463e-24,  3.702e-87  ,  0.00120349 ])
293236  , -2923.66    , array([ 9.26326    ,  0.00402619 ,  8.15463e-24,  3.702e-87  ,  0.00120349 ])
293237  , -2919.19    , array([ 9.26326    ,  0.00402217 ,  8.16279e-24,  3.702e-87  ,  0.00120349 ])
293238  , -2919.19    , array([ 9.26326    ,  0.00402217 ,  8.15463e-24,  3.70571e-87,  0.00120349 ])
293239  , -2914.66    , array([ 9.26326    ,  0.00402217 ,  8.15463e-24,  3.702e-87  ,  0.0012047  ])
293247  , -2919.19    , array([ 9.26324    ,  0.0040224  ,  8.15463e-24,  3.702e-87  ,  0.00120356 ])
293248  , -2919.19    , array([ 9.26324    ,  0.0040224  ,  8.15463e-24,  3.702e-87  ,  0.00120356 ])
293249  , -2919.19    , array([ 9.2725     ,  0.0040224  ,  8.15463e-24,  3.702e-87  ,  0.00120356 ])
293250  , -2923.65    , array([ 9.26324    ,  0.00402643 ,  8.15463e-24,  3.702e-87  ,  0.00120356 ])
293251  , -2919.19    , array([ 9.26324    ,  0.0040224  ,  8.16279e-24,  3.702e-87  ,  0.00120356 ])
293252  , -2919.19    , array([ 9.26324    ,  0.0040224  ,  8.15463e-24,  3.70571e-87,  0.00120356 ])
293253  , -2914.65    , array([ 9.26324    ,  0.0040224  ,  8.15463e-24,  3.702e-87  ,  0.00120477 ])
293254  , -2919.18    , array([ 9.26321    ,  0.00402264 ,  8.15463e-24,  3.702e-87  ,  0.00120364 ])
293255  , -2919.18    , array([ 9.26321    ,  0.00402264 ,  8.15463e-24,  3.702e-87  ,  0.00120364 ])
293256  , -2919.18    , array([ 9.27248    ,  0.00402264 ,  8.15463e-24,  3.702e-87  ,  0.00120364 ])
293257  , -2923.64    , array([ 9.26321    ,  0.00402667 ,  8.15463e-24,  3.702e-87  ,  0.00120364 ])
293258  , -2919.18    , array([ 9.26321    ,  0.00402264 ,  8.16279e-24,  3.702e-87  ,  0.00120364 ])
293259  , -2919.18    , array([ 9.26321    ,  0.00402264 ,  8.15463e-24,  3.70571e-87,  0.00120364 ])
293260  , -2914.65    , array([ 9.26321    ,  0.00402264 ,  8.15463e-24,  3.702e-87  ,  0.00120484 ])
293268  , -2919.17    , array([ 9.26321    ,  0.0040227  ,  8.15463e-24,  3.702e-87  ,  0.00120365 ])
293269  , -2919.17    , array([ 9.26321    ,  0.0040227  ,  8.15463e-24,  3.702e-87  ,  0.00120365 ])
293270  , -2919.18    , array([ 9.27248    ,  0.0040227  ,  8.15463e-24,  3.702e-87  ,  0.00120365 ])
293271  , -2923.64    , array([ 9.26321    ,  0.00402673 ,  8.15463e-24,  3.702e-87  ,  0.00120365 ])
293272  , -2919.17    , array([ 9.26321    ,  0.0040227  ,  8.16279e-24,  3.702e-87  ,  0.00120365 ])
293273  , -2919.17    , array([ 9.26321    ,  0.0040227  ,  8.15463e-24,  3.70571e-87,  0.00120365 ])
293274  , -2914.64    , array([ 9.26321    ,  0.0040227  ,  8.15463e-24,  3.702e-87  ,  0.00120486 ])
293275  , -2919.17    , array([ 9.2632     ,  0.00402276 ,  8.15463e-24,  3.702e-87  ,  0.00120367 ])
293276  , -2919.17    , array([ 9.2632     ,  0.00402276 ,  8.15463e-24,  3.702e-87  ,  0.00120367 ])
293277  , -2919.18    , array([ 9.27247    ,  0.00402276 ,  8.15463e-24,  3.702e-87  ,  0.00120367 ])
293278  , -2923.64    , array([ 9.2632     ,  0.00402679 ,  8.15463e-24,  3.702e-87  ,  0.00120367 ])
293279  , -2919.17    , array([ 9.2632     ,  0.00402276 ,  8.16279e-24,  3.702e-87  ,  0.00120367 ])
293280  , -2919.17    , array([ 9.2632     ,  0.00402276 ,  8.15463e-24,  3.70571e-87,  0.00120367 ])
293281  , -2914.64    , array([ 9.2632     ,  0.00402276 ,  8.15463e-24,  3.702e-87  ,  0.00120488 ])
293282  , -6668.81    , array([ 7.72112    ,  0.365499   ,  8.15463e-24,  3.702e-87  ,  0.114381   ])
293283  , -6668.81    , array([ 7.72112    ,  0.365499   ,  8.15463e-24,  3.702e-87  ,  0.114381   ])
293284  , -6670       , array([ 7.72884    ,  0.365499   ,  8.15463e-24,  3.702e-87  ,  0.114381   ])
293285  , -6674.78    , array([ 7.72112    ,  0.365865   ,  8.15463e-24,  3.702e-87  ,  0.114381   ])
293286  , -6668.81    , array([ 7.72112    ,  0.365499   ,  8.16279e-24,  3.702e-87  ,  0.114381   ])
293287  , -6668.81    , array([ 7.72112    ,  0.365499   ,  8.15463e-24,  3.70571e-87,  0.114381   ])
293288  , -6670       , array([ 7.72112    ,  0.365499   ,  8.15463e-24,  3.702e-87  ,  0.114496   ])
293289  , -2612.55    , array([ 8.75503    ,  0.0162678  ,  8.15463e-24,  3.702e-87  ,  0.00493573 ])
293290  , -2612.55    , array([ 8.75503    ,  0.0162678  ,  8.15463e-24,  3.702e-87  ,  0.00493573 ])
293291  , -2612.57    , array([ 8.76379    ,  0.0162678  ,  8.15463e-24,  3.702e-87  ,  0.00493573 ])
293292  , -2616.93    , array([ 8.75503    ,  0.0162841  ,  8.15463e-24,  3.702e-87  ,  0.00493573 ])
293293  , -2612.55    , array([ 8.75503    ,  0.0162678  ,  8.16279e-24,  3.702e-87  ,  0.00493573 ])
293294  , -2612.55    , array([ 8.75503    ,  0.0162678  ,  8.15463e-24,  3.70571e-87,  0.00493573 ])
293295  , -2607.93    , array([ 8.75503    ,  0.0162678  ,  8.15463e-24,  3.702e-87  ,  0.00494067 ])
293296  , -2230.08    , array([ 8.2579     ,  0.0691896  ,  8.15463e-24,  3.702e-87  ,  0.0212969  ])
293297  , -2230.08    , array([ 8.2579     ,  0.0691896  ,  8.15463e-24,  3.702e-87  ,  0.0212969  ])
293298  , -2230.18    , array([ 8.26616    ,  0.0691896  ,  8.15463e-24,  3.702e-87  ,  0.0212969  ])
293299  , -2234.93    , array([ 8.2579     ,  0.0692588  ,  8.15463e-24,  3.702e-87  ,  0.0212969  ])
293300  , -2230.08    , array([ 8.2579     ,  0.0691896  ,  8.16279e-24,  3.702e-87  ,  0.0212969  ])
293301  , -2230.08    , array([ 8.2579     ,  0.0691896  ,  8.15463e-24,  3.70571e-87,  0.0212969  ])
293302  , -2225.39    , array([ 8.2579     ,  0.0691896  ,  8.15463e-24,  3.702e-87  ,  0.0213182  ])
293303  , -2276.59    , array([ 8.40226    ,  0.0450463  ,  8.15463e-24,  3.702e-87  ,  0.0138064  ])
293304  , -2276.59    , array([ 8.40226    ,  0.0450463  ,  8.15463e-24,  3.702e-87  ,  0.0138064  ])
293305  , -2276.64    , array([ 8.41066    ,  0.0450463  ,  8.15463e-24,  3.702e-87  ,  0.0138064  ])
293306  , -2281.23    , array([ 8.40226    ,  0.0450913  ,  8.15463e-24,  3.702e-87  ,  0.0138064  ])
293307  , -2276.59    , array([ 8.40226    ,  0.0450463  ,  8.16279e-24,  3.702e-87  ,  0.0138064  ])
293308  , -2276.59    , array([ 8.40226    ,  0.0450463  ,  8.15463e-24,  3.70571e-87,  0.0138064  ])
293309  , -2271.77    , array([ 8.40226    ,  0.0450463  ,  8.15463e-24,  3.702e-87  ,  0.0138202  ])
293310  , -2226.58    , array([ 8.28567    ,  0.0636702  ,  8.15463e-24,  3.702e-87  ,  0.0195818  ])
293311  , -2226.58    , array([ 8.28567    ,  0.0636702  ,  8.15463e-24,  3.702e-87  ,  0.0195818  ])
293312  , -2226.66    , array([ 8.29396    ,  0.0636702  ,  8.15463e-24,  3.702e-87  ,  0.0195818  ])
293313  , -2231.39    , array([ 8.28567    ,  0.0637339  ,  8.15463e-24,  3.702e-87  ,  0.0195818  ])
293314  , -2226.58    , array([ 8.28567    ,  0.0636702  ,  8.16279e-24,  3.702e-87  ,  0.0195818  ])
293315  , -2226.58    , array([ 8.28567    ,  0.0636702  ,  8.15463e-24,  3.70571e-87,  0.0195818  ])
293316  , -2221.84    , array([ 8.28567    ,  0.0636702  ,  8.15463e-24,  3.702e-87  ,  0.0196014  ])
293324  , -2226.57    , array([ 8.28539    ,  0.0636715  ,  8.15463e-24,  3.702e-87  ,  0.0195822  ])
293325  , -2226.57    , array([ 8.28539    ,  0.0636715  ,  8.15463e-24,  3.702e-87  ,  0.0195822  ])
293326  , -2226.66    , array([ 8.29368    ,  0.0636715  ,  8.15463e-24,  3.702e-87  ,  0.0195822  ])
293327  , -2231.38    , array([ 8.28539    ,  0.0637352  ,  8.15463e-24,  3.702e-87  ,  0.0195822  ])
293328  , -2226.57    , array([ 8.28539    ,  0.0636715  ,  8.16279e-24,  3.702e-87  ,  0.0195822  ])
293329  , -2226.57    , array([ 8.28539    ,  0.0636715  ,  8.15463e-24,  3.70571e-87,  0.0195822  ])
293330  , -2221.84    , array([ 8.28539    ,  0.0636715  ,  8.15463e-24,  3.702e-87  ,  0.0196018  ])
293331  , -2226.57    , array([ 8.28524    ,  0.0636722  ,  8.15463e-24,  3.702e-87  ,  0.0195825  ])
293332  , -2226.57    , array([ 8.28524    ,  0.0636722  ,  8.15463e-24,  3.702e-87  ,  0.0195825  ])
293333  , -2226.66    , array([ 8.29353    ,  0.0636722  ,  8.15463e-24,  3.702e-87  ,  0.0195825  ])
293334  , -2231.38    , array([ 8.28524    ,  0.0637359  ,  8.15463e-24,  3.702e-87  ,  0.0195825  ])
293335  , -2226.57    , array([ 8.28524    ,  0.0636722  ,  8.16279e-24,  3.702e-87  ,  0.0195825  ])
293336  , -2226.57    , array([ 8.28524    ,  0.0636722  ,  8.15463e-24,  3.70571e-87,  0.0195825  ])
293337  , -2221.84    , array([ 8.28524    ,  0.0636722  ,  8.15463e-24,  3.702e-87  ,  0.0196021  ])
293338  , -2.38109e+06, array([ 0.00677805 ,  4.9863     ,  8.15463e-24,  3.702e-87  ,  1.6709     ])
293339  , -2.38109e+06, array([ 0.00677805 ,  4.9863     ,  8.15463e-24,  3.702e-87  ,  1.6709     ])
293340  , -2.38102e+06, array([ 0.00678483 ,  4.9863     ,  8.15463e-24,  3.702e-87  ,  1.6709     ])
293341  , -2.38112e+06, array([ 0.00677805 ,  4.99129    ,  8.15463e-24,  3.702e-87  ,  1.6709     ])
293342  , -2.38105e+06, array([ 0.00677805 ,  4.9863     ,  8.16279e-24,  3.702e-87  ,  1.6709     ])
293343  , -2.38109e+06, array([ 0.00677805 ,  4.9863     ,  8.15463e-24,  3.70571e-87,  1.6709     ])
293344  , -2.38109e+06, array([ 0.00677805 ,  4.9863     ,  8.15463e-24,  3.702e-87  ,  1.67258    ])
293345  , -2226.53    , array([ 8.28204    ,  0.0636873  ,  8.15463e-24,  3.702e-87  ,  0.0195872  ])
293346  , -2226.53    , array([ 8.28204    ,  0.0636873  ,  8.15463e-24,  3.702e-87  ,  0.0195872  ])
293347  , -2226.61    , array([ 8.29033    ,  0.0636873  ,  8.15463e-24,  3.702e-87  ,  0.0195872  ])
293348  , -2231.34    , array([ 8.28204    ,  0.063751   ,  8.15463e-24,  3.702e-87  ,  0.0195872  ])
293349  , -2226.53    , array([ 8.28204    ,  0.0636873  ,  8.16279e-24,  3.702e-87  ,  0.0195872  ])
293350  , -2226.53    , array([ 8.28204    ,  0.0636873  ,  8.15463e-24,  3.70571e-87,  0.0195872  ])
293351  , -2221.79    , array([ 8.28204    ,  0.0636873  ,  8.15463e-24,  3.702e-87  ,  0.0196068  ])
293352  , -2226.5     , array([ 8.28021    ,  0.0636959  ,  8.15463e-24,  3.702e-87  ,  0.0195899  ])
293353  , -2226.5     , array([ 8.28021    ,  0.0636959  ,  8.15463e-24,  3.702e-87  ,  0.0195899  ])
293354  , -2226.59    , array([ 8.28849    ,  0.0636959  ,  8.15463e-24,  3.702e-87  ,  0.0195899  ])
293355  , -2231.31    , array([ 8.28021    ,  0.0637597  ,  8.15463e-24,  3.702e-87  ,  0.0195899  ])
