293035  , -11769.4    , array([ 1.11767    ,  0.0943816  ,  2.66889e-36,  2.04388e-39,  0.072426   ])
293036  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293037  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293038  , -3716.74    , array([ 1.22379    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293039  , -3707.92    , array([ 1.22257    ,  0.0989241  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293040  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.67156e-36,  2.04388e-39,  0.0493077  ])
293041  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04593e-39,  0.0493077  ])
293042  , -3728.81    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.049357   ])
293043  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293044  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293045  , -1741.07    , array([ 1.24019    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293046  , -1740.93    , array([ 1.23895    ,  0.0920645  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293047  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.67156e-36,  2.04388e-39,  0.0336166  ])
293048  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04593e-39,  0.0336166  ])
293049  , -1742.49    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336502  ])
293050  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293051  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293052  , -1685.1     , array([ 1.20963    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293053  , -1685.74    , array([ 1.20842    ,  0.0841458  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293054  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.67156e-36,  2.04388e-39,  0.029756   ])
293055  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04593e-39,  0.029756   ])
293056  , -1685.36    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.0297858  ])
293057  , -1659.02    , array([ 1.18353    ,  0.0751946  ,  2.66889e-36,  2.04388e-39,  0.0264293  ])
293058  , -1659.02    , array([ 1.18353    ,  0.0751946  ,  2.66889e-36,  2.04388e-39,  0.0264293  ])
293059  , -1658.84    , array([ 1.18472    ,  0.0751946  ,  2.66889e-36,  2.04388e-39,  0.0264293  ])
293060  , -1659.55    , array([ 1.18353    ,  0.0752699  ,  2.66889e-36,  2.04388e-39,  0.0264293  ])
293061  , -1659.02    , array([ 1.18353    ,  0.0751946  ,  2.67156e-36,  2.04388e-39,  0.0264293  ])
293062  , -1659.02    , array([ 1.18353    ,  0.0751946  ,  2.66889e-36,  2.04593e-39,  0.0264293  ])
293063  , -1658.7     , array([ 1.18353    ,  0.0751946  ,  2.66889e-36,  2.04388e-39,  0.0264557  ])
293064  , -1645.83    , array([ 1.18474    ,  0.0680177  ,  2.66889e-36,  2.04388e-39,  0.0240675  ])
293065  , -1645.83    , array([ 1.18474    ,  0.0680177  ,  2.66889e-36,  2.04388e-39,  0.0240675  ])
293066  , -1645.7     , array([ 1.18592    ,  0.0680177  ,  2.66889e-36,  2.04388e-39,  0.0240675  ])
293067  , -1646.12    , array([ 1.18474    ,  0.0680858  ,  2.66889e-36,  2.04388e-39,  0.0240675  ])
293068  , -1645.83    , array([ 1.18474    ,  0.0680177  ,  2.67156e-36,  2.04388e-39,  0.0240675  ])
293069  , -1645.83    , array([ 1.18474    ,  0.0680177  ,  2.66889e-36,  2.04593e-39,  0.0240675  ])
293070  , -1645.61    , array([ 1.18474    ,  0.0680177  ,  2.66889e-36,  2.04388e-39,  0.0240916  ])
293071  , -1641.46    , array([ 1.21701    ,  0.0651966  ,  2.66889e-36,  2.04388e-39,  0.0232381  ])
293072  , -1641.46    , array([ 1.21701    ,  0.0651966  ,  2.66889e-36,  2.04388e-39,  0.0232381  ])
293073  , -1641.36    , array([ 1.21823    ,  0.0651966  ,  2.66889e-36,  2.04388e-39,  0.0232381  ])
293074  , -1641.51    , array([ 1.21701    ,  0.0652618  ,  2.66889e-36,  2.04388e-39,  0.0232381  ])
293075  , -1641.46    , array([ 1.21701    ,  0.0651966  ,  2.67156e-36,  2.04388e-39,  0.0232381  ])
293076  , -1641.46    , array([ 1.21701    ,  0.0651966  ,  2.66889e-36,  2.04593e-39,  0.0232381  ])
293077  , -1641.4     , array([ 1.21701    ,  0.0651966  ,  2.66889e-36,  2.04388e-39,  0.0232614  ])
293078  , -1638.09    , array([ 1.27587    ,  0.0645645  ,  2.66889e-36,  2.04388e-39,  0.0231236  ])
293079  , -1638.09    , array([ 1.27587    ,  0.0645645  ,  2.66889e-36,  2.04388e-39,  0.0231236  ])
293080  , -1638.03    , array([ 1.27715    ,  0.0645645  ,  2.66889e-36,  2.04388e-39,  0.0231236  ])
293081  , -1638.02    , array([ 1.27587    ,  0.0646291  ,  2.66889e-36,  2.04388e-39,  0.0231236  ])
293082  , -1638.09    , array([ 1.27587    ,  0.0645645  ,  2.67156e-36,  2.04388e-39,  0.0231236  ])
293083  , -1638.09    , array([ 1.27587    ,  0.0645645  ,  2.66889e-36,  2.04593e-39,  0.0231236  ])
293084  , -1638.14    , array([ 1.27587    ,  0.0645645  ,  2.66889e-36,  2.04388e-39,  0.0231467  ])
293085  , -1634.38    , array([ 1.37357    ,  0.0656214  ,  2.66889e-36,  2.04388e-39,  0.0235629  ])
293086  , -1634.38    , array([ 1.37357    ,  0.0656214  ,  2.66889e-36,  2.04388e-39,  0.0235629  ])
293087  , -1634.36    , array([ 1.37495    ,  0.0656214  ,  2.66889e-36,  2.04388e-39,  0.0235629  ])
293088  , -1634.26    , array([ 1.37357    ,  0.0656871  ,  2.66889e-36,  2.04388e-39,  0.0235629  ])
293089  , -1634.38    , array([ 1.37357    ,  0.0656214  ,  2.67156e-36,  2.04388e-39,  0.0235629  ])
293090  , -1634.38    , array([ 1.37357    ,  0.0656214  ,  2.66889e-36,  2.04593e-39,  0.0235629  ])
293091  , -1634.47    , array([ 1.37357    ,  0.0656214  ,  2.66889e-36,  2.04388e-39,  0.0235865  ])
293092  , -1632.81    , array([ 1.43328    ,  0.0671301  ,  2.66889e-36,  2.04388e-39,  0.0240764  ])
293093  , -1632.81    , array([ 1.43328    ,  0.0671301  ,  2.66889e-36,  2.04388e-39,  0.0240764  ])
293094  , -1632.81    , array([ 1.43472    ,  0.0671301  ,  2.66889e-36,  2.04388e-39,  0.0240764  ])
293095  , -1632.76    , array([ 1.43328    ,  0.0671972  ,  2.66889e-36,  2.04388e-39,  0.0240764  ])
293096  , -1632.81    , array([ 1.43328    ,  0.0671301  ,  2.67156e-36,  2.04388e-39,  0.0240764  ])
293097  , -1632.81    , array([ 1.43328    ,  0.0671301  ,  2.66889e-36,  2.04593e-39,  0.0240764  ])
293098  , -1632.85    , array([ 1.43328    ,  0.0671301  ,  2.66889e-36,  2.04388e-39,  0.0241005  ])
293099  , -1632.57    , array([ 1.43954    ,  0.0675784  ,  2.66889e-36,  2.04388e-39,  0.0242088  ])
293100  , -1632.57    , array([ 1.43954    ,  0.0675784  ,  2.66889e-36,  2.04388e-39,  0.0242088  ])
