207018  , -78641.2    , array([ 0.670038   ,  25.7596    ,  0.304714   ,  2.54082e-26,  0.00035971 ])
207019  , -78641.6    , array([ 0.670709   ,  25.7596    ,  0.304714   ,  2.54082e-26,  0.00035971 ])
207020  , -78641.2    , array([ 0.670038   ,  25.7854    ,  0.304714   ,  2.54082e-26,  0.00035971 ])
207021  , -78641.2    , array([ 0.670038   ,  25.7596    ,  0.305019   ,  2.54082e-26,  0.00035971 ])
207022  , -78641.2    , array([ 0.670038   ,  25.7596    ,  0.304714   ,  2.54336e-26,  0.00035971 ])
207023  , -78640.7    , array([ 0.670038   ,  25.7596    ,  0.304714   ,  2.54082e-26,  0.00036007 ])
207024  , -78641.2    , array([ 0.670038   ,  25.7596    ,  0.304714   ,  2.54082e-26,  0.00035971 ])
207025  , -77309.2    , array([ 0.334492   ,  25.0798    ,  0.304852   ,  2.54082e-26,  0.000748392])
207026  , -77309.2    , array([ 0.334492   ,  25.0798    ,  0.304852   ,  2.54082e-26,  0.000748392])
207027  , -77310.9    , array([ 0.334826   ,  25.0798    ,  0.304852   ,  2.54082e-26,  0.000748392])
207028  , -77309.3    , array([ 0.334492   ,  25.1049    ,  0.304852   ,  2.54082e-26,  0.000748392])
207029  , -77309.2    , array([ 0.334492   ,  25.0798    ,  0.305157   ,  2.54082e-26,  0.000748392])
207030  , -77309.2    , array([ 0.334492   ,  25.0798    ,  0.304852   ,  2.54336e-26,  0.000748392])
207031  , -77307.5    , array([ 0.334492   ,  25.0798    ,  0.304852   ,  2.54082e-26,  0.000749141])
207032  , -107708     , array([ 0.0207744  ,  22.5351    ,  0.305402   ,  2.54082e-26,  0.0140228  ])
207033  , -107708     , array([ 0.0207744  ,  22.5351    ,  0.305402   ,  2.54082e-26,  0.0140228  ])
207034  , -107642     , array([ 0.0207952  ,  22.5351    ,  0.305402   ,  2.54082e-26,  0.0140228  ])
207035  , -107708     , array([ 0.0207744  ,  22.5577    ,  0.305402   ,  2.54082e-26,  0.0140228  ])
207036  , -107707     , array([ 0.0207744  ,  22.5351    ,  0.305707   ,  2.54082e-26,  0.0140228  ])
207037  , -107708     , array([ 0.0207744  ,  22.5351    ,  0.305402   ,  2.54336e-26,  0.0140228  ])
207038  , -107762     , array([ 0.0207744  ,  22.5351    ,  0.305402   ,  2.54082e-26,  0.0140369  ])
207039  , -68192.9    , array([ 0.12476    ,  24.1454    ,  0.305047   ,  2.54082e-26,  0.00211743 ])
207040  , -68192.9    , array([ 0.12476    ,  24.1454    ,  0.305047   ,  2.54082e-26,  0.00211743 ])
207041  , -68201.2    , array([ 0.124885   ,  24.1454    ,  0.305047   ,  2.54082e-26,  0.00211743 ])
207042  , -68193      , array([ 0.12476    ,  24.1695    ,  0.305047   ,  2.54082e-26,  0.00211743 ])
207043  , -68192.9    , array([ 0.12476    ,  24.1454    ,  0.305352   ,  2.54082e-26,  0.00211743 ])
207044  , -68192.9    , array([ 0.12476    ,  24.1454    ,  0.305047   ,  2.54336e-26,  0.00211743 ])
207045  , -68184.3    , array([ 0.12476    ,  24.1454    ,  0.305047   ,  2.54082e-26,  0.00211955 ])
207046  , -53575.4    , array([ 0.0556881  ,  23.4071    ,  0.305207   ,  2.54082e-26,  0.0049572  ])
207047  , -53575.4    , array([ 0.0556881  ,  23.4071    ,  0.305207   ,  2.54082e-26,  0.0049572  ])
207048  , -53577.6    , array([ 0.0557438  ,  23.4071    ,  0.305207   ,  2.54082e-26,  0.0049572  ])
