309473  , -35161      , array([ 0.24785    ,  0.350333   ,  0.357947   ,  3.88447e-42,  0.135924   ])
309474  , -11600.9    , array([ 0.45463    ,  0.302316   ,  0.366354   ,  3.88447e-42,  0.0872314  ])
309475  , -11600.9    , array([ 0.45463    ,  0.302316   ,  0.366354   ,  3.88447e-42,  0.0872314  ])
309476  , -11586.6    , array([ 0.455085   ,  0.302316   ,  0.366354   ,  3.88447e-42,  0.0872314  ])
309477  , -11607.4    , array([ 0.45463    ,  0.302619   ,  0.366354   ,  3.88447e-42,  0.0872314  ])
309478  , -11600.1    , array([ 0.45463    ,  0.302316   ,  0.36672    ,  3.88447e-42,  0.0872314  ])
309479  , -11600.9    , array([ 0.45463    ,  0.302316   ,  0.366354   ,  3.88836e-42,  0.0872314  ])
309480  , -11608.1    , array([ 0.45463    ,  0.302316   ,  0.366354   ,  3.88447e-42,  0.0873187  ])
309488  , -11596.7    , array([ 0.454799   ,  0.302219   ,  0.36645    ,  3.88447e-42,  0.0872731  ])
309489  , -11596.7    , array([ 0.454799   ,  0.302219   ,  0.36645    ,  3.88447e-42,  0.0872731  ])
309490  , -11582.3    , array([ 0.455254   ,  0.302219   ,  0.36645    ,  3.88447e-42,  0.0872731  ])
309491  , -11603.2    , array([ 0.454799   ,  0.302521   ,  0.36645    ,  3.88447e-42,  0.0872731  ])
309492  , -11595.9    , array([ 0.454799   ,  0.302219   ,  0.366817   ,  3.88447e-42,  0.0872731  ])
309493  , -11596.7    , array([ 0.454799   ,  0.302219   ,  0.36645    ,  3.88836e-42,  0.0872731  ])
309494  , -11603.9    , array([ 0.454799   ,  0.302219   ,  0.36645    ,  3.88447e-42,  0.0873605  ])
309495  , -11558.8    , array([ 0.456342   ,  0.301337   ,  0.36733    ,  3.88447e-42,  0.0876533  ])
309496  , -11558.8    , array([ 0.456342   ,  0.301337   ,  0.36733    ,  3.88447e-42,  0.0876533  ])
309497  , -11544.5    , array([ 0.456799   ,  0.301337   ,  0.36733    ,  3.88447e-42,  0.0876533  ])
309498  , -11565.2    , array([ 0.456342   ,  0.301639   ,  0.36733    ,  3.88447e-42,  0.0876533  ])
309499  , -11558      , array([ 0.456342   ,  0.301337   ,  0.367697   ,  3.88447e-42,  0.0876533  ])
309500  , -11558.8    , array([ 0.456342   ,  0.301337   ,  0.36733    ,  3.88836e-42,  0.0876533  ])
309501  , -11566.1    , array([ 0.456342   ,  0.301337   ,  0.36733    ,  3.88447e-42,  0.087741   ])
309502  , -255769     , array([ 4.20514    ,  0.0443681  ,  1.76875    ,  3.88447e-42,  1.51545    ])
309503  , -255769     , array([ 4.20514    ,  0.0443681  ,  1.76875    ,  3.88447e-42,  1.51545    ])
309504  , -255816     , array([ 4.20934    ,  0.0443681  ,  1.76875    ,  3.88447e-42,  1.51545    ])
309505  , -255620     , array([ 4.20514    ,  0.0444125  ,  1.76875    ,  3.88447e-42,  1.51545    ])
309506  , -255669     , array([ 4.20514    ,  0.0443681  ,  1.77052    ,  3.88447e-42,  1.51545    ])
309507  , -255769     , array([ 4.20514    ,  0.0443681  ,  1.76875    ,  3.88836e-42,  1.51545    ])
309508  , -255768     , array([ 4.20514    ,  0.0443681  ,  1.76875    ,  3.88447e-42,  1.51697    ])
309509  , -11105.3    , array([ 0.479748   ,  0.288612   ,  0.380566   ,  3.88447e-42,  0.0934642  ])
309510  , -11105.3    , array([ 0.479748   ,  0.288612   ,  0.380566   ,  3.88447e-42,  0.0934642  ])
309511  , -11091.2    , array([ 0.480228   ,  0.288612   ,  0.380566   ,  3.88447e-42,  0.0934642  ])
309512  , -11109.8    , array([ 0.479748   ,  0.288901   ,  0.380566   ,  3.88447e-42,  0.0934642  ])
309513  , -11104.3    , array([ 0.479748   ,  0.288612   ,  0.380947   ,  3.88447e-42,  0.0934642  ])
309514  , -11105.3    , array([ 0.479748   ,  0.288612   ,  0.380566   ,  3.88836e-42,  0.0934642  ])
309515  , -11114.3    , array([ 0.479748   ,  0.288612   ,  0.380566   ,  3.88447e-42,  0.0935577  ])
309516  , -10463.5    , array([ 0.294123   ,  0.160286   ,  1.34377    ,  3.88447e-42,  0.0598102  ])
309517  , -10463.5    , array([ 0.294123   ,  0.160286   ,  1.34377    ,  3.88447e-42,  0.0598102  ])
309518  , -10448.6    , array([ 0.294417   ,  0.160286   ,  1.34377    ,  3.88447e-42,  0.0598102  ])
309519  , -10465.8    , array([ 0.294123   ,  0.160446   ,  1.34377    ,  3.88447e-42,  0.0598102  ])
309520  , -10461.6    , array([ 0.294123   ,  0.160286   ,  1.34511    ,  3.88447e-42,  0.0598102  ])
309521  , -10463.5    , array([ 0.294123   ,  0.160286   ,  1.34377    ,  3.88836e-42,  0.0598102  ])
309522  , -10472.6    , array([ 0.294123   ,  0.160286   ,  1.34377    ,  3.88447e-42,  0.0598701  ])
309523  , -9216.84    , array([ 0.277623   ,  0.135453   ,  1.93629    ,  3.88447e-42,  0.0531628  ])
309524  , -9216.84    , array([ 0.277623   ,  0.135453   ,  1.93629    ,  3.88447e-42,  0.0531628  ])
309525  , -9203.29    , array([ 0.2779     ,  0.135453   ,  1.93629    ,  3.88447e-42,  0.0531628  ])
309526  , -9218.04    , array([ 0.277623   ,  0.135589   ,  1.93629    ,  3.88447e-42,  0.0531628  ])
309527  , -9214.65    , array([ 0.277623   ,  0.135453   ,  1.93823    ,  3.88447e-42,  0.0531628  ])
309528  , -9216.84    , array([ 0.277623   ,  0.135453   ,  1.93629    ,  3.88836e-42,  0.0531628  ])
309529  , -9225.21    , array([ 0.277623   ,  0.135453   ,  1.93629    ,  3.88447e-42,  0.053216   ])
309530  , -5264.74    , array([ 0.220375   ,  0.0690829  ,  8.34753    ,  3.88447e-42,  0.0331847  ])
309531  , -5264.74    , array([ 0.220375   ,  0.0690829  ,  8.34753    ,  3.88447e-42,  0.0331847  ])
309532  , -5257.19    , array([ 0.220595   ,  0.0690829  ,  8.34753    ,  3.88447e-42,  0.0331847  ])
309533  , -5261.57    , array([ 0.220375   ,  0.0691521  ,  8.34753    ,  3.88447e-42,  0.0331847  ])
309534  , -5262.07    , array([ 0.220375   ,  0.0690829  ,  8.35588    ,  3.88447e-42,  0.0331847  ])
309535  , -5264.74    , array([ 0.220375   ,  0.0690829  ,  8.34753    ,  3.88836e-42,  0.0331847  ])
309536  , -5270.74    , array([ 0.220375   ,  0.0690829  ,  8.34753    ,  3.88447e-42,  0.0332179  ])
309544  , -5264.55    , array([ 0.220366   ,  0.0690789  ,  8.34877    ,  3.88447e-42,  0.0331832  ])
309545  , -5264.55    , array([ 0.220366   ,  0.0690789  ,  8.34877    ,  3.88447e-42,  0.0331832  ])
309546  , -5257       , array([ 0.220587   ,  0.0690789  ,  8.34877    ,  3.88447e-42,  0.0331832  ])
309547  , -5261.38    , array([ 0.220366   ,  0.069148   ,  8.34877    ,  3.88447e-42,  0.0331832  ])
309548  , -5261.89    , array([ 0.220366   ,  0.0690789  ,  8.35712    ,  3.88447e-42,  0.0331832  ])
309549  , -5264.55    , array([ 0.220366   ,  0.0690789  ,  8.34877    ,  3.88836e-42,  0.0331832  ])
309550  , -5270.55    , array([ 0.220366   ,  0.0690789  ,  8.34877    ,  3.88447e-42,  0.0332164  ])
309558  , -5264.53    , array([ 0.220365   ,  0.0690784  ,  8.34891    ,  3.88447e-42,  0.0331831  ])
309559  , -5264.53    , array([ 0.220365   ,  0.0690784  ,  8.34891    ,  3.88447e-42,  0.0331831  ])
309560  , -5256.98    , array([ 0.220586   ,  0.0690784  ,  8.34891    ,  3.88447e-42,  0.0331831  ])
309561  , -5261.36    , array([ 0.220365   ,  0.0691475  ,  8.34891    ,  3.88447e-42,  0.0331831  ])
309562  , -5261.87    , array([ 0.220365   ,  0.0690784  ,  8.35726    ,  3.88447e-42,  0.0331831  ])
309563  , -5264.53    , array([ 0.220365   ,  0.0690784  ,  8.34891    ,  3.88836e-42,  0.0331831  ])
309564  , -5270.53    , array([ 0.220365   ,  0.0690784  ,  8.34891    ,  3.88447e-42,  0.0332163  ])
309572  , -5264.52    , array([ 0.220365   ,  0.0690782  ,  8.34897    ,  3.88447e-42,  0.033183   ])
309573  , -5264.52    , array([ 0.220365   ,  0.0690782  ,  8.34897    ,  3.88447e-42,  0.033183   ])
309574  , -5256.97    , array([ 0.220585   ,  0.0690782  ,  8.34897    ,  3.88447e-42,  0.033183   ])
309575  , -5261.35    , array([ 0.220365   ,  0.0691473  ,  8.34897    ,  3.88447e-42,  0.033183   ])
309576  , -5261.86    , array([ 0.220365   ,  0.0690782  ,  8.35732    ,  3.88447e-42,  0.033183   ])
309577  , -5264.52    , array([ 0.220365   ,  0.0690782  ,  8.34897    ,  3.88836e-42,  0.033183   ])
309578  , -5270.53    , array([ 0.220365   ,  0.0690782  ,  8.34897    ,  3.88447e-42,  0.0332162  ])
309586  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.349      ,  3.88447e-42,  0.0331829  ])
309587  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.349      ,  3.88447e-42,  0.0331829  ])
309588  , -5256.97    , array([ 0.220585   ,  0.0690781  ,  8.349      ,  3.88447e-42,  0.0331829  ])
309589  , -5261.35    , array([ 0.220364   ,  0.0691472  ,  8.349      ,  3.88447e-42,  0.0331829  ])
309590  , -5261.85    , array([ 0.220364   ,  0.0690781  ,  8.35735    ,  3.88447e-42,  0.0331829  ])
309591  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.349      ,  3.88836e-42,  0.0331829  ])
309592  , -5270.52    , array([ 0.220364   ,  0.0690781  ,  8.349      ,  3.88447e-42,  0.0332161  ])
309600  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309601  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309602  , -5256.97    , array([ 0.220585   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309603  , -5261.35    , array([ 0.220364   ,  0.0691472  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309604  , -5261.85    , array([ 0.220364   ,  0.0690781  ,  8.35736    ,  3.88447e-42,  0.0331829  ])
309605  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88836e-42,  0.0331829  ])
309606  , -5270.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0332161  ])
309614  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309615  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309616  , -5256.97    , array([ 0.220585   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309617  , -5261.35    , array([ 0.220364   ,  0.0691472  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309618  , -5261.85    , array([ 0.220364   ,  0.0690781  ,  8.35737    ,  3.88447e-42,  0.0331829  ])
309619  , -5264.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88836e-42,  0.0331829  ])
309620  , -5270.52    , array([ 0.220364   ,  0.0690781  ,  8.34901    ,  3.88447e-42,  0.0332161  ])
309628  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309629  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309630  , -5256.97    , array([ 0.220585   ,  0.069078   ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309631  , -5261.35    , array([ 0.220364   ,  0.0691472  ,  8.34901    ,  3.88447e-42,  0.0331829  ])
309632  , -5261.85    , array([ 0.220364   ,  0.069078   ,  8.35737    ,  3.88447e-42,  0.0331829  ])
309633  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34901    ,  3.88836e-42,  0.0331829  ])
309634  , -5270.52    , array([ 0.220364   ,  0.069078   ,  8.34901    ,  3.88447e-42,  0.0332161  ])
309642  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34902    ,  3.88447e-42,  0.0331829  ])
309643  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34902    ,  3.88447e-42,  0.0331829  ])
309644  , -5256.97    , array([ 0.220585   ,  0.069078   ,  8.34902    ,  3.88447e-42,  0.0331829  ])
309645  , -5261.35    , array([ 0.220364   ,  0.0691472  ,  8.34902    ,  3.88447e-42,  0.0331829  ])
309646  , -5261.85    , array([ 0.220364   ,  0.069078   ,  8.35737    ,  3.88447e-42,  0.0331829  ])
309647  , -5264.52    , array([ 0.220364   ,  0.069078   ,  8.34902    ,  3.88836e-42,  0.0331829  ])
309648  , -5270.52    , array([ 0.220364   ,  0.069078   ,  8.34902    ,  3.88447e-42,  0.0332161  ])
309649  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309650  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309651  , -5073.51    , array([ 0.211676   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309652  , -5077.3     , array([ 0.211464   ,  0.0650073  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309653  , -5078.02    , array([ 0.211464   ,  0.0649423  ,  9.75495    ,  3.88447e-42,  0.0316377  ])
309654  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88836e-42,  0.0316377  ])
309655  , -5086.36    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316693  ])
309663  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309664  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309665  , -5073.51    , array([ 0.211676   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309666  , -5077.3     , array([ 0.211464   ,  0.0650073  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309667  , -5078.02    , array([ 0.211464   ,  0.0649423  ,  9.75495    ,  3.88447e-42,  0.0316377  ])
309668  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88836e-42,  0.0316377  ])
309669  , -5086.36    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316693  ])
309677  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309678  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309679  , -5073.51    , array([ 0.211676   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309680  , -5077.3     , array([ 0.211464   ,  0.0650073  ,  9.7452     ,  3.88447e-42,  0.0316377  ])
309681  , -5078.02    , array([ 0.211464   ,  0.0649423  ,  9.75495    ,  3.88447e-42,  0.0316377  ])
309682  , -5080.63    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88836e-42,  0.0316377  ])
309683  , -5086.36    , array([ 0.211464   ,  0.0649423  ,  9.7452     ,  3.88447e-42,  0.0316693  ])
309684  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309685  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309686  , -5047.53    , array([ 0.210387   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309687  , -5051.24    , array([ 0.210177   ,  0.0644156  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309688  , -5051.98    , array([ 0.210177   ,  0.0643512  ,  9.98093    ,  3.88447e-42,  0.031415   ])
309689  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88836e-42,  0.031415   ])
309690  , -5060.28    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.0314465  ])
309698  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309699  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309700  , -5047.53    , array([ 0.210387   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309701  , -5051.24    , array([ 0.210177   ,  0.0644156  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309702  , -5051.98    , array([ 0.210177   ,  0.0643512  ,  9.98093    ,  3.88447e-42,  0.031415   ])
309703  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88836e-42,  0.031415   ])
309704  , -5060.28    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.0314465  ])
309712  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309713  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309714  , -5047.53    , array([ 0.210387   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309715  , -5051.24    , array([ 0.210177   ,  0.0644156  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309716  , -5051.98    , array([ 0.210177   ,  0.0643512  ,  9.98093    ,  3.88447e-42,  0.031415   ])
309717  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88836e-42,  0.031415   ])
309718  , -5060.28    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.0314465  ])
309726  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309727  , -5054.58    , array([ 0.210177   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309728  , -5047.53    , array([ 0.210387   ,  0.0643512  ,  9.97096    ,  3.88447e-42,  0.031415   ])
309729  , -5051.24    , array([ 0.210177   ,  0.0644156  ,  9.97096    ,  3.88447e-42,  0.031415   ])
