1       , -13492.1    , array([ 0.0178785  ,  1.29911    ,  0.00367446 ,  0.0405111  ])
2       , -13490.7    , array([ 0.0178964  ,  1.29911    ,  0.00367446 ,  0.0405111  ])
3       , -13491.9    , array([ 0.0178785  ,  1.3004     ,  0.00367446 ,  0.0405111  ])
4       , -13493.6    , array([ 0.0178785  ,  1.29911    ,  0.00367814 ,  0.0405111  ])
5       , -13492.3    , array([ 0.0178785  ,  1.29911    ,  0.00367446 ,  0.0405517  ])
6       , -13492.1    , array([ 0.0178785  ,  1.29911    ,  0.00367446 ,  0.0405111  ])
7       , -12772.5    , array([ 0.03654    ,  1.4292     ,  0.00181864 ,  0.0376451  ])
8       , -12772.5    , array([ 0.03654    ,  1.4292     ,  0.00181864 ,  0.0376451  ])
9       , -12772.6    , array([ 0.0365766  ,  1.4292     ,  0.00181864 ,  0.0376451  ])
10      , -12772.6    , array([ 0.03654    ,  1.43063    ,  0.00181864 ,  0.0376451  ])
11      , -12772.5    , array([ 0.03654    ,  1.4292     ,  0.00182046 ,  0.0376451  ])
12      , -12772.8    , array([ 0.03654    ,  1.4292     ,  0.00181864 ,  0.0376828  ])
13      , -12689.4    , array([ 0.0458498  ,  0.332853   ,  0.00124811 ,  0.000109621])
14      , -12689.4    , array([ 0.0458498  ,  0.332853   ,  0.00124811 ,  0.000109621])
15      , -12689.5    , array([ 0.0458956  ,  0.332853   ,  0.00124811 ,  0.000109621])
16      , -12689.4    , array([ 0.0458498  ,  0.333186   ,  0.00124811 ,  0.000109621])
17      , -12689.3    , array([ 0.0458498  ,  0.332853   ,  0.00124936 ,  0.000109621])
18      , -12689.4    , array([ 0.0458498  ,  0.332853   ,  0.00124811 ,  0.000109731])
25      , -12689.4    , array([ 0.0458497  ,  0.332854   ,  0.00124811 ,  0.000109621])
26      , -12689.4    , array([ 0.0458497  ,  0.332854   ,  0.00124811 ,  0.000109621])
27      , -12689.5    , array([ 0.0458956  ,  0.332854   ,  0.00124811 ,  0.000109621])
28      , -12689.4    , array([ 0.0458497  ,  0.333187   ,  0.00124811 ,  0.000109621])
29      , -12689.3    , array([ 0.0458497  ,  0.332854   ,  0.00124936 ,  0.000109621])
30      , -12689.4    , array([ 0.0458497  ,  0.332854   ,  0.00124811 ,  0.000109731])
31      , -12689.4    , array([ 0.0458497  ,  0.332855   ,  0.00124811 ,  0.000109621])
32      , -12689.4    , array([ 0.0458497  ,  0.332855   ,  0.00124811 ,  0.000109621])
33      , -12689.5    , array([ 0.0458956  ,  0.332855   ,  0.00124811 ,  0.000109621])
34      , -12689.4    , array([ 0.0458497  ,  0.333188   ,  0.00124811 ,  0.000109621])
35      , -12689.3    , array([ 0.0458497  ,  0.332855   ,  0.00124936 ,  0.000109621])
36      , -12689.4    , array([ 0.0458497  ,  0.332855   ,  0.00124811 ,  0.000109731])
37      , -12695      , array([ 0.0175097  ,  51.9265    ,  0.001089   ,  2.37118e-05])
38      , -12695      , array([ 0.0175097  ,  51.9265    ,  0.001089   ,  2.37118e-05])
39      , -12694.7    , array([ 0.0175272  ,  51.9265    ,  0.001089   ,  2.37118e-05])
40      , -12695      , array([ 0.0175097  ,  51.9784    ,  0.001089   ,  2.37118e-05])
41      , -12695.2    , array([ 0.0175097  ,  51.9265    ,  0.00109009 ,  2.37118e-05])
42      , -12695      , array([ 0.0175097  ,  51.9265    ,  0.001089   ,  2.37355e-05])
43      , -12658.4    , array([ 0.0278997  ,  4.5083     ,  0.0011633  ,  4.97462e-05])
44      , -12658.4    , array([ 0.0278997  ,  4.5083     ,  0.0011633  ,  4.97462e-05])
45      , -12658.4    , array([ 0.0279276  ,  4.5083     ,  0.0011633  ,  4.97462e-05])
46      , -12658.4    , array([ 0.0278997  ,  4.51281    ,  0.0011633  ,  4.97462e-05])
47      , -12658.4    , array([ 0.0278997  ,  4.5083     ,  0.00116446 ,  4.97462e-05])
48      , -12658.4    , array([ 0.0278997  ,  4.5083     ,  0.0011633  ,  4.97959e-05])
49      , -12658.5    , array([ 0.0300747  ,  7.866      ,  0.00137614 ,  4.18109e-05])
50      , -12658.5    , array([ 0.0300747  ,  7.866      ,  0.00137614 ,  4.18109e-05])
51      , -12658.5    , array([ 0.0301048  ,  7.866      ,  0.00137614 ,  4.18109e-05])
52      , -12658.5    , array([ 0.0300747  ,  7.87387    ,  0.00137614 ,  4.18109e-05])
53      , -12658.5    , array([ 0.0300747  ,  7.866      ,  0.00137752 ,  4.18109e-05])
54      , -12658.5    , array([ 0.0300747  ,  7.866      ,  0.00137614 ,  4.18527e-05])
55      , -12658      , array([ 0.0289125  ,  5.87269    ,  0.00125994 ,  4.58049e-05])
56      , -12658      , array([ 0.0289125  ,  5.87269    ,  0.00125994 ,  4.58049e-05])
57      , -12658      , array([ 0.0289414  ,  5.87269    ,  0.00125994 ,  4.58049e-05])
58      , -12658      , array([ 0.0289125  ,  5.87857    ,  0.00125994 ,  4.58049e-05])
59      , -12658      , array([ 0.0289125  ,  5.87269    ,  0.00126121 ,  4.58049e-05])
60      , -12658      , array([ 0.0289125  ,  5.87269    ,  0.00125994 ,  4.58508e-05])
61      , -12658      , array([ 0.0287675  ,  5.80362    ,  0.0012518  ,  4.62112e-05])
62      , -12658      , array([ 0.0287675  ,  5.80362    ,  0.0012518  ,  4.62112e-05])
63      , -12658      , array([ 0.0287963  ,  5.80362    ,  0.0012518  ,  4.62112e-05])
64      , -12658      , array([ 0.0287675  ,  5.80943    ,  0.0012518  ,  4.62112e-05])
