155158  , -78046      , array([ 6.70195    ,  2.30236    ,  1.89935e-07,  6.1223e-22 ,  0.0016401  ])
155159  , -78046.2    , array([ 6.70865    ,  2.30236    ,  1.89935e-07,  6.1223e-22 ,  0.0016401  ])
155160  , -78046.9    , array([ 6.70195    ,  2.30467    ,  1.89935e-07,  6.1223e-22 ,  0.0016401  ])
155161  , -78046      , array([ 6.70195    ,  2.30236    ,  1.90125e-07,  6.1223e-22 ,  0.0016401  ])
155162  , -78046      , array([ 6.70195    ,  2.30236    ,  1.89935e-07,  6.12843e-22,  0.0016401  ])
155163  , -78045      , array([ 6.70195    ,  2.30236    ,  1.89935e-07,  6.1223e-22 ,  0.00164174 ])
155164  , -78046      , array([ 6.70195    ,  2.30236    ,  1.89935e-07,  6.1223e-22 ,  0.0016401  ])
155165  , -75288.7    , array([ 5.78961    ,  1.23394    ,  1.89935e-07,  6.1223e-22 ,  0.00358071 ])
155166  , -75288.7    , array([ 5.78961    ,  1.23394    ,  1.89935e-07,  6.1223e-22 ,  0.00358071 ])
155167  , -75289.1    , array([ 5.7954     ,  1.23394    ,  1.89935e-07,  6.1223e-22 ,  0.00358071 ])
155168  , -75291.9    , array([ 5.78961    ,  1.23518    ,  1.89935e-07,  6.1223e-22 ,  0.00358071 ])
155169  , -75288.7    , array([ 5.78961    ,  1.23394    ,  1.90125e-07,  6.1223e-22 ,  0.00358071 ])
155170  , -75288.7    , array([ 5.78961    ,  1.23394    ,  1.89935e-07,  6.12843e-22,  0.00358071 ])
155171  , -75285      , array([ 5.78961    ,  1.23394    ,  1.89935e-07,  6.1223e-22 ,  0.00358429 ])
155172  , -12783.5    , array([ 3.22435    ,  0.101807   ,  1.89935e-07,  6.1223e-22 ,  0.0813519  ])
155173  , -12783.5    , array([ 3.22435    ,  0.101807   ,  1.89935e-07,  6.1223e-22 ,  0.0813519  ])
155174  , -12784      , array([ 3.22757    ,  0.101807   ,  1.89935e-07,  6.1223e-22 ,  0.0813519  ])
155175  , -12758      , array([ 3.22435    ,  0.101909   ,  1.89935e-07,  6.1223e-22 ,  0.0813519  ])
155176  , -12783.5    , array([ 3.22435    ,  0.101807   ,  1.90125e-07,  6.1223e-22 ,  0.0813519  ])
155177  , -12783.5    , array([ 3.22435    ,  0.101807   ,  1.89935e-07,  6.12843e-22,  0.0813519  ])
155178  , -12811.6    , array([ 3.22435    ,  0.101807   ,  1.89935e-07,  6.1223e-22 ,  0.0814332  ])
155179  , -72247.3    , array([ 5.41311    ,  0.926459   ,  1.89935e-07,  6.1223e-22 ,  0.00512607 ])
155180  , -72247.3    , array([ 5.41311    ,  0.926459   ,  1.89935e-07,  6.1223e-22 ,  0.00512607 ])
155181  , -72247.9    , array([ 5.41853    ,  0.926459   ,  1.89935e-07,  6.1223e-22 ,  0.00512607 ])
155182  , -72253      , array([ 5.41311    ,  0.927386   ,  1.89935e-07,  6.1223e-22 ,  0.00512607 ])
155183  , -72247.3    , array([ 5.41311    ,  0.926459   ,  1.90125e-07,  6.1223e-22 ,  0.00512607 ])
155184  , -72247.3    , array([ 5.41311    ,  0.926459   ,  1.89935e-07,  6.12843e-22,  0.00512607 ])
155185  , -72240.9    , array([ 5.41311    ,  0.926459   ,  1.89935e-07,  6.1223e-22 ,  0.0051312  ])
155186  , -2620.35    , array([ 3.55787    ,  0.154877   ,  1.89935e-07,  6.1223e-22 ,  0.0481139  ])
155187  , -2620.35    , array([ 3.55787    ,  0.154877   ,  1.89935e-07,  6.1223e-22 ,  0.0481139  ])
155188  , -2620.79    , array([ 3.56143    ,  0.154877   ,  1.89935e-07,  6.1223e-22 ,  0.0481139  ])
155189  , -2625.33    , array([ 3.55787    ,  0.155032   ,  1.89935e-07,  6.1223e-22 ,  0.0481139  ])
155190  , -2620.35    , array([ 3.55787    ,  0.154877   ,  1.90125e-07,  6.1223e-22 ,  0.0481139  ])
155191  , -2620.35    , array([ 3.55787    ,  0.154877   ,  1.89935e-07,  6.12843e-22,  0.0481139  ])
155192  , -2617.07    , array([ 3.55787    ,  0.154877   ,  1.89935e-07,  6.1223e-22 ,  0.048162   ])
155193  , -2331.67    , array([ 3.50657    ,  0.14558    ,  1.89935e-07,  6.1223e-22 ,  0.0519907  ])
155194  , -2331.67    , array([ 3.50657    ,  0.14558    ,  1.89935e-07,  6.1223e-22 ,  0.0519907  ])
155195  , -2332.08    , array([ 3.51008    ,  0.14558    ,  1.89935e-07,  6.1223e-22 ,  0.0519907  ])
155196  , -2332.69    , array([ 3.50657    ,  0.145726   ,  1.89935e-07,  6.1223e-22 ,  0.0519907  ])
155197  , -2331.67    , array([ 3.50657    ,  0.14558    ,  1.90125e-07,  6.1223e-22 ,  0.0519907  ])
155198  , -2331.67    , array([ 3.50657    ,  0.14558    ,  1.89935e-07,  6.12843e-22,  0.0519907  ])
155199  , -2332.52    , array([ 3.50657    ,  0.14558    ,  1.89935e-07,  6.1223e-22 ,  0.0520427  ])
155207  , -2321.2     , array([ 3.46384    ,  0.140154   ,  1.89935e-07,  6.1223e-22 ,  0.0522647  ])
155208  , -2321.2     , array([ 3.46384    ,  0.140154   ,  1.89935e-07,  6.1223e-22 ,  0.0522647  ])
155209  , -2321.59    , array([ 3.4673     ,  0.140154   ,  1.89935e-07,  6.1223e-22 ,  0.0522647  ])
155210  , -2320.92    , array([ 3.46384    ,  0.140294   ,  1.89935e-07,  6.1223e-22 ,  0.0522647  ])
155211  , -2321.2     , array([ 3.46384    ,  0.140154   ,  1.90125e-07,  6.1223e-22 ,  0.0522647  ])
155212  , -2321.2     , array([ 3.46384    ,  0.140154   ,  1.89935e-07,  6.12843e-22,  0.0522647  ])
155213  , -2323.33    , array([ 3.46384    ,  0.140154   ,  1.89935e-07,  6.1223e-22 ,  0.052317   ])
155214  , -2300.42    , array([ 3.15579    ,  0.141482   ,  1.89935e-07,  6.1223e-22 ,  0.0527003  ])
155215  , -2300.42    , array([ 3.15579    ,  0.141482   ,  1.89935e-07,  6.1223e-22 ,  0.0527003  ])
155216  , -2300.79    , array([ 3.15894    ,  0.141482   ,  1.89935e-07,  6.1223e-22 ,  0.0527003  ])
155217  , -2300.14    , array([ 3.15579    ,  0.141623   ,  1.89935e-07,  6.1223e-22 ,  0.0527003  ])
155218  , -2300.42    , array([ 3.15579    ,  0.141482   ,  1.90125e-07,  6.1223e-22 ,  0.0527003  ])
155219  , -2300.42    , array([ 3.15579    ,  0.141482   ,  1.89935e-07,  6.12843e-22,  0.0527003  ])
155220  , -2302.53    , array([ 3.15579    ,  0.141482   ,  1.89935e-07,  6.1223e-22 ,  0.052753   ])
155221  , -2251.59    , array([ 2.17424    ,  0.14692    ,  1.89935e-07,  6.1223e-22 ,  0.054479   ])
155222  , -2251.59    , array([ 2.17424    ,  0.14692    ,  1.89935e-07,  6.1223e-22 ,  0.054479   ])
155223  , -2251.75    , array([ 2.17642    ,  0.14692    ,  1.89935e-07,  6.1223e-22 ,  0.054479   ])
155224  , -2251.3     , array([ 2.17424    ,  0.147067   ,  1.89935e-07,  6.1223e-22 ,  0.054479   ])
155225  , -2251.59    , array([ 2.17424    ,  0.14692    ,  1.90125e-07,  6.1223e-22 ,  0.054479   ])
155226  , -2251.59    , array([ 2.17424    ,  0.14692    ,  1.89935e-07,  6.12843e-22,  0.054479   ])
155227  , -2253.76    , array([ 2.17424    ,  0.14692    ,  1.89935e-07,  6.1223e-22 ,  0.0545335  ])
155228  , -2123.28    , array([ 2.14615    ,  0.136802   ,  1.89935e-07,  6.1223e-22 ,  0.0506204  ])
155229  , -2123.28    , array([ 2.14615    ,  0.136802   ,  1.89935e-07,  6.1223e-22 ,  0.0506204  ])
155230  , -2123.43    , array([ 2.1483     ,  0.136802   ,  1.89935e-07,  6.1223e-22 ,  0.0506204  ])
155231  , -2122.99    , array([ 2.14615    ,  0.136939   ,  1.89935e-07,  6.1223e-22 ,  0.0506204  ])
155232  , -2123.28    , array([ 2.14615    ,  0.136802   ,  1.90125e-07,  6.1223e-22 ,  0.0506204  ])
155233  , -2123.28    , array([ 2.14615    ,  0.136802   ,  1.89935e-07,  6.12843e-22,  0.0506204  ])
155234  , -2125.18    , array([ 2.14615    ,  0.136802   ,  1.89935e-07,  6.1223e-22 ,  0.050671   ])
155235  , -1909.52    , array([ 1.92585    ,  0.118881   ,  1.89935e-07,  6.1223e-22 ,  0.0435986  ])
155236  , -1909.52    , array([ 1.92585    ,  0.118881   ,  1.89935e-07,  6.1223e-22 ,  0.0435986  ])
155237  , -1909.59    , array([ 1.92778    ,  0.118881   ,  1.89935e-07,  6.1223e-22 ,  0.0435986  ])
155238  , -1909.32    , array([ 1.92585    ,  0.118999   ,  1.89935e-07,  6.1223e-22 ,  0.0435986  ])
155239  , -1909.52    , array([ 1.92585    ,  0.118881   ,  1.90125e-07,  6.1223e-22 ,  0.0435986  ])
155240  , -1909.52    , array([ 1.92585    ,  0.118881   ,  1.89935e-07,  6.12843e-22,  0.0435986  ])
155241  , -1910.84    , array([ 1.92585    ,  0.118881   ,  1.89935e-07,  6.1223e-22 ,  0.0436422  ])
155242  , -1664.71    , array([ 1.8218     ,  0.0835346  ,  1.89937e-07,  6.1223e-22 ,  0.0301115  ])
155243  , -1664.71    , array([ 1.8218     ,  0.0835346  ,  1.89937e-07,  6.1223e-22 ,  0.0301115  ])
155244  , -1664.79    , array([ 1.82362    ,  0.0835346  ,  1.89937e-07,  6.1223e-22 ,  0.0301115  ])
155245  , -1664.74    , array([ 1.8218     ,  0.0836182  ,  1.89937e-07,  6.1223e-22 ,  0.0301115  ])
155246  , -1664.71    , array([ 1.8218     ,  0.0835346  ,  1.90127e-07,  6.1223e-22 ,  0.0301115  ])
155247  , -1664.71    , array([ 1.8218     ,  0.0835346  ,  1.89937e-07,  6.12843e-22,  0.0301115  ])
155248  , -1664.96    , array([ 1.8218     ,  0.0835346  ,  1.89937e-07,  6.1223e-22 ,  0.0301416  ])
155249  , -1634.55    , array([ 1.49903    ,  0.0736254  ,  1.8994e-07 ,  6.1223e-22 ,  0.026406   ])
155250  , -1634.55    , array([ 1.49903    ,  0.0736254  ,  1.8994e-07 ,  6.1223e-22 ,  0.026406   ])
155251  , -1634.55    , array([ 1.50053    ,  0.0736254  ,  1.8994e-07 ,  6.1223e-22 ,  0.026406   ])
155252  , -1634.58    , array([ 1.49903    ,  0.073699   ,  1.8994e-07 ,  6.1223e-22 ,  0.026406   ])
155253  , -1634.55    , array([ 1.49903    ,  0.0736254  ,  1.9013e-07 ,  6.1223e-22 ,  0.026406   ])
155254  , -1634.55    , array([ 1.49903    ,  0.0736254  ,  1.8994e-07 ,  6.12843e-22,  0.026406   ])
155255  , -1634.63    , array([ 1.49903    ,  0.0736254  ,  1.8994e-07 ,  6.1223e-22 ,  0.0264324  ])
155256  , -1632.21    , array([ 1.45522    ,  0.0687649  ,  1.89943e-07,  6.1223e-22 ,  0.024639   ])
155257  , -1632.21    , array([ 1.45522    ,  0.0687649  ,  1.89943e-07,  6.1223e-22 ,  0.024639   ])
155258  , -1632.21    , array([ 1.45668    ,  0.0687649  ,  1.89943e-07,  6.1223e-22 ,  0.024639   ])
155259  , -1632.21    , array([ 1.45522    ,  0.0688337  ,  1.89943e-07,  6.1223e-22 ,  0.024639   ])
155260  , -1632.21    , array([ 1.45522    ,  0.0687649  ,  1.90133e-07,  6.1223e-22 ,  0.024639   ])
155261  , -1632.21    , array([ 1.45522    ,  0.0687649  ,  1.89943e-07,  6.12843e-22,  0.024639   ])
155262  , -1632.23    , array([ 1.45522    ,  0.0687649  ,  1.89943e-07,  6.1223e-22 ,  0.0246637  ])
155263  , -1632.5     , array([ 1.43749    ,  0.0677421  ,  1.89945e-07,  6.1223e-22 ,  0.0242595  ])
155264  , -1632.5     , array([ 1.43749    ,  0.0677421  ,  1.89945e-07,  6.1223e-22 ,  0.0242595  ])
155265  , -1632.5     , array([ 1.43893    ,  0.0677421  ,  1.89945e-07,  6.1223e-22 ,  0.0242595  ])
155266  , -1632.5     , array([ 1.43749    ,  0.0678099  ,  1.89945e-07,  6.1223e-22 ,  0.0242595  ])
155267  , -1632.5     , array([ 1.43749    ,  0.0677421  ,  1.90135e-07,  6.1223e-22 ,  0.0242595  ])
155268  , -1632.5     , array([ 1.43749    ,  0.0677421  ,  1.89945e-07,  6.12843e-22,  0.0242595  ])
155269  , -1632.5     , array([ 1.43749    ,  0.0677421  ,  1.89945e-07,  6.1223e-22 ,  0.0242838  ])
155270  , -1632.23    , array([ 1.45309    ,  0.0686417  ,  1.89943e-07,  6.1223e-22 ,  0.0245933  ])
155271  , -1632.23    , array([ 1.45309    ,  0.0686417  ,  1.89943e-07,  6.1223e-22 ,  0.0245933  ])
155272  , -1632.23    , array([ 1.45454    ,  0.0686417  ,  1.89943e-07,  6.1223e-22 ,  0.0245933  ])
155273  , -1632.23    , array([ 1.45309    ,  0.0687104  ,  1.89943e-07,  6.1223e-22 ,  0.0245933  ])
155274  , -1632.23    , array([ 1.45309    ,  0.0686417  ,  1.90133e-07,  6.1223e-22 ,  0.0245933  ])
155275  , -1632.23    , array([ 1.45309    ,  0.0686417  ,  1.89943e-07,  6.12843e-22,  0.0245933  ])
155276  , -1632.25    , array([ 1.45309    ,  0.0686417  ,  1.89943e-07,  6.1223e-22 ,  0.0246179  ])
155277  , -1632.21    , array([ 1.45494    ,  0.0687482  ,  1.89943e-07,  6.1223e-22 ,  0.0246329  ])
155278  , -1632.21    , array([ 1.45494    ,  0.0687482  ,  1.89943e-07,  6.1223e-22 ,  0.0246329  ])
155279  , -1632.21    , array([ 1.45639    ,  0.0687482  ,  1.89943e-07,  6.1223e-22 ,  0.0246329  ])
155280  , -1632.21    , array([ 1.45494    ,  0.068817   ,  1.89943e-07,  6.1223e-22 ,  0.0246329  ])
155281  , -1632.21    , array([ 1.45494    ,  0.0687482  ,  1.90133e-07,  6.1223e-22 ,  0.0246329  ])
155282  , -1632.21    , array([ 1.45494    ,  0.0687482  ,  1.89943e-07,  6.12843e-22,  0.0246329  ])
155283  , -1632.23    , array([ 1.45494    ,  0.0687482  ,  1.89943e-07,  6.1223e-22 ,  0.0246575  ])
155284  , -1632.21    , array([ 1.45518    ,  0.0687626  ,  1.89943e-07,  6.1223e-22 ,  0.0246382  ])
155285  , -1632.21    , array([ 1.45518    ,  0.0687626  ,  1.89943e-07,  6.1223e-22 ,  0.0246382  ])
155286  , -1632.21    , array([ 1.45664    ,  0.0687626  ,  1.89943e-07,  6.1223e-22 ,  0.0246382  ])
155287  , -1632.21    , array([ 1.45518    ,  0.0688314  ,  1.89943e-07,  6.1223e-22 ,  0.0246382  ])
155288  , -1632.21    , array([ 1.45518    ,  0.0687626  ,  1.90133e-07,  6.1223e-22 ,  0.0246382  ])
155289  , -1632.21    , array([ 1.45518    ,  0.0687626  ,  1.89943e-07,  6.12843e-22,  0.0246382  ])
155290  , -1632.23    , array([ 1.45518    ,  0.0687626  ,  1.89943e-07,  6.1223e-22 ,  0.0246629  ])
155291  , -1632.21    , array([ 1.45522    ,  0.0687646  ,  1.89943e-07,  6.1223e-22 ,  0.0246389  ])
155292  , -1632.21    , array([ 1.45522    ,  0.0687646  ,  1.89943e-07,  6.1223e-22 ,  0.0246389  ])
155293  , -1632.21    , array([ 1.45667    ,  0.0687646  ,  1.89943e-07,  6.1223e-22 ,  0.0246389  ])
155294  , -1632.21    , array([ 1.45522    ,  0.0688334  ,  1.89943e-07,  6.1223e-22 ,  0.0246389  ])
155295  , -1632.21    , array([ 1.45522    ,  0.0687646  ,  1.90133e-07,  6.1223e-22 ,  0.0246389  ])
155296  , -1632.21    , array([ 1.45522    ,  0.0687646  ,  1.89943e-07,  6.12843e-22,  0.0246389  ])
155297  , -1632.23    , array([ 1.45522    ,  0.0687646  ,  1.89943e-07,  6.1223e-22 ,  0.0246636  ])
155298  , -1632.21    , array([ 1.45522    ,  0.0687648  ,  1.89943e-07,  6.1223e-22 ,  0.024639   ])
