Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-11215.33	22448.66	74.27	20103.53	0.3907,1.4396,0.4956,0.8393,0.3336,1.1796,3.6611,0.108,0.05
our_model	Round_1_Replicate_2	-11879.77	23777.54	1381.16	9221.92	4.7419,2.6013,0.6476,1.2091,0.2546,0.4995,5.0202,7.3647,0.3189
our_model	Round_1_Replicate_3	-11567.61	23153.22	746.35	19661.51	6.0803,1.3358,0.3541,0.6303,0.3687,0.8267,9.3025,0.0877,0.1289
our_model	Round_1_Replicate_4	-11738.64	23495.28	1100.2	20004.44	0.01,1.3822,0.3228,0.5266,0.259,1.0833,10.6089,0.0225,0.1521
our_model	Round_1_Replicate_5	-11249.26	22516.52	142.44	20256.86	0.4809,1.4163,0.4625,0.7493,0.2343,1.1009,5.5913,0.0939,0.0591
our_model	Round_1_Replicate_6	-11757.78	23533.56	1135.66	13307.37	4.7596,1.7604,0.4895,0.9898,0.2621,0.4196,6.396,2.7424,0.152
our_model	Round_1_Replicate_7	-11763.56	23545.12	1146.33	11034.78	4.1385,2.1365,0.5874,1.1655,0.2049,0.3653,5.3805,3.8188,0.1882
our_model	Round_1_Replicate_8	-11766.87	23551.74	1157.36	12930.68	4.5571,1.8141,0.5098,1.0115,0.1805,0.4055,6.1597,2.9445,0.1447
our_model	Round_1_Replicate_9	-11830.96	23679.92	1284.24	14876.88	6.6239,1.6061,0.4019,0.8097,0.4895,0.6485,7.8591,3.3573,0.1814
our_model	Round_1_Replicate_10	-11831.77	23681.54	1286.16	7636.4	3.3061,3.113,0.7969,1.5351,0.2096,0.3625,4.0325,8.0776,0.3431
our_model	Round_2_Replicate_1	-11228.97	22475.94	100.07	20210.02	0.01,1.4714,0.4264,0.8579,0.4685,0.7792,6.1162,0.0785,0.0669
our_model	Round_2_Replicate_2	-11227.1	22472.2	99.16	20282.38	0.0261,1.4605,0.5283,0.9841,0.4498,1.2236,0.01,0.1066,0.0384
our_model	Round_2_Replicate_3	-11210.52	22439.04	63.84	19810.87	1.373,1.4501,0.513,1.1304,0.2856,0.6775,1.096,0.1343,0.0417
our_model	Round_2_Replicate_4	-11223.76	22465.52	90.6	19933.52	1.7927,1.4196,0.4689,1.0041,0.2522,0.5273,3.8386,0.1267,0.0505
our_model	Round_2_Replicate_5	-11242.13	22502.26	128.14	20173.59	1.538,1.4266,0.4603,1.229,0.389,0.4457,2.4759,0.1158,0.0459
our_model	Round_2_Replicate_6	-11190.03	22398.06	23.58	20096.67	0.3721,1.4596,0.4928,1.0821,0.4532,0.7985,2.6591,0.1004,0.0485
our_model	Round_2_Replicate_7	-11257.35	22532.7	159.82	20392.36	1.0707,1.4066,0.4953,1.0888,0.205,0.6834,0.0127,0.1156,0.0376
our_model	Round_2_Replicate_8	-11244.9	22507.8	131.73	19949.85	2.2769,1.3819,0.4599,0.9673,0.1783,0.5039,4.206,0.133,0.0522
our_model	Round_2_Replicate_9	-11202.98	22423.96	49.66	19885.59	0.01,1.5116,0.5469,1.0301,0.5335,1.2392,0.6528,0.1129,0.0415
our_model	Round_2_Replicate_10	-11251.77	22521.54	145.41	19760.11	2.2562,1.4056,0.47,0.9503,0.1466,0.5162,4.2528,0.1443,0.0517
our_model	Round_2_Replicate_11	-11188.91	22395.82	21.28	20039.05	0.0447,1.4807,0.5144,0.9403,0.4497,1.1518,2.4416,0.1052,0.0467
our_model	Round_2_Replicate_12	-11245.45	22508.9	135.45	20256.07	0.5699,1.4766,0.4868,1.1971,0.3883,0.6156,1.6338,0.0963,0.0448
our_model	Round_2_Replicate_13	-11280.43	22578.86	205.08	20153.3	2.2917,1.4004,0.4214,1.013,0.3599,0.3729,5.2774,0.1105,0.0585
our_model	Round_2_Replicate_14	-11295.65	22609.3	232.23	19702.18	0.01,1.5171,0.5839,0.9073,0.584,1.6583,0.01,0.1259,0.0384
our_model	Round_2_Replicate_15	-11306.39	22630.78	262.28	20518.84	1.0682,1.4369,0.4627,1.3295,0.3407,0.3609,0.8899,0.1036,0.0398
our_model	Round_2_Replicate_16	-11287.65	22593.3	221.73	20255.95	1.397,1.4567,0.4458,1.0623,0.3037,0.3951,3.9335,0.0925,0.0538
our_model	Round_2_Replicate_17	-11221.58	22461.16	87.03	19982.05	0.8275,1.4547,0.5343,1.0229,0.2739,0.9717,0.01,0.1248,0.0384
our_model	Round_2_Replicate_18	-11250.88	22519.76	145.37	19887.69	2.0,1.4422,0.4427,1.0177,0.3899,0.4626,4.7016,0.1238,0.0562
our_model	Round_2_Replicate_19	-11368.08	22754.16	371.66	19894.68	2.8566,1.3154,0.4774,1.3071,0.01,0.0117,0.0952,0.1801,0.0382
our_model	Round_2_Replicate_20	-11293.85	22605.7	233.7	20368.48	0.7771,1.4624,0.4859,1.2935,0.3403,0.4979,0.6989,0.0971,0.0417
