137172  , -76342      , array([ 2.95617    ,  0.00172732 ,  0.0352435  ,  0.161575   ,  4.13503e-06])
137173  , -76344.3    , array([ 2.95617    ,  0.0017272  ,  0.0352435  ,  0.161575   ,  4.1312e-06 ])
137174  , -76344.3    , array([ 2.95617    ,  0.0017272  ,  0.0352435  ,  0.161575   ,  4.1312e-06 ])
137175  , -76344.3    , array([ 2.95913    ,  0.0017272  ,  0.0352435  ,  0.161575   ,  4.1312e-06 ])
137176  , -76346.9    , array([ 2.95617    ,  0.00172893 ,  0.0352435  ,  0.161575   ,  4.1312e-06 ])
137177  , -76344.3    , array([ 2.95617    ,  0.0017272  ,  0.0352788  ,  0.161575   ,  4.1312e-06 ])
137178  , -76344.3    , array([ 2.95617    ,  0.0017272  ,  0.0352435  ,  0.161736   ,  4.1312e-06 ])
137179  , -76341.6    , array([ 2.95617    ,  0.0017272  ,  0.0352435  ,  0.161575   ,  4.13533e-06])
137187  , -76344.2    , array([ 2.95617    ,  0.00172717 ,  0.0352435  ,  0.161575   ,  4.13127e-06])
137188  , -76344.2    , array([ 2.95617    ,  0.00172717 ,  0.0352435  ,  0.161575   ,  4.13127e-06])
137189  , -76344.2    , array([ 2.95913    ,  0.00172717 ,  0.0352435  ,  0.161575   ,  4.13127e-06])
137190  , -76346.8    , array([ 2.95617    ,  0.00172889 ,  0.0352435  ,  0.161575   ,  4.13127e-06])
137191  , -76344.2    , array([ 2.95617    ,  0.00172717 ,  0.0352788  ,  0.161575   ,  4.13127e-06])
137192  , -76344.2    , array([ 2.95617    ,  0.00172717 ,  0.0352435  ,  0.161736   ,  4.13127e-06])
137193  , -76341.5    , array([ 2.95617    ,  0.00172717 ,  0.0352435  ,  0.161575   ,  4.1354e-06 ])
137194  , -76344.1    , array([ 2.95617    ,  0.00172714 ,  0.0352435  ,  0.161575   ,  4.13135e-06])
137195  , -76344.1    , array([ 2.95617    ,  0.00172714 ,  0.0352435  ,  0.161575   ,  4.13135e-06])
137196  , -76344.1    , array([ 2.95913    ,  0.00172714 ,  0.0352435  ,  0.161575   ,  4.13135e-06])
137197  , -76346.7    , array([ 2.95617    ,  0.00172886 ,  0.0352435  ,  0.161575   ,  4.13135e-06])
137198  , -76344.1    , array([ 2.95617    ,  0.00172714 ,  0.0352788  ,  0.161575   ,  4.13135e-06])
137199  , -76344.1    , array([ 2.95617    ,  0.00172714 ,  0.0352435  ,  0.161736   ,  4.13135e-06])
137200  , -76341.4    , array([ 2.95617    ,  0.00172714 ,  0.0352435  ,  0.161575   ,  4.13548e-06])
137208  , -76344      , array([ 2.95617    ,  0.00172713 ,  0.0352435  ,  0.161575   ,  4.13137e-06])
137209  , -76344      , array([ 2.95617    ,  0.00172713 ,  0.0352435  ,  0.161575   ,  4.13137e-06])
137210  , -76344      , array([ 2.95913    ,  0.00172713 ,  0.0352435  ,  0.161575   ,  4.13137e-06])
137211  , -76346.7    , array([ 2.95617    ,  0.00172886 ,  0.0352435  ,  0.161575   ,  4.13137e-06])
137212  , -76344      , array([ 2.95617    ,  0.00172713 ,  0.0352788  ,  0.161575   ,  4.13137e-06])
137213  , -76344      , array([ 2.95617    ,  0.00172713 ,  0.0352435  ,  0.161736   ,  4.13137e-06])
137214  , -76341.4    , array([ 2.95617    ,  0.00172713 ,  0.0352435  ,  0.161575   ,  4.1355e-06 ])
137215  , -76344      , array([ 2.95617    ,  0.00172712 ,  0.0352435  ,  0.161575   ,  4.13139e-06])
137216  , -76344      , array([ 2.95617    ,  0.00172712 ,  0.0352435  ,  0.161575   ,  4.13139e-06])
137217  , -76344      , array([ 2.95913    ,  0.00172712 ,  0.0352435  ,  0.161575   ,  4.13139e-06])
137218  , -76346.7    , array([ 2.95617    ,  0.00172885 ,  0.0352435  ,  0.161575   ,  4.13139e-06])
137219  , -76344      , array([ 2.95617    ,  0.00172712 ,  0.0352788  ,  0.161575   ,  4.13139e-06])
