32683   , -2166.33    , array([ 0.0102375  ,  0.346127   ,  2.70818e-48,  0.00536719 ])
32684   , -2166.33    , array([ 0.0102477  ,  0.346127   ,  2.70818e-48,  0.00536719 ])
32685   , -2166.55    , array([ 0.0102375  ,  0.346474   ,  2.70818e-48,  0.00536719 ])
32686   , -2166.33    , array([ 0.0102375  ,  0.346127   ,  2.71089e-48,  0.00536719 ])
32687   , -2166.18    , array([ 0.0102375  ,  0.346127   ,  2.70818e-48,  0.00537256 ])
32688   , -2166.33    , array([ 0.0102375  ,  0.346127   ,  2.70818e-48,  0.00536719 ])
32689   , -1775.97    , array([ 0.0102375  ,  0.149282   ,  2.70818e-48,  0.00939009 ])
32690   , -1775.97    , array([ 0.0102375  ,  0.149282   ,  2.70818e-48,  0.00939009 ])
32691   , -1775.97    , array([ 0.0102477  ,  0.149282   ,  2.70818e-48,  0.00939009 ])
32692   , -1776.25    , array([ 0.0102375  ,  0.149432   ,  2.70818e-48,  0.00939009 ])
32693   , -1775.97    , array([ 0.0102375  ,  0.149282   ,  2.71089e-48,  0.00939009 ])
32694   , -1775.67    , array([ 0.0102375  ,  0.149282   ,  2.70818e-48,  0.00939949 ])
32695   , -2336.74    , array([ 0.0102375  ,  0.00516531 ,  2.70818e-48,  0.0879752  ])
32696   , -2336.74    , array([ 0.0102375  ,  0.00516531 ,  2.70818e-48,  0.0879752  ])
32697   , -2336.74    , array([ 0.0102477  ,  0.00516531 ,  2.70818e-48,  0.0879752  ])
32698   , -2336.74    , array([ 0.0102375  ,  0.00517048 ,  2.70818e-48,  0.0879752  ])
32699   , -2336.74    , array([ 0.0102375  ,  0.00516531 ,  2.71089e-48,  0.0879752  ])
32700   , -2336.74    , array([ 0.0102375  ,  0.00516531 ,  2.70818e-48,  0.0880632  ])
32701   , -1773.15    , array([ 0.0102375  ,  0.0766935  ,  2.70818e-48,  0.0146237  ])
32702   , -1773.15    , array([ 0.0102375  ,  0.0766935  ,  2.70818e-48,  0.0146237  ])
32703   , -1773.15    , array([ 0.0102477  ,  0.0766935  ,  2.70818e-48,  0.0146237  ])
32704   , -1772.49    , array([ 0.0102375  ,  0.0767703  ,  2.70818e-48,  0.0146237  ])
32705   , -1773.15    , array([ 0.0102375  ,  0.0766935  ,  2.71089e-48,  0.0146237  ])
32706   , -1773.48    , array([ 0.0102375  ,  0.0766935  ,  2.70818e-48,  0.0146383  ])
32707   , -1682.43    , array([ 0.0102375  ,  0.117828   ,  2.70818e-48,  0.0109905  ])
32708   , -1682.43    , array([ 0.0102375  ,  0.117828   ,  2.70818e-48,  0.0109905  ])
32709   , -1682.43    , array([ 0.0102477  ,  0.117828   ,  2.70818e-48,  0.0109905  ])
32710   , -1682.55    , array([ 0.0102375  ,  0.117946   ,  2.70818e-48,  0.0109905  ])
32711   , -1682.43    , array([ 0.0102375  ,  0.117828   ,  2.71089e-48,  0.0109905  ])
32712   , -1682.21    , array([ 0.0102375  ,  0.117828   ,  2.70818e-48,  0.0110015  ])
32713   , -2336.8     , array([ 0.0102375  ,  0.0147366  ,  2.70818e-48,  0.320122   ])
32714   , -2336.8     , array([ 0.0102375  ,  0.0147366  ,  2.70818e-48,  0.320122   ])
32715   , -2336.8     , array([ 0.0102477  ,  0.0147366  ,  2.70818e-48,  0.320122   ])
32716   , -2336.8     , array([ 0.0102375  ,  0.0147514  ,  2.70818e-48,  0.320122   ])
32717   , -2336.8     , array([ 0.0102375  ,  0.0147366  ,  2.71089e-48,  0.320122   ])
32718   , -2336.8     , array([ 0.0102375  ,  0.0147366  ,  2.70818e-48,  0.320442   ])
32719   , -1743.13    , array([ 0.0102375  ,  0.0876144  ,  2.70818e-48,  0.0177708  ])
32720   , -1743.13    , array([ 0.0102375  ,  0.0876144  ,  2.70818e-48,  0.0177708  ])
32721   , -1743.13    , array([ 0.0102477  ,  0.0876144  ,  2.70818e-48,  0.0177708  ])
32722   , -1742.43    , array([ 0.0102375  ,  0.0877021  ,  2.70818e-48,  0.0177708  ])
32723   , -1743.13    , array([ 0.0102375  ,  0.0876144  ,  2.71089e-48,  0.0177708  ])
32724   , -1743.42    , array([ 0.0102375  ,  0.0876144  ,  2.70818e-48,  0.0177886  ])
32725   , -1651.14    , array([ 0.0102375  ,  0.105235   ,  2.70818e-48,  0.0132018  ])
32726   , -1651.14    , array([ 0.0102375  ,  0.105235   ,  2.70818e-48,  0.0132018  ])
32727   , -1651.14    , array([ 0.0102477  ,  0.105235   ,  2.70818e-48,  0.0132018  ])
32728   , -1651.05    , array([ 0.0102375  ,  0.10534    ,  2.70818e-48,  0.0132018  ])
32729   , -1651.14    , array([ 0.0102375  ,  0.105235   ,  2.71089e-48,  0.0132018  ])
32730   , -1651.05    , array([ 0.0102375  ,  0.105235   ,  2.70818e-48,  0.013215   ])
32731   , -1569.8     , array([ 0.0102375  ,  0.136755   ,  2.70818e-48,  0.0212431  ])
32732   , -1569.8     , array([ 0.0102375  ,  0.136755   ,  2.70818e-48,  0.0212431  ])
32733   , -1569.8     , array([ 0.0102477  ,  0.136755   ,  2.70818e-48,  0.0212431  ])
32734   , -1569.64    , array([ 0.0102375  ,  0.136892   ,  2.70818e-48,  0.0212431  ])
32735   , -1569.8     , array([ 0.0102375  ,  0.136755   ,  2.71089e-48,  0.0212431  ])
32736   , -1569.68    , array([ 0.0102375  ,  0.136755   ,  2.70818e-48,  0.0212644  ])
32737   , -831.953    , array([ 0.0102375  ,  0.390017   ,  2.70818e-48,  0.142418   ])
32738   , -831.953    , array([ 0.0102375  ,  0.390017   ,  2.70818e-48,  0.142418   ])
32739   , -831.953    , array([ 0.0102477  ,  0.390017   ,  2.70818e-48,  0.142418   ])
32740   , -832.612    , array([ 0.0102375  ,  0.390407   ,  2.70818e-48,  0.142418   ])
32741   , -831.953    , array([ 0.0102375  ,  0.390017   ,  2.71089e-48,  0.142418   ])
32742   , -831.34     , array([ 0.0102375  ,  0.390017   ,  2.70818e-48,  0.14256    ])
32749   , -831.947    , array([ 0.0102375  ,  0.390022   ,  2.70818e-48,  0.142421   ])
32750   , -831.947    , array([ 0.0102375  ,  0.390022   ,  2.70818e-48,  0.142421   ])
32751   , -831.947    , array([ 0.0102477  ,  0.390022   ,  2.70818e-48,  0.142421   ])
32752   , -832.606    , array([ 0.0102375  ,  0.390413   ,  2.70818e-48,  0.142421   ])
32753   , -831.947    , array([ 0.0102375  ,  0.390022   ,  2.71089e-48,  0.142421   ])
32754   , -831.334    , array([ 0.0102375  ,  0.390022   ,  2.70818e-48,  0.142564   ])
32755   , -831.908    , array([ 0.0102375  ,  0.390056   ,  2.70818e-48,  0.142444   ])
32756   , -831.908    , array([ 0.0102375  ,  0.390056   ,  2.70818e-48,  0.142444   ])
32757   , -831.908    , array([ 0.0102477  ,  0.390056   ,  2.70818e-48,  0.142444   ])
32758   , -832.566    , array([ 0.0102375  ,  0.390447   ,  2.70818e-48,  0.142444   ])
32759   , -831.908    , array([ 0.0102375  ,  0.390056   ,  2.71089e-48,  0.142444   ])
32760   , -831.294    , array([ 0.0102375  ,  0.390056   ,  2.70818e-48,  0.142586   ])
32767   , -831.906    , array([ 0.0102375  ,  0.390058   ,  2.70818e-48,  0.142445   ])
32768   , -831.906    , array([ 0.0102375  ,  0.390058   ,  2.70818e-48,  0.142445   ])
