154030  , -78696.3    , array([ 7.35989    ,  0.554549   ,  9.05958e-41,  1.75293e-57,  0.00017586 ])
154031  , -78696.3    , array([ 7.36725    ,  0.554549   ,  9.05958e-41,  1.75293e-57,  0.00017586 ])
154032  , -78696.6    , array([ 7.35989    ,  0.555104   ,  9.05958e-41,  1.75293e-57,  0.00017586 ])
154033  , -78696.3    , array([ 7.35989    ,  0.554549   ,  9.06865e-41,  1.75293e-57,  0.00017586 ])
154034  , -78696.3    , array([ 7.35989    ,  0.554549   ,  9.05958e-41,  1.75469e-57,  0.00017586 ])
154035  , -78695.9    , array([ 7.35989    ,  0.554549   ,  9.05958e-41,  1.75293e-57,  0.000176036])
154036  , -78696.3    , array([ 7.35989    ,  0.554549   ,  9.05958e-41,  1.75293e-57,  0.00017586 ])
154037  , -77512.2    , array([ 7.10332    ,  0.277377   ,  9.05958e-41,  1.75293e-57,  0.000366422])
154038  , -77512.2    , array([ 7.10332    ,  0.277377   ,  9.05958e-41,  1.75293e-57,  0.000366422])
154039  , -77512.2    , array([ 7.11043    ,  0.277377   ,  9.05958e-41,  1.75293e-57,  0.000366422])
154040  , -77513.7    , array([ 7.10332    ,  0.277654   ,  9.05958e-41,  1.75293e-57,  0.000366422])
154041  , -77512.2    , array([ 7.10332    ,  0.277377   ,  9.06865e-41,  1.75293e-57,  0.000366422])
154042  , -77512.2    , array([ 7.10332    ,  0.277377   ,  9.05958e-41,  1.75469e-57,  0.000366422])
154043  , -77510.6    , array([ 7.10332    ,  0.277377   ,  9.05958e-41,  1.75293e-57,  0.000366788])
154044  , -2434.44    , array([ 6.16343    ,  0.0173616  ,  9.05958e-41,  1.75293e-57,  0.00690619 ])
154045  , -2434.44    , array([ 6.16343    ,  0.0173616  ,  9.05958e-41,  1.75293e-57,  0.00690619 ])
154046  , -2434.46    , array([ 6.1696     ,  0.0173616  ,  9.05958e-41,  1.75293e-57,  0.00690619 ])
154047  , -2430.35    , array([ 6.16343    ,  0.017379   ,  9.05958e-41,  1.75293e-57,  0.00690619 ])
154048  , -2434.44    , array([ 6.16343    ,  0.0173616  ,  9.06865e-41,  1.75293e-57,  0.00690619 ])
154049  , -2434.44    , array([ 6.16343    ,  0.0173616  ,  9.05958e-41,  1.75469e-57,  0.00690619 ])
154050  , -2438.1     , array([ 6.16343    ,  0.0173616  ,  9.05958e-41,  1.75293e-57,  0.0069131  ])
154051  , -71641.3    , array([ 6.82273    ,  0.126277   ,  9.05958e-41,  1.75293e-57,  0.00084355 ])
154052  , -71641.3    , array([ 6.82273    ,  0.126277   ,  9.05958e-41,  1.75293e-57,  0.00084355 ])
154053  , -71641.4    , array([ 6.82956    ,  0.126277   ,  9.05958e-41,  1.75293e-57,  0.00084355 ])
154054  , -71648.2    , array([ 6.82273    ,  0.126403   ,  9.05958e-41,  1.75293e-57,  0.00084355 ])
154055  , -71641.3    , array([ 6.82273    ,  0.126277   ,  9.06865e-41,  1.75293e-57,  0.00084355 ])
154056  , -71641.3    , array([ 6.82273    ,  0.126277   ,  9.05958e-41,  1.75469e-57,  0.00084355 ])
154057  , -71634.3    , array([ 6.82273    ,  0.126277   ,  9.05958e-41,  1.75293e-57,  0.000844394])
154058  , -2224.56    , array([ 6.1878     ,  0.0187522  ,  9.05958e-41,  1.75293e-57,  0.00636476 ])
154059  , -2224.56    , array([ 6.1878     ,  0.0187522  ,  9.05958e-41,  1.75293e-57,  0.00636476 ])
154060  , -2224.58    , array([ 6.19399    ,  0.0187522  ,  9.05958e-41,  1.75293e-57,  0.00636476 ])
154061  , -2225.57    , array([ 6.1878     ,  0.0187709  ,  9.05958e-41,  1.75293e-57,  0.00636476 ])
154062  , -2224.56    , array([ 6.1878     ,  0.0187522  ,  9.06865e-41,  1.75293e-57,  0.00636476 ])
154063  , -2224.56    , array([ 6.1878     ,  0.0187522  ,  9.05958e-41,  1.75469e-57,  0.00636476 ])
154064  , -2223.22    , array([ 6.1878     ,  0.0187522  ,  9.05958e-41,  1.75293e-57,  0.00637113 ])
154065  , -2202.11    , array([ 6.18198    ,  0.0184106  ,  9.05958e-41,  1.75293e-57,  0.00648995 ])
154066  , -2202.11    , array([ 6.18198    ,  0.0184106  ,  9.05958e-41,  1.75293e-57,  0.00648995 ])
154067  , -2202.13    , array([ 6.18817    ,  0.0184106  ,  9.05958e-41,  1.75293e-57,  0.00648995 ])
154068  , -2201.93    , array([ 6.18198    ,  0.018429   ,  9.05958e-41,  1.75293e-57,  0.00648995 ])
154069  , -2202.11    , array([ 6.18198    ,  0.0184106  ,  9.06865e-41,  1.75293e-57,  0.00648995 ])
154070  , -2202.11    , array([ 6.18198    ,  0.0184106  ,  9.05958e-41,  1.75469e-57,  0.00648995 ])
154071  , -2201.94    , array([ 6.18198    ,  0.0184106  ,  9.05958e-41,  1.75293e-57,  0.00649644 ])
154079  , -2198.76    , array([ 6.16373    ,  0.0186032  ,  9.05958e-41,  1.75293e-57,  0.00665878 ])
154080  , -2198.76    , array([ 6.16373    ,  0.0186032  ,  9.05958e-41,  1.75293e-57,  0.00665878 ])
