132691  , -124725     , array([ 0.0297625  ,  10.5271    ,  0.153936   ,  5.89266e-58,  0.0295698  ])
132692  , -124649     , array([ 0.0297923  ,  10.5271    ,  0.153936   ,  5.89266e-58,  0.0295698  ])
132693  , -124726     , array([ 0.0297625  ,  10.5376    ,  0.153936   ,  5.89266e-58,  0.0295698  ])
132694  , -124724     , array([ 0.0297625  ,  10.5271    ,  0.15409    ,  5.89266e-58,  0.0295698  ])
132695  , -124725     , array([ 0.0297625  ,  10.5271    ,  0.153936   ,  5.89856e-58,  0.0295698  ])
132696  , -124785     , array([ 0.0297625  ,  10.5271    ,  0.153936   ,  5.89266e-58,  0.0295994  ])
132697  , -124725     , array([ 0.0297625  ,  10.5271    ,  0.153936   ,  5.89266e-58,  0.0295698  ])
132698  , -59759.7    , array([ 0.0659316  ,  10.4279    ,  0.155162   ,  5.89266e-58,  0.0158693  ])
132699  , -59759.7    , array([ 0.0659316  ,  10.4279    ,  0.155162   ,  5.89266e-58,  0.0158693  ])
132700  , -59734.6    , array([ 0.0659976  ,  10.4279    ,  0.155162   ,  5.89266e-58,  0.0158693  ])
132701  , -59760.3    , array([ 0.0659316  ,  10.4383    ,  0.155162   ,  5.89266e-58,  0.0158693  ])
132702  , -59759.6    , array([ 0.0659316  ,  10.4279    ,  0.155317   ,  5.89266e-58,  0.0158693  ])
132703  , -59759.7    , array([ 0.0659316  ,  10.4279    ,  0.155162   ,  5.89856e-58,  0.0158693  ])
132704  , -59778.6    , array([ 0.0659316  ,  10.4279    ,  0.155162   ,  5.89266e-58,  0.0158852  ])
132712  , -59729.8    , array([ 0.0668955  ,  10.294     ,  0.154261   ,  5.89266e-58,  0.0161605  ])
132713  , -59729.8    , array([ 0.0668955  ,  10.294     ,  0.154261   ,  5.89266e-58,  0.0161605  ])
132714  , -59704.6    , array([ 0.0669625  ,  10.294     ,  0.154261   ,  5.89266e-58,  0.0161605  ])
132715  , -59730.4    , array([ 0.0668955  ,  10.3043    ,  0.154261   ,  5.89266e-58,  0.0161605  ])
132716  , -59729.7    , array([ 0.0668955  ,  10.294     ,  0.154415   ,  5.89266e-58,  0.0161605  ])
132717  , -59729.8    , array([ 0.0668955  ,  10.294     ,  0.154261   ,  5.89856e-58,  0.0161605  ])
132718  , -59748.7    , array([ 0.0668955  ,  10.294     ,  0.154261   ,  5.89266e-58,  0.0161766  ])
132719  , -59697.1    , array([ 0.0679195  ,  10.1558    ,  0.153323   ,  5.89266e-58,  0.0164708  ])
132720  , -59697.1    , array([ 0.0679195  ,  10.1558    ,  0.153323   ,  5.89266e-58,  0.0164708  ])
132721  , -59671.8    , array([ 0.0679875  ,  10.1558    ,  0.153323   ,  5.89266e-58,  0.0164708  ])
132722  , -59697.7    , array([ 0.0679195  ,  10.166     ,  0.153323   ,  5.89266e-58,  0.0164708  ])
132723  , -59697      , array([ 0.0679195  ,  10.1558    ,  0.153477   ,  5.89266e-58,  0.0164708  ])
132724  , -59697.1    , array([ 0.0679195  ,  10.1558    ,  0.153323   ,  5.89856e-58,  0.0164708  ])
132725  , -59715.9    , array([ 0.0679195  ,  10.1558    ,  0.153323   ,  5.89266e-58,  0.0164873  ])
132733  , -59688.3    , array([ 0.0681902  ,  10.1199    ,  0.153079   ,  5.89266e-58,  0.0165531  ])
132734  , -59688.3    , array([ 0.0681902  ,  10.1199    ,  0.153079   ,  5.89266e-58,  0.0165531  ])
132735  , -59663      , array([ 0.0682584  ,  10.1199    ,  0.153079   ,  5.89266e-58,  0.0165531  ])
132736  , -59688.9    , array([ 0.0681902  ,  10.1301    ,  0.153079   ,  5.89266e-58,  0.0165531  ])
132737  , -59688.2    , array([ 0.0681902  ,  10.1199    ,  0.153232   ,  5.89266e-58,  0.0165531  ])
132738  , -59688.3    , array([ 0.0681902  ,  10.1199    ,  0.153079   ,  5.89856e-58,  0.0165531  ])
132739  , -59707.1    , array([ 0.0681902  ,  10.1199    ,  0.153079   ,  5.89266e-58,  0.0165697  ])
132740  , -59679.2    , array([ 0.0684651  ,  10.0838    ,  0.152832   ,  5.89266e-58,  0.0166367  ])
132741  , -59679.2    , array([ 0.0684651  ,  10.0838    ,  0.152832   ,  5.89266e-58,  0.0166367  ])
132742  , -59654      , array([ 0.0685336  ,  10.0838    ,  0.152832   ,  5.89266e-58,  0.0166367  ])
132743  , -59679.9    , array([ 0.0684651  ,  10.0939    ,  0.152832   ,  5.89266e-58,  0.0166367  ])
132744  , -59679.1    , array([ 0.0684651  ,  10.0838    ,  0.152985   ,  5.89266e-58,  0.0166367  ])
132745  , -59679.2    , array([ 0.0684651  ,  10.0838    ,  0.152832   ,  5.89856e-58,  0.0166367  ])
132746  , -59698.1    , array([ 0.0684651  ,  10.0838    ,  0.152832   ,  5.89266e-58,  0.0166534  ])
132754  , -59676.9    , array([ 0.0685348  ,  10.0746    ,  0.15277    ,  5.89266e-58,  0.0166579  ])
132755  , -59676.9    , array([ 0.0685348  ,  10.0746    ,  0.15277    ,  5.89266e-58,  0.0166579  ])
132756  , -59651.6    , array([ 0.0686034  ,  10.0746    ,  0.15277    ,  5.89266e-58,  0.0166579  ])
132757  , -59677.6    , array([ 0.0685348  ,  10.0847    ,  0.15277    ,  5.89266e-58,  0.0166579  ])
132758  , -59676.8    , array([ 0.0685348  ,  10.0746    ,  0.152923   ,  5.89266e-58,  0.0166579  ])
132759  , -59676.9    , array([ 0.0685348  ,  10.0746    ,  0.15277    ,  5.89856e-58,  0.0166579  ])
132760  , -59695.8    , array([ 0.0685348  ,  10.0746    ,  0.15277    ,  5.89266e-58,  0.0166746  ])
132761  , -59674.6    , array([ 0.0686048  ,  10.0655    ,  0.152707   ,  5.89266e-58,  0.0166793  ])
132762  , -59674.6    , array([ 0.0686048  ,  10.0655    ,  0.152707   ,  5.89266e-58,  0.0166793  ])
132763  , -59649.3    , array([ 0.0686735  ,  10.0655    ,  0.152707   ,  5.89266e-58,  0.0166793  ])
132764  , -59675.3    , array([ 0.0686048  ,  10.0756    ,  0.152707   ,  5.89266e-58,  0.0166793  ])
132765  , -59674.5    , array([ 0.0686048  ,  10.0655    ,  0.15286    ,  5.89266e-58,  0.0166793  ])
132766  , -59674.6    , array([ 0.0686048  ,  10.0655    ,  0.152707   ,  5.89856e-58,  0.0166793  ])
132767  , -59693.5    , array([ 0.0686048  ,  10.0655    ,  0.152707   ,  5.89266e-58,  0.0166959  ])
132775  , -59674      , array([ 0.0686224  ,  10.0632    ,  0.152691   ,  5.89266e-58,  0.0166846  ])
132776  , -59674      , array([ 0.0686224  ,  10.0632    ,  0.152691   ,  5.89266e-58,  0.0166846  ])
132777  , -59648.8    , array([ 0.0686911  ,  10.0632    ,  0.152691   ,  5.89266e-58,  0.0166846  ])
132778  , -59674.7    , array([ 0.0686224  ,  10.0733    ,  0.152691   ,  5.89266e-58,  0.0166846  ])
132779  , -59673.9    , array([ 0.0686224  ,  10.0632    ,  0.152844   ,  5.89266e-58,  0.0166846  ])
132780  , -59674      , array([ 0.0686224  ,  10.0632    ,  0.152691   ,  5.89856e-58,  0.0166846  ])
132781  , -59692.9    , array([ 0.0686224  ,  10.0632    ,  0.152691   ,  5.89266e-58,  0.0167013  ])
132782  , -59673.5    , array([ 0.06864    ,  10.0609    ,  0.152676   ,  5.89266e-58,  0.01669    ])
132783  , -59673.5    , array([ 0.06864    ,  10.0609    ,  0.152676   ,  5.89266e-58,  0.01669    ])
132784  , -59648.2    , array([ 0.0687087  ,  10.0609    ,  0.152676   ,  5.89266e-58,  0.01669    ])
132785  , -59674.1    , array([ 0.06864    ,  10.071     ,  0.152676   ,  5.89266e-58,  0.01669    ])
132786  , -59673.4    , array([ 0.06864    ,  10.0609    ,  0.152828   ,  5.89266e-58,  0.01669    ])
132787  , -59673.5    , array([ 0.06864    ,  10.0609    ,  0.152676   ,  5.89856e-58,  0.01669    ])
132788  , -59692.3    , array([ 0.06864    ,  10.0609    ,  0.152676   ,  5.89266e-58,  0.0167067  ])
132789  , -275995     , array([ 4.32919    ,  0.251804   ,  0.0289514  ,  5.89266e-58,  2.99579    ])
132790  , -275995     , array([ 4.32919    ,  0.251804   ,  0.0289514  ,  5.89266e-58,  2.99579    ])
132791  , -276040     , array([ 4.33352    ,  0.251804   ,  0.0289514  ,  5.89266e-58,  2.99579    ])
132792  , -275848     , array([ 4.32919    ,  0.252056   ,  0.0289514  ,  5.89266e-58,  2.99579    ])
132793  , -275959     , array([ 4.32919    ,  0.251804   ,  0.0289804  ,  5.89266e-58,  2.99579    ])
132794  , -275995     , array([ 4.32919    ,  0.251804   ,  0.0289514  ,  5.89856e-58,  2.99579    ])
132795  , -276058     , array([ 4.32919    ,  0.251804   ,  0.0289514  ,  5.89266e-58,  2.99878    ])
132796  , -53864.8    , array([ 0.183537   ,  4.19316    ,  0.102895   ,  5.89266e-58,  0.0572009  ])
132797  , -53864.8    , array([ 0.183537   ,  4.19316    ,  0.102895   ,  5.89266e-58,  0.0572009  ])
132798  , -53836.4    , array([ 0.183721   ,  4.19316    ,  0.102895   ,  5.89266e-58,  0.0572009  ])
132799  , -53868.9    , array([ 0.183537   ,  4.19735    ,  0.102895   ,  5.89266e-58,  0.0572009  ])
132800  , -53864.6    , array([ 0.183537   ,  4.19316    ,  0.102998   ,  5.89266e-58,  0.0572009  ])
132801  , -53864.8    , array([ 0.183537   ,  4.19316    ,  0.102895   ,  5.89856e-58,  0.0572009  ])
132802  , -53882.4    , array([ 0.183537   ,  4.19316    ,  0.102895   ,  5.89266e-58,  0.0572581  ])
132803  , -40181.4    , array([ 0.485899   ,  1.76317    ,  0.0696239  ,  5.89266e-58,  0.193612   ])
132804  , -40181.4    , array([ 0.485899   ,  1.76317    ,  0.0696239  ,  5.89266e-58,  0.193612   ])
132805  , -40150.4    , array([ 0.486385   ,  1.76317    ,  0.0696239  ,  5.89266e-58,  0.193612   ])
132806  , -40194.1    , array([ 0.485899   ,  1.76494    ,  0.0696239  ,  5.89266e-58,  0.193612   ])
132807  , -40180.8    , array([ 0.485899   ,  1.76317    ,  0.0696936  ,  5.89266e-58,  0.193612   ])
132808  , -40181.4    , array([ 0.485899   ,  1.76317    ,  0.0696239  ,  5.89856e-58,  0.193612   ])
132809  , -40202.2    , array([ 0.485899   ,  1.76317    ,  0.0696239  ,  5.89266e-58,  0.193806   ])
132810  , -37408.2    , array([ 0.588477   ,  1.48687    ,  0.064474   ,  5.89266e-58,  0.246098   ])
132811  , -37408.2    , array([ 0.588477   ,  1.48687    ,  0.064474   ,  5.89266e-58,  0.246098   ])
132812  , -37377.4    , array([ 0.589065   ,  1.48687    ,  0.064474   ,  5.89266e-58,  0.246098   ])
132813  , -37420.8    , array([ 0.588477   ,  1.48836    ,  0.064474   ,  5.89266e-58,  0.246098   ])
132814  , -37407.4    , array([ 0.588477   ,  1.48687    ,  0.0645386  ,  5.89266e-58,  0.246098   ])
132815  , -37408.2    , array([ 0.588477   ,  1.48687    ,  0.064474   ,  5.89856e-58,  0.246098   ])
132816  , -37431.5    , array([ 0.588477   ,  1.48687    ,  0.064474   ,  5.89266e-58,  0.246344   ])
132817  , -35478      , array([ 0.781927   ,  1.15461    ,  0.0575256  ,  5.89266e-58,  0.351316   ])
132818  , -35478      , array([ 0.781927   ,  1.15461    ,  0.0575256  ,  5.89266e-58,  0.351316   ])
132819  , -35448.8    , array([ 0.782709   ,  1.15461    ,  0.0575256  ,  5.89266e-58,  0.351316   ])
132820  , -35486.4    , array([ 0.781927   ,  1.15576    ,  0.0575256  ,  5.89266e-58,  0.351316   ])
132821  , -35476.6    , array([ 0.781927   ,  1.15461    ,  0.0575832  ,  5.89266e-58,  0.351316   ])
132822  , -35478      , array([ 0.781927   ,  1.15461    ,  0.0575256  ,  5.89856e-58,  0.351316   ])
132823  , -35507.5    , array([ 0.781927   ,  1.15461    ,  0.0575256  ,  5.89266e-58,  0.351667   ])
132831  , -35474.1    , array([ 0.783379   ,  1.15193    ,  0.0574821  ,  5.89266e-58,  0.352134   ])
132832  , -35474.1    , array([ 0.783379   ,  1.15193    ,  0.0574821  ,  5.89266e-58,  0.352134   ])
132833  , -35444.9    , array([ 0.784163   ,  1.15193    ,  0.0574821  ,  5.89266e-58,  0.352134   ])
132834  , -35482.4    , array([ 0.783379   ,  1.15308    ,  0.0574821  ,  5.89266e-58,  0.352134   ])
132835  , -35472.7    , array([ 0.783379   ,  1.15193    ,  0.0575396  ,  5.89266e-58,  0.352134   ])
132836  , -35474.1    , array([ 0.783379   ,  1.15193    ,  0.0574821  ,  5.89856e-58,  0.352134   ])
132837  , -35503.6    , array([ 0.783379   ,  1.15193    ,  0.0574821  ,  5.89266e-58,  0.352487   ])
132838  , -35465.2    , array([ 0.78724    ,  1.14487    ,  0.0573668  ,  5.89266e-58,  0.354313   ])
132839  , -35465.2    , array([ 0.78724    ,  1.14487    ,  0.0573668  ,  5.89266e-58,  0.354313   ])
132840  , -35436.1    , array([ 0.788027   ,  1.14487    ,  0.0573668  ,  5.89266e-58,  0.354313   ])
132841  , -35473.4    , array([ 0.78724    ,  1.14602    ,  0.0573668  ,  5.89266e-58,  0.354313   ])
132842  , -35463.8    , array([ 0.78724    ,  1.14487    ,  0.0574242  ,  5.89266e-58,  0.354313   ])
132843  , -35465.2    , array([ 0.78724    ,  1.14487    ,  0.0573668  ,  5.89856e-58,  0.354313   ])
132844  , -35494.9    , array([ 0.78724    ,  1.14487    ,  0.0573668  ,  5.89266e-58,  0.354667   ])
132845  , -35434.1    , array([ 0.781987   ,  1.13983    ,  0.0527649  ,  5.89266e-58,  0.350681   ])
132846  , -35434.1    , array([ 0.781987   ,  1.13983    ,  0.0527649  ,  5.89266e-58,  0.350681   ])
132847  , -35404.9    , array([ 0.782769   ,  1.13983    ,  0.0527649  ,  5.89266e-58,  0.350681   ])
132848  , -35442.3    , array([ 0.781987   ,  1.14097    ,  0.0527649  ,  5.89266e-58,  0.350681   ])
132849  , -35432.8    , array([ 0.781987   ,  1.13983    ,  0.0528177  ,  5.89266e-58,  0.350681   ])
132850  , -35434.1    , array([ 0.781987   ,  1.13983    ,  0.0527649  ,  5.89856e-58,  0.350681   ])
132851  , -35463.9    , array([ 0.781987   ,  1.13983    ,  0.0527649  ,  5.89266e-58,  0.351032   ])
132852  , -35215.3    , array([ 0.761323   ,  1.11988    ,  0.0377643  ,  5.89266e-58,  0.336522   ])
132853  , -35215.3    , array([ 0.761323   ,  1.11988    ,  0.0377643  ,  5.89266e-58,  0.336522   ])
132854  , -35185.9    , array([ 0.762085   ,  1.11988    ,  0.0377643  ,  5.89266e-58,  0.336522   ])
132855  , -35223.5    , array([ 0.761323   ,  1.121      ,  0.0377643  ,  5.89266e-58,  0.336522   ])
132856  , -35214.4    , array([ 0.761323   ,  1.11988    ,  0.0378021  ,  5.89266e-58,  0.336522   ])
132857  , -35215.3    , array([ 0.761323   ,  1.11988    ,  0.0377643  ,  5.89856e-58,  0.336522   ])
132858  , -35245.2    , array([ 0.761323   ,  1.11988    ,  0.0377643  ,  5.89266e-58,  0.336859   ])
132859  , -33571.5    , array([ 0.683988   ,  1.04353    ,  0.00990897 ,  5.89266e-58,  0.285376   ])
132860  , -33571.5    , array([ 0.683988   ,  1.04353    ,  0.00990897 ,  5.89266e-58,  0.285376   ])
132861  , -33542.1    , array([ 0.684672   ,  1.04353    ,  0.00990897 ,  5.89266e-58,  0.285376   ])
132862  , -33580.3    , array([ 0.683988   ,  1.04458    ,  0.00990897 ,  5.89266e-58,  0.285376   ])
132863  , -33571.3    , array([ 0.683988   ,  1.04353    ,  0.00991888 ,  5.89266e-58,  0.285376   ])
132864  , -33571.5    , array([ 0.683988   ,  1.04353    ,  0.00990897 ,  5.89856e-58,  0.285376   ])
132865  , -33599.8    , array([ 0.683988   ,  1.04353    ,  0.00990897 ,  5.89266e-58,  0.285662   ])
132866  , -28119.9    , array([ 0.44562    ,  0.786751   ,  4.69695e-05,  5.89266e-58,  0.147583   ])
132867  , -28119.9    , array([ 0.44562    ,  0.786751   ,  4.69695e-05,  5.89266e-58,  0.147583   ])
132868  , -28092.9    , array([ 0.446065   ,  0.786751   ,  4.69695e-05,  5.89266e-58,  0.147583   ])
132869  , -28131.5    , array([ 0.44562    ,  0.787538   ,  4.69695e-05,  5.89266e-58,  0.147583   ])
132870  , -28119.9    , array([ 0.44562    ,  0.786751   ,  4.70165e-05,  5.89266e-58,  0.147583   ])
132871  , -28119.9    , array([ 0.44562    ,  0.786751   ,  4.69695e-05,  5.89856e-58,  0.147583   ])
132872  , -28136.9    , array([ 0.44562    ,  0.786751   ,  4.69695e-05,  5.89266e-58,  0.14773    ])
132873  , -27571.4    , array([ 0.278145   ,  0.576636   ,  1.30371e-07,  5.89266e-58,  0.071452   ])
132874  , -27571.4    , array([ 0.278145   ,  0.576636   ,  1.30371e-07,  5.89266e-58,  0.071452   ])
132875  , -27547.7    , array([ 0.278424   ,  0.576636   ,  1.30371e-07,  5.89266e-58,  0.071452   ])
132876  , -27584.8    , array([ 0.278145   ,  0.577213   ,  1.30371e-07,  5.89266e-58,  0.071452   ])
132877  , -27571.4    , array([ 0.278145   ,  0.576636   ,  1.30502e-07,  5.89266e-58,  0.071452   ])
132878  , -27571.4    , array([ 0.278145   ,  0.576636   ,  1.30371e-07,  5.89856e-58,  0.071452   ])
132879  , -27579      , array([ 0.278145   ,  0.576636   ,  1.30371e-07,  5.89266e-58,  0.0715235  ])
132880  , -17494.2    , array([ 0.85126    ,  0.733977   ,  0.000894278,  5.89266e-58,  0.187776   ])
132881  , -17494.2    , array([ 0.85126    ,  0.733977   ,  0.000894278,  5.89266e-58,  0.187776   ])
132882  , -17479.2    , array([ 0.852111   ,  0.733977   ,  0.000894278,  5.89266e-58,  0.187776   ])
132883  , -17502.2    , array([ 0.85126    ,  0.734712   ,  0.000894278,  5.89266e-58,  0.187776   ])
132884  , -17494.2    , array([ 0.85126    ,  0.733977   ,  0.000895173,  5.89266e-58,  0.187776   ])
132885  , -17494.2    , array([ 0.85126    ,  0.733977   ,  0.000894278,  5.89856e-58,  0.187776   ])
132886  , -17507.1    , array([ 0.85126    ,  0.733977   ,  0.000894278,  5.89266e-58,  0.187964   ])
132887  , -5548.31    , array([ 0.904322   ,  0.28336    ,  1.14275e-07,  5.89266e-58,  0.0751349  ])
