23872   , -2540.25    , array([ 1.2496     ,  13.6532    ,  2.50948e-36,  0.0100467  ])
23873   , -2540.25    , array([ 1.25085    ,  13.6532    ,  2.50948e-36,  0.0100467  ])
23874   , -2540.27    , array([ 1.2496     ,  13.6669    ,  2.50948e-36,  0.0100467  ])
23875   , -2540.25    , array([ 1.2496     ,  13.6532    ,  2.51199e-36,  0.0100467  ])
23876   , -2540.48    , array([ 1.2496     ,  13.6532    ,  2.50948e-36,  0.0100568  ])
23877   , -2540.25    , array([ 1.2496     ,  13.6532    ,  2.50948e-36,  0.0100467  ])
23878   , -2405.18    , array([ 1.2496     ,  12.5903    ,  2.50948e-36,  0.00367114 ])
23879   , -2405.18    , array([ 1.2496     ,  12.5903    ,  2.50948e-36,  0.00367114 ])
23880   , -2405.18    , array([ 1.25085    ,  12.5903    ,  2.50948e-36,  0.00367114 ])
23881   , -2405.19    , array([ 1.2496     ,  12.6028    ,  2.50948e-36,  0.00367114 ])
23882   , -2405.18    , array([ 1.2496     ,  12.5903    ,  2.51199e-36,  0.00367114 ])
23883   , -2405.25    , array([ 1.2496     ,  12.5903    ,  2.50948e-36,  0.00367481 ])
23884   , -2377.33    , array([ 1.2496     ,  6.59262    ,  2.50948e-36,  0.00240793 ])
23885   , -2377.33    , array([ 1.2496     ,  6.59262    ,  2.50948e-36,  0.00240793 ])
23886   , -2377.33    , array([ 1.25085    ,  6.59262    ,  2.50948e-36,  0.00240793 ])
23887   , -2377.33    , array([ 1.2496     ,  6.59922    ,  2.50948e-36,  0.00240793 ])
23888   , -2377.33    , array([ 1.2496     ,  6.59262    ,  2.51199e-36,  0.00240793 ])
23889   , -2377.37    , array([ 1.2496     ,  6.59262    ,  2.50948e-36,  0.00241034 ])
23890   , -1949.02    , array([ 1.2496     ,  0.0472693  ,  2.50948e-36,  0.00151354 ])
23891   , -1949.02    , array([ 1.2496     ,  0.0472693  ,  2.50948e-36,  0.00151354 ])
23892   , -1949.02    , array([ 1.25085    ,  0.0472693  ,  2.50948e-36,  0.00151354 ])
23893   , -1949.27    , array([ 1.2496     ,  0.0473166  ,  2.50948e-36,  0.00151354 ])
23894   , -1949.02    , array([ 1.2496     ,  0.0472693  ,  2.51199e-36,  0.00151354 ])
23895   , -1948.77    , array([ 1.2496     ,  0.0472693  ,  2.50948e-36,  0.00151505 ])
23902   , -1948.98    , array([ 1.2496     ,  0.0472624  ,  2.50948e-36,  0.00151352 ])
23903   , -1948.98    , array([ 1.2496     ,  0.0472624  ,  2.50948e-36,  0.00151352 ])
23904   , -1948.98    , array([ 1.25085    ,  0.0472624  ,  2.50948e-36,  0.00151352 ])
23905   , -1949.23    , array([ 1.2496     ,  0.0473096  ,  2.50948e-36,  0.00151352 ])
23906   , -1948.98    , array([ 1.2496     ,  0.0472624  ,  2.51199e-36,  0.00151352 ])
23907   , -1948.74    , array([ 1.2496     ,  0.0472624  ,  2.50948e-36,  0.00151503 ])
23908   , -1943.77    , array([ 1.2496     ,  0.0461912  ,  2.50948e-36,  0.00151026 ])
23909   , -1943.77    , array([ 1.2496     ,  0.0461912  ,  2.50948e-36,  0.00151026 ])
23910   , -1943.77    , array([ 1.25085    ,  0.0461912  ,  2.50948e-36,  0.00151026 ])
23911   , -1944.02    , array([ 1.2496     ,  0.0462374  ,  2.50948e-36,  0.00151026 ])
23912   , -1943.77    , array([ 1.2496     ,  0.0461912  ,  2.51199e-36,  0.00151026 ])
23913   , -1943.53    , array([ 1.2496     ,  0.0461912  ,  2.50948e-36,  0.00151177 ])
23920   , -1943.76    , array([ 1.2496     ,  0.0461895  ,  2.50948e-36,  0.00151025 ])
23921   , -1943.76    , array([ 1.2496     ,  0.0461895  ,  2.50948e-36,  0.00151025 ])
23922   , -1943.76    , array([ 1.25085    ,  0.0461895  ,  2.50948e-36,  0.00151025 ])
23923   , -1944.01    , array([ 1.2496     ,  0.0462357  ,  2.50948e-36,  0.00151025 ])
23924   , -1943.76    , array([ 1.2496     ,  0.0461895  ,  2.51199e-36,  0.00151025 ])
23925   , -1943.52    , array([ 1.2496     ,  0.0461895  ,  2.50948e-36,  0.00151177 ])
23932   , -1943.76    , array([ 1.2496     ,  0.0461887  ,  2.50948e-36,  0.00151025 ])
23933   , -1943.76    , array([ 1.2496     ,  0.0461887  ,  2.50948e-36,  0.00151025 ])
23934   , -1943.76    , array([ 1.25085    ,  0.0461887  ,  2.50948e-36,  0.00151025 ])
23935   , -1944.01    , array([ 1.2496     ,  0.0462349  ,  2.50948e-36,  0.00151025 ])
