324107  , -60844      , array([ 0.0115293  ,  0.00404139 ,  9.66089e-05,  8.06847e-34,  0.00545957 ])
324108  , -60812.1    , array([ 0.0115408  ,  0.00404139 ,  9.66089e-05,  8.06847e-34,  0.00545957 ])
324109  , -60803.1    , array([ 0.0115293  ,  0.00404543 ,  9.66089e-05,  8.06847e-34,  0.00545957 ])
324110  , -60844      , array([ 0.0115293  ,  0.00404139 ,  9.67056e-05,  8.06847e-34,  0.00545957 ])
324111  , -60844      , array([ 0.0115293  ,  0.00404139 ,  9.66089e-05,  8.07654e-34,  0.00545957 ])
324112  , -60915.4    , array([ 0.0115293  ,  0.00404139 ,  9.66089e-05,  8.06847e-34,  0.00546504 ])
324113  , -60844      , array([ 0.0115293  ,  0.00404139 ,  9.66089e-05,  8.06847e-34,  0.00545957 ])
324114  , -11797.3    , array([ 0.016608   ,  0.00645289 ,  9.6609e-05 ,  8.06847e-34,  0.00241117 ])
324115  , -11797.3    , array([ 0.016608   ,  0.00645289 ,  9.6609e-05 ,  8.06847e-34,  0.00241117 ])
324116  , -11783      , array([ 0.0166246  ,  0.00645289 ,  9.6609e-05 ,  8.06847e-34,  0.00241117 ])
324117  , -11797.2    , array([ 0.016608   ,  0.00645935 ,  9.6609e-05 ,  8.06847e-34,  0.00241117 ])
324118  , -11797.3    , array([ 0.016608   ,  0.00645289 ,  9.67057e-05,  8.06847e-34,  0.00241117 ])
324119  , -11797.3    , array([ 0.016608   ,  0.00645289 ,  9.6609e-05 ,  8.07654e-34,  0.00241117 ])
324120  , -11811.5    , array([ 0.016608   ,  0.00645289 ,  9.6609e-05 ,  8.06847e-34,  0.00241358 ])
324128  , -11781      , array([ 0.0166235  ,  0.00644834 ,  9.6609e-05 ,  8.06847e-34,  0.00241065 ])
324129  , -11781      , array([ 0.0166235  ,  0.00644834 ,  9.6609e-05 ,  8.06847e-34,  0.00241065 ])
324130  , -11766.7    , array([ 0.0166402  ,  0.00644834 ,  9.6609e-05 ,  8.06847e-34,  0.00241065 ])
324131  , -11780.8    , array([ 0.0166235  ,  0.00645479 ,  9.6609e-05 ,  8.06847e-34,  0.00241065 ])
324132  , -11781      , array([ 0.0166235  ,  0.00644834 ,  9.67057e-05,  8.06847e-34,  0.00241065 ])
324133  , -11781      , array([ 0.0166235  ,  0.00644834 ,  9.6609e-05 ,  8.07654e-34,  0.00241065 ])
324134  , -11795.1    , array([ 0.0166235  ,  0.00644834 ,  9.6609e-05 ,  8.06847e-34,  0.00241306 ])
324135  , -7509.76    , array([ 0.0256905  ,  0.00463971 ,  9.6609e-05 ,  8.06847e-34,  0.00217968 ])
324136  , -7509.76    , array([ 0.0256905  ,  0.00463971 ,  9.6609e-05 ,  8.06847e-34,  0.00217968 ])
324137  , -7503.44    , array([ 0.0257162  ,  0.00463971 ,  9.6609e-05 ,  8.06847e-34,  0.00217968 ])
324138  , -7501.07    , array([ 0.0256905  ,  0.00464435 ,  9.6609e-05 ,  8.06847e-34,  0.00217968 ])
324139  , -7509.76    , array([ 0.0256905  ,  0.00463971 ,  9.67056e-05,  8.06847e-34,  0.00217968 ])
324140  , -7509.76    , array([ 0.0256905  ,  0.00463971 ,  9.6609e-05 ,  8.07654e-34,  0.00217968 ])
324141  , -7524.51    , array([ 0.0256905  ,  0.00463971 ,  9.6609e-05 ,  8.06847e-34,  0.00218186 ])
324149  , -7509.72    , array([ 0.0256894  ,  0.00463951 ,  9.6609e-05 ,  8.06847e-34,  0.00217958 ])
324150  , -7509.72    , array([ 0.0256894  ,  0.00463951 ,  9.6609e-05 ,  8.06847e-34,  0.00217958 ])
