17592   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17593   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17594   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17595   , -2771.11    , array([ 0.617263   ,  96.1325    ,  9.12979e-32,  0.018272   ])
17596   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17597   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17604   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17605   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17606   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17607   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17608   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17609   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17616   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17617   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17618   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17619   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17620   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17621   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17628   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17629   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17630   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17631   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17632   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17633   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17640   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17641   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17642   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17643   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17644   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17645   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17652   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17653   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17654   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17655   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17656   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17657   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17664   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17665   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.018272   ])
17666   , -2771.1     , array([ 0.61788    ,  96.0365    ,  9.12979e-32,  0.018272   ])
17667   , -2771.11    , array([ 0.617263   ,  96.1326    ,  9.12979e-32,  0.018272   ])
17668   , -2771.1     , array([ 0.617263   ,  96.0365    ,  9.13892e-32,  0.018272   ])
17669   , -2771.61    , array([ 0.617263   ,  96.0365    ,  9.12979e-32,  0.0182903  ])
17670   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17671   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17672   , -2755.57    , array([ 0.61788    ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17673   , -2755.57    , array([ 0.617263   ,  99.1561    ,  9.12979e-32,  0.0177051  ])
17674   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.13892e-32,  0.0177051  ])
17675   , -2756.06    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177228  ])
17682   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17683   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17684   , -2755.57    , array([ 0.61788    ,  99.0569    ,  9.12979e-32,  0.0177051  ])
17685   , -2755.57    , array([ 0.617263   ,  99.1561    ,  9.12979e-32,  0.0177051  ])
17686   , -2755.57    , array([ 0.617263   ,  99.0569    ,  9.13892e-32,  0.0177051  ])
17687   , -2756.06    , array([ 0.617263   ,  99.0569    ,  9.12979e-32,  0.0177228  ])
17688   , -2752.16    , array([ 0.617263   ,  99.7477    ,  9.12979e-32,  0.0175803  ])
