25654   , -2336.8     , array([ 0.386362   ,  0.0492713  ,  5.64548e-63,  2.7733e-10 ])
25655   , -2336.8     , array([ 0.386748   ,  0.0492713  ,  5.64548e-63,  2.7733e-10 ])
25656   , -2336.8     , array([ 0.386362   ,  0.0493206  ,  5.64548e-63,  2.7733e-10 ])
25657   , -2336.8     , array([ 0.386362   ,  0.0492713  ,  5.65113e-63,  2.7733e-10 ])
25658   , -2336.8     , array([ 0.386362   ,  0.0492713  ,  5.64548e-63,  2.77607e-10])
25659   , -2336.8     , array([ 0.386362   ,  0.0492713  ,  5.64548e-63,  2.7733e-10 ])
25660   , -2336.8     , array([ 0.386362   ,  0.049266   ,  5.64548e-63,  2.77358e-10])
25661   , -2336.8     , array([ 0.386362   ,  0.049266   ,  5.64548e-63,  2.77358e-10])
25662   , -2336.8     , array([ 0.386748   ,  0.049266   ,  5.64548e-63,  2.77358e-10])
25663   , -2336.8     , array([ 0.386362   ,  0.0493153  ,  5.64548e-63,  2.77358e-10])
25664   , -2336.8     , array([ 0.386362   ,  0.049266   ,  5.65113e-63,  2.77358e-10])
25665   , -2336.8     , array([ 0.386362   ,  0.049266   ,  5.64548e-63,  2.77636e-10])
25666   , -2336.8     , array([ 0.386362   ,  0.0492447  ,  5.64548e-63,  2.77472e-10])
25667   , -2336.8     , array([ 0.386362   ,  0.0492447  ,  5.64548e-63,  2.77472e-10])
25668   , -2336.8     , array([ 0.386748   ,  0.0492447  ,  5.64548e-63,  2.77472e-10])
25669   , -2336.8     , array([ 0.386362   ,  0.049294   ,  5.64548e-63,  2.77472e-10])
25670   , -2336.8     , array([ 0.386362   ,  0.0492447  ,  5.65113e-63,  2.77472e-10])
25671   , -2336.8     , array([ 0.386362   ,  0.0492447  ,  5.64548e-63,  2.7775e-10 ])
25672   , -2336.8     , array([ 0.386362   ,  0.0491596  ,  5.64548e-63,  2.77929e-10])
25673   , -2336.8     , array([ 0.386362   ,  0.0491596  ,  5.64548e-63,  2.77929e-10])
25674   , -2336.8     , array([ 0.386748   ,  0.0491596  ,  5.64548e-63,  2.77929e-10])
25675   , -2336.8     , array([ 0.386362   ,  0.0492088  ,  5.64548e-63,  2.77929e-10])
25676   , -2336.8     , array([ 0.386362   ,  0.0491596  ,  5.65113e-63,  2.77929e-10])
25677   , -2336.8     , array([ 0.386362   ,  0.0491596  ,  5.64548e-63,  2.78207e-10])
25678   , -2336.8     , array([ 0.386362   ,  0.0488207  ,  5.64548e-63,  2.79766e-10])
25679   , -2336.8     , array([ 0.386362   ,  0.0488207  ,  5.64548e-63,  2.79766e-10])
25680   , -2336.8     , array([ 0.386748   ,  0.0488207  ,  5.64548e-63,  2.79766e-10])
25681   , -2336.8     , array([ 0.386362   ,  0.0488696  ,  5.64548e-63,  2.79766e-10])
25682   , -2336.8     , array([ 0.386362   ,  0.0488207  ,  5.65113e-63,  2.79766e-10])
25683   , -2336.8     , array([ 0.386362   ,  0.0488207  ,  5.64548e-63,  2.80045e-10])
25684   , -2336.8     , array([ 0.386362   ,  0.0474883  ,  5.64548e-63,  2.87232e-10])
25685   , -2336.8     , array([ 0.386362   ,  0.0474883  ,  5.64548e-63,  2.87232e-10])
25686   , -2336.8     , array([ 0.386748   ,  0.0474883  ,  5.64548e-63,  2.87232e-10])
25687   , -2336.8     , array([ 0.386362   ,  0.0475358  ,  5.64548e-63,  2.87232e-10])
25688   , -2336.8     , array([ 0.386362   ,  0.0474883  ,  5.65113e-63,  2.87232e-10])
25689   , -2336.8     , array([ 0.386362   ,  0.0474883  ,  5.64548e-63,  2.87519e-10])
25690   , -2336.8     , array([ 0.386362   ,  0.0425126  ,  5.64548e-63,  3.19145e-10])
25691   , -2336.8     , array([ 0.386362   ,  0.0425126  ,  5.64548e-63,  3.19145e-10])
25692   , -2336.8     , array([ 0.386748   ,  0.0425126  ,  5.64548e-63,  3.19145e-10])
25693   , -2336.8     , array([ 0.386362   ,  0.0425551  ,  5.64548e-63,  3.19145e-10])
25694   , -2336.8     , array([ 0.386362   ,  0.0425126  ,  5.65113e-63,  3.19145e-10])
25695   , -2336.8     , array([ 0.386362   ,  0.0425126  ,  5.64548e-63,  3.19464e-10])
25696   , -2336.8     , array([ 0.386362   ,  0.0273048  ,  5.64548e-63,  4.86416e-10])
25697   , -2336.8     , array([ 0.386362   ,  0.0273048  ,  5.64548e-63,  4.86416e-10])
25698   , -2336.8     , array([ 0.386748   ,  0.0273048  ,  5.64548e-63,  4.86416e-10])
25699   , -2336.8     , array([ 0.386362   ,  0.0273322  ,  5.64548e-63,  4.86416e-10])
25700   , -2336.8     , array([ 0.386362   ,  0.0273048  ,  5.65113e-63,  4.86416e-10])
25701   , -2336.8     , array([ 0.386362   ,  0.0273048  ,  5.64548e-63,  4.86903e-10])
25702   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25703   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25704   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25705   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25706   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25707   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25714   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25715   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25716   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25717   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25718   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25719   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25720   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25721   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25722   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25723   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25724   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25725   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25732   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25733   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25734   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25735   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25736   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25737   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25738   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25739   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25740   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25741   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25742   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25743   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25744   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25745   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25746   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25747   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25748   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25749   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25750   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25751   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25752   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25753   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25754   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25755   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25756   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25757   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25758   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25759   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25760   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25761   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25762   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25763   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25764   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25765   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25766   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25767   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25768   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25769   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25770   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25771   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25772   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25773   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25774   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25775   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25776   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25777   , -2336.79    , array([ 0.386362   ,  0.00465118 ,  5.64548e-63,  2.62476e-09])
25778   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.65113e-63,  2.62476e-09])
25779   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62738e-09])
25780   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25781   , -2336.79    , array([ 0.386362   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
25782   , -2336.79    , array([ 0.386748   ,  0.00464653 ,  5.64548e-63,  2.62476e-09])
