2914    , -90787.5    , array([ 2.84476    ,  0.00167841 ,  1.66425e-11,  6.19681e-11,  0.00467801 ])
2915    , -90787.6    , array([ 2.8476     ,  0.00167841 ,  1.66425e-11,  6.19681e-11,  0.00467801 ])
2916    , -90681.5    , array([ 2.84476    ,  0.00168009 ,  1.66425e-11,  6.19681e-11,  0.00467801 ])
2917    , -90787.5    , array([ 2.84476    ,  0.00167841 ,  1.66591e-11,  6.19681e-11,  0.00467801 ])
2918    , -90787.5    , array([ 2.84476    ,  0.00167841 ,  1.66425e-11,  6.20301e-11,  0.00467801 ])
2919    , -90890.9    , array([ 2.84476    ,  0.00167841 ,  1.66425e-11,  6.19681e-11,  0.00468269 ])
2920    , -90787.5    , array([ 2.84476    ,  0.00167841 ,  1.66425e-11,  6.19681e-11,  0.00467801 ])
2921    , -9936.66    , array([ 2.84375    ,  0.0034588  ,  1.66425e-11,  6.19681e-11,  0.00231106 ])
2922    , -9936.66    , array([ 2.84375    ,  0.0034588  ,  1.66425e-11,  6.19681e-11,  0.00231106 ])
2923    , -9936.68    , array([ 2.8466     ,  0.0034588  ,  1.66425e-11,  6.19681e-11,  0.00231106 ])
2924    , -9913.44    , array([ 2.84375    ,  0.00346226 ,  1.66425e-11,  6.19681e-11,  0.00231106 ])
2925    , -9936.66    , array([ 2.84375    ,  0.0034588  ,  1.66591e-11,  6.19681e-11,  0.00231106 ])
2926    , -9936.66    , array([ 2.84375    ,  0.0034588  ,  1.66425e-11,  6.20301e-11,  0.00231106 ])
2927    , -9959.47    , array([ 2.84375    ,  0.0034588  ,  1.66425e-11,  6.19681e-11,  0.00231337 ])
2935    , -9935.01    , array([ 2.84231    ,  0.00343798 ,  1.66425e-11,  6.19681e-11,  0.00229671 ])
2936    , -9935.01    , array([ 2.84231    ,  0.00343798 ,  1.66425e-11,  6.19681e-11,  0.00229671 ])
2937    , -9935.03    , array([ 2.84515    ,  0.00343798 ,  1.66425e-11,  6.19681e-11,  0.00229671 ])
2938    , -9911.8     , array([ 2.84231    ,  0.00344142 ,  1.66425e-11,  6.19681e-11,  0.00229671 ])
2939    , -9935.01    , array([ 2.84231    ,  0.00343798 ,  1.66591e-11,  6.19681e-11,  0.00229671 ])
2940    , -9935.01    , array([ 2.84231    ,  0.00343798 ,  1.66425e-11,  6.20301e-11,  0.00229671 ])
2941    , -9957.83    , array([ 2.84231    ,  0.00343798 ,  1.66425e-11,  6.19681e-11,  0.00229901 ])
2942    , -9933.34    , array([ 2.84085    ,  0.00341714 ,  1.66425e-11,  6.19681e-11,  0.00228236 ])
2943    , -9933.34    , array([ 2.84085    ,  0.00341714 ,  1.66425e-11,  6.19681e-11,  0.00228236 ])
2944    , -9933.36    , array([ 2.84369    ,  0.00341714 ,  1.66425e-11,  6.19681e-11,  0.00228236 ])
2945    , -9910.13    , array([ 2.84085    ,  0.00342056 ,  1.66425e-11,  6.19681e-11,  0.00228236 ])
2946    , -9933.34    , array([ 2.84085    ,  0.00341714 ,  1.66591e-11,  6.19681e-11,  0.00228236 ])
2947    , -9933.34    , array([ 2.84085    ,  0.00341714 ,  1.66425e-11,  6.20301e-11,  0.00228236 ])
2948    , -9956.15    , array([ 2.84085    ,  0.00341714 ,  1.66425e-11,  6.19681e-11,  0.00228464 ])
2956    , -9932.92    , array([ 2.84048    ,  0.00341192 ,  1.66425e-11,  6.19681e-11,  0.00227876 ])
2957    , -9932.92    , array([ 2.84048    ,  0.00341192 ,  1.66425e-11,  6.19681e-11,  0.00227876 ])
2958    , -9932.94    , array([ 2.84333    ,  0.00341192 ,  1.66425e-11,  6.19681e-11,  0.00227876 ])
2959    , -9909.71    , array([ 2.84048    ,  0.00341533 ,  1.66425e-11,  6.19681e-11,  0.00227876 ])
2960    , -9932.92    , array([ 2.84048    ,  0.00341192 ,  1.66591e-11,  6.19681e-11,  0.00227876 ])
