5544    , -1983.96    , array([ 1.69085    ,  0.275768   ,  6.83702e-21,  0.00937613 ])
5545    , -1983.96    , array([ 1.69254    ,  0.275768   ,  6.83702e-21,  0.00937613 ])
5546    , -1984.31    , array([ 1.69085    ,  0.276044   ,  6.83702e-21,  0.00937613 ])
5547    , -1983.96    , array([ 1.69085    ,  0.275768   ,  6.84386e-21,  0.00937613 ])
5548    , -1983.69    , array([ 1.69085    ,  0.275768   ,  6.83702e-21,  0.00938551 ])
5549    , -1983.96    , array([ 1.69085    ,  0.275768   ,  6.83702e-21,  0.00937613 ])
5550    , -1607.76    , array([ 1.69085    ,  0.123819   ,  6.83702e-21,  0.0173525  ])
5551    , -1607.76    , array([ 1.69085    ,  0.123819   ,  6.83702e-21,  0.0173525  ])
5552    , -1607.76    , array([ 1.69254    ,  0.123819   ,  6.83702e-21,  0.0173525  ])
5553    , -1607.64    , array([ 1.69085    ,  0.123943   ,  6.83702e-21,  0.0173525  ])
5554    , -1607.76    , array([ 1.69085    ,  0.123819   ,  6.84386e-21,  0.0173525  ])
5555    , -1607.65    , array([ 1.69085    ,  0.123819   ,  6.83702e-21,  0.0173698  ])
5556    , -2246.91    , array([ 1.69085    ,  0.677741   ,  6.83702e-21,  2.62796    ])
5557    , -2246.91    , array([ 1.69085    ,  0.677741   ,  6.83702e-21,  2.62796    ])
5558    , -2246.91    , array([ 1.69254    ,  0.677741   ,  6.83702e-21,  2.62796    ])
5559    , -2246.84    , array([ 1.69085    ,  0.678419   ,  6.83702e-21,  2.62796    ])
5560    , -2246.91    , array([ 1.69085    ,  0.677741   ,  6.84386e-21,  2.62796    ])
5561    , -2247.25    , array([ 1.69085    ,  0.677741   ,  6.83702e-21,  2.63059    ])
5562    , -1332.87    , array([ 1.69085    ,  0.181329   ,  6.83702e-21,  0.0535349  ])
5563    , -1332.87    , array([ 1.69085    ,  0.181329   ,  6.83702e-21,  0.0535349  ])
5564    , -1332.87    , array([ 1.69254    ,  0.181329   ,  6.83702e-21,  0.0535349  ])
5565    , -1332.29    , array([ 1.69085    ,  0.18151    ,  6.83702e-21,  0.0535349  ])
5566    , -1332.87    , array([ 1.69085    ,  0.181329   ,  6.84386e-21,  0.0535349  ])
5567    , -1332.67    , array([ 1.69085    ,  0.181329   ,  6.83702e-21,  0.0535885  ])
5568    , -938.942    , array([ 1.69085    ,  0.234146   ,  6.83702e-21,  0.113894   ])
5569    , -938.942    , array([ 1.69085    ,  0.234146   ,  6.83702e-21,  0.113894   ])
5570    , -938.942    , array([ 1.69254    ,  0.234146   ,  6.83702e-21,  0.113894   ])
5571    , -938.355    , array([ 1.69085    ,  0.23438    ,  6.83702e-21,  0.113894   ])
5572    , -938.942    , array([ 1.69085    ,  0.234146   ,  6.84386e-21,  0.113894   ])
5573    , -938.517    , array([ 1.69085    ,  0.234146   ,  6.83702e-21,  0.114008   ])
5574    , -621.924    , array([ 1.69085    ,  0.278783   ,  6.83702e-21,  0.190673   ])
5575    , -621.924    , array([ 1.69085    ,  0.278783   ,  6.83702e-21,  0.190673   ])
5576    , -621.924    , array([ 1.69254    ,  0.278783   ,  6.83702e-21,  0.190673   ])
5577    , -621.665    , array([ 1.69085    ,  0.279061   ,  6.83702e-21,  0.190673   ])
5578    , -621.924    , array([ 1.69085    ,  0.278783   ,  6.84386e-21,  0.190673   ])
5579    , -621.461    , array([ 1.69085    ,  0.278783   ,  6.83702e-21,  0.190863   ])
5580    , -934.634    , array([ 1.69085    ,  0.434675   ,  6.83702e-21,  0.707871   ])
5581    , -934.634    , array([ 1.69085    ,  0.434675   ,  6.83702e-21,  0.707871   ])
5582    , -934.634    , array([ 1.69254    ,  0.434675   ,  6.83702e-21,  0.707871   ])
5583    , -934.858    , array([ 1.69085    ,  0.43511    ,  6.83702e-21,  0.707871   ])
5584    , -934.634    , array([ 1.69085    ,  0.434675   ,  6.84386e-21,  0.707871   ])
5585    , -935.791    , array([ 1.69085    ,  0.434675   ,  6.83702e-21,  0.708579   ])
5586    , -447.37     , array([ 1.69085    ,  0.328588   ,  6.83702e-21,  0.309815   ])
5587    , -447.37     , array([ 1.69085    ,  0.328588   ,  6.83702e-21,  0.309815   ])
5588    , -447.37     , array([ 1.69254    ,  0.328588   ,  6.83702e-21,  0.309815   ])
5589    , -447.555    , array([ 1.69085    ,  0.328916   ,  6.83702e-21,  0.309815   ])
5590    , -447.37     , array([ 1.69085    ,  0.328588   ,  6.84386e-21,  0.309815   ])
5591    , -447.216    , array([ 1.69085    ,  0.328588   ,  6.83702e-21,  0.310125   ])
5598    , -447.367    , array([ 1.69085    ,  0.328589   ,  6.83702e-21,  0.309824   ])
5599    , -447.367    , array([ 1.69085    ,  0.328589   ,  6.83702e-21,  0.309824   ])
5600    , -447.367    , array([ 1.69254    ,  0.328589   ,  6.83702e-21,  0.309824   ])
5601    , -447.552    , array([ 1.69085    ,  0.328918   ,  6.83702e-21,  0.309824   ])
5602    , -447.367    , array([ 1.69085    ,  0.328589   ,  6.84386e-21,  0.309824   ])
5603    , -447.213    , array([ 1.69085    ,  0.328589   ,  6.83702e-21,  0.310134   ])
5604    , -447.353    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.309863   ])
5605    , -447.353    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.309863   ])
5606    , -447.353    , array([ 1.69254    ,  0.328599   ,  6.83702e-21,  0.309863   ])
5607    , -447.537    , array([ 1.69085    ,  0.328928   ,  6.83702e-21,  0.309863   ])
5608    , -447.353    , array([ 1.69085    ,  0.328599   ,  6.84386e-21,  0.309863   ])
5609    , -447.198    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.310173   ])
5616    , -447.352    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.309865   ])
5617    , -447.352    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.309865   ])
5618    , -447.352    , array([ 1.69254    ,  0.328599   ,  6.83702e-21,  0.309865   ])
5619    , -447.536    , array([ 1.69085    ,  0.328928   ,  6.83702e-21,  0.309865   ])
5620    , -447.352    , array([ 1.69085    ,  0.328599   ,  6.84386e-21,  0.309865   ])
5621    , -447.197    , array([ 1.69085    ,  0.328599   ,  6.83702e-21,  0.310175   ])
5622    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309875   ])
5623    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309875   ])
5624    , -447.348    , array([ 1.69254    ,  0.328602   ,  6.83702e-21,  0.309875   ])
5625    , -447.533    , array([ 1.69085    ,  0.32893    ,  6.83702e-21,  0.309875   ])
5626    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.84386e-21,  0.309875   ])
5627    , -447.193    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.310185   ])
5634    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309876   ])
5635    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309876   ])
5636    , -447.348    , array([ 1.69254    ,  0.328602   ,  6.83702e-21,  0.309876   ])
5637    , -447.532    , array([ 1.69085    ,  0.32893    ,  6.83702e-21,  0.309876   ])
5638    , -447.348    , array([ 1.69085    ,  0.328602   ,  6.84386e-21,  0.309876   ])
5639    , -447.193    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.310186   ])
5640    , -447.347    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309878   ])
5641    , -447.347    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.309878   ])
5642    , -447.347    , array([ 1.69254    ,  0.328602   ,  6.83702e-21,  0.309878   ])
5643    , -447.531    , array([ 1.69085    ,  0.328931   ,  6.83702e-21,  0.309878   ])
5644    , -447.347    , array([ 1.69085    ,  0.328602   ,  6.84386e-21,  0.309878   ])
5645    , -447.192    , array([ 1.69085    ,  0.328602   ,  6.83702e-21,  0.310188   ])
5646    , -1837.22    , array([ 1.69085    ,  0.453356   ,  6.83702e-21,  1.35132    ])
5647    , -1837.22    , array([ 1.69085    ,  0.453356   ,  6.83702e-21,  1.35132    ])
5648    , -1837.22    , array([ 1.69254    ,  0.453356   ,  6.83702e-21,  1.35132    ])
5649    , -1836.72    , array([ 1.69085    ,  0.453809   ,  6.83702e-21,  1.35132    ])
5650    , -1837.22    , array([ 1.69085    ,  0.453356   ,  6.84386e-21,  1.35132    ])
5651    , -1838.51    , array([ 1.69085    ,  0.453356   ,  6.83702e-21,  1.35267    ])
5652    , -443.412    , array([ 1.69085    ,  0.331905   ,  6.83702e-21,  0.324388   ])
5653    , -443.412    , array([ 1.69085    ,  0.331905   ,  6.83702e-21,  0.324388   ])
5654    , -443.412    , array([ 1.69254    ,  0.331905   ,  6.83702e-21,  0.324388   ])
5655    , -443.624    , array([ 1.69085    ,  0.332237   ,  6.83702e-21,  0.324388   ])
5656    , -443.412    , array([ 1.69085    ,  0.331905   ,  6.84386e-21,  0.324388   ])
5657    , -443.31     , array([ 1.69085    ,  0.331905   ,  6.83702e-21,  0.324713   ])
5658    , -436.024    , array([ 1.69085    ,  0.322837   ,  6.83702e-21,  0.331227   ])
5659    , -436.024    , array([ 1.69085    ,  0.322837   ,  6.83702e-21,  0.331227   ])
5660    , -436.024    , array([ 1.69254    ,  0.322837   ,  6.83702e-21,  0.331227   ])
5661    , -436.206    , array([ 1.69085    ,  0.32316    ,  6.83702e-21,  0.331227   ])
5662    , -436.024    , array([ 1.69085    ,  0.322837   ,  6.84386e-21,  0.331227   ])
5663    , -435.939    , array([ 1.69085    ,  0.322837   ,  6.83702e-21,  0.331559   ])
5664    , -423.53     , array([ 1.69085    ,  0.303278   ,  6.83702e-21,  0.345351   ])
5665    , -423.53     , array([ 1.69085    ,  0.303278   ,  6.83702e-21,  0.345351   ])
5666    , -423.53     , array([ 1.69254    ,  0.303278   ,  6.83702e-21,  0.345351   ])
5667    , -423.663    , array([ 1.69085    ,  0.303581   ,  6.83702e-21,  0.345351   ])
5668    , -423.53     , array([ 1.69085    ,  0.303278   ,  6.84386e-21,  0.345351   ])
5669    , -423.483    , array([ 1.69085    ,  0.303278   ,  6.83702e-21,  0.345697   ])
5670    , -408.934    , array([ 1.69085    ,  0.25972    ,  6.83702e-21,  0.369279   ])
5671    , -408.934    , array([ 1.69085    ,  0.25972    ,  6.83702e-21,  0.369279   ])
5672    , -408.934    , array([ 1.69254    ,  0.25972    ,  6.83702e-21,  0.369279   ])
5673    , -408.993    , array([ 1.69085    ,  0.25998    ,  6.83702e-21,  0.369279   ])
5674    , -408.934    , array([ 1.69085    ,  0.25972    ,  6.84386e-21,  0.369279   ])
5675    , -408.997    , array([ 1.69085    ,  0.25972    ,  6.83702e-21,  0.369648   ])
5676    , -402.909    , array([ 1.69085    ,  0.232075   ,  6.83702e-21,  0.358558   ])
5677    , -402.909    , array([ 1.69085    ,  0.232075   ,  6.83702e-21,  0.358558   ])
5678    , -402.909    , array([ 1.69254    ,  0.232075   ,  6.83702e-21,  0.358558   ])
5679    , -402.944    , array([ 1.69085    ,  0.232307   ,  6.83702e-21,  0.358558   ])
5680    , -402.909    , array([ 1.69085    ,  0.232075   ,  6.84386e-21,  0.358558   ])
5681    , -402.918    , array([ 1.69085    ,  0.232075   ,  6.83702e-21,  0.358917   ])
5682    , -400.031    , array([ 1.69085    ,  0.199482   ,  6.83702e-21,  0.355501   ])
5683    , -400.031    , array([ 1.69085    ,  0.199482   ,  6.83702e-21,  0.355501   ])
5684    , -400.031    , array([ 1.69254    ,  0.199482   ,  6.83702e-21,  0.355501   ])
5685    , -400.024    , array([ 1.69085    ,  0.199681   ,  6.83702e-21,  0.355501   ])
5686    , -400.031    , array([ 1.69085    ,  0.199482   ,  6.84386e-21,  0.355501   ])
5687    , -400.129    , array([ 1.69085    ,  0.199482   ,  6.83702e-21,  0.355857   ])
5688    , -397.31     , array([ 1.69085    ,  0.179521   ,  6.83702e-21,  0.337235   ])
5689    , -397.31     , array([ 1.69085    ,  0.179521   ,  6.83702e-21,  0.337235   ])
5690    , -397.31     , array([ 1.69254    ,  0.179521   ,  6.83702e-21,  0.337235   ])
5691    , -397.321    , array([ 1.69085    ,  0.1797     ,  6.83702e-21,  0.337235   ])
5692    , -397.31     , array([ 1.69085    ,  0.179521   ,  6.84386e-21,  0.337235   ])
5693    , -397.317    , array([ 1.69085    ,  0.179521   ,  6.83702e-21,  0.337573   ])
5694    , -396.306    , array([ 1.69085    ,  0.149757   ,  6.83702e-21,  0.31921    ])
5695    , -396.306    , array([ 1.69085    ,  0.149757   ,  6.83702e-21,  0.31921    ])
5696    , -396.306    , array([ 1.69254    ,  0.149757   ,  6.83702e-21,  0.31921    ])
5697    , -396.271    , array([ 1.69085    ,  0.149907   ,  6.83702e-21,  0.31921    ])
5698    , -396.306    , array([ 1.69085    ,  0.149757   ,  6.84386e-21,  0.31921    ])
5699    , -396.407    , array([ 1.69085    ,  0.149757   ,  6.83702e-21,  0.319529   ])
5700    , -395.274    , array([ 1.69085    ,  0.141881   ,  6.83702e-21,  0.308186   ])
5701    , -395.274    , array([ 1.69085    ,  0.141881   ,  6.83702e-21,  0.308186   ])
