125322  , -202473     , array([ 0.0061259  ,  0.0104701  ,  1.83006e-66,  5.98383e-53,  0.0169396  ])
125323  , -202311     , array([ 0.00613203 ,  0.0104701  ,  1.83006e-66,  5.98383e-53,  0.0169396  ])
125324  , -202439     , array([ 0.0061259  ,  0.0104805  ,  1.83006e-66,  5.98383e-53,  0.0169396  ])
125325  , -202473     , array([ 0.0061259  ,  0.0104701  ,  1.8319e-66 ,  5.98383e-53,  0.0169396  ])
125326  , -202473     , array([ 0.0061259  ,  0.0104701  ,  1.83006e-66,  5.98982e-53,  0.0169396  ])
125327  , -202657     , array([ 0.0061259  ,  0.0104701  ,  1.83006e-66,  5.98383e-53,  0.0169566  ])
125328  , -202473     , array([ 0.0061259  ,  0.0104701  ,  1.83006e-66,  5.98383e-53,  0.0169396  ])
125329  , -60539      , array([ 0.0118543  ,  0.0120246  ,  1.83006e-66,  5.98383e-53,  0.0079878  ])
125330  , -60539      , array([ 0.0118543  ,  0.0120246  ,  1.83006e-66,  5.98383e-53,  0.0079878  ])
125331  , -60484.9    , array([ 0.0118662  ,  0.0120246  ,  1.83006e-66,  5.98383e-53,  0.0079878  ])
125332  , -60535.8    , array([ 0.0118543  ,  0.0120367  ,  1.83006e-66,  5.98383e-53,  0.0079878  ])
125333  , -60539      , array([ 0.0118543  ,  0.0120246  ,  1.8319e-66 ,  5.98383e-53,  0.0079878  ])
125334  , -60539      , array([ 0.0118543  ,  0.0120246  ,  1.83006e-66,  5.98982e-53,  0.0079878  ])
125335  , -60593.9    , array([ 0.0118543  ,  0.0120246  ,  1.83006e-66,  5.98383e-53,  0.00799579 ])
125343  , -60405.2    , array([ 0.0119193  ,  0.0119144  ,  1.83006e-66,  5.98383e-53,  0.00800667 ])
125344  , -60405.2    , array([ 0.0119193  ,  0.0119144  ,  1.83006e-66,  5.98383e-53,  0.00800667 ])
125345  , -60351.3    , array([ 0.0119312  ,  0.0119144  ,  1.83006e-66,  5.98383e-53,  0.00800667 ])
125346  , -60401.5    , array([ 0.0119193  ,  0.0119263  ,  1.83006e-66,  5.98383e-53,  0.00800667 ])
125347  , -60405.2    , array([ 0.0119193  ,  0.0119144  ,  1.8319e-66 ,  5.98383e-53,  0.00800667 ])
125348  , -60405.2    , array([ 0.0119193  ,  0.0119144  ,  1.83006e-66,  5.98982e-53,  0.00800667 ])
125349  , -60460.2    , array([ 0.0119193  ,  0.0119144  ,  1.83006e-66,  5.98383e-53,  0.00801468 ])
125350  , -59121.6    , array([ 0.0130225  ,  0.0102621  ,  1.83006e-66,  5.98383e-53,  0.00831861 ])
125351  , -59121.6    , array([ 0.0130225  ,  0.0102621  ,  1.83006e-66,  5.98383e-53,  0.00831861 ])
125352  , -59072.6    , array([ 0.0130355  ,  0.0102621  ,  1.83006e-66,  5.98383e-53,  0.00831861 ])
125353  , -59110.2    , array([ 0.0130225  ,  0.0102723  ,  1.83006e-66,  5.98383e-53,  0.00831861 ])
125354  , -59121.6    , array([ 0.0130225  ,  0.0102621  ,  1.8319e-66 ,  5.98383e-53,  0.00831861 ])
125355  , -59121.6    , array([ 0.0130225  ,  0.0102621  ,  1.83006e-66,  5.98982e-53,  0.00831861 ])
125356  , -59179.8    , array([ 0.0130225  ,  0.0102621  ,  1.83006e-66,  5.98383e-53,  0.00832693 ])
125357  , -54756.5    , array([ 0.00295209 ,  0.00216491 ,  1.83006e-66,  5.98383e-53,  0.00166854 ])
125358  , -54756.5    , array([ 0.00295209 ,  0.00216491 ,  1.83006e-66,  5.98383e-53,  0.00166854 ])
125359  , -54710.5    , array([ 0.00295505 ,  0.00216491 ,  1.83006e-66,  5.98383e-53,  0.00166854 ])
125360  , -54745.8    , array([ 0.00295209 ,  0.00216708 ,  1.83006e-66,  5.98383e-53,  0.00166854 ])
125361  , -54756.5    , array([ 0.00295209 ,  0.00216491 ,  1.8319e-66 ,  5.98383e-53,  0.00166854 ])
125362  , -54756.5    , array([ 0.00295209 ,  0.00216491 ,  1.83006e-66,  5.98982e-53,  0.00166854 ])
125363  , -54812.8    , array([ 0.00295209 ,  0.00216491 ,  1.83006e-66,  5.98383e-53,  0.00167021 ])
125371  , -54755.8    , array([ 0.00295146 ,  0.00216442 ,  1.83006e-66,  5.98383e-53,  0.00166815 ])
125372  , -54755.8    , array([ 0.00295146 ,  0.00216442 ,  1.83006e-66,  5.98383e-53,  0.00166815 ])
125373  , -54709.7    , array([ 0.00295441 ,  0.00216442 ,  1.83006e-66,  5.98383e-53,  0.00166815 ])
125374  , -54745      , array([ 0.00295146 ,  0.00216659 ,  1.83006e-66,  5.98383e-53,  0.00166815 ])
125375  , -54755.8    , array([ 0.00295146 ,  0.00216442 ,  1.8319e-66 ,  5.98383e-53,  0.00166815 ])
125376  , -54755.8    , array([ 0.00295146 ,  0.00216442 ,  1.83006e-66,  5.98982e-53,  0.00166815 ])
125377  , -54812.1    , array([ 0.00295146 ,  0.00216442 ,  1.83006e-66,  5.98383e-53,  0.00166982 ])
125378  , -54755      , array([ 0.00295083 ,  0.00216394 ,  1.83006e-66,  5.98383e-53,  0.00166776 ])
