93242   , -3511.72    , array([ 24.3352    ,  0.135351   ,  4.76464e-54,  0.0178647  ,  0.0584515  ])
93243   , -3511.72    , array([ 24.3352    ,  0.135351   ,  4.76464e-54,  0.0178647  ,  0.0584515  ])
93244   , -3511.88    , array([ 24.3595    ,  0.135351   ,  4.76464e-54,  0.0178647  ,  0.0584515  ])
93245   , -3507.39    , array([ 24.3352    ,  0.135486   ,  4.76464e-54,  0.0178647  ,  0.0584515  ])
93246   , -3511.72    , array([ 24.3352    ,  0.135351   ,  4.7694e-54 ,  0.0178647  ,  0.0584515  ])
93247   , -3511.71    , array([ 24.3352    ,  0.135351   ,  4.76464e-54,  0.0178826  ,  0.0584515  ])
93248   , -3519.13    , array([ 24.3352    ,  0.135351   ,  4.76464e-54,  0.0178647  ,  0.05851    ])
93256   , -3511.72    , array([ 24.335     ,  0.135351   ,  4.76464e-54,  0.017865   ,  0.0584516  ])
93257   , -3511.72    , array([ 24.335     ,  0.135351   ,  4.76464e-54,  0.017865   ,  0.0584516  ])
93258   , -3511.88    , array([ 24.3593    ,  0.135351   ,  4.76464e-54,  0.017865   ,  0.0584516  ])
93259   , -3507.39    , array([ 24.335     ,  0.135486   ,  4.76464e-54,  0.017865   ,  0.0584516  ])
93260   , -3511.72    , array([ 24.335     ,  0.135351   ,  4.7694e-54 ,  0.017865   ,  0.0584516  ])
93261   , -3511.71    , array([ 24.335     ,  0.135351   ,  4.76464e-54,  0.0178829  ,  0.0584516  ])
93262   , -3519.13    , array([ 24.335     ,  0.135351   ,  4.76464e-54,  0.017865   ,  0.05851    ])
93263   , -3511.72    , array([ 24.3348    ,  0.135351   ,  4.76464e-54,  0.0178653  ,  0.0584516  ])
93264   , -3511.72    , array([ 24.3348    ,  0.135351   ,  4.76464e-54,  0.0178653  ,  0.0584516  ])
93265   , -3511.88    , array([ 24.3592    ,  0.135351   ,  4.76464e-54,  0.0178653  ,  0.0584516  ])
93266   , -3507.38    , array([ 24.3348    ,  0.135486   ,  4.76464e-54,  0.0178653  ,  0.0584516  ])
93267   , -3511.72    , array([ 24.3348    ,  0.135351   ,  4.7694e-54 ,  0.0178653  ,  0.0584516  ])
93268   , -3511.71    , array([ 24.3348    ,  0.135351   ,  4.76464e-54,  0.0178831  ,  0.0584516  ])
93269   , -3519.12    , array([ 24.3348    ,  0.135351   ,  4.76464e-54,  0.0178653  ,  0.05851    ])
93270   , -2531       , array([ 3.6051     ,  0.150129   ,  4.76464e-54,  0.858381   ,  0.0601207  ])
93271   , -2531       , array([ 3.6051     ,  0.150129   ,  4.76464e-54,  0.858381   ,  0.0601207  ])
93272   , -2531.5     , array([ 3.60871    ,  0.150129   ,  4.76464e-54,  0.858381   ,  0.0601207  ])
93273   , -2531.13    , array([ 3.6051     ,  0.150279   ,  4.76464e-54,  0.858381   ,  0.0601207  ])
93274   , -2531       , array([ 3.6051     ,  0.150129   ,  4.7694e-54 ,  0.858381   ,  0.0601207  ])
93275   , -2530.93    , array([ 3.6051     ,  0.150129   ,  4.76464e-54,  0.85924    ,  0.0601207  ])
93276   , -2533.11    , array([ 3.6051     ,  0.150129   ,  4.76464e-54,  0.858381   ,  0.0601809  ])
93277   , -2530.99    , array([ 3.60509    ,  0.150129   ,  4.76464e-54,  0.858387   ,  0.0601207  ])
93278   , -2530.99    , array([ 3.60509    ,  0.150129   ,  4.76464e-54,  0.858387   ,  0.0601207  ])
93279   , -2531.5     , array([ 3.6087     ,  0.150129   ,  4.76464e-54,  0.858387   ,  0.0601207  ])
93280   , -2531.13    , array([ 3.60509    ,  0.150279   ,  4.76464e-54,  0.858387   ,  0.0601207  ])
93281   , -2530.99    , array([ 3.60509    ,  0.150129   ,  4.7694e-54 ,  0.858387   ,  0.0601207  ])
93282   , -2530.93    , array([ 3.60509    ,  0.150129   ,  4.76464e-54,  0.859246   ,  0.0601207  ])
93283   , -2533.11    , array([ 3.60509    ,  0.150129   ,  4.76464e-54,  0.858387   ,  0.0601809  ])
93284   , -2530.97    , array([ 3.60497    ,  0.15013    ,  4.76464e-54,  0.858445   ,  0.0601208  ])
93285   , -2530.97    , array([ 3.60497    ,  0.15013    ,  4.76464e-54,  0.858445   ,  0.0601208  ])
