50609   , -2279.78    , array([ 5.43689    ,  0.0145391  ,  3.00634e-33,  4.59094e-05])
50610   , -2279.78    , array([ 5.44233    ,  0.0145391  ,  3.00634e-33,  4.59094e-05])
50611   , -2279.84    , array([ 5.43689    ,  0.0145536  ,  3.00634e-33,  4.59094e-05])
50612   , -2279.78    , array([ 5.43689    ,  0.0145391  ,  3.00935e-33,  4.59094e-05])
50613   , -2279.73    , array([ 5.43689    ,  0.0145391  ,  3.00634e-33,  4.59554e-05])
50620   , -2279.78    , array([ 5.43689    ,  0.0145391  ,  3.00634e-33,  4.59094e-05])
50621   , -2279.78    , array([ 5.43689    ,  0.0145391  ,  3.00634e-33,  4.59094e-05])
50622   , -2279.78    , array([ 5.44233    ,  0.0145391  ,  3.00634e-33,  4.59094e-05])
50623   , -2279.84    , array([ 5.43689    ,  0.0145536  ,  3.00634e-33,  4.59094e-05])
50624   , -2279.78    , array([ 5.43689    ,  0.0145391  ,  3.00935e-33,  4.59094e-05])
50625   , -2279.73    , array([ 5.43689    ,  0.0145391  ,  3.00634e-33,  4.59553e-05])
50626   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50627   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50628   , -2279.78    , array([ 5.44233    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50629   , -2279.84    , array([ 5.43689    ,  0.0145536  ,  3.00634e-33,  4.59093e-05])
50630   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00935e-33,  4.59093e-05])
50631   , -2279.73    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59552e-05])
50638   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50639   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50640   , -2279.78    , array([ 5.44233    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50641   , -2279.84    , array([ 5.43689    ,  0.0145536  ,  3.00634e-33,  4.59093e-05])
50642   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00935e-33,  4.59093e-05])
50643   , -2279.73    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59552e-05])
50644   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50645   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50646   , -2279.78    , array([ 5.44233    ,  0.014539   ,  3.00634e-33,  4.59093e-05])
50647   , -2279.84    , array([ 5.43689    ,  0.0145535  ,  3.00634e-33,  4.59093e-05])
50648   , -2279.78    , array([ 5.43689    ,  0.014539   ,  3.00935e-33,  4.59093e-05])
50649   , -2279.73    , array([ 5.43689    ,  0.014539   ,  3.00634e-33,  4.59552e-05])
50650   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50651   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50652   , -2190.67    , array([ 5.44233    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50653   , -2190.8     , array([ 5.43689    ,  0.00230863 ,  3.00634e-33,  2.00002e-05])
50654   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00935e-33,  2.00002e-05])
50655   , -2190.55    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00202e-05])
50656   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50657   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50658   , -2190.67    , array([ 5.44233    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50659   , -2190.8     , array([ 5.43689    ,  0.00230863 ,  3.00634e-33,  2.00002e-05])
50660   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00935e-33,  2.00002e-05])
50661   , -2190.55    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00202e-05])
50662   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50663   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50664   , -2190.67    , array([ 5.44233    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50665   , -2190.8     , array([ 5.43689    ,  0.00230863 ,  3.00634e-33,  2.00002e-05])
50666   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00935e-33,  2.00002e-05])
50667   , -2190.55    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00202e-05])
50674   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50675   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50676   , -2190.67    , array([ 5.44233    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50677   , -2190.8     , array([ 5.43689    ,  0.00230863 ,  3.00634e-33,  2.00002e-05])
50678   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00935e-33,  2.00002e-05])
50679   , -2190.55    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00202e-05])
50680   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50681   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50682   , -2190.67    , array([ 5.44233    ,  0.00230632 ,  3.00634e-33,  2.00002e-05])
50683   , -2190.8     , array([ 5.43689    ,  0.00230863 ,  3.00634e-33,  2.00002e-05])
50684   , -2190.67    , array([ 5.43689    ,  0.00230632 ,  3.00935e-33,  2.00002e-05])
50685   , -2190.55    , array([ 5.43689    ,  0.00230632 ,  3.00634e-33,  2.00202e-05])
50686   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
50687   , -2155.12    , array([ 5.43689    ,  0.00145551 ,  3.00634e-33,  1.62487e-05])
