236111  , -79087.5    , array([ 3.1598     ,  0.687921   ,  9.12553e-66,  1.98703e-28,  9.957e-07  ])
236112  , -79087.5    , array([ 3.16297    ,  0.687921   ,  9.12553e-66,  1.98703e-28,  9.957e-07  ])
236113  , -79087.5    , array([ 3.1598     ,  0.688609   ,  9.12553e-66,  1.98703e-28,  9.957e-07  ])
236114  , -79087.5    , array([ 3.1598     ,  0.687921   ,  9.13466e-66,  1.98703e-28,  9.957e-07  ])
236115  , -79087.5    , array([ 3.1598     ,  0.687921   ,  9.12553e-66,  1.98902e-28,  9.957e-07  ])
236116  , -79087.5    , array([ 3.1598     ,  0.687921   ,  9.12553e-66,  1.98703e-28,  9.96696e-07])
236117  , -79087.5    , array([ 3.1598     ,  0.687921   ,  9.12553e-66,  1.98703e-28,  9.957e-07  ])
236118  , -79081.8    , array([ 2.86716    ,  0.356698   ,  9.12553e-66,  1.98703e-28,  2.13145e-06])
236119  , -79081.8    , array([ 2.86716    ,  0.356698   ,  9.12553e-66,  1.98703e-28,  2.13145e-06])
236120  , -79081.8    , array([ 2.87003    ,  0.356698   ,  9.12553e-66,  1.98703e-28,  2.13145e-06])
236121  , -79081.8    , array([ 2.86716    ,  0.357055   ,  9.12553e-66,  1.98703e-28,  2.13145e-06])
236122  , -79081.8    , array([ 2.86716    ,  0.356698   ,  9.13466e-66,  1.98703e-28,  2.13145e-06])
236123  , -79081.8    , array([ 2.86716    ,  0.356698   ,  9.12553e-66,  1.98902e-28,  2.13145e-06])
236124  , -79081.8    , array([ 2.86716    ,  0.356698   ,  9.12553e-66,  1.98703e-28,  2.13358e-06])
236125  , -77066.6    , array([ 1.94365    ,  0.0257841  ,  9.12553e-66,  1.98703e-28,  4.4757e-05 ])
236126  , -77066.6    , array([ 1.94365    ,  0.0257841  ,  9.12553e-66,  1.98703e-28,  4.4757e-05 ])
236127  , -77066.7    , array([ 1.94559    ,  0.0257841  ,  9.12553e-66,  1.98703e-28,  4.4757e-05 ])
236128  , -77068.6    , array([ 1.94365    ,  0.0258099  ,  9.12553e-66,  1.98703e-28,  4.4757e-05 ])
236129  , -77066.6    , array([ 1.94365    ,  0.0257841  ,  9.13466e-66,  1.98703e-28,  4.4757e-05 ])
236130  , -77066.6    , array([ 1.94365    ,  0.0257841  ,  9.12553e-66,  1.98902e-28,  4.4757e-05 ])
236131  , -77064.6    , array([ 1.94365    ,  0.0257841  ,  9.12553e-66,  1.98703e-28,  4.48018e-05])
236139  , -77063.3    , array([ 1.94342    ,  0.0257638  ,  9.12553e-66,  1.98703e-28,  4.47978e-05])
236140  , -77063.3    , array([ 1.94342    ,  0.0257638  ,  9.12553e-66,  1.98703e-28,  4.47978e-05])
236141  , -77063.3    , array([ 1.94537    ,  0.0257638  ,  9.12553e-66,  1.98703e-28,  4.47978e-05])
236142  , -77065.2    , array([ 1.94342    ,  0.0257896  ,  9.12553e-66,  1.98703e-28,  4.47978e-05])
236143  , -77063.3    , array([ 1.94342    ,  0.0257638  ,  9.13466e-66,  1.98703e-28,  4.47978e-05])
236144  , -77063.3    , array([ 1.94342    ,  0.0257638  ,  9.12553e-66,  1.98902e-28,  4.47978e-05])
236145  , -77061.3    , array([ 1.94342    ,  0.0257638  ,  9.12553e-66,  1.98703e-28,  4.48426e-05])
236146  , -77059.9    , array([ 1.9432     ,  0.0257435  ,  9.12553e-66,  1.98703e-28,  4.48388e-05])
236147  , -77059.9    , array([ 1.9432     ,  0.0257435  ,  9.12553e-66,  1.98703e-28,  4.48388e-05])
236148  , -77059.9    , array([ 1.94514    ,  0.0257435  ,  9.12553e-66,  1.98703e-28,  4.48388e-05])
236149  , -77061.9    , array([ 1.9432     ,  0.0257693  ,  9.12553e-66,  1.98703e-28,  4.48388e-05])
236150  , -77059.9    , array([ 1.9432     ,  0.0257435  ,  9.13466e-66,  1.98703e-28,  4.48388e-05])
236151  , -77059.9    , array([ 1.9432     ,  0.0257435  ,  9.12553e-66,  1.98902e-28,  4.48388e-05])
236152  , -77057.9    , array([ 1.9432     ,  0.0257435  ,  9.12553e-66,  1.98703e-28,  4.48836e-05])
236160  , -77059      , array([ 1.94314    ,  0.0257384  ,  9.12553e-66,  1.98703e-28,  4.4849e-05 ])
236161  , -77059      , array([ 1.94314    ,  0.0257384  ,  9.12553e-66,  1.98703e-28,  4.4849e-05 ])
236162  , -77059.1    , array([ 1.94508    ,  0.0257384  ,  9.12553e-66,  1.98703e-28,  4.4849e-05 ])
236163  , -77061      , array([ 1.94314    ,  0.0257642  ,  9.12553e-66,  1.98703e-28,  4.4849e-05 ])
236164  , -77059      , array([ 1.94314    ,  0.0257384  ,  9.13466e-66,  1.98703e-28,  4.4849e-05 ])
236165  , -77059      , array([ 1.94314    ,  0.0257384  ,  9.12553e-66,  1.98902e-28,  4.4849e-05 ])
236166  , -77057      , array([ 1.94314    ,  0.0257384  ,  9.12553e-66,  1.98703e-28,  4.48939e-05])
236167  , -77058.2    , array([ 1.94308    ,  0.0257334  ,  9.12553e-66,  1.98703e-28,  4.48593e-05])
236168  , -77058.2    , array([ 1.94308    ,  0.0257334  ,  9.12553e-66,  1.98703e-28,  4.48593e-05])
236169  , -77058.2    , array([ 1.94503    ,  0.0257334  ,  9.12553e-66,  1.98703e-28,  4.48593e-05])
236170  , -77060.2    , array([ 1.94308    ,  0.0257591  ,  9.12553e-66,  1.98703e-28,  4.48593e-05])
236171  , -77058.2    , array([ 1.94308    ,  0.0257334  ,  9.13466e-66,  1.98703e-28,  4.48593e-05])
236172  , -77058.2    , array([ 1.94308    ,  0.0257334  ,  9.12553e-66,  1.98902e-28,  4.48593e-05])
236173  , -77056.2    , array([ 1.94308    ,  0.0257334  ,  9.12553e-66,  1.98703e-28,  4.49042e-05])
236174  , -5105.64    , array([ 1.31733    ,  0.00186125 ,  9.12553e-66,  1.98703e-28,  0.000941327])
236175  , -5105.64    , array([ 1.31733    ,  0.00186125 ,  9.12553e-66,  1.98703e-28,  0.000941327])
236176  , -5105.65    , array([ 1.31865    ,  0.00186125 ,  9.12553e-66,  1.98703e-28,  0.000941327])
236177  , -5092.45    , array([ 1.31733    ,  0.00186311 ,  9.12553e-66,  1.98703e-28,  0.000941327])
236178  , -5105.64    , array([ 1.31733    ,  0.00186125 ,  9.13466e-66,  1.98703e-28,  0.000941327])
236179  , -5105.64    , array([ 1.31733    ,  0.00186125 ,  9.12553e-66,  1.98902e-28,  0.000941327])
