16847   , -2546.1     , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00965755 ])
16854   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16855   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16856   , -2545.87    , array([ 0.525      ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16857   , -2545.87    , array([ 0.524475   ,  81.789     ,  5.13649e-92,  0.00964789 ])
16858   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.14163e-92,  0.00964789 ])
16859   , -2546.1     , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00965755 ])
16866   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16867   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16868   , -2545.87    , array([ 0.525      ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16869   , -2545.87    , array([ 0.524475   ,  81.789     ,  5.13649e-92,  0.00964789 ])
16870   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.14163e-92,  0.00964789 ])
16871   , -2546.1     , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00965755 ])
16878   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16879   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16880   , -2545.87    , array([ 0.525      ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16881   , -2545.87    , array([ 0.524475   ,  81.789     ,  5.13649e-92,  0.00964789 ])
16882   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.14163e-92,  0.00964789 ])
16883   , -2546.1     , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00965755 ])
16890   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16891   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16892   , -2545.87    , array([ 0.525      ,  81.7072    ,  5.13649e-92,  0.00964789 ])
16893   , -2545.87    , array([ 0.524475   ,  81.789     ,  5.13649e-92,  0.00964789 ])
16894   , -2545.87    , array([ 0.524475   ,  81.7072    ,  5.14163e-92,  0.00964789 ])
16895   , -2546.1     , array([ 0.524475   ,  81.7072    ,  5.13649e-92,  0.00965755 ])
16896   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16897   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16898   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16899   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16900   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16901   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16908   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16909   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16910   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16911   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16912   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16913   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16914   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16915   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16916   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16917   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16918   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16919   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16926   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16927   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16928   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16929   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16930   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16931   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
16932   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16933   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16934   , -2537.71    , array([ 0.525      ,  98.8797    ,  5.13649e-92,  0.00928865 ])
16935   , -2537.72    , array([ 0.524475   ,  98.9786    ,  5.13649e-92,  0.00928865 ])
16936   , -2537.71    , array([ 0.524475   ,  98.8797    ,  5.14163e-92,  0.00928865 ])
16937   , -2537.94    , array([ 0.524475   ,  98.8797    ,  5.13649e-92,  0.00929795 ])
