2599    , -3694.72    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483681  ])
2600    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2601    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2602    , -3693.07    , array([ 4.42383    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2603    , -3693.14    , array([ 4.41941    ,  32.1395    ,  1.90074e-54,  0.0483198  ])
2604    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90264e-54,  0.0483198  ])
2605    , -3694.72    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483681  ])
2612    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2613    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2614    , -3693.07    , array([ 4.42383    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2615    , -3693.14    , array([ 4.41941    ,  32.1395    ,  1.90074e-54,  0.0483198  ])
2616    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90264e-54,  0.0483198  ])
2617    , -3694.72    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483681  ])
2618    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2619    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2620    , -3693.07    , array([ 4.42383    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2621    , -3693.14    , array([ 4.41941    ,  32.1396    ,  1.90074e-54,  0.0483198  ])
2622    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90264e-54,  0.0483198  ])
2623    , -3694.72    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483681  ])
2624    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2625    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2626    , -3626.28    , array([ 4.42383    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2627    , -3626.31    , array([ 4.41941    ,  69.9968    ,  1.90074e-54,  0.0453619  ])
2628    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90264e-54,  0.0453619  ])
2629    , -3627.86    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0454073  ])
2630    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2631    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2632    , -3626.28    , array([ 4.42383    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2633    , -3626.31    , array([ 4.41941    ,  69.9968    ,  1.90074e-54,  0.0453619  ])
2634    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90264e-54,  0.0453619  ])
2635    , -3627.86    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0454073  ])
2636    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2637    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2638    , -3626.28    , array([ 4.42383    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2639    , -3626.31    , array([ 4.41941    ,  69.9968    ,  1.90074e-54,  0.0453619  ])
2640    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90264e-54,  0.0453619  ])
2641    , -3627.86    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0454073  ])
2648    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2649    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2650    , -3626.28    , array([ 4.42383    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2651    , -3626.31    , array([ 4.41941    ,  69.9968    ,  1.90074e-54,  0.0453619  ])
2652    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90264e-54,  0.0453619  ])
2653    , -3627.86    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0454073  ])
2654    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2655    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2656    , -3626.28    , array([ 4.42383    ,  69.9269    ,  1.90074e-54,  0.0453619  ])
2657    , -3626.31    , array([ 4.41941    ,  69.9968    ,  1.90074e-54,  0.0453619  ])
2658    , -3626.28    , array([ 4.41941    ,  69.9269    ,  1.90264e-54,  0.0453619  ])
2659    , -3627.86    , array([ 4.41941    ,  69.9269    ,  1.90074e-54,  0.0454073  ])
2660    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2661    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2662    , -3606.56    , array([ 4.42383    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2663    , -3606.59    , array([ 4.41941    ,  85.0331    ,  1.90074e-54,  0.0446512  ])
2664    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90264e-54,  0.0446512  ])
2665    , -3608.12    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446958  ])
2666    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2667    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2668    , -3606.56    , array([ 4.42383    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2669    , -3606.59    , array([ 4.41941    ,  85.0331    ,  1.90074e-54,  0.0446512  ])
2670    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90264e-54,  0.0446512  ])
2671    , -3608.12    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446958  ])
2672    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2673    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2674    , -3606.56    , array([ 4.42383    ,  84.9481    ,  1.90074e-54,  0.0446512  ])
2675    , -3606.59    , array([ 4.41941    ,  85.0331    ,  1.90074e-54,  0.0446512  ])
2676    , -3606.56    , array([ 4.41941    ,  84.9481    ,  1.90264e-54,  0.0446512  ])
2677    , -3608.12    , array([ 4.41941    ,  84.9481    ,  1.90074e-54,  0.0446958  ])
2678    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2679    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2680    , -3596.46    , array([ 4.42383    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2681    , -3596.48    , array([ 4.41941    ,  93.7223    ,  1.90074e-54,  0.0443     ])
2682    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90264e-54,  0.0443     ])
2683    , -3598.01    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443443  ])
2684    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2685    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2686    , -3596.46    , array([ 4.42383    ,  93.6286    ,  1.90074e-54,  0.0443     ])
2687    , -3596.48    , array([ 4.41941    ,  93.7223    ,  1.90074e-54,  0.0443     ])
2688    , -3596.46    , array([ 4.41941    ,  93.6286    ,  1.90264e-54,  0.0443     ])
2689    , -3598.01    , array([ 4.41941    ,  93.6286    ,  1.90074e-54,  0.0443443  ])
2690    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2691    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2692    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2693    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2694    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2695    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2696    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2697    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2698    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2699    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2700    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2701    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2702    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2703    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2704    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2705    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2706    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2707    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2714    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2715    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2716    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2717    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2718    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2719    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2720    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2721    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2722    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2723    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2724    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2725    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2732    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2733    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2734    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2735    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2736    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2737    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2738    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2739    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2740    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2741    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2742    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2743    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2750    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2751    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2752    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2753    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2754    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2755    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2756    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2757    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2758    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2759    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2760    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2761    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2768    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2769    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2770    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2771    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2772    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2773    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2774    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2775    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2776    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2777    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2778    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2779    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2780    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2781    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2782    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2784    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2785    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2786    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2787    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2788    , -3589.73    , array([ 4.42383    ,  99.8382    ,  1.90074e-54,  0.0440697  ])
2789    , -3589.75    , array([ 4.41941    ,  99.9381    ,  1.90074e-54,  0.0440697  ])
2790    , -3589.73    , array([ 4.41941    ,  99.8382    ,  1.90264e-54,  0.0440697  ])
2791    , -3591.26    , array([ 4.41941    ,  99.8382    ,  1.90074e-54,  0.0441138  ])
2792    , -3589.66    , array([ 4.41941    ,  99.907     ,  1.90074e-54,  0.0440673  ])
2793    , -3589.66    , array([ 4.41941    ,  99.907     ,  1.90074e-54,  0.0440673  ])
2794    , -3589.66    , array([ 4.42383    ,  99.907     ,  1.90074e-54,  0.0440673  ])
2796    , -3589.66    , array([ 4.41941    ,  99.907     ,  1.90264e-54,  0.0440673  ])
2797    , -3591.19    , array([ 4.41941    ,  99.907     ,  1.90074e-54,  0.0441113  ])
2798    , -3589.63    , array([ 4.41941    ,  99.9342    ,  1.90074e-54,  0.0440663  ])
2799    , -3589.63    , array([ 4.41941    ,  99.9342    ,  1.90074e-54,  0.0440663  ])
2800    , -3589.63    , array([ 4.42383    ,  99.9342    ,  1.90074e-54,  0.0440663  ])
2802    , -3589.63    , array([ 4.41941    ,  99.9342    ,  1.90264e-54,  0.0440663  ])
2803    , -3591.16    , array([ 4.41941    ,  99.9342    ,  1.90074e-54,  0.0441104  ])
2804    , -3589.62    , array([ 4.41941    ,  99.9399    ,  1.90074e-54,  0.0440661  ])
2805    , -3589.62    , array([ 4.41941    ,  99.9399    ,  1.90074e-54,  0.0440661  ])
2806    , -3589.62    , array([ 4.42383    ,  99.9399    ,  1.90074e-54,  0.0440661  ])
2808    , -3589.62    , array([ 4.41941    ,  99.9399    ,  1.90264e-54,  0.0440661  ])
2809    , -3591.16    , array([ 4.41941    ,  99.9399    ,  1.90074e-54,  0.0441102  ])
2810    , -3589.62    , array([ 4.41941    ,  99.9411    ,  1.90074e-54,  0.044066   ])
2811    , -3589.62    , array([ 4.41941    ,  99.9411    ,  1.90074e-54,  0.044066   ])
2812    , -3589.62    , array([ 4.42383    ,  99.9411    ,  1.90074e-54,  0.044066   ])
2814    , -3589.62    , array([ 4.41941    ,  99.9411    ,  1.90264e-54,  0.044066   ])
2815    , -3591.16    , array([ 4.41941    ,  99.9411    ,  1.90074e-54,  0.0441101  ])
2816    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2817    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2818    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2820    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2821    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2822    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2823    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2824    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2826    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2827    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2828    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2829    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2830    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2832    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2833    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2834    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2835    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2836    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2838    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2839    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2840    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2841    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2842    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2844    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2845    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2846    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2847    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2848    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2850    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2851    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2852    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2853    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2854    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2856    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2857    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2858    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2859    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2860    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2862    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2863    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2864    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2865    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2866    , -3589.62    , array([ 4.42383    ,  99.9414    ,  1.90074e-54,  0.044066   ])
2868    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90264e-54,  0.044066   ])
2869    , -3591.16    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.0441101  ])
2870    , -3589.62    , array([ 4.41941    ,  99.9414    ,  1.90074e-54,  0.044066   ])
