62554   , -79087      , array([ 0.337403   ,  0.624223   ,  4.71154e-30,  6.218e-55  ,  5.70721e-07])
62555   , -79087      , array([ 0.33774    ,  0.624223   ,  4.71154e-30,  6.218e-55  ,  5.70721e-07])
62556   , -79087      , array([ 0.337403   ,  0.624848   ,  4.71154e-30,  6.218e-55  ,  5.70721e-07])
62557   , -79087      , array([ 0.337403   ,  0.624223   ,  4.71625e-30,  6.218e-55  ,  5.70721e-07])
62558   , -79087      , array([ 0.337403   ,  0.624223   ,  4.71154e-30,  6.22422e-55,  5.70721e-07])
62559   , -79087      , array([ 0.337403   ,  0.624223   ,  4.71154e-30,  6.218e-55  ,  5.71292e-07])
62560   , -79087      , array([ 0.337403   ,  0.624223   ,  4.71154e-30,  6.218e-55  ,  5.70721e-07])
62561   , -79081      , array([ 0.213664   ,  0.434058   ,  4.71154e-30,  6.218e-55  ,  1.30132e-06])
62562   , -79081      , array([ 0.213664   ,  0.434058   ,  4.71154e-30,  6.218e-55  ,  1.30132e-06])
62563   , -79081      , array([ 0.213878   ,  0.434058   ,  4.71154e-30,  6.218e-55  ,  1.30132e-06])
62564   , -79081      , array([ 0.213664   ,  0.434493   ,  4.71154e-30,  6.218e-55  ,  1.30132e-06])
62565   , -79081      , array([ 0.213664   ,  0.434058   ,  4.71625e-30,  6.218e-55  ,  1.30132e-06])
62566   , -79081      , array([ 0.213664   ,  0.434058   ,  4.71154e-30,  6.22422e-55,  1.30132e-06])
62567   , -79081      , array([ 0.213664   ,  0.434058   ,  4.71154e-30,  6.218e-55  ,  1.30262e-06])
62568   , -77884      , array([ 0.0343605  ,  0.10148    ,  4.71154e-30,  6.218e-55  ,  3.51739e-05])
62569   , -77884      , array([ 0.0343605  ,  0.10148    ,  4.71154e-30,  6.218e-55  ,  3.51739e-05])
62570   , -77884.8    , array([ 0.0343949  ,  0.10148    ,  4.71154e-30,  6.218e-55  ,  3.51739e-05])
62571   , -77884.4    , array([ 0.0343605  ,  0.101581   ,  4.71154e-30,  6.218e-55  ,  3.51739e-05])
62572   , -77884      , array([ 0.0343605  ,  0.10148    ,  4.71625e-30,  6.218e-55  ,  3.51739e-05])
62573   , -77884      , array([ 0.0343605  ,  0.10148    ,  4.71154e-30,  6.22422e-55,  3.51739e-05])
62574   , -77882.8    , array([ 0.0343605  ,  0.10148    ,  4.71154e-30,  6.218e-55  ,  3.52091e-05])
62582   , -77883.1    , array([ 0.0343506  ,  0.101457   ,  4.71154e-30,  6.218e-55  ,  3.51922e-05])
62583   , -77883.1    , array([ 0.0343506  ,  0.101457   ,  4.71154e-30,  6.218e-55  ,  3.51922e-05])
62584   , -77883.9    , array([ 0.0343849  ,  0.101457   ,  4.71154e-30,  6.218e-55  ,  3.51922e-05])
62585   , -77883.5    , array([ 0.0343506  ,  0.101558   ,  4.71154e-30,  6.218e-55  ,  3.51922e-05])
62586   , -77883.1    , array([ 0.0343506  ,  0.101457   ,  4.71625e-30,  6.218e-55  ,  3.51922e-05])
62587   , -77883.1    , array([ 0.0343506  ,  0.101457   ,  4.71154e-30,  6.22422e-55,  3.51922e-05])
62588   , -77881.9    , array([ 0.0343506  ,  0.101457   ,  4.71154e-30,  6.218e-55  ,  3.52274e-05])
62589   , -77882.1    , array([ 0.0343406  ,  0.101433   ,  4.71154e-30,  6.218e-55  ,  3.52106e-05])
62590   , -77882.1    , array([ 0.0343406  ,  0.101433   ,  4.71154e-30,  6.218e-55  ,  3.52106e-05])
62591   , -77882.9    , array([ 0.034375   ,  0.101433   ,  4.71154e-30,  6.218e-55  ,  3.52106e-05])
62592   , -77882.5    , array([ 0.0343406  ,  0.101535   ,  4.71154e-30,  6.218e-55  ,  3.52106e-05])
62593   , -77882.1    , array([ 0.0343406  ,  0.101433   ,  4.71625e-30,  6.218e-55  ,  3.52106e-05])
62594   , -77882.1    , array([ 0.0343406  ,  0.101433   ,  4.71154e-30,  6.22422e-55,  3.52106e-05])
62595   , -77881      , array([ 0.0343406  ,  0.101433   ,  4.71154e-30,  6.218e-55  ,  3.52458e-05])
62603   , -77881.9    , array([ 0.0343381  ,  0.101427   ,  4.71154e-30,  6.218e-55  ,  3.52152e-05])
62604   , -77881.9    , array([ 0.0343381  ,  0.101427   ,  4.71154e-30,  6.218e-55  ,  3.52152e-05])
