1206    , -1439.1     , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1207    , -1438.59    , array([ 0.913257   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1208    , -1438.43    , array([ 0.912344   ,  0.117975   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1209    , -1438.65    , array([ 0.912344   ,  0.117858   ,  4.2462     ,  0.748345   ,  0.0532684  ])
1210    , -1439       , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.749094   ,  0.0532684  ])
1211    , -1439.9     , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0533217  ])
1212    , -1430.2     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1213    , -1430.2     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1214    , -1429.72    , array([ 0.91986    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1215    , -1429.54    , array([ 0.91894    ,  0.11691    ,  4.25437    ,  0.760987   ,  0.0526862  ])
1216    , -1429.76    , array([ 0.91894    ,  0.116793   ,  4.25862    ,  0.760987   ,  0.0526862  ])
1217    , -1430.1     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.761749   ,  0.0526862  ])
1218    , -1430.96    , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0527389  ])
1219    , -1400.12    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1220    , -1400.12    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1221    , -1399.77    , array([ 0.946751   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1222    , -1399.57    , array([ 0.945804   ,  0.112742   ,  4.30436    ,  0.813728   ,  0.0504206  ])
1223    , -1399.78    , array([ 0.945804   ,  0.11263    ,  4.30867    ,  0.813728   ,  0.0504206  ])
1224    , -1400.03    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.814542   ,  0.0504206  ])
1225    , -1400.73    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504711  ])
1226    , -1353.9     , array([ 1.01843    ,  0.0997275  ,  4.46786    ,  1.09224    ,  0.0441355  ])
1227    , -1353.9     , array([ 1.01843    ,  0.0997275  ,  4.46786    ,  1.09224    ,  0.0441355  ])
1228    , -1353.82    , array([ 1.01945    ,  0.0997275  ,  4.46786    ,  1.09224    ,  0.0441355  ])
1229    , -1353.52    , array([ 1.01843    ,  0.0998273  ,  4.46786    ,  1.09224    ,  0.0441355  ])
1230    , -1353.76    , array([ 1.01843    ,  0.0997275  ,  4.47233    ,  1.09224    ,  0.0441355  ])
1231    , -1353.82    , array([ 1.01843    ,  0.0997275  ,  4.46786    ,  1.09333    ,  0.0441355  ])
1232    , -1354.16    , array([ 1.01843    ,  0.0997275  ,  4.46786    ,  1.09224    ,  0.0441797  ])
1233    , -1345.54    , array([ 1.06725    ,  0.0939221  ,  4.43487    ,  1.42436    ,  0.0419401  ])
1234    , -1345.54    , array([ 1.06725    ,  0.0939221  ,  4.43487    ,  1.42436    ,  0.0419401  ])
1235    , -1345.56    , array([ 1.06832    ,  0.0939221  ,  4.43487    ,  1.42436    ,  0.0419401  ])
1236    , -1345.17    , array([ 1.06725    ,  0.0940161  ,  4.43487    ,  1.42436    ,  0.0419401  ])
1237    , -1345.46    , array([ 1.06725    ,  0.0939221  ,  4.43931    ,  1.42436    ,  0.0419401  ])
1238    , -1345.47    , array([ 1.06725    ,  0.0939221  ,  4.43487    ,  1.42578    ,  0.0419401  ])
1239    , -1345.73    , array([ 1.06725    ,  0.0939221  ,  4.43487    ,  1.42436    ,  0.041982   ])
1240    , -1339.28    , array([ 1.13186    ,  0.0875941  ,  4.2873     ,  2.20132    ,  0.040093   ])
1241    , -1339.28    , array([ 1.13186    ,  0.0875941  ,  4.2873     ,  2.20132    ,  0.040093   ])
1242    , -1339.38    , array([ 1.13299    ,  0.0875941  ,  4.2873     ,  2.20132    ,  0.040093   ])
1243    , -1339.12    , array([ 1.13186    ,  0.0876817  ,  4.2873     ,  2.20132    ,  0.040093   ])
