18034   , -2629.99    , array([ 1.73164    ,  2.10692    ,  0.0318854  ,  4.7998e-46 ])
18035   , -2630.45    , array([ 1.73338    ,  2.10692    ,  0.0318854  ,  4.7998e-46 ])
18036   , -2629.99    , array([ 1.73164    ,  2.10903    ,  0.0318854  ,  4.7998e-46 ])
18037   , -2630.3     , array([ 1.73164    ,  2.10692    ,  0.0319173  ,  4.7998e-46 ])
18038   , -2629.99    , array([ 1.73164    ,  2.10692    ,  0.0318854  ,  4.8046e-46 ])
18039   , -2629.99    , array([ 1.73164    ,  2.10692    ,  0.0318854  ,  4.7998e-46 ])
18040   , -2228.43    , array([ 0.750276   ,  2.10692    ,  0.018101   ,  4.7998e-46 ])
18041   , -2228.43    , array([ 0.750276   ,  2.10692    ,  0.018101   ,  4.7998e-46 ])
18042   , -2228.83    , array([ 0.751027   ,  2.10692    ,  0.018101   ,  4.7998e-46 ])
18043   , -2228.43    , array([ 0.750276   ,  2.10903    ,  0.018101   ,  4.7998e-46 ])
18044   , -2228.33    , array([ 0.750276   ,  2.10692    ,  0.0181191  ,  4.7998e-46 ])
18045   , -2228.43    , array([ 0.750276   ,  2.10692    ,  0.018101   ,  4.8046e-46 ])
18046   , -1664.29    , array([ 0.10777    ,  2.10692    ,  0.0230615  ,  4.7998e-46 ])
18047   , -1664.29    , array([ 0.10777    ,  2.10692    ,  0.0230615  ,  4.7998e-46 ])
18048   , -1663.63    , array([ 0.107878   ,  2.10692    ,  0.0230615  ,  4.7998e-46 ])
18049   , -1664.29    , array([ 0.10777    ,  2.10903    ,  0.0230615  ,  4.7998e-46 ])
18050   , -1664.46    , array([ 0.10777    ,  2.10692    ,  0.0230845  ,  4.7998e-46 ])
18051   , -1664.29    , array([ 0.10777    ,  2.10692    ,  0.0230615  ,  4.8046e-46 ])
18052   , -1858.5     , array([ 0.357339   ,  2.10692    ,  0.0198569  ,  4.7998e-46 ])
18053   , -1858.5     , array([ 0.357339   ,  2.10692    ,  0.0198569  ,  4.7998e-46 ])
18054   , -1858.99    , array([ 0.357696   ,  2.10692    ,  0.0198569  ,  4.7998e-46 ])
18055   , -1858.5     , array([ 0.357339   ,  2.10903    ,  0.0198569  ,  4.7998e-46 ])
18056   , -1858.14    , array([ 0.357339   ,  2.10692    ,  0.0198767  ,  4.7998e-46 ])
18057   , -1858.5     , array([ 0.357339   ,  2.10692    ,  0.0198569  ,  4.8046e-46 ])
18058   , -1552.18    , array([ 0.156643   ,  2.10692    ,  0.0220098  ,  4.7998e-46 ])
18059   , -1552.18    , array([ 0.156643   ,  2.10692    ,  0.0220098  ,  4.7998e-46 ])
18060   , -1552.17    , array([ 0.1568     ,  2.10692    ,  0.0220098  ,  4.7998e-46 ])
18061   , -1552.18    , array([ 0.156643   ,  2.10903    ,  0.0220098  ,  4.7998e-46 ])
18062   , -1551.95    , array([ 0.156643   ,  2.10692    ,  0.0220318  ,  4.7998e-46 ])
18063   , -1552.18    , array([ 0.156643   ,  2.10692    ,  0.0220098  ,  4.8046e-46 ])
18064   , -1587.44    , array([ 0.129024   ,  2.10692    ,  0.0329064  ,  4.7998e-46 ])
18065   , -1587.44    , array([ 0.129024   ,  2.10692    ,  0.0329064  ,  4.7998e-46 ])
18066   , -1586.68    , array([ 0.129153   ,  2.10692    ,  0.0329064  ,  4.7998e-46 ])
18067   , -1587.44    , array([ 0.129024   ,  2.10903    ,  0.0329064  ,  4.7998e-46 ])
18068   , -1587.54    , array([ 0.129024   ,  2.10692    ,  0.0329394  ,  4.7998e-46 ])
18069   , -1587.44    , array([ 0.129024   ,  2.10692    ,  0.0329064  ,  4.8046e-46 ])
18070   , -1533.52    , array([ 0.145584   ,  2.10692    ,  0.025618   ,  4.7998e-46 ])
18071   , -1533.52    , array([ 0.145584   ,  2.10692    ,  0.025618   ,  4.7998e-46 ])
18072   , -1533.28    , array([ 0.14573    ,  2.10692    ,  0.025618   ,  4.7998e-46 ])
18073   , -1533.52    , array([ 0.145584   ,  2.10903    ,  0.025618   ,  4.7998e-46 ])
18074   , -1533.39    , array([ 0.145584   ,  2.10692    ,  0.0256436  ,  4.7998e-46 ])
18075   , -1533.52    , array([ 0.145584   ,  2.10692    ,  0.025618   ,  4.8046e-46 ])
18076   , -1492.49    , array([ 0.156095   ,  2.10692    ,  0.0302331  ,  4.7998e-46 ])
18077   , -1492.49    , array([ 0.156095   ,  2.10692    ,  0.0302331  ,  4.7998e-46 ])
18078   , -1492.21    , array([ 0.156251   ,  2.10692    ,  0.0302331  ,  4.7998e-46 ])
18079   , -1492.49    , array([ 0.156095   ,  2.10903    ,  0.0302331  ,  4.7998e-46 ])
18080   , -1492.34    , array([ 0.156095   ,  2.10692    ,  0.0302634  ,  4.7998e-46 ])
18081   , -1492.49    , array([ 0.156095   ,  2.10692    ,  0.0302331  ,  4.8046e-46 ])
18082   , -1247.55    , array([ 0.206298   ,  2.10692    ,  0.0586454  ,  4.7998e-46 ])
18083   , -1247.55    , array([ 0.206298   ,  2.10692    ,  0.0586454  ,  4.7998e-46 ])
18084   , -1247.18    , array([ 0.206504   ,  2.10692    ,  0.0586454  ,  4.7998e-46 ])
18085   , -1247.55    , array([ 0.206298   ,  2.10903    ,  0.0586454  ,  4.7998e-46 ])
18086   , -1247.23    , array([ 0.206298   ,  2.10692    ,  0.0587041  ,  4.7998e-46 ])
18087   , -1247.55    , array([ 0.206298   ,  2.10692    ,  0.0586454  ,  4.8046e-46 ])
18088   , -1331.66    , array([ 0.629386   ,  2.10692    ,  0.830308   ,  4.7998e-46 ])
18089   , -1331.66    , array([ 0.629386   ,  2.10692    ,  0.830308   ,  4.7998e-46 ])
18090   , -1332.81    , array([ 0.630016   ,  2.10692    ,  0.830308   ,  4.7998e-46 ])
18091   , -1331.66    , array([ 0.629386   ,  2.10903    ,  0.830308   ,  4.7998e-46 ])
18092   , -1332.45    , array([ 0.629386   ,  2.10692    ,  0.831138   ,  4.7998e-46 ])
18093   , -1331.66    , array([ 0.629386   ,  2.10692    ,  0.830308   ,  4.8046e-46 ])
18094   , -551.702    , array([ 0.369987   ,  2.10692    ,  0.234971   ,  4.7998e-46 ])
18095   , -551.702    , array([ 0.369987   ,  2.10692    ,  0.234971   ,  4.7998e-46 ])
18096   , -552.101    , array([ 0.370357   ,  2.10692    ,  0.234971   ,  4.7998e-46 ])
18097   , -551.702    , array([ 0.369987   ,  2.10903    ,  0.234971   ,  4.7998e-46 ])
18098   , -551.339    , array([ 0.369987   ,  2.10692    ,  0.235206   ,  4.7998e-46 ])
18099   , -551.702    , array([ 0.369987   ,  2.10692    ,  0.234971   ,  4.8046e-46 ])
18106   , -551.695    , array([ 0.369991   ,  2.10692    ,  0.234978   ,  4.7998e-46 ])
18107   , -551.695    , array([ 0.369991   ,  2.10692    ,  0.234978   ,  4.7998e-46 ])
18108   , -552.094    , array([ 0.370361   ,  2.10692    ,  0.234978   ,  4.7998e-46 ])
18109   , -551.695    , array([ 0.369991   ,  2.10903    ,  0.234978   ,  4.7998e-46 ])
18110   , -551.332    , array([ 0.369991   ,  2.10692    ,  0.235213   ,  4.7998e-46 ])
18111   , -551.695    , array([ 0.369991   ,  2.10692    ,  0.234978   ,  4.8046e-46 ])
18112   , -551.656    , array([ 0.370017   ,  2.10692    ,  0.235022   ,  4.7998e-46 ])
18113   , -551.656    , array([ 0.370017   ,  2.10692    ,  0.235022   ,  4.7998e-46 ])
18114   , -552.055    , array([ 0.370388   ,  2.10692    ,  0.235022   ,  4.7998e-46 ])
18115   , -551.656    , array([ 0.370017   ,  2.10903    ,  0.235022   ,  4.7998e-46 ])
18116   , -551.293    , array([ 0.370017   ,  2.10692    ,  0.235257   ,  4.7998e-46 ])
18117   , -551.656    , array([ 0.370017   ,  2.10692    ,  0.235022   ,  4.8046e-46 ])
18124   , -551.654    , array([ 0.370019   ,  2.10692    ,  0.235024   ,  4.7998e-46 ])
18125   , -551.654    , array([ 0.370019   ,  2.10692    ,  0.235024   ,  4.7998e-46 ])
18126   , -552.053    , array([ 0.370389   ,  2.10692    ,  0.235024   ,  4.7998e-46 ])
18127   , -551.654    , array([ 0.370019   ,  2.10903    ,  0.235024   ,  4.7998e-46 ])
18128   , -551.292    , array([ 0.370019   ,  2.10692    ,  0.235259   ,  4.7998e-46 ])
18129   , -551.654    , array([ 0.370019   ,  2.10692    ,  0.235024   ,  4.8046e-46 ])
18130   , -551.644    , array([ 0.370025   ,  2.10692    ,  0.235035   ,  4.7998e-46 ])
18131   , -551.644    , array([ 0.370025   ,  2.10692    ,  0.235035   ,  4.7998e-46 ])
18132   , -552.044    , array([ 0.370395   ,  2.10692    ,  0.235035   ,  4.7998e-46 ])
18133   , -551.644    , array([ 0.370025   ,  2.10903    ,  0.235035   ,  4.7998e-46 ])
18134   , -551.282    , array([ 0.370025   ,  2.10692    ,  0.23527    ,  4.7998e-46 ])
18135   , -551.644    , array([ 0.370025   ,  2.10692    ,  0.235035   ,  4.8046e-46 ])
18136   , -2273.68    , array([ 0.904878   ,  2.10692    ,  2.46682    ,  4.7998e-46 ])
18137   , -2273.68    , array([ 0.904878   ,  2.10692    ,  2.46682    ,  4.7998e-46 ])
18138   , -2274.17    , array([ 0.905784   ,  2.10692    ,  2.46682    ,  4.7998e-46 ])
18139   , -2273.68    , array([ 0.904878   ,  2.10903    ,  2.46682    ,  4.7998e-46 ])
18140   , -2273.85    , array([ 0.904878   ,  2.10692    ,  2.46929    ,  4.7998e-46 ])
18141   , -2273.68    , array([ 0.904878   ,  2.10692    ,  2.46682    ,  4.8046e-46 ])
18142   , -534.176    , array([ 0.386442   ,  2.10692    ,  0.26345    ,  4.7998e-46 ])
18143   , -534.176    , array([ 0.386442   ,  2.10692    ,  0.26345    ,  4.7998e-46 ])
18144   , -534.677    , array([ 0.386829   ,  2.10692    ,  0.26345    ,  4.7998e-46 ])
18145   , -534.176    , array([ 0.386442   ,  2.10903    ,  0.26345    ,  4.7998e-46 ])
18146   , -533.894    , array([ 0.386442   ,  2.10692    ,  0.263714   ,  4.7998e-46 ])
18147   , -534.176    , array([ 0.386442   ,  2.10692    ,  0.26345    ,  4.8046e-46 ])
18148   , -503.467    , array([ 0.381167   ,  2.10692    ,  0.291508   ,  4.7998e-46 ])
