28091   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28092   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28093   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28094   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28095   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28102   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28103   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28104   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28105   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28106   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28107   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28108   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28109   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28110   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28111   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28112   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28113   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28120   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28121   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28122   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28123   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28124   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28125   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28126   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28127   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28128   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28129   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28130   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28131   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
28138   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28139   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28140   , -2320.19    , array([ 0.00133581 ,  3.76653    ,  1.17207e-06,  4.5365e-38 ])
28141   , -2320.18    , array([ 0.00133447 ,  3.7703     ,  1.17207e-06,  4.5365e-38 ])
28142   , -2320.16    , array([ 0.00133447 ,  3.76653    ,  1.17324e-06,  4.5365e-38 ])
28143   , -2320.18    , array([ 0.00133447 ,  3.76653    ,  1.17207e-06,  4.54103e-38])
