4973    , -4215.2     , array([ 9.7004     ,  36.7475    ,  0.0704387  ,  1.8712e-94 ])
4974    , -4215.56    , array([ 9.71011    ,  36.7475    ,  0.0704387  ,  1.8712e-94 ])
4975    , -4215.2     , array([ 9.7004     ,  36.7843    ,  0.0704387  ,  1.8712e-94 ])
4976    , -4217.39    , array([ 9.7004     ,  36.7475    ,  0.0705092  ,  1.8712e-94 ])
4977    , -4215.2     , array([ 9.7004     ,  36.7475    ,  0.0704387  ,  1.87307e-94])
4978    , -4215.2     , array([ 9.7004     ,  36.7475    ,  0.0704387  ,  1.8712e-94 ])
4979    , -2901.37    , array([ 8.24384    ,  36.7475    ,  0.0259958  ,  1.8712e-94 ])
4980    , -2901.37    , array([ 8.24384    ,  36.7475    ,  0.0259958  ,  1.8712e-94 ])
4981    , -2901.47    , array([ 8.25209    ,  36.7475    ,  0.0259958  ,  1.8712e-94 ])
4982    , -2901.37    , array([ 8.24384    ,  36.7843    ,  0.0259958  ,  1.8712e-94 ])
4983    , -2902.03    , array([ 8.24384    ,  36.7475    ,  0.0260218  ,  1.8712e-94 ])
4984    , -2901.37    , array([ 8.24384    ,  36.7475    ,  0.0259958  ,  1.87307e-94])
4991    , -2901.37    , array([ 8.2439     ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
4992    , -2901.37    , array([ 8.2439     ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
4993    , -2901.47    , array([ 8.25215    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
4994    , -2901.37    , array([ 8.2439     ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
4995    , -2902.03    , array([ 8.2439     ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
4996    , -2901.37    , array([ 8.2439     ,  36.7475    ,  0.0259957  ,  1.87307e-94])
4997    , -2901.37    , array([ 8.24396    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
4998    , -2901.37    , array([ 8.24396    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
4999    , -2901.47    , array([ 8.25221    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5000    , -2901.37    , array([ 8.24396    ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
5001    , -2902.03    , array([ 8.24396    ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
5002    , -2901.37    , array([ 8.24396    ,  36.7475    ,  0.0259957  ,  1.87307e-94])
5009    , -2901.37    , array([ 8.24397    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5010    , -2901.37    , array([ 8.24397    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5011    , -2901.47    , array([ 8.25222    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5012    , -2901.37    , array([ 8.24397    ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
5013    , -2902.03    , array([ 8.24397    ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
5014    , -2901.37    , array([ 8.24397    ,  36.7475    ,  0.0259957  ,  1.87307e-94])
5015    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5016    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5017    , -2901.47    , array([ 8.25224    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5018    , -2901.37    , array([ 8.24399    ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
5019    , -2902.03    , array([ 8.24399    ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
5020    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.87307e-94])
5027    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5028    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5029    , -2901.47    , array([ 8.25224    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5030    , -2901.37    , array([ 8.24399    ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
5031    , -2902.03    , array([ 8.24399    ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
5032    , -2901.37    , array([ 8.24399    ,  36.7475    ,  0.0259957  ,  1.87307e-94])
5033    , -2901.37    , array([ 8.244      ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5034    , -2901.37    , array([ 8.244      ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5035    , -2901.47    , array([ 8.25224    ,  36.7475    ,  0.0259957  ,  1.8712e-94 ])
5036    , -2901.37    , array([ 8.244      ,  36.7843    ,  0.0259957  ,  1.8712e-94 ])
5037    , -2902.03    , array([ 8.244      ,  36.7475    ,  0.0260217  ,  1.8712e-94 ])
5038    , -2901.37    , array([ 8.244      ,  36.7475    ,  0.0259957  ,  1.87307e-94])
5039    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5040    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5041    , -2798.54    , array([ 30.6435    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5042    , -2798.52    , array([ 30.6129    ,  36.7843    ,  0.0197254  ,  1.8712e-94 ])
5043    , -2799.06    , array([ 30.6129    ,  36.7475    ,  0.0197451  ,  1.8712e-94 ])
5044    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.87307e-94])
5045    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5046    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5047    , -2798.54    , array([ 30.6435    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5048    , -2798.52    , array([ 30.6129    ,  36.7843    ,  0.0197254  ,  1.8712e-94 ])
5049    , -2799.06    , array([ 30.6129    ,  36.7475    ,  0.0197451  ,  1.8712e-94 ])
5050    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.87307e-94])
5051    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5052    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5053    , -2798.54    , array([ 30.6435    ,  36.7475    ,  0.0197254  ,  1.8712e-94 ])
5054    , -2798.52    , array([ 30.6129    ,  36.7843    ,  0.0197254  ,  1.8712e-94 ])
5055    , -2799.06    , array([ 30.6129    ,  36.7475    ,  0.0197451  ,  1.8712e-94 ])
5056    , -2798.52    , array([ 30.6129    ,  36.7475    ,  0.0197254  ,  1.87307e-94])
5057    , -2737.75    , array([ 58.9913    ,  36.7475    ,  0.0171825  ,  1.8712e-94 ])
5058    , -2737.75    , array([ 58.9913    ,  36.7475    ,  0.0171825  ,  1.8712e-94 ])
5059    , -2737.76    , array([ 59.0503    ,  36.7475    ,  0.0171825  ,  1.8712e-94 ])
5060    , -2737.75    , array([ 58.9913    ,  36.7843    ,  0.0171825  ,  1.8712e-94 ])
5061    , -2738.22    , array([ 58.9913    ,  36.7475    ,  0.0171997  ,  1.8712e-94 ])
5062    , -2737.75    , array([ 58.9913    ,  36.7475    ,  0.0171825  ,  1.87307e-94])
5063    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5064    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5065    , -2700.24    , array([ 91.0427    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5066    , -2700.23    , array([ 90.9517    ,  36.7843    ,  0.0156866  ,  1.8712e-94 ])
5067    , -2700.65    , array([ 90.9517    ,  36.7475    ,  0.0157023  ,  1.8712e-94 ])
5068    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.87307e-94])
5075    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5076    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5077    , -2700.24    , array([ 91.0427    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5078    , -2700.23    , array([ 90.9517    ,  36.7843    ,  0.0156866  ,  1.8712e-94 ])
5079    , -2700.65    , array([ 90.9517    ,  36.7475    ,  0.0157023  ,  1.8712e-94 ])
5080    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.87307e-94])
5087    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5088    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5089    , -2700.24    , array([ 91.0427    ,  36.7475    ,  0.0156866  ,  1.8712e-94 ])
5090    , -2700.23    , array([ 90.9517    ,  36.7843    ,  0.0156866  ,  1.8712e-94 ])
5091    , -2700.65    , array([ 90.9517    ,  36.7475    ,  0.0157023  ,  1.8712e-94 ])
5092    , -2700.23    , array([ 90.9517    ,  36.7475    ,  0.0156866  ,  1.87307e-94])
5093    , -2694.91    , array([ 96.9746    ,  36.7475    ,  0.0154764  ,  1.8712e-94 ])
5094    , -2694.91    , array([ 96.9746    ,  36.7475    ,  0.0154764  ,  1.8712e-94 ])
5095    , -2694.91    , array([ 97.0716    ,  36.7475    ,  0.0154764  ,  1.8712e-94 ])
5096    , -2694.91    , array([ 96.9746    ,  36.7843    ,  0.0154764  ,  1.8712e-94 ])
5097    , -2695.32    , array([ 96.9746    ,  36.7475    ,  0.0154919  ,  1.8712e-94 ])
5098    , -2694.91    , array([ 96.9746    ,  36.7475    ,  0.0154764  ,  1.87307e-94])
5099    , -2693.11    , array([ 99.1119    ,  36.7475    ,  0.0154056  ,  1.8712e-94 ])
5100    , -2693.11    , array([ 99.1119    ,  36.7475    ,  0.0154056  ,  1.8712e-94 ])
5101    , -2693.12    , array([ 99.2111    ,  36.7475    ,  0.0154056  ,  1.8712e-94 ])
5102    , -2693.11    , array([ 99.1119    ,  36.7843    ,  0.0154056  ,  1.8712e-94 ])
5103    , -2693.53    , array([ 99.1119    ,  36.7475    ,  0.015421   ,  1.8712e-94 ])
5104    , -2693.11    , array([ 99.1119    ,  36.7475    ,  0.0154056  ,  1.87307e-94])
5105    , -2692.51    , array([ 99.8493    ,  36.7475    ,  0.0153816  ,  1.8712e-94 ])
5106    , -2692.51    , array([ 99.8493    ,  36.7475    ,  0.0153816  ,  1.8712e-94 ])
5107    , -2692.51    , array([ 99.9492    ,  36.7475    ,  0.0153816  ,  1.8712e-94 ])
5108    , -2692.51    , array([ 99.8493    ,  36.7843    ,  0.0153816  ,  1.8712e-94 ])
5109    , -2692.92    , array([ 99.8493    ,  36.7475    ,  0.0153969  ,  1.8712e-94 ])
5110    , -2692.51    , array([ 99.8493    ,  36.7475    ,  0.0153816  ,  1.87307e-94])
