281476  , -1443.94    , array([ 1.23414    ,  0.0949676  ,  4.01459    ,  2.3304e-26 ,  0.0371786  ])
281477  , -1443.66    , array([ 1.23414    ,  0.0949676  ,  4.01459    ,  2.32807e-26,  0.0372158  ])
281478  , -1440.68    , array([ 1.19063    ,  0.0916361  ,  4.30639    ,  2.32807e-26,  0.0362196  ])
281479  , -1440.68    , array([ 1.19063    ,  0.0916361  ,  4.30639    ,  2.32807e-26,  0.0362196  ])
281480  , -1440.83    , array([ 1.19182    ,  0.0916361  ,  4.30639    ,  2.32807e-26,  0.0362196  ])
281481  , -1440.69    , array([ 1.19063    ,  0.0917278  ,  4.30639    ,  2.32807e-26,  0.0362196  ])
281482  , -1440.69    , array([ 1.19063    ,  0.0916361  ,  4.31069    ,  2.32807e-26,  0.0362196  ])
281483  , -1440.68    , array([ 1.19063    ,  0.0916361  ,  4.30639    ,  2.3304e-26 ,  0.0362196  ])
281484  , -1440.55    , array([ 1.19063    ,  0.0916361  ,  4.30639    ,  2.32807e-26,  0.0362558  ])
281485  , -1439.24    , array([ 1.17667    ,  0.0912846  ,  4.32599    ,  2.32807e-26,  0.0363211  ])
281486  , -1439.24    , array([ 1.17667    ,  0.0912846  ,  4.32599    ,  2.32807e-26,  0.0363211  ])
281487  , -1439.38    , array([ 1.17785    ,  0.0912846  ,  4.32599    ,  2.32807e-26,  0.0363211  ])
281488  , -1439.07    , array([ 1.17667    ,  0.0913759  ,  4.32599    ,  2.32807e-26,  0.0363211  ])
281489  , -1439.23    , array([ 1.17667    ,  0.0912846  ,  4.33031    ,  2.32807e-26,  0.0363211  ])
281490  , -1439.24    , array([ 1.17667    ,  0.0912846  ,  4.32599    ,  2.3304e-26 ,  0.0363211  ])
281491  , -1439.27    , array([ 1.17667    ,  0.0912846  ,  4.32599    ,  2.32807e-26,  0.0363574  ])
281492  , -1437.31    , array([ 1.16982    ,  0.0920817  ,  4.42133    ,  2.32807e-26,  0.0369423  ])
281493  , -1437.31    , array([ 1.16982    ,  0.0920817  ,  4.42133    ,  2.32807e-26,  0.0369423  ])
281494  , -1437.45    , array([ 1.17099    ,  0.0920817  ,  4.42133    ,  2.32807e-26,  0.0369423  ])
281495  , -1437       , array([ 1.16982    ,  0.0921738  ,  4.42133    ,  2.32807e-26,  0.0369423  ])
281496  , -1437.3     , array([ 1.16982    ,  0.0920817  ,  4.42576    ,  2.32807e-26,  0.0369423  ])
281497  , -1437.31    , array([ 1.16982    ,  0.0920817  ,  4.42133    ,  2.3304e-26 ,  0.0369423  ])
281498  , -1437.47    , array([ 1.16982    ,  0.0920817  ,  4.42133    ,  2.32807e-26,  0.0369792  ])
281499  , -1433.5     , array([ 1.14782    ,  0.0936289  ,  4.52309    ,  2.32807e-26,  0.0379385  ])
281500  , -1433.5     , array([ 1.14782    ,  0.0936289  ,  4.52309    ,  2.32807e-26,  0.0379385  ])
281501  , -1433.62    , array([ 1.14897    ,  0.0936289  ,  4.52309    ,  2.32807e-26,  0.0379385  ])
281502  , -1433.03    , array([ 1.14782    ,  0.0937226  ,  4.52309    ,  2.32807e-26,  0.0379385  ])
281503  , -1433.46    , array([ 1.14782    ,  0.0936289  ,  4.52761    ,  2.32807e-26,  0.0379385  ])
281504  , -1433.5     , array([ 1.14782    ,  0.0936289  ,  4.52309    ,  2.3304e-26 ,  0.0379385  ])
281505  , -1433.8     , array([ 1.14782    ,  0.0936289  ,  4.52309    ,  2.32807e-26,  0.0379765  ])
281506  , -1425.99    , array([ 1.10499    ,  0.0972652  ,  4.81265    ,  2.32807e-26,  0.0400406  ])
281507  , -1425.99    , array([ 1.10499    ,  0.0972652  ,  4.81265    ,  2.32807e-26,  0.0400406  ])
281508  , -1426.09    , array([ 1.10609    ,  0.0972652  ,  4.81265    ,  2.32807e-26,  0.0400406  ])
281509  , -1425.42    , array([ 1.10499    ,  0.0973625  ,  4.81265    ,  2.32807e-26,  0.0400406  ])
281510  , -1425.95    , array([ 1.10499    ,  0.0972652  ,  4.81747    ,  2.32807e-26,  0.0400406  ])
281511  , -1425.99    , array([ 1.10499    ,  0.0972652  ,  4.81265    ,  2.3304e-26 ,  0.0400406  ])
281512  , -1426.41    , array([ 1.10499    ,  0.0972652  ,  4.81265    ,  2.32807e-26,  0.0400806  ])
281513  , -1415.35    , array([ 1.01151    ,  0.105046   ,  5.29405    ,  2.32807e-26,  0.0441494  ])
281514  , -1415.35    , array([ 1.01151    ,  0.105046   ,  5.29405    ,  2.32807e-26,  0.0441494  ])
281515  , -1415.37    , array([ 1.01252    ,  0.105046   ,  5.29405    ,  2.32807e-26,  0.0441494  ])
281516  , -1414.86    , array([ 1.01151    ,  0.105151   ,  5.29405    ,  2.32807e-26,  0.0441494  ])
281517  , -1415.31    , array([ 1.01151    ,  0.105046   ,  5.29934    ,  2.32807e-26,  0.0441494  ])
281518  , -1415.35    , array([ 1.01151    ,  0.105046   ,  5.29405    ,  2.3304e-26 ,  0.0441494  ])
281519  , -1415.77    , array([ 1.01151    ,  0.105046   ,  5.29405    ,  2.32807e-26,  0.0441936  ])
281520  , -1412.64    , array([ 1.00725    ,  0.106159   ,  5.28378    ,  2.32807e-26,  0.0443568  ])
281521  , -1412.64    , array([ 1.00725    ,  0.106159   ,  5.28378    ,  2.32807e-26,  0.0443568  ])
