123077  , -201298     , array([ 0.331811   ,  0.0444085  ,  0.922224   ,  1.6532e-25 ,  0.711816   ])
123078  , -201317     , array([ 0.332143   ,  0.0444085  ,  0.922224   ,  1.6532e-25 ,  0.711816   ])
123079  , -201203     , array([ 0.331811   ,  0.0444529  ,  0.922224   ,  1.6532e-25 ,  0.711816   ])
123080  , -201245     , array([ 0.331811   ,  0.0444085  ,  0.923147   ,  1.6532e-25 ,  0.711816   ])
123081  , -201298     , array([ 0.331811   ,  0.0444085  ,  0.922224   ,  1.65486e-25,  0.711816   ])
123082  , -201299     , array([ 0.331811   ,  0.0444085  ,  0.922224   ,  1.6532e-25 ,  0.712528   ])
123083  , -201298     , array([ 0.331811   ,  0.0444085  ,  0.922224   ,  1.6532e-25 ,  0.711816   ])
123084  , -107011     , array([ 0.277526   ,  0.105955   ,  1.49273    ,  1.6532e-25 ,  0.705235   ])
123085  , -107011     , array([ 0.277526   ,  0.105955   ,  1.49273    ,  1.6532e-25 ,  0.705235   ])
123086  , -107004     , array([ 0.277804   ,  0.105955   ,  1.49273    ,  1.6532e-25 ,  0.705235   ])
123087  , -106944     , array([ 0.277526   ,  0.106061   ,  1.49273    ,  1.6532e-25 ,  0.705235   ])
123088  , -106962     , array([ 0.277526   ,  0.105955   ,  1.49423    ,  1.6532e-25 ,  0.705235   ])
123089  , -107011     , array([ 0.277526   ,  0.105955   ,  1.49273    ,  1.65486e-25,  0.705235   ])
123090  , -107019     , array([ 0.277526   ,  0.105955   ,  1.49273    ,  1.6532e-25 ,  0.705941   ])
123091  , -8744.62    , array([ 1.22119    ,  0.402441   ,  8.73274    ,  1.6532e-25 ,  0.351028   ])
123092  , -8744.62    , array([ 1.22119    ,  0.402441   ,  8.73274    ,  1.6532e-25 ,  0.351028   ])
123093  , -8750.56    , array([ 1.22241    ,  0.402441   ,  8.73274    ,  1.6532e-25 ,  0.351028   ])
123094  , -8751.6     , array([ 1.22119    ,  0.402843   ,  8.73274    ,  1.6532e-25 ,  0.351028   ])
123095  , -8756.6     , array([ 1.22119    ,  0.402441   ,  8.74147    ,  1.6532e-25 ,  0.351028   ])
123096  , -8744.62    , array([ 1.22119    ,  0.402441   ,  8.73274    ,  1.65486e-25,  0.351028   ])
123097  , -8747.72    , array([ 1.22119    ,  0.402441   ,  8.73274    ,  1.6532e-25 ,  0.351379   ])
