187116  , -13127.9    , array([ 0.371858   ,  0.0968176  ,  4.73356e-06,  4.68161e-61,  0.0128173  ])
187117  , -13108.7    , array([ 0.371858   ,  0.0967209  ,  4.73829e-06,  4.68161e-61,  0.0128173  ])
187118  , -13108.7    , array([ 0.371858   ,  0.0967209  ,  4.73356e-06,  4.6863e-61 ,  0.0128173  ])
187119  , -13089      , array([ 0.371858   ,  0.0967209  ,  4.73356e-06,  4.68161e-61,  0.0128301  ])
187120  , -11026      , array([ 0.398546   ,  0.0889525  ,  4.24239e-06,  4.68161e-61,  0.0131757  ])
187121  , -11026      , array([ 0.398546   ,  0.0889525  ,  4.24239e-06,  4.68161e-61,  0.0131757  ])
187122  , -11026.1    , array([ 0.398945   ,  0.0889525  ,  4.24239e-06,  4.68161e-61,  0.0131757  ])
187123  , -11044.2    , array([ 0.398546   ,  0.0890415  ,  4.24239e-06,  4.68161e-61,  0.0131757  ])
187124  , -11026      , array([ 0.398546   ,  0.0889525  ,  4.24664e-06,  4.68161e-61,  0.0131757  ])
187125  , -11026      , array([ 0.398546   ,  0.0889525  ,  4.24239e-06,  4.6863e-61 ,  0.0131757  ])
187126  , -11007.6    , array([ 0.398546   ,  0.0889525  ,  4.24239e-06,  4.68161e-61,  0.0131888  ])
187127  , -4325.01    , array([ 0.525873   ,  0.0636372  ,  2.73718e-06,  4.68161e-61,  0.0147123  ])
187128  , -4325.01    , array([ 0.525873   ,  0.0636372  ,  2.73718e-06,  4.68161e-61,  0.0147123  ])
187129  , -4324.59    , array([ 0.526399   ,  0.0636372  ,  2.73718e-06,  4.68161e-61,  0.0147123  ])
187130  , -4335.87    , array([ 0.525873   ,  0.0637009  ,  2.73718e-06,  4.68161e-61,  0.0147123  ])
187131  , -4325.01    , array([ 0.525873   ,  0.0636372  ,  2.73992e-06,  4.68161e-61,  0.0147123  ])
187132  , -4325.01    , array([ 0.525873   ,  0.0636372  ,  2.73718e-06,  4.6863e-61 ,  0.0147123  ])
187133  , -4314.29    , array([ 0.525873   ,  0.0636372  ,  2.73718e-06,  4.68161e-61,  0.0147271  ])
187134  , -3696.37    , array([ 0.972701   ,  0.0327312  ,  2.01739e-07,  4.68161e-61,  0.0164978  ])
187135  , -3696.37    , array([ 0.972701   ,  0.0327312  ,  2.01739e-07,  4.68161e-61,  0.0164978  ])
187136  , -3696.23    , array([ 0.973675   ,  0.0327312  ,  2.01739e-07,  4.68161e-61,  0.0164978  ])
187137  , -3684.99    , array([ 0.972701   ,  0.0327639  ,  2.01739e-07,  4.68161e-61,  0.0164978  ])
187138  , -3696.37    , array([ 0.972701   ,  0.0327312  ,  2.01941e-07,  4.68161e-61,  0.0164978  ])
187139  , -3696.37    , array([ 0.972701   ,  0.0327312  ,  2.01739e-07,  4.6863e-61 ,  0.0164978  ])
187140  , -3707.22    , array([ 0.972701   ,  0.0327312  ,  2.01739e-07,  4.68161e-61,  0.0165143  ])
187141  , -1812.02    , array([ 0.714968   ,  0.0456554  ,  7.44144e-07,  4.68161e-61,  0.0155785  ])
187142  , -1812.02    , array([ 0.714968   ,  0.0456554  ,  7.44144e-07,  4.68161e-61,  0.0155785  ])
187143  , -1811.7     , array([ 0.715683   ,  0.0456554  ,  7.44144e-07,  4.68161e-61,  0.0155785  ])
187144  , -1813       , array([ 0.714968   ,  0.0457011  ,  7.44144e-07,  4.68161e-61,  0.0155785  ])
187145  , -1812.02    , array([ 0.714968   ,  0.0456554  ,  7.44888e-07,  4.68161e-61,  0.0155785  ])
187146  , -1812.02    , array([ 0.714968   ,  0.0456554  ,  7.44144e-07,  4.6863e-61 ,  0.0155785  ])
187147  , -1810.98    , array([ 0.714968   ,  0.0456554  ,  7.44144e-07,  4.68161e-61,  0.0155941  ])
187148  , -1760.09    , array([ 0.794264   ,  0.0460748  ,  5.45493e-07,  4.68161e-61,  0.0165123  ])
187149  , -1760.09    , array([ 0.794264   ,  0.0460748  ,  5.45493e-07,  4.68161e-61,  0.0165123  ])
187150  , -1759.81    , array([ 0.795059   ,  0.0460748  ,  5.45493e-07,  4.68161e-61,  0.0165123  ])
187151  , -1759.66    , array([ 0.794264   ,  0.0461209  ,  5.45493e-07,  4.68161e-61,  0.0165123  ])
187152  , -1760.09    , array([ 0.794264   ,  0.0460748  ,  5.46038e-07,  4.68161e-61,  0.0165123  ])
187153  , -1760.09    , array([ 0.794264   ,  0.0460748  ,  5.45493e-07,  4.6863e-61 ,  0.0165123  ])
187154  , -1760.39    , array([ 0.794264   ,  0.0460748  ,  5.45493e-07,  4.68161e-61,  0.0165289  ])
187155  , -1725.37    , array([ 0.884934   ,  0.0495593  ,  4.4019e-07 ,  4.68161e-61,  0.0179398  ])
187156  , -1725.37    , array([ 0.884934   ,  0.0495593  ,  4.4019e-07 ,  4.68161e-61,  0.0179398  ])
187157  , -1725.14    , array([ 0.88582    ,  0.0495593  ,  4.4019e-07 ,  4.68161e-61,  0.0179398  ])
187158  , -1724.72    , array([ 0.884934   ,  0.0496089  ,  4.4019e-07 ,  4.68161e-61,  0.0179398  ])
187159  , -1725.37    , array([ 0.884934   ,  0.0495593  ,  4.4063e-07 ,  4.68161e-61,  0.0179398  ])
187160  , -1725.37    , array([ 0.884934   ,  0.0495593  ,  4.4019e-07 ,  4.6863e-61 ,  0.0179398  ])
187161  , -1725.9     , array([ 0.884934   ,  0.0495593  ,  4.4019e-07 ,  4.68161e-61,  0.0179578  ])
187162  , -1664.23    , array([ 1.10507    ,  0.0590179  ,  2.97758e-07,  4.68161e-61,  0.0214827  ])
187163  , -1664.23    , array([ 1.10507    ,  0.0590179  ,  2.97758e-07,  4.68161e-61,  0.0214827  ])
187164  , -1664.09    , array([ 1.10617    ,  0.0590179  ,  2.97758e-07,  4.68161e-61,  0.0214827  ])
187165  , -1663.58    , array([ 1.10507    ,  0.059077   ,  2.97758e-07,  4.68161e-61,  0.0214827  ])
187166  , -1664.23    , array([ 1.10507    ,  0.0590179  ,  2.98056e-07,  4.68161e-61,  0.0214827  ])
187167  , -1664.23    , array([ 1.10507    ,  0.0590179  ,  2.97758e-07,  4.6863e-61 ,  0.0214827  ])
187168  , -1664.82    , array([ 1.10507    ,  0.0590179  ,  2.97758e-07,  4.68161e-61,  0.0215042  ])
187169  , -1637.52    , array([ 1.46095    ,  0.074601   ,  1.77132e-07,  4.68161e-61,  0.0269615  ])
187170  , -1637.52    , array([ 1.46095    ,  0.074601   ,  1.77132e-07,  4.68161e-61,  0.0269615  ])
187171  , -1637.5     , array([ 1.46241    ,  0.074601   ,  1.77132e-07,  4.68161e-61,  0.0269615  ])
187172  , -1637.32    , array([ 1.46095    ,  0.0746756  ,  1.77132e-07,  4.68161e-61,  0.0269615  ])
187173  , -1637.52    , array([ 1.46095    ,  0.074601   ,  1.7731e-07 ,  4.68161e-61,  0.0269615  ])
187174  , -1637.52    , array([ 1.46095    ,  0.074601   ,  1.77132e-07,  4.6863e-61 ,  0.0269615  ])
187175  , -1637.86    , array([ 1.46095    ,  0.074601   ,  1.77132e-07,  4.68161e-61,  0.0269885  ])
187176  , -1634.57    , array([ 1.33577    ,  0.0691099  ,  1.89069e-07,  4.68161e-61,  0.024832   ])
187177  , -1634.57    , array([ 1.33577    ,  0.0691099  ,  1.89069e-07,  4.68161e-61,  0.024832   ])
187178  , -1634.52    , array([ 1.33711    ,  0.0691099  ,  1.89069e-07,  4.68161e-61,  0.024832   ])
187179  , -1634.46    , array([ 1.33577    ,  0.069179   ,  1.89069e-07,  4.68161e-61,  0.024832   ])
187180  , -1634.57    , array([ 1.33577    ,  0.0691099  ,  1.89258e-07,  4.68161e-61,  0.024832   ])
187181  , -1634.57    , array([ 1.33577    ,  0.0691099  ,  1.89069e-07,  4.6863e-61 ,  0.024832   ])
187182  , -1634.73    , array([ 1.33577    ,  0.0691099  ,  1.89069e-07,  4.68161e-61,  0.0248568  ])
187183  , -1633.81    , array([ 1.3491     ,  0.0691886  ,  1.69672e-07,  4.68161e-61,  0.0247938  ])
187184  , -1633.81    , array([ 1.3491     ,  0.0691886  ,  1.69672e-07,  4.68161e-61,  0.0247938  ])
187185  , -1633.77    , array([ 1.35045    ,  0.0691886  ,  1.69672e-07,  4.68161e-61,  0.0247938  ])
187186  , -1633.79    , array([ 1.3491     ,  0.0692578  ,  1.69672e-07,  4.68161e-61,  0.0247938  ])
187187  , -1633.81    , array([ 1.3491     ,  0.0691886  ,  1.69842e-07,  4.68161e-61,  0.0247938  ])
187188  , -1633.81    , array([ 1.3491     ,  0.0691886  ,  1.69672e-07,  4.6863e-61 ,  0.0247938  ])
187189  , -1633.89    , array([ 1.3491     ,  0.0691886  ,  1.69672e-07,  4.68161e-61,  0.0248186  ])
187190  , -1632.86    , array([ 1.38275    ,  0.068956   ,  1.27862e-07,  4.68161e-61,  0.0246346  ])
187191  , -1632.86    , array([ 1.38275    ,  0.068956   ,  1.27862e-07,  4.68161e-61,  0.0246346  ])
187192  , -1632.84    , array([ 1.38413    ,  0.068956   ,  1.27862e-07,  4.68161e-61,  0.0246346  ])
187193  , -1632.93    , array([ 1.38275    ,  0.069025   ,  1.27862e-07,  4.68161e-61,  0.0246346  ])
187194  , -1632.86    , array([ 1.38275    ,  0.068956   ,  1.2799e-07 ,  4.68161e-61,  0.0246346  ])
187195  , -1632.86    , array([ 1.38275    ,  0.068956   ,  1.27862e-07,  4.6863e-61 ,  0.0246346  ])
187196  , -1632.83    , array([ 1.38275    ,  0.068956   ,  1.27862e-07,  4.68161e-61,  0.0246592  ])
187197  , -1632.5     , array([ 1.41754    ,  0.0683614  ,  9.45844e-08,  4.68161e-61,  0.0244121  ])
187198  , -1632.5     , array([ 1.41754    ,  0.0683614  ,  9.45844e-08,  4.68161e-61,  0.0244121  ])
187199  , -1632.49    , array([ 1.41896    ,  0.0683614  ,  9.45844e-08,  4.68161e-61,  0.0244121  ])
187200  , -1632.59    , array([ 1.41754    ,  0.0684298  ,  9.45844e-08,  4.68161e-61,  0.0244121  ])
187201  , -1632.5     , array([ 1.41754    ,  0.0683614  ,  9.4679e-08 ,  4.68161e-61,  0.0244121  ])
187202  , -1632.5     , array([ 1.41754    ,  0.0683614  ,  9.45844e-08,  4.6863e-61 ,  0.0244121  ])
187203  , -1632.43    , array([ 1.41754    ,  0.0683614  ,  9.45844e-08,  4.68161e-61,  0.0244365  ])
187204  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187205  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187206  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187207  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187208  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187209  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187210  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187211  , -1632.5     , array([ 1.43594    ,  0.0678162  ,  8.01338e-08,  4.68161e-61,  0.0242586  ])
187212  , -1632.5     , array([ 1.43594    ,  0.0678162  ,  8.01338e-08,  4.68161e-61,  0.0242586  ])
187213  , -1632.5     , array([ 1.43737    ,  0.0678162  ,  8.01338e-08,  4.68161e-61,  0.0242586  ])
187214  , -1632.53    , array([ 1.43594    ,  0.067884   ,  8.01338e-08,  4.68161e-61,  0.0242586  ])
187215  , -1632.5     , array([ 1.43594    ,  0.0678162  ,  8.0214e-08 ,  4.68161e-61,  0.0242586  ])
187216  , -1632.5     , array([ 1.43594    ,  0.0678162  ,  8.01338e-08,  4.6863e-61 ,  0.0242586  ])
187217  , -1632.47    , array([ 1.43594    ,  0.0678162  ,  8.01338e-08,  4.68161e-61,  0.0242828  ])
187218  , -1632.5     , array([ 1.43552    ,  0.0678463  ,  8.04993e-08,  4.68161e-61,  0.0242651  ])
187219  , -1632.5     , array([ 1.43552    ,  0.0678463  ,  8.04993e-08,  4.68161e-61,  0.0242651  ])
187220  , -1632.5     , array([ 1.43695    ,  0.0678463  ,  8.04993e-08,  4.68161e-61,  0.0242651  ])
187221  , -1632.54    , array([ 1.43552    ,  0.0679142  ,  8.04993e-08,  4.68161e-61,  0.0242651  ])
187222  , -1632.5     , array([ 1.43552    ,  0.0678463  ,  8.05798e-08,  4.68161e-61,  0.0242651  ])
187223  , -1632.5     , array([ 1.43552    ,  0.0678463  ,  8.04993e-08,  4.6863e-61 ,  0.0242651  ])
187224  , -1632.46    , array([ 1.43552    ,  0.0678463  ,  8.04993e-08,  4.68161e-61,  0.0242894  ])
187225  , -1632.5     , array([ 1.43546    ,  0.0678506  ,  8.05508e-08,  4.68161e-61,  0.0242661  ])
187226  , -1632.5     , array([ 1.43546    ,  0.0678506  ,  8.05508e-08,  4.68161e-61,  0.0242661  ])
187227  , -1632.5     , array([ 1.4369     ,  0.0678506  ,  8.05508e-08,  4.68161e-61,  0.0242661  ])
187228  , -1632.54    , array([ 1.43546    ,  0.0679185  ,  8.05508e-08,  4.68161e-61,  0.0242661  ])
187229  , -1632.5     , array([ 1.43546    ,  0.0678506  ,  8.06314e-08,  4.68161e-61,  0.0242661  ])
187230  , -1632.5     , array([ 1.43546    ,  0.0678506  ,  8.05508e-08,  4.6863e-61 ,  0.0242661  ])
187231  , -1632.46    , array([ 1.43546    ,  0.0678506  ,  8.05508e-08,  4.68161e-61,  0.0242903  ])
187232  , -1632.5     , array([ 1.43545    ,  0.0678512  ,  8.05583e-08,  4.68161e-61,  0.0242662  ])
187233  , -1632.5     , array([ 1.43545    ,  0.0678512  ,  8.05583e-08,  4.68161e-61,  0.0242662  ])
187234  , -1632.5     , array([ 1.43689    ,  0.0678512  ,  8.05583e-08,  4.68161e-61,  0.0242662  ])
187235  , -1632.54    , array([ 1.43545    ,  0.0679191  ,  8.05583e-08,  4.68161e-61,  0.0242662  ])
187236  , -1632.5     , array([ 1.43545    ,  0.0678512  ,  8.06389e-08,  4.68161e-61,  0.0242662  ])
187237  , -1632.5     , array([ 1.43545    ,  0.0678512  ,  8.05583e-08,  4.6863e-61 ,  0.0242662  ])
187238  , -1632.46    , array([ 1.43545    ,  0.0678512  ,  8.05583e-08,  4.68161e-61,  0.0242905  ])
187239  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05594e-08,  4.68161e-61,  0.0242662  ])
187240  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05594e-08,  4.68161e-61,  0.0242662  ])
187241  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05594e-08,  4.68161e-61,  0.0242662  ])
187242  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05594e-08,  4.68161e-61,  0.0242662  ])
187243  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.064e-08  ,  4.68161e-61,  0.0242662  ])
187244  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05594e-08,  4.6863e-61 ,  0.0242662  ])
187245  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05594e-08,  4.68161e-61,  0.0242905  ])
187246  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187247  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187248  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187249  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187250  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187251  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187252  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187253  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187254  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187255  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187256  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187257  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187258  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187259  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187260  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187261  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187262  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187263  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187264  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187265  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187266  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187267  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187268  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187269  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187270  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187271  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187272  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187273  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187274  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187275  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187276  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187277  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187278  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187279  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187280  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187281  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187282  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187283  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187284  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187285  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187286  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187287  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187288  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187289  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187290  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187291  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187292  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187293  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187294  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187295  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187296  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187297  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187298  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187299  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187300  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187301  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187302  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187303  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187304  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187305  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187306  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187307  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
187308  , -1632.46    , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242905  ])
187309  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187310  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187311  , -1632.5     , array([ 1.43689    ,  0.0678513  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187312  , -1632.54    , array([ 1.43545    ,  0.0679192  ,  8.05595e-08,  4.68161e-61,  0.0242662  ])
187313  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.06401e-08,  4.68161e-61,  0.0242662  ])
187314  , -1632.5     , array([ 1.43545    ,  0.0678513  ,  8.05595e-08,  4.6863e-61 ,  0.0242662  ])
