48111   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  0.000226584,  0.000511249])
48113   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  8.65669e-05,  0.000511249])
48115   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  3.30852e-05,  0.000511249])
48117   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.26571e-05,  0.000511249])
48119   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  4.85419e-06,  0.000511249])
48121   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.87376e-06,  0.000511249])
48123   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  7.35335e-07,  0.000511249])
48125   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  3.00497e-07,  0.000511249])
48127   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.34403e-07,  0.000511249])
48129   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  7.0961e-08 ,  0.000511249])
48130   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.32395e-08,  0.000511249])
48131   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.79831e-09,  0.000511249])
48133   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  6.16844e-09,  0.000511249])
48135   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  3.46755e-09,  0.000511249])
48136   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  7.66665e-10,  0.000511249])
48137   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.000511249])
48139   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.000511249])
48140   , -454898     , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  1.00051    ])
48142   , -66709.9    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.000511249])
48144   , -384569     , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.382477   ])
48145   , -183503     , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.188934   ])
48147   , -70639.5    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0724824  ])
48148   , -30351.3    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0308726  ])
48149   , -35004.4    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0355896  ])
48150   , -24998.4    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0253091  ])
48151   , -17391.1    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0158372  ])
48152   , -16336.4    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.00998318 ])
48153   , -16117.4    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.010694   ])
48154   , -16033.6    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0119612  ])
48155   , -16319.5    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0134417  ])
48156   , -16022.5    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48157   , -16022.6    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0115663  ])
48158   , -16025      , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.0117896  ])
48160   , -16022.5    , array([ 0.081256   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48161   , -8229.91    , array([ 1.08126    ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48162   , -8569.31    , array([ 2.69929    ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48163   , -8229.91    , array([ 1.08126    ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48164   , -8418.11    , array([ 1.69929    ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48165   , -8039.01    , array([ 0.69929    ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48166   , -7930       , array([ 0.463222   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48167   , -8040.79    , array([ 0.317324   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48168   , -7941.65    , array([ 0.509038   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48169   , -7934.41    , array([ 0.407494   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48170   , -7928.64    , array([ 0.447416   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48171   , -7928.58    , array([ 0.443754   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48172   , -7928.62    , array([ 0.440129   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48173   , -7928.58    , array([ 0.443754   ,  0.0656725  ,  2.47747e-11,  1.29072e-10,  0.011678   ])
48174   , -55095.9    , array([ 0.443754   ,  1.06567    ,  2.47747e-11,  1.29072e-10,  0.011678   ])
