229757  , -73472.8    , array([ 0.0709345  ,  1.15926    ,  2.58699e-86,  7.36443e-47,  0.000506197])
229758  , -73477.4    , array([ 0.0710055  ,  1.15926    ,  2.58699e-86,  7.36443e-47,  0.000506197])
229759  , -73473.2    , array([ 0.0709345  ,  1.16042    ,  2.58699e-86,  7.36443e-47,  0.000506197])
229760  , -73472.8    , array([ 0.0709345  ,  1.15926    ,  2.58957e-86,  7.36443e-47,  0.000506197])
229761  , -73472.8    , array([ 0.0709345  ,  1.15926    ,  2.58699e-86,  7.3718e-47 ,  0.000506197])
229762  , -73467.7    , array([ 0.0709345  ,  1.15926    ,  2.58699e-86,  7.36443e-47,  0.000506704])
229763  , -73472.8    , array([ 0.0709345  ,  1.15926    ,  2.58699e-86,  7.36443e-47,  0.000506197])
229764  , -62359.3    , array([ 0.0360874  ,  1.08322    ,  2.58699e-86,  7.36443e-47,  0.00106896 ])
229765  , -62359.3    , array([ 0.0360874  ,  1.08322    ,  2.58699e-86,  7.36443e-47,  0.00106896 ])
229766  , -62369.1    , array([ 0.0361235  ,  1.08322    ,  2.58699e-86,  7.36443e-47,  0.00106896 ])
229767  , -62360.1    , array([ 0.0360874  ,  1.0843     ,  2.58699e-86,  7.36443e-47,  0.00106896 ])
229768  , -62359.3    , array([ 0.0360874  ,  1.08322    ,  2.58957e-86,  7.36443e-47,  0.00106896 ])
229769  , -62359.3    , array([ 0.0360874  ,  1.08322    ,  2.58699e-86,  7.3718e-47 ,  0.00106896 ])
229770  , -62348.5    , array([ 0.0360874  ,  1.08322    ,  2.58699e-86,  7.36443e-47,  0.00107003 ])
229771  , -511770     , array([ 0.00241739 ,  0.825762   ,  2.58699e-86,  7.36443e-47,  0.0212578  ])
229772  , -511770     , array([ 0.00241739 ,  0.825762   ,  2.58699e-86,  7.36443e-47,  0.0212578  ])
229773  , -511398     , array([ 0.00241981 ,  0.825762   ,  2.58699e-86,  7.36443e-47,  0.0212578  ])
229774  , -511775     , array([ 0.00241739 ,  0.826588   ,  2.58699e-86,  7.36443e-47,  0.0212578  ])
229775  , -511770     , array([ 0.00241739 ,  0.825762   ,  2.58957e-86,  7.36443e-47,  0.0212578  ])
229776  , -511770     , array([ 0.00241739 ,  0.825762   ,  2.58699e-86,  7.3718e-47 ,  0.0212578  ])
229777  , -512107     , array([ 0.00241739 ,  0.825762   ,  2.58699e-86,  7.36443e-47,  0.0212791  ])
229778  , -53407      , array([ 0.0196227  ,  1.01895    ,  2.58699e-86,  7.36443e-47,  0.00209714 ])
229779  , -53407      , array([ 0.0196227  ,  1.01895    ,  2.58699e-86,  7.36443e-47,  0.00209714 ])
229780  , -53404.1    , array([ 0.0196423  ,  1.01895    ,  2.58699e-86,  7.36443e-47,  0.00209714 ])
229781  , -53408.1    , array([ 0.0196227  ,  1.01997    ,  2.58699e-86,  7.36443e-47,  0.00209714 ])
229782  , -53407      , array([ 0.0196227  ,  1.01895    ,  2.58957e-86,  7.36443e-47,  0.00209714 ])
229783  , -53407      , array([ 0.0196227  ,  1.01895    ,  2.58699e-86,  7.3718e-47 ,  0.00209714 ])
229784  , -53408.2    , array([ 0.0196227  ,  1.01895    ,  2.58699e-86,  7.36443e-47,  0.00209924 ])
229792  , -53404.2    , array([ 0.0196402  ,  1.01751    ,  2.58699e-86,  7.36443e-47,  0.0020997  ])
229793  , -53404.2    , array([ 0.0196402  ,  1.01751    ,  2.58699e-86,  7.36443e-47,  0.0020997  ])
229794  , -53401.3    , array([ 0.0196598  ,  1.01751    ,  2.58699e-86,  7.36443e-47,  0.0020997  ])
229795  , -53405.3    , array([ 0.0196402  ,  1.01853    ,  2.58699e-86,  7.36443e-47,  0.0020997  ])
229796  , -53404.2    , array([ 0.0196402  ,  1.01751    ,  2.58957e-86,  7.36443e-47,  0.0020997  ])
