183294  , -1.14425e+06, array([ 0.00240662 ,  48.7288    ,  9.47737e-59,  2.67325e-08,  0.0602616  ])
183295  , -1.1433e+06 , array([ 0.00240903 ,  48.7288    ,  9.47737e-59,  2.67325e-08,  0.0602616  ])
183296  , -1.14425e+06, array([ 0.00240662 ,  48.7776    ,  9.47737e-59,  2.67325e-08,  0.0602616  ])
183297  , -1.14425e+06, array([ 0.00240662 ,  48.7288    ,  9.48685e-59,  2.67325e-08,  0.0602616  ])
183298  , -1.14425e+06, array([ 0.00240662 ,  48.7288    ,  9.47737e-59,  2.67592e-08,  0.0602616  ])
183299  , -1.14517e+06, array([ 0.00240662 ,  48.7288    ,  9.47737e-59,  2.67325e-08,  0.0603219  ])
183307  , -1.14424e+06, array([ 0.00240635 ,  48.7624    ,  9.47737e-59,  2.67217e-08,  0.0602541  ])
183308  , -1.14424e+06, array([ 0.00240635 ,  48.7624    ,  9.47737e-59,  2.67217e-08,  0.0602541  ])
183309  , -1.14329e+06, array([ 0.00240876 ,  48.7624    ,  9.47737e-59,  2.67217e-08,  0.0602541  ])
183310  , -1.14424e+06, array([ 0.00240635 ,  48.8111    ,  9.47737e-59,  2.67217e-08,  0.0602541  ])
183311  , -1.14424e+06, array([ 0.00240635 ,  48.7624    ,  9.48685e-59,  2.67217e-08,  0.0602541  ])
183312  , -1.14424e+06, array([ 0.00240635 ,  48.7624    ,  9.47737e-59,  2.67485e-08,  0.0602541  ])
183313  , -1.14517e+06, array([ 0.00240635 ,  48.7624    ,  9.47737e-59,  2.67217e-08,  0.0603144  ])
183314  , -1.14424e+06, array([ 0.00240608 ,  48.7959    ,  9.47737e-59,  2.6711e-08 ,  0.0602467  ])
183315  , -1.14424e+06, array([ 0.00240608 ,  48.7959    ,  9.47737e-59,  2.6711e-08 ,  0.0602467  ])
183316  , -1.14329e+06, array([ 0.00240849 ,  48.7959    ,  9.47737e-59,  2.6711e-08 ,  0.0602467  ])
183317  , -1.14424e+06, array([ 0.00240608 ,  48.8447    ,  9.47737e-59,  2.6711e-08 ,  0.0602467  ])
183318  , -1.14424e+06, array([ 0.00240608 ,  48.7959    ,  9.48685e-59,  2.6711e-08 ,  0.0602467  ])
183319  , -1.14424e+06, array([ 0.00240608 ,  48.7959    ,  9.47737e-59,  2.67377e-08,  0.0602467  ])
183320  , -1.14516e+06, array([ 0.00240608 ,  48.7959    ,  9.47737e-59,  2.6711e-08 ,  0.0603069  ])
183328  , -1.14424e+06, array([ 0.00240601 ,  48.8043    ,  9.47737e-59,  2.67083e-08,  0.0602448  ])
183329  , -1.14424e+06, array([ 0.00240601 ,  48.8043    ,  9.47737e-59,  2.67083e-08,  0.0602448  ])
183330  , -1.14329e+06, array([ 0.00240842 ,  48.8043    ,  9.47737e-59,  2.67083e-08,  0.0602448  ])
183331  , -1.14424e+06, array([ 0.00240601 ,  48.8531    ,  9.47737e-59,  2.67083e-08,  0.0602448  ])
183332  , -1.14424e+06, array([ 0.00240601 ,  48.8043    ,  9.48685e-59,  2.67083e-08,  0.0602448  ])
183333  , -1.14423e+06, array([ 0.00240601 ,  48.8043    ,  9.47737e-59,  2.6735e-08 ,  0.0602448  ])
183334  , -1.14516e+06, array([ 0.00240601 ,  48.8043    ,  9.47737e-59,  2.67083e-08,  0.0603051  ])
183335  , -1.14423e+06, array([ 0.00240594 ,  48.8127    ,  9.47737e-59,  2.67056e-08,  0.0602429  ])
183336  , -1.14423e+06, array([ 0.00240594 ,  48.8127    ,  9.47737e-59,  2.67056e-08,  0.0602429  ])
183337  , -1.14328e+06, array([ 0.00240835 ,  48.8127    ,  9.47737e-59,  2.67056e-08,  0.0602429  ])
183338  , -1.14423e+06, array([ 0.00240594 ,  48.8615    ,  9.47737e-59,  2.67056e-08,  0.0602429  ])
183339  , -1.14423e+06, array([ 0.00240594 ,  48.8127    ,  9.48685e-59,  2.67056e-08,  0.0602429  ])
183340  , -1.14423e+06, array([ 0.00240594 ,  48.8127    ,  9.47737e-59,  2.67324e-08,  0.0602429  ])
183341  , -1.14516e+06, array([ 0.00240594 ,  48.8127    ,  9.47737e-59,  2.67056e-08,  0.0603032  ])
183349  , -1.14423e+06, array([ 0.00240593 ,  48.8148    ,  9.47737e-59,  2.6705e-08 ,  0.0602425  ])
183350  , -1.14423e+06, array([ 0.00240593 ,  48.8148    ,  9.47737e-59,  2.6705e-08 ,  0.0602425  ])
183351  , -1.14328e+06, array([ 0.00240833 ,  48.8148    ,  9.47737e-59,  2.6705e-08 ,  0.0602425  ])
183352  , -1.14423e+06, array([ 0.00240593 ,  48.8636    ,  9.47737e-59,  2.6705e-08 ,  0.0602425  ])
183353  , -1.14423e+06, array([ 0.00240593 ,  48.8148    ,  9.48685e-59,  2.6705e-08 ,  0.0602425  ])
183354  , -1.14423e+06, array([ 0.00240593 ,  48.8148    ,  9.47737e-59,  2.67317e-08,  0.0602425  ])
183355  , -1.14516e+06, array([ 0.00240593 ,  48.8148    ,  9.47737e-59,  2.6705e-08 ,  0.0603027  ])
183356  , -1.14423e+06, array([ 0.00240591 ,  48.8169    ,  9.47737e-59,  2.67043e-08,  0.060242   ])
183357  , -1.14423e+06, array([ 0.00240591 ,  48.8169    ,  9.47737e-59,  2.67043e-08,  0.060242   ])
183358  , -1.14328e+06, array([ 0.00240832 ,  48.8169    ,  9.47737e-59,  2.67043e-08,  0.060242   ])
183359  , -1.14423e+06, array([ 0.00240591 ,  48.8657    ,  9.47737e-59,  2.67043e-08,  0.060242   ])
183360  , -1.14423e+06, array([ 0.00240591 ,  48.8169    ,  9.48685e-59,  2.67043e-08,  0.060242   ])
183361  , -1.14423e+06, array([ 0.00240591 ,  48.8169    ,  9.47737e-59,  2.6731e-08 ,  0.060242   ])
183362  , -1.14516e+06, array([ 0.00240591 ,  48.8169    ,  9.47737e-59,  2.67043e-08,  0.0603023  ])
183370  , -1.14423e+06, array([ 0.00240591 ,  48.8174    ,  9.47737e-59,  2.67041e-08,  0.0602419  ])
183371  , -1.14423e+06, array([ 0.00240591 ,  48.8174    ,  9.47737e-59,  2.67041e-08,  0.0602419  ])
183372  , -1.14328e+06, array([ 0.00240831 ,  48.8174    ,  9.47737e-59,  2.67041e-08,  0.0602419  ])
183373  , -1.14423e+06, array([ 0.00240591 ,  48.8663    ,  9.47737e-59,  2.67041e-08,  0.0602419  ])
183374  , -1.14423e+06, array([ 0.00240591 ,  48.8174    ,  9.48685e-59,  2.67041e-08,  0.0602419  ])
183375  , -1.14423e+06, array([ 0.00240591 ,  48.8174    ,  9.47737e-59,  2.67308e-08,  0.0602419  ])
183376  , -1.14516e+06, array([ 0.00240591 ,  48.8174    ,  9.47737e-59,  2.67041e-08,  0.0603021  ])
183377  , -1.14423e+06, array([ 0.0024059  ,  48.818     ,  9.47737e-59,  2.6704e-08 ,  0.0602418  ])
183378  , -1.14423e+06, array([ 0.0024059  ,  48.818     ,  9.47737e-59,  2.6704e-08 ,  0.0602418  ])
183379  , -1.14328e+06, array([ 0.00240831 ,  48.818     ,  9.47737e-59,  2.6704e-08 ,  0.0602418  ])
183380  , -1.14423e+06, array([ 0.0024059  ,  48.8668    ,  9.47737e-59,  2.6704e-08 ,  0.0602418  ])
183381  , -1.14423e+06, array([ 0.0024059  ,  48.818     ,  9.48685e-59,  2.6704e-08 ,  0.0602418  ])
