141611  , -63563      , array([ 0.019155   ,  14.31      ,  1.23982e-18,  4.45581e-60,  0.000547198])
141612  , -63572.9    , array([ 0.0191742  ,  14.31      ,  1.23982e-18,  4.45581e-60,  0.000547198])
141613  , -63563      , array([ 0.019155   ,  14.3243    ,  1.23982e-18,  4.45581e-60,  0.000547198])
141614  , -63563      , array([ 0.019155   ,  14.31      ,  1.24106e-18,  4.45581e-60,  0.000547198])
141615  , -63563      , array([ 0.019155   ,  14.31      ,  1.23982e-18,  4.46026e-60,  0.000547198])
141616  , -63553      , array([ 0.019155   ,  14.31      ,  1.23982e-18,  4.45581e-60,  0.000547745])
141617  , -63563      , array([ 0.019155   ,  14.31      ,  1.23982e-18,  4.45581e-60,  0.000547198])
141618  , -55280.7    , array([ 0.00941184 ,  14.2772    ,  1.23982e-18,  4.45581e-60,  0.00112164 ])
141619  , -55280.7    , array([ 0.00941184 ,  14.2772    ,  1.23982e-18,  4.45581e-60,  0.00112164 ])
141620  , -55274.9    , array([ 0.00942126 ,  14.2772    ,  1.23982e-18,  4.45581e-60,  0.00112164 ])
141621  , -55280.7    , array([ 0.00941184 ,  14.2914    ,  1.23982e-18,  4.45581e-60,  0.00112164 ])
141622  , -55280.7    , array([ 0.00941184 ,  14.2772    ,  1.24106e-18,  4.45581e-60,  0.00112164 ])
141623  , -55280.7    , array([ 0.00941184 ,  14.2772    ,  1.23982e-18,  4.46026e-60,  0.00112164 ])
141624  , -55286      , array([ 0.00941184 ,  14.2772    ,  1.23982e-18,  4.45581e-60,  0.00112276 ])
141632  , -55280.2    , array([ 0.0094247  ,  14.2723    ,  1.23982e-18,  4.45581e-60,  0.0011232  ])
141633  , -55280.2    , array([ 0.0094247  ,  14.2723    ,  1.23982e-18,  4.45581e-60,  0.0011232  ])
141634  , -55274.4    , array([ 0.00943413 ,  14.2723    ,  1.23982e-18,  4.45581e-60,  0.0011232  ])
141635  , -55280.2    , array([ 0.0094247  ,  14.2865    ,  1.23982e-18,  4.45581e-60,  0.0011232  ])
141636  , -55280.2    , array([ 0.0094247  ,  14.2723    ,  1.24106e-18,  4.45581e-60,  0.0011232  ])
141637  , -55280.2    , array([ 0.0094247  ,  14.2723    ,  1.23982e-18,  4.46026e-60,  0.0011232  ])
141638  , -55285.5    , array([ 0.0094247  ,  14.2723    ,  1.23982e-18,  4.45581e-60,  0.00112432 ])
141639  , -55279.6    , array([ 0.0094376  ,  14.2673    ,  1.23982e-18,  4.45581e-60,  0.00112477 ])
141640  , -55279.6    , array([ 0.0094376  ,  14.2673    ,  1.23982e-18,  4.45581e-60,  0.00112477 ])
141641  , -55273.9    , array([ 0.00944704 ,  14.2673    ,  1.23982e-18,  4.45581e-60,  0.00112477 ])
141642  , -55279.7    , array([ 0.0094376  ,  14.2816    ,  1.23982e-18,  4.45581e-60,  0.00112477 ])
141643  , -55279.6    , array([ 0.0094376  ,  14.2673    ,  1.24106e-18,  4.45581e-60,  0.00112477 ])
141644  , -55279.6    , array([ 0.0094376  ,  14.2673    ,  1.23982e-18,  4.46026e-60,  0.00112477 ])
141645  , -55285      , array([ 0.0094376  ,  14.2673    ,  1.23982e-18,  4.45581e-60,  0.00112589 ])
141653  , -55279.5    , array([ 0.00944083 ,  14.2661    ,  1.23982e-18,  4.45581e-60,  0.00112516 ])
141654  , -55279.5    , array([ 0.00944083 ,  14.2661    ,  1.23982e-18,  4.45581e-60,  0.00112516 ])
141655  , -55273.7    , array([ 0.00945027 ,  14.2661    ,  1.23982e-18,  4.45581e-60,  0.00112516 ])
141656  , -55279.6    , array([ 0.00944083 ,  14.2804    ,  1.23982e-18,  4.45581e-60,  0.00112516 ])
141657  , -55279.5    , array([ 0.00944083 ,  14.2661    ,  1.24106e-18,  4.45581e-60,  0.00112516 ])
141658  , -55279.5    , array([ 0.00944083 ,  14.2661    ,  1.23982e-18,  4.46026e-60,  0.00112516 ])
141659  , -55284.9    , array([ 0.00944083 ,  14.2661    ,  1.23982e-18,  4.45581e-60,  0.00112628 ])
141660  , -55279.4    , array([ 0.00944407 ,  14.2649    ,  1.23982e-18,  4.45581e-60,  0.00112555 ])
141661  , -55279.4    , array([ 0.00944407 ,  14.2649    ,  1.23982e-18,  4.45581e-60,  0.00112555 ])
141662  , -55273.6    , array([ 0.00945351 ,  14.2649    ,  1.23982e-18,  4.45581e-60,  0.00112555 ])
141663  , -55279.4    , array([ 0.00944407 ,  14.2792    ,  1.23982e-18,  4.45581e-60,  0.00112555 ])
141664  , -55279.4    , array([ 0.00944407 ,  14.2649    ,  1.24106e-18,  4.45581e-60,  0.00112555 ])
141665  , -55279.4    , array([ 0.00944407 ,  14.2649    ,  1.23982e-18,  4.46026e-60,  0.00112555 ])
141666  , -55284.8    , array([ 0.00944407 ,  14.2649    ,  1.23982e-18,  4.45581e-60,  0.00112668 ])
141674  , -55279.4    , array([ 0.00944487 ,  14.2646    ,  1.23982e-18,  4.45581e-60,  0.00112565 ])
141675  , -55279.4    , array([ 0.00944487 ,  14.2646    ,  1.23982e-18,  4.45581e-60,  0.00112565 ])
141676  , -55273.6    , array([ 0.00945432 ,  14.2646    ,  1.23982e-18,  4.45581e-60,  0.00112565 ])
141677  , -55279.4    , array([ 0.00944487 ,  14.2789    ,  1.23982e-18,  4.45581e-60,  0.00112565 ])
141678  , -55279.4    , array([ 0.00944487 ,  14.2646    ,  1.24106e-18,  4.45581e-60,  0.00112565 ])
141679  , -55279.4    , array([ 0.00944487 ,  14.2646    ,  1.23982e-18,  4.46026e-60,  0.00112565 ])
141680  , -55284.7    , array([ 0.00944487 ,  14.2646    ,  1.23982e-18,  4.45581e-60,  0.00112677 ])
141681  , -55279.3    , array([ 0.00944568 ,  14.2643    ,  1.23982e-18,  4.45581e-60,  0.00112575 ])
141682  , -55279.3    , array([ 0.00944568 ,  14.2643    ,  1.23982e-18,  4.45581e-60,  0.00112575 ])
141683  , -55273.5    , array([ 0.00945513 ,  14.2643    ,  1.23982e-18,  4.45581e-60,  0.00112575 ])
141684  , -55279.4    , array([ 0.00944568 ,  14.2785    ,  1.23982e-18,  4.45581e-60,  0.00112575 ])
141685  , -55279.3    , array([ 0.00944568 ,  14.2643    ,  1.24106e-18,  4.45581e-60,  0.00112575 ])
141686  , -55279.3    , array([ 0.00944568 ,  14.2643    ,  1.23982e-18,  4.46026e-60,  0.00112575 ])
141687  , -55284.7    , array([ 0.00944568 ,  14.2643    ,  1.23982e-18,  4.45581e-60,  0.00112687 ])
141688  , -32629.3    , array([ 4.27881    ,  3.06639    ,  1.23982e-18,  4.45581e-60,  0.570168   ])
141689  , -32629.3    , array([ 4.27881    ,  3.06639    ,  1.23982e-18,  4.45581e-60,  0.570168   ])
141690  , -32628.8    , array([ 4.28309    ,  3.06639    ,  1.23982e-18,  4.45581e-60,  0.570168   ])
141691  , -32641.9    , array([ 4.27881    ,  3.06946    ,  1.23982e-18,  4.45581e-60,  0.570168   ])
141692  , -32629.3    , array([ 4.27881    ,  3.06639    ,  1.24106e-18,  4.45581e-60,  0.570168   ])
141693  , -32629.3    , array([ 4.27881    ,  3.06639    ,  1.23982e-18,  4.46026e-60,  0.570168   ])
141694  , -32639.4    , array([ 4.27881    ,  3.06639    ,  1.23982e-18,  4.45581e-60,  0.570739   ])
141695  , -55142.9    , array([ 0.0127786  ,  13.2208    ,  1.23982e-18,  4.45581e-60,  0.00153139 ])
141696  , -55142.9    , array([ 0.0127786  ,  13.2208    ,  1.23982e-18,  4.45581e-60,  0.00153139 ])
141697  , -55137.1    , array([ 0.0127914  ,  13.2208    ,  1.23982e-18,  4.45581e-60,  0.00153139 ])
141698  , -55142.9    , array([ 0.0127786  ,  13.2341    ,  1.23982e-18,  4.45581e-60,  0.00153139 ])
141699  , -55142.9    , array([ 0.0127786  ,  13.2208    ,  1.24106e-18,  4.45581e-60,  0.00153139 ])
141700  , -55142.9    , array([ 0.0127786  ,  13.2208    ,  1.23982e-18,  4.46026e-60,  0.00153139 ])
141701  , -55148.1    , array([ 0.0127786  ,  13.2208    ,  1.23982e-18,  4.45581e-60,  0.00153292 ])
141702  , -33464.1    , array([ 1.71883    ,  3.85644    ,  1.23982e-18,  4.45581e-60,  0.225261   ])
141703  , -33464.1    , array([ 1.71883    ,  3.85644    ,  1.23982e-18,  4.45581e-60,  0.225261   ])
141704  , -33464.4    , array([ 1.72055    ,  3.85644    ,  1.23982e-18,  4.45581e-60,  0.225261   ])
141705  , -33477      , array([ 1.71883    ,  3.8603     ,  1.23982e-18,  4.45581e-60,  0.225261   ])
141706  , -33464.1    , array([ 1.71883    ,  3.85644    ,  1.24106e-18,  4.45581e-60,  0.225261   ])
141707  , -33464.1    , array([ 1.71883    ,  3.85644    ,  1.23982e-18,  4.46026e-60,  0.225261   ])
141708  , -33461.9    , array([ 1.71883    ,  3.85644    ,  1.23982e-18,  4.45581e-60,  0.225486   ])
141709  , -31629.4    , array([ 3.05094    ,  3.33848    ,  1.23982e-18,  4.45581e-60,  0.404049   ])
141710  , -31629.4    , array([ 3.05094    ,  3.33848    ,  1.23982e-18,  4.45581e-60,  0.404049   ])
141711  , -31629      , array([ 3.054      ,  3.33848    ,  1.23982e-18,  4.45581e-60,  0.404049   ])
141712  , -31644.1    , array([ 3.05094    ,  3.34182    ,  1.23982e-18,  4.45581e-60,  0.404049   ])
141713  , -31629.4    , array([ 3.05094    ,  3.33848    ,  1.24106e-18,  4.45581e-60,  0.404049   ])
141714  , -31629.4    , array([ 3.05094    ,  3.33848    ,  1.23982e-18,  4.46026e-60,  0.404049   ])
141715  , -31633.4    , array([ 3.05094    ,  3.33848    ,  1.23982e-18,  4.45581e-60,  0.404453   ])
141723  , -31626.3    , array([ 3.08501    ,  3.32851    ,  1.23982e-18,  4.45581e-60,  0.408643   ])
141724  , -31626.3    , array([ 3.08501    ,  3.32851    ,  1.23982e-18,  4.45581e-60,  0.408643   ])
141725  , -31625.9    , array([ 3.0881     ,  3.32851    ,  1.23982e-18,  4.45581e-60,  0.408643   ])
141726  , -31641      , array([ 3.08501    ,  3.33184    ,  1.23982e-18,  4.45581e-60,  0.408643   ])
141727  , -31626.3    , array([ 3.08501    ,  3.32851    ,  1.24106e-18,  4.45581e-60,  0.408643   ])
141728  , -31626.3    , array([ 3.08501    ,  3.32851    ,  1.23982e-18,  4.46026e-60,  0.408643   ])
141729  , -31630.4    , array([ 3.08501    ,  3.32851    ,  1.23982e-18,  4.45581e-60,  0.409052   ])
141730  , -31620      , array([ 3.08731    ,  3.32714    ,  1.23982e-18,  4.45581e-60,  0.408646   ])
141731  , -31620      , array([ 3.08731    ,  3.32714    ,  1.23982e-18,  4.45581e-60,  0.408646   ])
141732  , -31619.6    , array([ 3.0904     ,  3.32714    ,  1.23982e-18,  4.45581e-60,  0.408646   ])
141733  , -31634.7    , array([ 3.08731    ,  3.33047    ,  1.23982e-18,  4.45581e-60,  0.408646   ])
141734  , -31620      , array([ 3.08731    ,  3.32714    ,  1.24106e-18,  4.45581e-60,  0.408646   ])
141735  , -31620      , array([ 3.08731    ,  3.32714    ,  1.23982e-18,  4.46026e-60,  0.408646   ])
141736  , -31624.1    , array([ 3.08731    ,  3.32714    ,  1.23982e-18,  4.45581e-60,  0.409054   ])
141737  , -31594.8    , array([ 3.09651    ,  3.32168    ,  1.23982e-18,  4.45581e-60,  0.408657   ])
141738  , -31594.8    , array([ 3.09651    ,  3.32168    ,  1.23982e-18,  4.45581e-60,  0.408657   ])
