7006    , -57494.2    , array([ 1.31656    ,  0.0359998  ,  2.158e-05  ,  1.58064e-36,  0.000798807])
7007    , -57494.5    , array([ 1.31788    ,  0.0359998  ,  2.158e-05  ,  1.58064e-36,  0.000798807])
7008    , -57511.4    , array([ 1.31656    ,  0.0360358  ,  2.158e-05  ,  1.58064e-36,  0.000798807])
7009    , -57494.2    , array([ 1.31656    ,  0.0359998  ,  2.16016e-05,  1.58064e-36,  0.000798807])
7010    , -57494.2    , array([ 1.31656    ,  0.0359998  ,  2.158e-05  ,  1.58222e-36,  0.000798807])
7011    , -57476.7    , array([ 1.31656    ,  0.0359998  ,  2.158e-05  ,  1.58064e-36,  0.000799606])
7012    , -57494.2    , array([ 1.31656    ,  0.0359998  ,  2.158e-05  ,  1.58064e-36,  0.000798807])
7013    , -23803.1    , array([ 1.30013    ,  0.0177441  ,  2.158e-05  ,  1.58064e-36,  0.00164228 ])
7014    , -23803.1    , array([ 1.30013    ,  0.0177441  ,  2.158e-05  ,  1.58064e-36,  0.00164228 ])
7015    , -23803.3    , array([ 1.30143    ,  0.0177441  ,  2.158e-05  ,  1.58064e-36,  0.00164228 ])
7016    , -23829.2    , array([ 1.30013    ,  0.0177618  ,  2.158e-05  ,  1.58064e-36,  0.00164228 ])
7017    , -23803.1    , array([ 1.30013    ,  0.0177441  ,  2.16016e-05,  1.58064e-36,  0.00164228 ])
7018    , -23803.1    , array([ 1.30013    ,  0.0177441  ,  2.158e-05  ,  1.58222e-36,  0.00164228 ])
7019    , -23776.8    , array([ 1.30013    ,  0.0177441  ,  2.158e-05  ,  1.58064e-36,  0.00164392 ])
7020    , -929316     , array([ 1.23644    ,  0.00104729 ,  2.158e-05  ,  1.58064e-36,  0.0293405  ])
7021    , -929316     , array([ 1.23644    ,  0.00104729 ,  2.158e-05  ,  1.58064e-36,  0.0293405  ])
7022    , -929321     , array([ 1.23768    ,  0.00104729 ,  2.158e-05  ,  1.58064e-36,  0.0293405  ])
7023    , -928540     , array([ 1.23644    ,  0.00104833 ,  2.158e-05  ,  1.58064e-36,  0.0293405  ])
7024    , -929308     , array([ 1.23644    ,  0.00104729 ,  2.16016e-05,  1.58064e-36,  0.0293405  ])
