174405  , -49080.9    , array([ 0.421554   ,  36.4663    ,  2.99488e-51,  1.49982e-73,  0.0993167  ])
174406  , -49093.3    , array([ 0.421554   ,  36.4663    ,  2.99488e-51,  1.49832e-73,  0.099416   ])
174407  , -49080.7    , array([ 0.421565   ,  36.4551    ,  2.99488e-51,  1.49832e-73,  0.0993205  ])
174408  , -49080.7    , array([ 0.421565   ,  36.4551    ,  2.99488e-51,  1.49832e-73,  0.0993205  ])
174409  , -49065.7    , array([ 0.421987   ,  36.4551    ,  2.99488e-51,  1.49832e-73,  0.0993205  ])
174410  , -49081.6    , array([ 0.421565   ,  36.4916    ,  2.99488e-51,  1.49832e-73,  0.0993205  ])
174411  , -49080.7    , array([ 0.421565   ,  36.4551    ,  2.99788e-51,  1.49832e-73,  0.0993205  ])
174412  , -49080.7    , array([ 0.421565   ,  36.4551    ,  2.99488e-51,  1.49982e-73,  0.0993205  ])
174413  , -49093      , array([ 0.421565   ,  36.4551    ,  2.99488e-51,  1.49832e-73,  0.0994199  ])
174414  , -919843     , array([ 0.860041   ,  0.010533   ,  2.99488e-51,  1.49832e-73,  0.279099   ])
174415  , -919843     , array([ 0.860041   ,  0.010533   ,  2.99488e-51,  1.49832e-73,  0.279099   ])
174416  , -919834     , array([ 0.860901   ,  0.010533   ,  2.99488e-51,  1.49832e-73,  0.279099   ])
174417  , -918924     , array([ 0.860041   ,  0.0105435  ,  2.99488e-51,  1.49832e-73,  0.279099   ])
174418  , -919843     , array([ 0.860041   ,  0.010533   ,  2.99788e-51,  1.49832e-73,  0.279099   ])
174419  , -919843     , array([ 0.860041   ,  0.010533   ,  2.99488e-51,  1.49982e-73,  0.279099   ])
174420  , -920776     , array([ 0.860041   ,  0.010533   ,  2.99488e-51,  1.49832e-73,  0.279378   ])
174421  , -40252.2    , array([ 0.518981   ,  3.38706    ,  2.99488e-51,  1.49832e-73,  0.134237   ])
174422  , -40252.2    , array([ 0.518981   ,  3.38706    ,  2.99488e-51,  1.49832e-73,  0.134237   ])
174423  , -40233.5    , array([ 0.5195     ,  3.38706    ,  2.99488e-51,  1.49832e-73,  0.134237   ])
174424  , -40261.1    , array([ 0.518981   ,  3.39045    ,  2.99488e-51,  1.49832e-73,  0.134237   ])
174425  , -40252.2    , array([ 0.518981   ,  3.38706    ,  2.99788e-51,  1.49832e-73,  0.134237   ])
174426  , -40252.2    , array([ 0.518981   ,  3.38706    ,  2.99488e-51,  1.49982e-73,  0.134237   ])
174427  , -40263.2    , array([ 0.518981   ,  3.38706    ,  2.99488e-51,  1.49832e-73,  0.134372   ])
174428  , -37298.9    , array([ 0.676806   ,  0.162874   ,  2.99488e-51,  1.49832e-73,  0.19723    ])
174429  , -37298.9    , array([ 0.676806   ,  0.162874   ,  2.99488e-51,  1.49832e-73,  0.19723    ])
174430  , -37285.2    , array([ 0.677483   ,  0.162874   ,  2.99488e-51,  1.49832e-73,  0.19723    ])
174431  , -37262.9    , array([ 0.676806   ,  0.163037   ,  2.99488e-51,  1.49832e-73,  0.19723    ])
174432  , -37298.9    , array([ 0.676806   ,  0.162874   ,  2.99788e-51,  1.49832e-73,  0.19723    ])
174433  , -37298.9    , array([ 0.676806   ,  0.162874   ,  2.99488e-51,  1.49982e-73,  0.19723    ])
174434  , -37352.8    , array([ 0.676806   ,  0.162874   ,  2.99488e-51,  1.49832e-73,  0.197427   ])
174435  , -34370.1    , array([ 0.544336   ,  1.9636     ,  2.99488e-51,  1.49832e-73,  0.143844   ])
174436  , -34370.1    , array([ 0.544336   ,  1.9636     ,  2.99488e-51,  1.49832e-73,  0.143844   ])
174437  , -34350      , array([ 0.54488    ,  1.9636     ,  2.99488e-51,  1.49832e-73,  0.143844   ])
174438  , -34382      , array([ 0.544336   ,  1.96557    ,  2.99488e-51,  1.49832e-73,  0.143844   ])
174439  , -34370.1    , array([ 0.544336   ,  1.9636     ,  2.99788e-51,  1.49832e-73,  0.143844   ])
174440  , -34370.1    , array([ 0.544336   ,  1.9636     ,  2.99488e-51,  1.49982e-73,  0.143844   ])
174441  , -34380.3    , array([ 0.544336   ,  1.9636     ,  2.99488e-51,  1.49832e-73,  0.143988   ])
174442  , -19228.7    , array([ 0.619107   ,  0.450981   ,  2.99488e-51,  1.49832e-73,  0.173338   ])
174443  , -19228.7    , array([ 0.619107   ,  0.450981   ,  2.99488e-51,  1.49832e-73,  0.173338   ])
174444  , -19208.9    , array([ 0.619726   ,  0.450981   ,  2.99488e-51,  1.49832e-73,  0.173338   ])
174445  , -19230.3    , array([ 0.619107   ,  0.451432   ,  2.99488e-51,  1.49832e-73,  0.173338   ])
174446  , -19228.7    , array([ 0.619107   ,  0.450981   ,  2.99788e-51,  1.49832e-73,  0.173338   ])
174447  , -19228.7    , array([ 0.619107   ,  0.450981   ,  2.99488e-51,  1.49982e-73,  0.173338   ])
174448  , -19250.8    , array([ 0.619107   ,  0.450981   ,  2.99488e-51,  1.49832e-73,  0.173512   ])
174456  , -19223.5    , array([ 0.619504   ,  0.447384   ,  2.99488e-51,  1.49832e-73,  0.173493   ])
174457  , -19223.5    , array([ 0.619504   ,  0.447384   ,  2.99488e-51,  1.49832e-73,  0.173493   ])
174458  , -19203.8    , array([ 0.620124   ,  0.447384   ,  2.99488e-51,  1.49832e-73,  0.173493   ])
174459  , -19225      , array([ 0.619504   ,  0.447832   ,  2.99488e-51,  1.49832e-73,  0.173493   ])
174460  , -19223.5    , array([ 0.619504   ,  0.447384   ,  2.99788e-51,  1.49832e-73,  0.173493   ])
174461  , -19223.5    , array([ 0.619504   ,  0.447384   ,  2.99488e-51,  1.49982e-73,  0.173493   ])
174462  , -19245.8    , array([ 0.619504   ,  0.447384   ,  2.99488e-51,  1.49832e-73,  0.173666   ])
174463  , -19213      , array([ 0.620031   ,  0.447536   ,  2.99488e-51,  1.49832e-73,  0.173538   ])
174464  , -19213      , array([ 0.620031   ,  0.447536   ,  2.99488e-51,  1.49832e-73,  0.173538   ])
174465  , -19193.3    , array([ 0.620652   ,  0.447536   ,  2.99488e-51,  1.49832e-73,  0.173538   ])
174466  , -19214.5    , array([ 0.620031   ,  0.447984   ,  2.99488e-51,  1.49832e-73,  0.173538   ])
174467  , -19213      , array([ 0.620031   ,  0.447536   ,  2.99788e-51,  1.49832e-73,  0.173538   ])
174468  , -19213      , array([ 0.620031   ,  0.447536   ,  2.99488e-51,  1.49982e-73,  0.173538   ])
174469  , -19235.3    , array([ 0.620031   ,  0.447536   ,  2.99488e-51,  1.49832e-73,  0.173712   ])
174470  , -19171.2    , array([ 0.622145   ,  0.448143   ,  2.99488e-51,  1.49832e-73,  0.17372    ])
174471  , -19171.2    , array([ 0.622145   ,  0.448143   ,  2.99488e-51,  1.49832e-73,  0.17372    ])
174472  , -19151.5    , array([ 0.622768   ,  0.448143   ,  2.99488e-51,  1.49832e-73,  0.17372    ])
174473  , -19172.6    , array([ 0.622145   ,  0.448592   ,  2.99488e-51,  1.49832e-73,  0.17372    ])
174474  , -19171.2    , array([ 0.622145   ,  0.448143   ,  2.99788e-51,  1.49832e-73,  0.17372    ])
174475  , -19171.2    , array([ 0.622145   ,  0.448143   ,  2.99488e-51,  1.49982e-73,  0.17372    ])
174476  , -19193.4    , array([ 0.622145   ,  0.448143   ,  2.99488e-51,  1.49832e-73,  0.173894   ])
174477  , -19005.4    , array([ 0.630673   ,  0.450582   ,  2.99488e-51,  1.49832e-73,  0.174451   ])
174478  , -19005.4    , array([ 0.630673   ,  0.450582   ,  2.99488e-51,  1.49832e-73,  0.174451   ])
174479  , -18986      , array([ 0.631304   ,  0.450582   ,  2.99488e-51,  1.49832e-73,  0.174451   ])
174480  , -19006.8    , array([ 0.630673   ,  0.451033   ,  2.99488e-51,  1.49832e-73,  0.174451   ])
174481  , -19005.4    , array([ 0.630673   ,  0.450582   ,  2.99788e-51,  1.49832e-73,  0.174451   ])
174482  , -19005.4    , array([ 0.630673   ,  0.450582   ,  2.99488e-51,  1.49982e-73,  0.174451   ])
174483  , -19027.5    , array([ 0.630673   ,  0.450582   ,  2.99488e-51,  1.49832e-73,  0.174625   ])
174484  , -18368.1    , array([ 0.665969   ,  0.460469   ,  2.99488e-51,  1.49832e-73,  0.177404   ])
174485  , -18368.1    , array([ 0.665969   ,  0.460469   ,  2.99488e-51,  1.49832e-73,  0.177404   ])
174486  , -18349.6    , array([ 0.666635   ,  0.460469   ,  2.99488e-51,  1.49832e-73,  0.177404   ])
174487  , -18369.5    , array([ 0.665969   ,  0.46093    ,  2.99488e-51,  1.49832e-73,  0.177404   ])
174488  , -18368.1    , array([ 0.665969   ,  0.460469   ,  2.99788e-51,  1.49832e-73,  0.177404   ])
174489  , -18368.1    , array([ 0.665969   ,  0.460469   ,  2.99488e-51,  1.49982e-73,  0.177404   ])
174490  , -18389.7    , array([ 0.665969   ,  0.460469   ,  2.99488e-51,  1.49832e-73,  0.177581   ])
174491  , -16219.2    , array([ 0.828044   ,  0.502236   ,  2.99488e-51,  1.49832e-73,  0.189722   ])
174492  , -16219.2    , array([ 0.828044   ,  0.502236   ,  2.99488e-51,  1.49832e-73,  0.189722   ])
174493  , -16204.3    , array([ 0.828872   ,  0.502236   ,  2.99488e-51,  1.49832e-73,  0.189722   ])
174494  , -16220.6    , array([ 0.828044   ,  0.502738   ,  2.99488e-51,  1.49832e-73,  0.189722   ])
174495  , -16219.2    , array([ 0.828044   ,  0.502236   ,  2.99788e-51,  1.49832e-73,  0.189722   ])
174496  , -16219.2    , array([ 0.828044   ,  0.502236   ,  2.99488e-51,  1.49982e-73,  0.189722   ])
174497  , -16238.7    , array([ 0.828044   ,  0.502236   ,  2.99488e-51,  1.49832e-73,  0.189912   ])
174498  , -12039.8    , array([ 1.36209    ,  0.563554   ,  2.99488e-51,  1.49832e-73,  0.201956   ])
174499  , -12039.8    , array([ 1.36209    ,  0.563554   ,  2.99488e-51,  1.49832e-73,  0.201956   ])
174500  , -12032.7    , array([ 1.36345    ,  0.563554   ,  2.99488e-51,  1.49832e-73,  0.201956   ])
174501  , -12041.5    , array([ 1.36209    ,  0.564118   ,  2.99488e-51,  1.49832e-73,  0.201956   ])
174502  , -12039.8    , array([ 1.36209    ,  0.563554   ,  2.99788e-51,  1.49832e-73,  0.201956   ])
