32002   , -2336.8     , array([ 0.0444446  ,  0.278586   ,  8.69471e-11,  2.10081e-27])
32003   , -2336.8     , array([ 0.044489   ,  0.278586   ,  8.69471e-11,  2.10081e-27])
32004   , -2336.8     , array([ 0.0444446  ,  0.278865   ,  8.69471e-11,  2.10081e-27])
32005   , -2336.8     , array([ 0.0444446  ,  0.278586   ,  8.70341e-11,  2.10081e-27])
32006   , -2336.8     , array([ 0.0444446  ,  0.278586   ,  8.69471e-11,  2.10291e-27])
32007   , -2336.8     , array([ 0.0444446  ,  0.278586   ,  8.69471e-11,  2.10081e-27])
32008   , -2336.8     , array([ 0.0444429  ,  0.278586   ,  8.69502e-11,  2.10081e-27])
32009   , -2336.8     , array([ 0.0444429  ,  0.278586   ,  8.69502e-11,  2.10081e-27])
32010   , -2336.8     , array([ 0.0444874  ,  0.278586   ,  8.69502e-11,  2.10081e-27])
32011   , -2336.8     , array([ 0.0444429  ,  0.278865   ,  8.69502e-11,  2.10081e-27])
32012   , -2336.8     , array([ 0.0444429  ,  0.278586   ,  8.70372e-11,  2.10081e-27])
32013   , -2336.8     , array([ 0.0444429  ,  0.278586   ,  8.69502e-11,  2.10291e-27])
32014   , -2336.8     , array([ 0.0444362  ,  0.278586   ,  8.69627e-11,  2.10081e-27])
32015   , -2336.8     , array([ 0.0444362  ,  0.278586   ,  8.69627e-11,  2.10081e-27])
32016   , -2336.8     , array([ 0.0444807  ,  0.278586   ,  8.69627e-11,  2.10081e-27])
32017   , -2336.8     , array([ 0.0444362  ,  0.278865   ,  8.69627e-11,  2.10081e-27])
32018   , -2336.8     , array([ 0.0444362  ,  0.278586   ,  8.70497e-11,  2.10081e-27])
32019   , -2336.8     , array([ 0.0444362  ,  0.278586   ,  8.69627e-11,  2.10291e-27])
32020   , -2336.8     , array([ 0.0444095  ,  0.278586   ,  8.70127e-11,  2.10081e-27])
32021   , -2336.8     , array([ 0.0444095  ,  0.278586   ,  8.70127e-11,  2.10081e-27])
32022   , -2336.8     , array([ 0.0444539  ,  0.278586   ,  8.70127e-11,  2.10081e-27])
32023   , -2336.8     , array([ 0.0444095  ,  0.278865   ,  8.70127e-11,  2.10081e-27])
32024   , -2336.8     , array([ 0.0444095  ,  0.278586   ,  8.70998e-11,  2.10081e-27])
32025   , -2336.8     , array([ 0.0444095  ,  0.278586   ,  8.70127e-11,  2.10291e-27])
32026   , -2336.8     , array([ 0.0443028  ,  0.278586   ,  8.7213e-11 ,  2.10081e-27])
32027   , -2336.8     , array([ 0.0443028  ,  0.278586   ,  8.7213e-11 ,  2.10081e-27])
32028   , -2336.8     , array([ 0.0443471  ,  0.278586   ,  8.7213e-11 ,  2.10081e-27])
32029   , -2336.8     , array([ 0.0443028  ,  0.278865   ,  8.7213e-11 ,  2.10081e-27])
32030   , -2336.8     , array([ 0.0443028  ,  0.278586   ,  8.73003e-11,  2.10081e-27])
32031   , -2336.8     , array([ 0.0443028  ,  0.278586   ,  8.7213e-11 ,  2.10291e-27])
32032   , -2336.8     , array([ 0.0438785  ,  0.278586   ,  8.80187e-11,  2.10081e-27])
32033   , -2336.8     , array([ 0.0438785  ,  0.278586   ,  8.80187e-11,  2.10081e-27])
32034   , -2336.8     , array([ 0.0439224  ,  0.278586   ,  8.80187e-11,  2.10081e-27])
32035   , -2336.8     , array([ 0.0438785  ,  0.278865   ,  8.80187e-11,  2.10081e-27])
32036   , -2336.8     , array([ 0.0438785  ,  0.278586   ,  8.81068e-11,  2.10081e-27])
32037   , -2336.8     , array([ 0.0438785  ,  0.278586   ,  8.80187e-11,  2.10291e-27])
32038   , -2336.8     , array([ 0.0422218  ,  0.278586   ,  9.13168e-11,  2.10081e-27])
32039   , -2336.8     , array([ 0.0422218  ,  0.278586   ,  9.13168e-11,  2.10081e-27])
32040   , -2336.8     , array([ 0.042264   ,  0.278586   ,  9.13168e-11,  2.10081e-27])
32041   , -2336.8     , array([ 0.0422218  ,  0.278865   ,  9.13168e-11,  2.10081e-27])
32042   , -2336.8     , array([ 0.0422218  ,  0.278586   ,  9.14082e-11,  2.10081e-27])
32043   , -2336.8     , array([ 0.0422218  ,  0.278586   ,  9.13168e-11,  2.10291e-27])
32044   , -2336.8     , array([ 0.0361972  ,  0.278586   ,  1.05792e-10,  2.10081e-27])
32045   , -2336.8     , array([ 0.0361972  ,  0.278586   ,  1.05792e-10,  2.10081e-27])
32046   , -2336.8     , array([ 0.0362334  ,  0.278586   ,  1.05792e-10,  2.10081e-27])
32047   , -2336.8     , array([ 0.0361972  ,  0.278865   ,  1.05792e-10,  2.10081e-27])
32048   , -2336.8     , array([ 0.0361972  ,  0.278586   ,  1.05898e-10,  2.10081e-27])
32049   , -2336.8     , array([ 0.0361972  ,  0.278586   ,  1.05792e-10,  2.10291e-27])
32050   , -2336.8     , array([ 0.0195536  ,  0.278586   ,  1.90574e-10,  2.10081e-27])
32051   , -2336.8     , array([ 0.0195536  ,  0.278586   ,  1.90574e-10,  2.10081e-27])
32052   , -2336.8     , array([ 0.0195732  ,  0.278586   ,  1.90574e-10,  2.10081e-27])
32053   , -2336.8     , array([ 0.0195536  ,  0.278865   ,  1.90574e-10,  2.10081e-27])
32054   , -2336.8     , array([ 0.0195536  ,  0.278586   ,  1.90765e-10,  2.10081e-27])
32055   , -2336.8     , array([ 0.0195536  ,  0.278586   ,  1.90574e-10,  2.10291e-27])
32056   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32057   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32058   , -2336.78    , array([ 0.00166676 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32059   , -2336.78    , array([ 0.00166509 ,  0.278865   ,  2.00682e-09,  2.10081e-27])
32060   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00883e-09,  2.10081e-27])
32061   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10291e-27])
32068   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32069   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32070   , -2336.78    , array([ 0.00166676 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32071   , -2336.78    , array([ 0.00166509 ,  0.278865   ,  2.00682e-09,  2.10081e-27])
32072   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00883e-09,  2.10081e-27])
32073   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10291e-27])
32074   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32075   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32076   , -2336.78    , array([ 0.00166676 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32077   , -2336.78    , array([ 0.00166509 ,  0.278865   ,  2.00682e-09,  2.10081e-27])
32078   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00883e-09,  2.10081e-27])
32079   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10291e-27])
32086   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32087   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32088   , -2336.78    , array([ 0.00166676 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32089   , -2336.78    , array([ 0.00166509 ,  0.278865   ,  2.00682e-09,  2.10081e-27])
32090   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00883e-09,  2.10081e-27])
32091   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10291e-27])
32092   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32093   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32094   , -2336.78    , array([ 0.00166676 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
32095   , -2336.78    , array([ 0.00166509 ,  0.278865   ,  2.00682e-09,  2.10081e-27])
32096   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00883e-09,  2.10081e-27])
32097   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10291e-27])
32104   , -2336.78    , array([ 0.00166509 ,  0.278586   ,  2.00682e-09,  2.10081e-27])
