464     , -27894.6    , array([ 0.0108801  ,  3.70999    ,  0.0048192  ,  0.210877   ])
465     , -27898.6    , array([ 0.0108801  ,  3.70999    ,  0.00481438 ,  0.211088   ])
466     , -27896.4    , array([ 0.0108817  ,  3.7122     ,  0.00481393 ,  0.210861   ])
467     , -27896.4    , array([ 0.0108817  ,  3.7122     ,  0.00481393 ,  0.210861   ])
468     , -27898.6    , array([ 0.0108926  ,  3.7122     ,  0.00481393 ,  0.210861   ])
469     , -27895.2    , array([ 0.0108817  ,  3.71591    ,  0.00481393 ,  0.210861   ])
470     , -27894.2    , array([ 0.0108817  ,  3.7122     ,  0.00481874 ,  0.210861   ])
471     , -27898.2    , array([ 0.0108817  ,  3.7122     ,  0.00481393 ,  0.211072   ])
472     , -28591.1    , array([ 0.020305   ,  52.878     ,  0.00315449 ,  0.151031   ])
473     , -28591.1    , array([ 0.020305   ,  52.878     ,  0.00315449 ,  0.151031   ])
474     , -28592.6    , array([ 0.0203253  ,  52.878     ,  0.00315449 ,  0.151031   ])
475     , -28590.9    , array([ 0.020305   ,  52.9309    ,  0.00315449 ,  0.151031   ])
476     , -28589.6    , array([ 0.020305   ,  52.878     ,  0.00315764 ,  0.151031   ])
477     , -28590.1    , array([ 0.020305   ,  52.878     ,  0.00315449 ,  0.151182   ])
478     , -27718.1    , array([ 0.0127629  ,  7.32051    ,  0.00432088 ,  0.193619   ])
479     , -27718.1    , array([ 0.0127629  ,  7.32051    ,  0.00432088 ,  0.193619   ])
480     , -27720.2    , array([ 0.0127756  ,  7.32051    ,  0.00432088 ,  0.193619   ])
481     , -27717.4    , array([ 0.0127629  ,  7.32783    ,  0.00432088 ,  0.193619   ])
482     , -27715.9    , array([ 0.0127629  ,  7.32051    ,  0.00432521 ,  0.193619   ])
483     , -27719      , array([ 0.0127629  ,  7.32051    ,  0.00432088 ,  0.193813   ])
484     , -27466.9    , array([ 0.0587483  ,  7.52394    ,  0.0241784  ,  0.197757   ])
485     , -27466.9    , array([ 0.0587483  ,  7.52394    ,  0.0241784  ,  0.197757   ])
486     , -27469.1    , array([ 0.0588071  ,  7.52394    ,  0.0241784  ,  0.197757   ])
487     , -27466.3    , array([ 0.0587483  ,  7.53146    ,  0.0241784  ,  0.197757   ])
488     , -27464.9    , array([ 0.0587483  ,  7.52394    ,  0.0242026  ,  0.197757   ])
489     , -27468.3    , array([ 0.0587483  ,  7.52394    ,  0.0241784  ,  0.197955   ])
490     , -27023.7    , array([ 0.0418336  ,  7.9653     ,  0.0217487  ,  0.207798   ])
491     , -27023.7    , array([ 0.0418336  ,  7.9653     ,  0.0217487  ,  0.207798   ])
492     , -27025.5    , array([ 0.0418755  ,  7.9653     ,  0.0217487  ,  0.207798   ])
493     , -27023.2    , array([ 0.0418336  ,  7.97327    ,  0.0217487  ,  0.207798   ])
494     , -27022.1    , array([ 0.0418336  ,  7.9653     ,  0.0217704  ,  0.207798   ])
495     , -27026      , array([ 0.0418336  ,  7.9653     ,  0.0217487  ,  0.208006   ])
496     , -26411.5    , array([ 0.0302662  ,  8.47933    ,  0.0239403  ,  0.196949   ])
497     , -26411.5    , array([ 0.0302662  ,  8.47933    ,  0.0239403  ,  0.196949   ])
498     , -26411.4    , array([ 0.0302964  ,  8.47933    ,  0.0239403  ,  0.196949   ])
499     , -26411.2    , array([ 0.0302662  ,  8.48782    ,  0.0239403  ,  0.196949   ])
500     , -26411.6    , array([ 0.0302662  ,  8.47933    ,  0.0239643  ,  0.196949   ])
501     , -26414.9    , array([ 0.0302662  ,  8.47933    ,  0.0239403  ,  0.197146   ])
502     , -25456      , array([ 0.00709097 ,  14.2063    ,  0.00661617 ,  0.149662   ])
503     , -25456      , array([ 0.00709097 ,  14.2063    ,  0.00661617 ,  0.149662   ])
504     , -25455.3    , array([ 0.00709807 ,  14.2063    ,  0.00661617 ,  0.149662   ])
505     , -25456      , array([ 0.00709097 ,  14.2206    ,  0.00661617 ,  0.149662   ])
506     , -25456.7    , array([ 0.00709097 ,  14.2063    ,  0.00662278 ,  0.149662   ])
507     , -25458.9    , array([ 0.00709097 ,  14.2063    ,  0.00661617 ,  0.149812   ])
514     , -25456      , array([ 0.00709093 ,  14.2064    ,  0.00661613 ,  0.149662   ])
515     , -25456      , array([ 0.00709093 ,  14.2064    ,  0.00661613 ,  0.149662   ])
516     , -25455.3    , array([ 0.00709802 ,  14.2064    ,  0.00661613 ,  0.149662   ])
517     , -25456      , array([ 0.00709093 ,  14.2206    ,  0.00661613 ,  0.149662   ])
518     , -25456.7    , array([ 0.00709093 ,  14.2064    ,  0.00662275 ,  0.149662   ])
519     , -25458.9    , array([ 0.00709093 ,  14.2064    ,  0.00661613 ,  0.149811   ])
520     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
521     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
522     , -24669      , array([ 0.00194633 ,  25.3625    ,  0.00193032 ,  0.100229   ])
523     , -24668      , array([ 0.00194438 ,  25.3879    ,  0.00193032 ,  0.100229   ])
524     , -24667.1    , array([ 0.00194438 ,  25.3625    ,  0.00193225 ,  0.100229   ])
525     , -24668.8    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100329   ])
532     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
533     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
534     , -24669      , array([ 0.00194632 ,  25.3625    ,  0.00193032 ,  0.100229   ])
535     , -24668      , array([ 0.00194438 ,  25.3879    ,  0.00193032 ,  0.100229   ])
536     , -24667.1    , array([ 0.00194438 ,  25.3625    ,  0.00193225 ,  0.100229   ])
537     , -24668.8    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100329   ])
544     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
545     , -24668.1    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100229   ])
546     , -24669      , array([ 0.00194632 ,  25.3625    ,  0.00193032 ,  0.100229   ])
547     , -24668      , array([ 0.00194438 ,  25.3879    ,  0.00193032 ,  0.100229   ])
548     , -24667.1    , array([ 0.00194438 ,  25.3625    ,  0.00193225 ,  0.100229   ])
549     , -24668.8    , array([ 0.00194438 ,  25.3625    ,  0.00193032 ,  0.100329   ])
550     , -24319.8    , array([ 0.00107321 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
551     , -24319.8    , array([ 0.00107321 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
552     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
553     , -24319.8    , array([ 0.00107321 ,  30.704     ,  0.00135623 ,  0.0768528  ])
554     , -24319.7    , array([ 0.00107321 ,  30.6733    ,  0.00135759 ,  0.0768528  ])
555     , -24320.6    , array([ 0.00107321 ,  30.6733    ,  0.00135623 ,  0.0769297  ])
562     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
563     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
564     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
565     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
566     , -24319.7    , array([ 0.0010732  ,  30.6733    ,  0.00135758 ,  0.0768528  ])
567     , -24320.6    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0769297  ])
574     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
575     , -24319.8    , array([ 0.0010732  ,  30.6733    ,  0.00135623 ,  0.0768528  ])
576     , -24319.9    , array([ 0.00107428 ,  30.6733    ,  0.00135623 ,  0.0768528  ])
577     , -24319.8    , array([ 0.0010732  ,  30.704     ,  0.00135623 ,  0.0768528  ])
