112486  , -2579.42    , array([ 4.67792    ,  0.152179   ,  6.70606e-06,  0.00142949 ,  0.0557715  ])
112494  , -2577.61    , array([ 4.67779    ,  0.152179   ,  6.70606e-06,  0.00142949 ,  0.055716   ])
112495  , -2577.61    , array([ 4.67779    ,  0.152179   ,  6.70606e-06,  0.00142949 ,  0.055716   ])
112496  , -2578.05    , array([ 4.68247    ,  0.152179   ,  6.70606e-06,  0.00142949 ,  0.055716   ])
112497  , -2578.07    , array([ 4.67779    ,  0.152331   ,  6.70606e-06,  0.00142949 ,  0.055716   ])
112498  , -2577.61    , array([ 4.67779    ,  0.152179   ,  6.71277e-06,  0.00142949 ,  0.055716   ])
112499  , -2577.61    , array([ 4.67779    ,  0.152179   ,  6.70606e-06,  0.00143092 ,  0.055716   ])
112500  , -2579.42    , array([ 4.67779    ,  0.152179   ,  6.70606e-06,  0.00142949 ,  0.0557717  ])
112501  , -2577.61    , array([ 4.67766    ,  0.15218    ,  6.70606e-06,  0.00142949 ,  0.0557162  ])
112502  , -2577.61    , array([ 4.67766    ,  0.15218    ,  6.70606e-06,  0.00142949 ,  0.0557162  ])
112503  , -2578.05    , array([ 4.68234    ,  0.15218    ,  6.70606e-06,  0.00142949 ,  0.0557162  ])
112504  , -2578.07    , array([ 4.67766    ,  0.152332   ,  6.70606e-06,  0.00142949 ,  0.0557162  ])
112505  , -2577.61    , array([ 4.67766    ,  0.15218    ,  6.71277e-06,  0.00142949 ,  0.0557162  ])
112506  , -2577.61    , array([ 4.67766    ,  0.15218    ,  6.70606e-06,  0.00143092 ,  0.0557162  ])
112507  , -2579.42    , array([ 4.67766    ,  0.15218    ,  6.70606e-06,  0.00142949 ,  0.055772   ])
112508  , -786720     , array([ 0.00298429 ,  0.519112   ,  6.70452e-06,  0.00139683 ,  0.181216   ])
112509  , -786720     , array([ 0.00298429 ,  0.519112   ,  6.70452e-06,  0.00139683 ,  0.181216   ])
112510  , -786643     , array([ 0.00298727 ,  0.519112   ,  6.70452e-06,  0.00139683 ,  0.181216   ])
112511  , -786744     , array([ 0.00298429 ,  0.519632   ,  6.70452e-06,  0.00139683 ,  0.181216   ])
112512  , -786687     , array([ 0.00298429 ,  0.519112   ,  6.71122e-06,  0.00139683 ,  0.181216   ])
112513  , -786715     , array([ 0.00298429 ,  0.519112   ,  6.70452e-06,  0.00139823 ,  0.181216   ])
112514  , -786715     , array([ 0.00298429 ,  0.519112   ,  6.70452e-06,  0.00139683 ,  0.181397   ])
112515  , -2577.51    , array([ 4.67211    ,  0.15221    ,  6.70606e-06,  0.00142948 ,  0.0557268  ])
112516  , -2577.51    , array([ 4.67211    ,  0.15221    ,  6.70606e-06,  0.00142948 ,  0.0557268  ])
112517  , -2577.95    , array([ 4.67679    ,  0.15221    ,  6.70606e-06,  0.00142948 ,  0.0557268  ])
112518  , -2577.97    , array([ 4.67211    ,  0.152362   ,  6.70606e-06,  0.00142948 ,  0.0557268  ])
112519  , -2577.51    , array([ 4.67211    ,  0.15221    ,  6.71277e-06,  0.00142948 ,  0.0557268  ])
112520  , -2577.51    , array([ 4.67211    ,  0.15221    ,  6.70606e-06,  0.00143091 ,  0.0557268  ])
112521  , -2579.32    , array([ 4.67211    ,  0.15221    ,  6.70606e-06,  0.00142948 ,  0.0557826  ])
112522  , -2577.41    , array([ 4.66655    ,  0.15224    ,  6.70606e-06,  0.00142948 ,  0.0557375  ])
112523  , -2577.41    , array([ 4.66655    ,  0.15224    ,  6.70606e-06,  0.00142948 ,  0.0557375  ])
112524  , -2577.85    , array([ 4.67122    ,  0.15224    ,  6.70606e-06,  0.00142948 ,  0.0557375  ])
112525  , -2577.87    , array([ 4.66655    ,  0.152393   ,  6.70606e-06,  0.00142948 ,  0.0557375  ])
112526  , -2577.41    , array([ 4.66655    ,  0.15224    ,  6.71277e-06,  0.00142948 ,  0.0557375  ])
112527  , -2577.41    , array([ 4.66655    ,  0.15224    ,  6.70606e-06,  0.00143091 ,  0.0557375  ])
112528  , -2579.22    , array([ 4.66655    ,  0.15224    ,  6.70606e-06,  0.00142948 ,  0.0557932  ])
112529  , -62466.2    , array([ 0.11801    ,  0.281122   ,  6.70529e-06,  0.00141306 ,  0.100501   ])
112530  , -62466.2    , array([ 0.11801    ,  0.281122   ,  6.70529e-06,  0.00141306 ,  0.100501   ])
112531  , -62406.8    , array([ 0.118128   ,  0.281122   ,  6.70529e-06,  0.00141306 ,  0.100501   ])
112532  , -62475.9    , array([ 0.11801    ,  0.281404   ,  6.70529e-06,  0.00141306 ,  0.100501   ])
112533  , -62466.2    , array([ 0.11801    ,  0.281122   ,  6.71199e-06,  0.00141306 ,  0.100501   ])
112534  , -62466.2    , array([ 0.11801    ,  0.281122   ,  6.70529e-06,  0.00141447 ,  0.100501   ])
112535  , -62509.7    , array([ 0.11801    ,  0.281122   ,  6.70529e-06,  0.00141306 ,  0.100602   ])
112536  , -2546.15    , array([ 2.3973     ,  0.170128   ,  6.70592e-06,  0.00142649 ,  0.0620184  ])
112537  , -2546.15    , array([ 2.3973     ,  0.170128   ,  6.70592e-06,  0.00142649 ,  0.0620184  ])
112538  , -2546.42    , array([ 2.39969    ,  0.170128   ,  6.70592e-06,  0.00142649 ,  0.0620184  ])
112539  , -2546.51    , array([ 2.3973     ,  0.170298   ,  6.70592e-06,  0.00142649 ,  0.0620184  ])
112540  , -2546.15    , array([ 2.3973     ,  0.170128   ,  6.71263e-06,  0.00142649 ,  0.0620184  ])
112541  , -2546.15    , array([ 2.3973     ,  0.170128   ,  6.70592e-06,  0.00142792 ,  0.0620184  ])
112542  , -2548.22    , array([ 2.3973     ,  0.170128   ,  6.70592e-06,  0.00142649 ,  0.0620804  ])
112543  , -2553.93    , array([ 3.62075    ,  0.158821   ,  6.706e-06  ,  0.00142834 ,  0.0580514  ])
112544  , -2553.93    , array([ 3.62075    ,  0.158821   ,  6.706e-06  ,  0.00142834 ,  0.0580514  ])
112545  , -2554.39    , array([ 3.62438    ,  0.158821   ,  6.706e-06  ,  0.00142834 ,  0.0580514  ])
112546  , -2554.37    , array([ 3.62075    ,  0.15898    ,  6.706e-06  ,  0.00142834 ,  0.0580514  ])
112547  , -2553.93    , array([ 3.62075    ,  0.158821   ,  6.71271e-06,  0.00142834 ,  0.0580514  ])
112548  , -2553.93    , array([ 3.62075    ,  0.158821   ,  6.706e-06  ,  0.00142977 ,  0.0580514  ])
112549  , -2555.78    , array([ 3.62075    ,  0.158821   ,  6.706e-06  ,  0.00142834 ,  0.0581095  ])
112550  , -2538.25    , array([ 2.7658     ,  0.166119   ,  6.70595e-06,  0.00142713 ,  0.0606129  ])
112551  , -2538.25    , array([ 2.7658     ,  0.166119   ,  6.70595e-06,  0.00142713 ,  0.0606129  ])
112552  , -2538.63    , array([ 2.76857    ,  0.166119   ,  6.70595e-06,  0.00142713 ,  0.0606129  ])
112553  , -2538.65    , array([ 2.7658     ,  0.166285   ,  6.70595e-06,  0.00142713 ,  0.0606129  ])
112554  , -2538.25    , array([ 2.7658     ,  0.166119   ,  6.71266e-06,  0.00142713 ,  0.0606129  ])
112555  , -2538.25    , array([ 2.7658     ,  0.166119   ,  6.70595e-06,  0.00142856 ,  0.0606129  ])
112556  , -2540.21    , array([ 2.7658     ,  0.166119   ,  6.70595e-06,  0.00142713 ,  0.0606736  ])
112557  , -2461.79    , array([ 2.68007    ,  0.161382   ,  6.70516e-06,  0.00140696 ,  0.058889   ])
112558  , -2461.79    , array([ 2.68007    ,  0.161382   ,  6.70516e-06,  0.00140696 ,  0.058889   ])
112559  , -2462.14    , array([ 2.68275    ,  0.161382   ,  6.70516e-06,  0.00140696 ,  0.058889   ])
112560  , -2462.14    , array([ 2.68007    ,  0.161544   ,  6.70516e-06,  0.00140696 ,  0.058889   ])
112561  , -2461.79    , array([ 2.68007    ,  0.161382   ,  6.71187e-06,  0.00140696 ,  0.058889   ])
112562  , -2461.79    , array([ 2.68007    ,  0.161382   ,  6.70516e-06,  0.00140836 ,  0.058889   ])
112563  , -2463.66    , array([ 2.68007    ,  0.161382   ,  6.70516e-06,  0.00140696 ,  0.0589479  ])
112564  , -2200.08    , array([ 2.36291    ,  0.143749   ,  6.70202e-06,  0.00132907 ,  0.0524697  ])
112565  , -2200.08    , array([ 2.36291    ,  0.143749   ,  6.70202e-06,  0.00132907 ,  0.0524697  ])
112566  , -2200.32    , array([ 2.36528    ,  0.143749   ,  6.70202e-06,  0.00132907 ,  0.0524697  ])
112567  , -2200.27    , array([ 2.36291    ,  0.143893   ,  6.70202e-06,  0.00132907 ,  0.0524697  ])
112568  , -2200.08    , array([ 2.36291    ,  0.143749   ,  6.70873e-06,  0.00132907 ,  0.0524697  ])
112569  , -2200.08    , array([ 2.36291    ,  0.143749   ,  6.70202e-06,  0.0013304  ,  0.0524697  ])
112570  , -2201.64    , array([ 2.36291    ,  0.143749   ,  6.70202e-06,  0.00132907 ,  0.0525222  ])
