3646    , -2294.97    , array([ 1.50333    ,  0.300882   ,  6.33856e-07,  0.000968716])
3647    , -2294.97    , array([ 1.50483    ,  0.300882   ,  6.33856e-07,  0.000968716])
3648    , -2295.03    , array([ 1.50333    ,  0.301183   ,  6.33856e-07,  0.000968716])
3649    , -2294.97    , array([ 1.50333    ,  0.300882   ,  6.3449e-07 ,  0.000968716])
3650    , -2294.93    , array([ 1.50333    ,  0.300882   ,  6.33856e-07,  0.000969685])
3651    , -2294.97    , array([ 1.50333    ,  0.300882   ,  6.33856e-07,  0.000968716])
3652    , -2150.26    , array([ 1.50316    ,  0.131573   ,  6.33822e-07,  0.00172944 ])
3653    , -2150.26    , array([ 1.50316    ,  0.131573   ,  6.33822e-07,  0.00172944 ])
3654    , -2150.26    , array([ 1.50467    ,  0.131573   ,  6.33822e-07,  0.00172944 ])
3655    , -2150.44    , array([ 1.50316    ,  0.131705   ,  6.33822e-07,  0.00172944 ])
3656    , -2150.26    , array([ 1.50316    ,  0.131573   ,  6.34456e-07,  0.00172944 ])
3657    , -2150.1     , array([ 1.50316    ,  0.131573   ,  6.33822e-07,  0.00173117 ])
3658    , -4046.46    , array([ 1.50251    ,  0.00481115 ,  6.33683e-07,  0.0175686  ])
3659    , -4046.46    , array([ 1.50251    ,  0.00481115 ,  6.33683e-07,  0.0175686  ])
3660    , -4046.46    , array([ 1.50402    ,  0.00481115 ,  6.33683e-07,  0.0175686  ])
3661    , -4054.09    , array([ 1.50251    ,  0.00481596 ,  6.33683e-07,  0.0175686  ])
3662    , -4046.46    , array([ 1.50251    ,  0.00481115 ,  6.34317e-07,  0.0175686  ])
3663    , -4035.92    , array([ 1.50251    ,  0.00481115 ,  6.33683e-07,  0.0175862  ])
3664    , -2141.86    , array([ 1.50316    ,  0.127907   ,  6.3382e-07 ,  0.00176402 ])
3665    , -2141.86    , array([ 1.50316    ,  0.127907   ,  6.3382e-07 ,  0.00176402 ])
3666    , -2141.86    , array([ 1.50466    ,  0.127907   ,  6.3382e-07 ,  0.00176402 ])
3667    , -2142.05    , array([ 1.50316    ,  0.128035   ,  6.3382e-07 ,  0.00176402 ])
3668    , -2141.86    , array([ 1.50316    ,  0.127907   ,  6.34454e-07,  0.00176402 ])
3669    , -2141.7     , array([ 1.50316    ,  0.127907   ,  6.3382e-07 ,  0.00176578 ])
3670    , -2133       , array([ 1.50315    ,  0.124266   ,  6.33819e-07,  0.00180008 ])
3671    , -2133       , array([ 1.50315    ,  0.124266   ,  6.33819e-07,  0.00180008 ])
3672    , -2133       , array([ 1.50466    ,  0.124266   ,  6.33819e-07,  0.00180008 ])
3673    , -2133.19    , array([ 1.50315    ,  0.124391   ,  6.33819e-07,  0.00180008 ])
3674    , -2133       , array([ 1.50315    ,  0.124266   ,  6.34453e-07,  0.00180008 ])
3675    , -2132.83    , array([ 1.50315    ,  0.124266   ,  6.33819e-07,  0.00180188 ])
3676    , -2219.17    , array([ 1.50283    ,  0.0244512  ,  6.33751e-07,  0.0056236  ])
3677    , -2219.17    , array([ 1.50283    ,  0.0244512  ,  6.33751e-07,  0.0056236  ])
3678    , -2219.17    , array([ 1.50434    ,  0.0244512  ,  6.33751e-07,  0.0056236  ])
3679    , -2217.86    , array([ 1.50283    ,  0.0244757  ,  6.33751e-07,  0.0056236  ])
3680    , -2219.17    , array([ 1.50283    ,  0.0244512  ,  6.34385e-07,  0.0056236  ])
3681    , -2220.28    , array([ 1.50283    ,  0.0244512  ,  6.33751e-07,  0.00562922 ])
3682    , -1796.06    , array([ 1.50298    ,  0.052987   ,  6.33783e-07,  0.00327096 ])
3683    , -1796.06    , array([ 1.50298    ,  0.052987   ,  6.33783e-07,  0.00327096 ])
3684    , -1796.06    , array([ 1.50449    ,  0.052987   ,  6.33783e-07,  0.00327096 ])
3685    , -1796.25    , array([ 1.50298    ,  0.05304    ,  6.33783e-07,  0.00327096 ])
3686    , -1796.06    , array([ 1.50298    ,  0.052987   ,  6.34418e-07,  0.00327096 ])
3687    , -1795.87    , array([ 1.50298    ,  0.052987   ,  6.33783e-07,  0.00327423 ])
3688    , -1754.09    , array([ 1.50294    ,  0.04157    ,  6.33773e-07,  0.00387721 ])
3689    , -1754.09    , array([ 1.50294    ,  0.04157    ,  6.33773e-07,  0.00387721 ])
3690    , -1754.09    , array([ 1.50444    ,  0.04157    ,  6.33773e-07,  0.00387721 ])
3691    , -1754.06    , array([ 1.50294    ,  0.0416116  ,  6.33773e-07,  0.00387721 ])
3692    , -1754.09    , array([ 1.50294    ,  0.04157    ,  6.34407e-07,  0.00387721 ])
3693    , -1754.07    , array([ 1.50294    ,  0.04157    ,  6.33773e-07,  0.00388109 ])
3700    , -1754.09    , array([ 1.50294    ,  0.0415704  ,  6.33773e-07,  0.00387733 ])
3701    , -1754.09    , array([ 1.50294    ,  0.0415704  ,  6.33773e-07,  0.00387733 ])
3702    , -1754.09    , array([ 1.50444    ,  0.0415704  ,  6.33773e-07,  0.00387733 ])
3703    , -1754.06    , array([ 1.50294    ,  0.041612   ,  6.33773e-07,  0.00387733 ])
3704    , -1754.09    , array([ 1.50294    ,  0.0415704  ,  6.34407e-07,  0.00387733 ])
3705    , -1754.07    , array([ 1.50294    ,  0.0415704  ,  6.33773e-07,  0.00388121 ])
