176117  , -60933      , array([ 1.09996    ,  0.00824294 ,  1.70715e-30,  7.98241e-93,  0.000150266])
176118  , -60933.1    , array([ 1.10106    ,  0.00824294 ,  1.70715e-30,  7.98241e-93,  0.000150266])
176119  , -60948.2    , array([ 1.09996    ,  0.00825119 ,  1.70715e-30,  7.98241e-93,  0.000150266])
176120  , -60933      , array([ 1.09996    ,  0.00824294 ,  1.70886e-30,  7.98241e-93,  0.000150266])
176121  , -60933      , array([ 1.09996    ,  0.00824294 ,  1.70715e-30,  7.99039e-93,  0.000150266])
176122  , -60917.7    , array([ 1.09996    ,  0.00824294 ,  1.70715e-30,  7.98241e-93,  0.000150416])
176123  , -60933      , array([ 1.09996    ,  0.00824294 ,  1.70715e-30,  7.98241e-93,  0.000150266])
176124  , -29197.9    , array([ 1.09612    ,  0.00404393 ,  1.70715e-30,  7.98241e-93,  0.00030754 ])
176125  , -29197.9    , array([ 1.09612    ,  0.00404393 ,  1.70715e-30,  7.98241e-93,  0.00030754 ])
176126  , -29197.9    , array([ 1.09721    ,  0.00404393 ,  1.70715e-30,  7.98241e-93,  0.00030754 ])
176127  , -29224.6    , array([ 1.09612    ,  0.00404797 ,  1.70715e-30,  7.98241e-93,  0.00030754 ])
176128  , -29197.9    , array([ 1.09612    ,  0.00404393 ,  1.70886e-30,  7.98241e-93,  0.00030754 ])
176129  , -29197.9    , array([ 1.09612    ,  0.00404393 ,  1.70715e-30,  7.99039e-93,  0.00030754 ])
176130  , -29171.1    , array([ 1.09612    ,  0.00404393 ,  1.70715e-30,  7.98241e-93,  0.000307848])
176138  , -29159      , array([ 1.09611    ,  0.004041   ,  1.70715e-30,  7.98241e-93,  0.000307764])
176139  , -29159      , array([ 1.09611    ,  0.004041   ,  1.70715e-30,  7.98241e-93,  0.000307764])
176140  , -29159      , array([ 1.09721    ,  0.004041   ,  1.70715e-30,  7.98241e-93,  0.000307764])
176141  , -29185.7    , array([ 1.09611    ,  0.00404504 ,  1.70715e-30,  7.98241e-93,  0.000307764])
176142  , -29159      , array([ 1.09611    ,  0.004041   ,  1.70886e-30,  7.98241e-93,  0.000307764])
176143  , -29159      , array([ 1.09611    ,  0.004041   ,  1.70715e-30,  7.99039e-93,  0.000307764])
176144  , -29132.2    , array([ 1.09611    ,  0.004041   ,  1.70715e-30,  7.98241e-93,  0.000308072])
176145  , -12945.5    , array([ 1.09437    ,  0.00292527 ,  1.70715e-30,  7.98241e-93,  0.000425933])
176146  , -12945.5    , array([ 1.09437    ,  0.00292527 ,  1.70715e-30,  7.98241e-93,  0.000425933])
176147  , -12945.6    , array([ 1.09547    ,  0.00292527 ,  1.70715e-30,  7.98241e-93,  0.000425933])
176148  , -12967.1    , array([ 1.09437    ,  0.0029282  ,  1.70715e-30,  7.98241e-93,  0.000425933])
176149  , -12945.5    , array([ 1.09437    ,  0.00292527 ,  1.70886e-30,  7.98241e-93,  0.000425933])
176150  , -12945.5    , array([ 1.09437    ,  0.00292527 ,  1.70715e-30,  7.99039e-93,  0.000425933])
176151  , -12923.9    , array([ 1.09437    ,  0.00292527 ,  1.70715e-30,  7.98241e-93,  0.000426359])
176159  , -12940.6    , array([ 1.09437    ,  0.00292493 ,  1.70715e-30,  7.98241e-93,  0.000425982])
176160  , -12940.6    , array([ 1.09437    ,  0.00292493 ,  1.70715e-30,  7.98241e-93,  0.000425982])
176161  , -12940.6    , array([ 1.09547    ,  0.00292493 ,  1.70715e-30,  7.98241e-93,  0.000425982])
176162  , -12962.1    , array([ 1.09437    ,  0.00292786 ,  1.70715e-30,  7.98241e-93,  0.000425982])
176163  , -12940.6    , array([ 1.09437    ,  0.00292493 ,  1.70886e-30,  7.98241e-93,  0.000425982])
176164  , -12940.6    , array([ 1.09437    ,  0.00292493 ,  1.70715e-30,  7.99039e-93,  0.000425982])
176165  , -12919      , array([ 1.09437    ,  0.00292493 ,  1.70715e-30,  7.98241e-93,  0.000426409])
176166  , -11406.1    , array([ 1.09418    ,  0.0028202  ,  1.70715e-30,  7.98241e-93,  0.000441894])
176167  , -11406.1    , array([ 1.09418    ,  0.0028202  ,  1.70715e-30,  7.98241e-93,  0.000441894])
176168  , -11406.1    , array([ 1.09527    ,  0.0028202  ,  1.70715e-30,  7.98241e-93,  0.000441894])
176169  , -11426.5    , array([ 1.09418    ,  0.00282302 ,  1.70715e-30,  7.98241e-93,  0.000441894])
176170  , -11406.1    , array([ 1.09418    ,  0.0028202  ,  1.70886e-30,  7.98241e-93,  0.000441894])
176171  , -11406.1    , array([ 1.09418    ,  0.0028202  ,  1.70715e-30,  7.99039e-93,  0.000441894])
176172  , -11385.7    , array([ 1.09418    ,  0.0028202  ,  1.70715e-30,  7.98241e-93,  0.000442336])
176173  , -5943.92    , array([ 1.09089    ,  0.00152793 ,  1.70715e-30,  7.98241e-93,  0.000818487])
176174  , -5943.92    , array([ 1.09089    ,  0.00152793 ,  1.70715e-30,  7.98241e-93,  0.000818487])
176175  , -5943.94    , array([ 1.09198    ,  0.00152793 ,  1.70715e-30,  7.98241e-93,  0.000818487])
176176  , -5928.63    , array([ 1.09089    ,  0.00152946 ,  1.70715e-30,  7.98241e-93,  0.000818487])
176177  , -5943.92    , array([ 1.09089    ,  0.00152793 ,  1.70886e-30,  7.98241e-93,  0.000818487])
176178  , -5943.92    , array([ 1.09089    ,  0.00152793 ,  1.70715e-30,  7.99039e-93,  0.000818487])
176179  , -5959.1     , array([ 1.09089    ,  0.00152793 ,  1.70715e-30,  7.98241e-93,  0.000819306])
176180  , -2754.59    , array([ 1.09229    ,  0.00198633 ,  1.70715e-30,  7.98241e-93,  0.000628656])
176181  , -2754.59    , array([ 1.09229    ,  0.00198633 ,  1.70715e-30,  7.98241e-93,  0.000628656])
176182  , -2754.61    , array([ 1.09339    ,  0.00198633 ,  1.70715e-30,  7.98241e-93,  0.000628656])
176183  , -2757.25    , array([ 1.09229    ,  0.00198832 ,  1.70715e-30,  7.98241e-93,  0.000628656])
176184  , -2754.59    , array([ 1.09229    ,  0.00198633 ,  1.70886e-30,  7.98241e-93,  0.000628656])
176185  , -2754.59    , array([ 1.09229    ,  0.00198633 ,  1.70715e-30,  7.99039e-93,  0.000628656])
176186  , -2751.9     , array([ 1.09229    ,  0.00198633 ,  1.70715e-30,  7.98241e-93,  0.000629285])
176194  , -2754.59    , array([ 1.09229    ,  0.00198642 ,  1.70715e-30,  7.98241e-93,  0.000628685])
176195  , -2754.59    , array([ 1.09229    ,  0.00198642 ,  1.70715e-30,  7.98241e-93,  0.000628685])
176196  , -2754.6     , array([ 1.09338    ,  0.00198642 ,  1.70715e-30,  7.98241e-93,  0.000628685])
176197  , -2757.24    , array([ 1.09229    ,  0.00198841 ,  1.70715e-30,  7.98241e-93,  0.000628685])
176198  , -2754.59    , array([ 1.09229    ,  0.00198642 ,  1.70886e-30,  7.98241e-93,  0.000628685])
176199  , -2754.59    , array([ 1.09229    ,  0.00198642 ,  1.70715e-30,  7.99039e-93,  0.000628685])
176200  , -2751.89    , array([ 1.09229    ,  0.00198642 ,  1.70715e-30,  7.98241e-93,  0.000629314])
176201  , -2754.58    , array([ 1.09228    ,  0.00198651 ,  1.70715e-30,  7.98241e-93,  0.000628713])
176202  , -2754.58    , array([ 1.09228    ,  0.00198651 ,  1.70715e-30,  7.98241e-93,  0.000628713])
176203  , -2754.59    , array([ 1.09338    ,  0.00198651 ,  1.70715e-30,  7.98241e-93,  0.000628713])
176204  , -2757.23    , array([ 1.09228    ,  0.00198849 ,  1.70715e-30,  7.98241e-93,  0.000628713])
176205  , -2754.58    , array([ 1.09228    ,  0.00198651 ,  1.70886e-30,  7.98241e-93,  0.000628713])
176206  , -2754.58    , array([ 1.09228    ,  0.00198651 ,  1.70715e-30,  7.99039e-93,  0.000628713])
176207  , -2751.89    , array([ 1.09228    ,  0.00198651 ,  1.70715e-30,  7.98241e-93,  0.000629342])
176208  , -73659.3    , array([ 0.583904   ,  1.38164    ,  1.70715e-30,  7.98241e-93,  0.57506    ])
176209  , -73659.3    , array([ 0.583904   ,  1.38164    ,  1.70715e-30,  7.98241e-93,  0.57506    ])
176210  , -73603.5    , array([ 0.584489   ,  1.38164    ,  1.70715e-30,  7.98241e-93,  0.57506    ])
176211  , -73667.2    , array([ 0.583904   ,  1.38303    ,  1.70715e-30,  7.98241e-93,  0.57506    ])
176212  , -73659.3    , array([ 0.583904   ,  1.38164    ,  1.70886e-30,  7.98241e-93,  0.57506    ])
176213  , -73659.3    , array([ 0.583904   ,  1.38164    ,  1.70715e-30,  7.99039e-93,  0.57506    ])
176214  , -73721.1    , array([ 0.583904   ,  1.38164    ,  1.70715e-30,  7.98241e-93,  0.575635   ])
176215  , -2300.22    , array([ 0.921215   ,  0.0117793  ,  1.70715e-30,  7.98241e-93,  0.00401636 ])
176216  , -2300.22    , array([ 0.921215   ,  0.0117793  ,  1.70715e-30,  7.98241e-93,  0.00401636 ])
176217  , -2300.28    , array([ 0.922137   ,  0.0117793  ,  1.70715e-30,  7.98241e-93,  0.00401636 ])
176218  , -2300.79    , array([ 0.921215   ,  0.011791   ,  1.70715e-30,  7.98241e-93,  0.00401636 ])
176219  , -2300.22    , array([ 0.921215   ,  0.0117793  ,  1.70886e-30,  7.98241e-93,  0.00401636 ])
176220  , -2300.22    , array([ 0.921215   ,  0.0117793  ,  1.70715e-30,  7.99039e-93,  0.00401636 ])
176221  , -2299.34    , array([ 0.921215   ,  0.0117793  ,  1.70715e-30,  7.98241e-93,  0.00402038 ])
176222  , -2431.17    , array([ 0.748268   ,  0.103462   ,  1.70715e-30,  7.98241e-93,  0.0386358  ])
176223  , -2431.17    , array([ 0.748268   ,  0.103462   ,  1.70715e-30,  7.98241e-93,  0.0386358  ])
176224  , -2429.18    , array([ 0.749017   ,  0.103462   ,  1.70715e-30,  7.98241e-93,  0.0386358  ])
176225  , -2430.07    , array([ 0.748268   ,  0.103566   ,  1.70715e-30,  7.98241e-93,  0.0386358  ])
176226  , -2431.17    , array([ 0.748268   ,  0.103462   ,  1.70886e-30,  7.98241e-93,  0.0386358  ])
176227  , -2431.17    , array([ 0.748268   ,  0.103462   ,  1.70715e-30,  7.99039e-93,  0.0386358  ])
176228  , -2434.37    , array([ 0.748268   ,  0.103462   ,  1.70715e-30,  7.98241e-93,  0.0386745  ])
176229  , -1810.31    , array([ 0.826015   ,  0.0368266  ,  1.70715e-30,  7.98241e-93,  0.0131703  ])
176230  , -1810.31    , array([ 0.826015   ,  0.0368266  ,  1.70715e-30,  7.98241e-93,  0.0131703  ])
176231  , -1810.21    , array([ 0.826842   ,  0.0368266  ,  1.70715e-30,  7.98241e-93,  0.0131703  ])
176232  , -1809.85    , array([ 0.826015   ,  0.0368634  ,  1.70715e-30,  7.98241e-93,  0.0131703  ])
176233  , -1810.31    , array([ 0.826015   ,  0.0368266  ,  1.70886e-30,  7.98241e-93,  0.0131703  ])
176234  , -1810.31    , array([ 0.826015   ,  0.0368266  ,  1.70715e-30,  7.99039e-93,  0.0131703  ])
176235  , -1810.47    , array([ 0.826015   ,  0.0368266  ,  1.70715e-30,  7.98241e-93,  0.0131834  ])
176236  , -1755.87    , array([ 0.796986   ,  0.0535211  ,  1.70715e-30,  7.98241e-93,  0.0194425  ])
176237  , -1755.87    , array([ 0.796986   ,  0.0535211  ,  1.70715e-30,  7.98241e-93,  0.0194425  ])
176238  , -1755.45    , array([ 0.797783   ,  0.0535211  ,  1.70715e-30,  7.98241e-93,  0.0194425  ])
176239  , -1755.13    , array([ 0.796986   ,  0.0535746  ,  1.70715e-30,  7.98241e-93,  0.0194425  ])
176240  , -1755.87    , array([ 0.796986   ,  0.0535211  ,  1.70886e-30,  7.98241e-93,  0.0194425  ])
176241  , -1755.87    , array([ 0.796986   ,  0.0535211  ,  1.70715e-30,  7.99039e-93,  0.0194425  ])
176242  , -1756.67    , array([ 0.796986   ,  0.0535211  ,  1.70715e-30,  7.98241e-93,  0.019462   ])
176250  , -1755.87    , array([ 0.797007   ,  0.0535234  ,  1.70715e-30,  7.98241e-93,  0.0194434  ])
176251  , -1755.87    , array([ 0.797007   ,  0.0535234  ,  1.70715e-30,  7.98241e-93,  0.0194434  ])
176252  , -1755.45    , array([ 0.797804   ,  0.0535234  ,  1.70715e-30,  7.98241e-93,  0.0194434  ])
176253  , -1755.12    , array([ 0.797007   ,  0.0535769  ,  1.70715e-30,  7.98241e-93,  0.0194434  ])
176254  , -1755.87    , array([ 0.797007   ,  0.0535234  ,  1.70886e-30,  7.98241e-93,  0.0194434  ])
176255  , -1755.87    , array([ 0.797007   ,  0.0535234  ,  1.70715e-30,  7.99039e-93,  0.0194434  ])
176256  , -1756.67    , array([ 0.797007   ,  0.0535234  ,  1.70715e-30,  7.98241e-93,  0.0194629  ])
176257  , -1755.86    , array([ 0.797018   ,  0.0535246  ,  1.70715e-30,  7.98241e-93,  0.0194439  ])
176258  , -1755.86    , array([ 0.797018   ,  0.0535246  ,  1.70715e-30,  7.98241e-93,  0.0194439  ])
176259  , -1755.44    , array([ 0.797815   ,  0.0535246  ,  1.70715e-30,  7.98241e-93,  0.0194439  ])
176260  , -1755.12    , array([ 0.797018   ,  0.0535782  ,  1.70715e-30,  7.98241e-93,  0.0194439  ])
176261  , -1755.86    , array([ 0.797018   ,  0.0535246  ,  1.70886e-30,  7.98241e-93,  0.0194439  ])
176262  , -1755.86    , array([ 0.797018   ,  0.0535246  ,  1.70715e-30,  7.99039e-93,  0.0194439  ])
176263  , -1756.66    , array([ 0.797018   ,  0.0535246  ,  1.70715e-30,  7.98241e-93,  0.0194634  ])
176271  , -1755.86    , array([ 0.797023   ,  0.0535252  ,  1.70715e-30,  7.98241e-93,  0.0194441  ])
176272  , -1755.86    , array([ 0.797023   ,  0.0535252  ,  1.70715e-30,  7.98241e-93,  0.0194441  ])
176273  , -1755.44    , array([ 0.797821   ,  0.0535252  ,  1.70715e-30,  7.98241e-93,  0.0194441  ])
176274  , -1755.12    , array([ 0.797023   ,  0.0535788  ,  1.70715e-30,  7.98241e-93,  0.0194441  ])
