21615   , -5602.83    , array([ 19.7219    ,  76.5086    ,  7.44683e-25,  0.0973673  ])
21616   , -5606.7     , array([ 19.7219    ,  76.5086    ,  7.43939e-25,  0.0974647  ])
21623   , -5602.76    , array([ 19.7219    ,  76.5104    ,  7.43939e-25,  0.0973655  ])
21624   , -5602.76    , array([ 19.7219    ,  76.5104    ,  7.43939e-25,  0.0973655  ])
21625   , -5602.76    , array([ 19.7416    ,  76.5104    ,  7.43939e-25,  0.0973655  ])
21626   , -5602.85    , array([ 19.7219    ,  76.587     ,  7.43939e-25,  0.0973655  ])
21627   , -5602.76    , array([ 19.7219    ,  76.5104    ,  7.44683e-25,  0.0973655  ])
21628   , -5606.64    , array([ 19.7219    ,  76.5104    ,  7.43939e-25,  0.0974629  ])
21635   , -5602.74    , array([ 19.7219    ,  76.511     ,  7.43939e-25,  0.0973649  ])
21636   , -5602.74    , array([ 19.7219    ,  76.511     ,  7.43939e-25,  0.0973649  ])
21637   , -5602.74    , array([ 19.7416    ,  76.511     ,  7.43939e-25,  0.0973649  ])
21638   , -5602.82    , array([ 19.7219    ,  76.5876    ,  7.43939e-25,  0.0973649  ])
21639   , -5602.74    , array([ 19.7219    ,  76.511     ,  7.44683e-25,  0.0973649  ])
21640   , -5606.61    , array([ 19.7219    ,  76.511     ,  7.43939e-25,  0.0974623  ])
21647   , -5602.73    , array([ 19.7219    ,  76.5113    ,  7.43939e-25,  0.0973646  ])
21648   , -5602.73    , array([ 19.7219    ,  76.5113    ,  7.43939e-25,  0.0973646  ])
21649   , -5602.73    , array([ 19.7416    ,  76.5113    ,  7.43939e-25,  0.0973646  ])
21650   , -5602.81    , array([ 19.7219    ,  76.5879    ,  7.43939e-25,  0.0973646  ])
21651   , -5602.73    , array([ 19.7219    ,  76.5113    ,  7.44683e-25,  0.0973646  ])
21652   , -5606.6     , array([ 19.7219    ,  76.5113    ,  7.43939e-25,  0.097462   ])
21659   , -5602.72    , array([ 19.7219    ,  76.5114    ,  7.43939e-25,  0.0973645  ])
21660   , -5602.72    , array([ 19.7219    ,  76.5114    ,  7.43939e-25,  0.0973645  ])
21661   , -5602.72    , array([ 19.7416    ,  76.5114    ,  7.43939e-25,  0.0973645  ])
21662   , -5602.81    , array([ 19.7219    ,  76.588     ,  7.43939e-25,  0.0973645  ])
21663   , -5602.72    , array([ 19.7219    ,  76.5114    ,  7.44683e-25,  0.0973645  ])
