19439   , -181763     , array([ 0.0330152  ,  1.6448     ,  7.31626e-95,  7.86207e-06,  0.0770735  ])
19440   , -207066     , array([ 0.48741    ,  0.359421   ,  7.31626e-95,  7.85644e-06,  1.16121    ])
19441   , -207066     , array([ 0.48741    ,  0.359421   ,  7.31626e-95,  7.85644e-06,  1.16121    ])
19442   , -206966     , array([ 0.487898   ,  0.359421   ,  7.31626e-95,  7.85644e-06,  1.16121    ])
19443   , -206967     , array([ 0.48741    ,  0.35978    ,  7.31626e-95,  7.85644e-06,  1.16121    ])
19444   , -207066     , array([ 0.48741    ,  0.359421   ,  7.32358e-95,  7.85644e-06,  1.16121    ])
19445   , -207066     , array([ 0.48741    ,  0.359421   ,  7.31626e-95,  7.8643e-06 ,  1.16121    ])
19446   , -207286     , array([ 0.48741    ,  0.359421   ,  7.31626e-95,  7.85644e-06,  1.16238    ])
19447   , -142681     , array([ 0.122252   ,  0.785098   ,  7.31626e-95,  7.85933e-06,  0.288083   ])
19448   , -142681     , array([ 0.122252   ,  0.785098   ,  7.31626e-95,  7.85933e-06,  0.288083   ])
19449   , -142564     , array([ 0.122374   ,  0.785098   ,  7.31626e-95,  7.85933e-06,  0.288083   ])
19450   , -142694     , array([ 0.122252   ,  0.785883   ,  7.31626e-95,  7.85933e-06,  0.288083   ])
19451   , -142681     , array([ 0.122252   ,  0.785098   ,  7.32358e-95,  7.85933e-06,  0.288083   ])
19452   , -142681     , array([ 0.122252   ,  0.785098   ,  7.31626e-95,  7.8672e-06 ,  0.288083   ])
19453   , -142785     , array([ 0.122252   ,  0.785098   ,  7.31626e-95,  7.85933e-06,  0.288371   ])
19454   , -584356     , array([ 0.841508   ,  0.00742101 ,  7.31626e-95,  7.85124e-06,  2.10881    ])
19455   , -584356     , array([ 0.841508   ,  0.00742101 ,  7.31626e-95,  7.85124e-06,  2.10881    ])
19456   , -584312     , array([ 0.84235    ,  0.00742101 ,  7.31626e-95,  7.85124e-06,  2.10881    ])
19457   , -584316     , array([ 0.841508   ,  0.00742844 ,  7.31626e-95,  7.85124e-06,  2.10881    ])
19458   , -584356     , array([ 0.841508   ,  0.00742101 ,  7.32358e-95,  7.85124e-06,  2.10881    ])
19459   , -584322     , array([ 0.841508   ,  0.00742101 ,  7.31626e-95,  7.85909e-06,  2.10881    ])
19460   , -584400     , array([ 0.841508   ,  0.00742101 ,  7.31626e-95,  7.85124e-06,  2.11092    ])
19461   , -140283     , array([ 0.130182   ,  0.674481   ,  7.31626e-95,  7.85907e-06,  0.307384   ])
19462   , -140283     , array([ 0.130182   ,  0.674481   ,  7.31626e-95,  7.85907e-06,  0.307384   ])
19463   , -140166     , array([ 0.130312   ,  0.674481   ,  7.31626e-95,  7.85907e-06,  0.307384   ])
19464   , -140293     , array([ 0.130182   ,  0.675156   ,  7.31626e-95,  7.85907e-06,  0.307384   ])
19465   , -140283     , array([ 0.130182   ,  0.674481   ,  7.32358e-95,  7.85907e-06,  0.307384   ])
19466   , -140283     , array([ 0.130182   ,  0.674481   ,  7.31626e-95,  7.86693e-06,  0.307384   ])
19467   , -140389     , array([ 0.130182   ,  0.674481   ,  7.31626e-95,  7.85907e-06,  0.307692   ])
19468   , -135524     , array([ 0.134095   ,  0.640037   ,  7.31626e-95,  6.54924e-06,  0.304999   ])
19469   , -135524     , array([ 0.134095   ,  0.640037   ,  7.31626e-95,  6.54924e-06,  0.304999   ])
19470   , -135411     , array([ 0.13423    ,  0.640037   ,  7.31626e-95,  6.54924e-06,  0.304999   ])
19471   , -135534     , array([ 0.134095   ,  0.640677   ,  7.31626e-95,  6.54924e-06,  0.304999   ])
19472   , -135524     , array([ 0.134095   ,  0.640037   ,  7.32358e-95,  6.54924e-06,  0.304999   ])
19473   , -135524     , array([ 0.134095   ,  0.640037   ,  7.31626e-95,  6.5558e-06 ,  0.304999   ])
19474   , -135627     , array([ 0.134095   ,  0.640037   ,  7.31626e-95,  6.54924e-06,  0.305305   ])
19475   , -118219     , array([ 0.150962   ,  0.518976   ,  7.31626e-95,  3.15843e-06,  0.295643   ])
19476   , -118219     , array([ 0.150962   ,  0.518976   ,  7.31626e-95,  3.15843e-06,  0.295643   ])
19477   , -118120     , array([ 0.151113   ,  0.518976   ,  7.31626e-95,  3.15843e-06,  0.295643   ])
19478   , -118225     , array([ 0.150962   ,  0.519495   ,  7.31626e-95,  3.15843e-06,  0.295643   ])
19479   , -118219     , array([ 0.150962   ,  0.518976   ,  7.32358e-95,  3.15843e-06,  0.295643   ])
19480   , -118219     , array([ 0.150962   ,  0.518976   ,  7.31626e-95,  3.16159e-06,  0.295643   ])
19481   , -118313     , array([ 0.150962   ,  0.518976   ,  7.31626e-95,  3.15843e-06,  0.295939   ])
19482   , -80783.3    , array([ 0.194217   ,  0.436024   ,  7.31626e-95,  1.94378e-07,  0.242518   ])
19483   , -80783.3    , array([ 0.194217   ,  0.436024   ,  7.31626e-95,  1.94378e-07,  0.242518   ])
19484   , -80713.7    , array([ 0.194411   ,  0.436024   ,  7.31626e-95,  1.94378e-07,  0.242518   ])
19485   , -80787.1    , array([ 0.194217   ,  0.43646    ,  7.31626e-95,  1.94378e-07,  0.242518   ])
19486   , -80783.3    , array([ 0.194217   ,  0.436024   ,  7.32358e-95,  1.94378e-07,  0.242518   ])
19487   , -80783.3    , array([ 0.194217   ,  0.436024   ,  7.31626e-95,  1.94572e-07,  0.242518   ])
19488   , -80849.3    , array([ 0.194217   ,  0.436024   ,  7.31626e-95,  1.94378e-07,  0.242761   ])
19489   , -29640.9    , array([ 0.356924   ,  0.319538   ,  7.31626e-95,  1.89944e-10,  0.153451   ])
19490   , -29640.9    , array([ 0.356924   ,  0.319538   ,  7.31626e-95,  1.89944e-10,  0.153451   ])
19491   , -29610.2    , array([ 0.357281   ,  0.319538   ,  7.31626e-95,  1.89944e-10,  0.153451   ])
19492   , -29639.9    , array([ 0.356924   ,  0.319858   ,  7.31626e-95,  1.89944e-10,  0.153451   ])
19493   , -29640.9    , array([ 0.356924   ,  0.319538   ,  7.32358e-95,  1.89944e-10,  0.153451   ])
19494   , -29640.9    , array([ 0.356924   ,  0.319538   ,  7.31626e-95,  1.90134e-10,  0.153451   ])
19495   , -29673.2    , array([ 0.356924   ,  0.319538   ,  7.31626e-95,  1.89944e-10,  0.153604   ])
19496   , -10690      , array([ 0.553328   ,  0.309255   ,  7.31626e-95,  4.97205e-13,  0.0956355  ])
19497   , -10690      , array([ 0.553328   ,  0.309255   ,  7.31626e-95,  4.97205e-13,  0.0956355  ])
19498   , -10677.3    , array([ 0.553882   ,  0.309255   ,  7.31626e-95,  4.97205e-13,  0.0956355  ])
19499   , -10694.5    , array([ 0.553328   ,  0.309564   ,  7.31626e-95,  4.97205e-13,  0.0956355  ])
19500   , -10690      , array([ 0.553328   ,  0.309255   ,  7.32358e-95,  4.97205e-13,  0.0956355  ])
19501   , -10690      , array([ 0.553328   ,  0.309255   ,  7.31626e-95,  4.97702e-13,  0.0956355  ])
19502   , -10699.3    , array([ 0.553328   ,  0.309255   ,  7.31626e-95,  4.97205e-13,  0.0957312  ])
19503   , -4681.42    , array([ 0.734584   ,  0.189867   ,  7.31626e-95,  8.25239e-15,  0.0683277  ])
19504   , -4681.42    , array([ 0.734584   ,  0.189867   ,  7.31626e-95,  8.25239e-15,  0.0683277  ])
19505   , -4676.35    , array([ 0.735319   ,  0.189867   ,  7.31626e-95,  8.25239e-15,  0.0683277  ])
19506   , -4681.84    , array([ 0.734584   ,  0.190057   ,  7.31626e-95,  8.25239e-15,  0.0683277  ])
19507   , -4681.42    , array([ 0.734584   ,  0.189867   ,  7.32358e-95,  8.25239e-15,  0.0683277  ])
19508   , -4681.42    , array([ 0.734584   ,  0.189867   ,  7.31626e-95,  8.26064e-15,  0.0683277  ])
19509   , -4687.19    , array([ 0.734584   ,  0.189867   ,  7.31626e-95,  8.25239e-15,  0.0683961  ])
19510   , -2734.8     , array([ 0.864192   ,  0.142234   ,  7.31626e-95,  3.28081e-16,  0.0495216  ])
19511   , -2734.8     , array([ 0.864192   ,  0.142234   ,  7.31626e-95,  3.28081e-16,  0.0495216  ])
19512   , -2732.63    , array([ 0.865057   ,  0.142234   ,  7.31626e-95,  3.28081e-16,  0.0495216  ])
19513   , -2735.8     , array([ 0.864192   ,  0.142376   ,  7.31626e-95,  3.28081e-16,  0.0495216  ])
19514   , -2734.8     , array([ 0.864192   ,  0.142234   ,  7.32358e-95,  3.28081e-16,  0.0495216  ])
19515   , -2734.8     , array([ 0.864192   ,  0.142234   ,  7.31626e-95,  3.28409e-16,  0.0495216  ])
19516   , -2736.71    , array([ 0.864192   ,  0.142234   ,  7.31626e-95,  3.28081e-16,  0.0495712  ])
