48668   , -79089.4    , array([ 0.184371   ,  0.0296706  ,  0.0031576  ,  4.60892e-39,  1.25161e-09])
48669   , -79089.4    , array([ 0.184556   ,  0.0296706  ,  0.0031576  ,  4.60892e-39,  1.25161e-09])
48670   , -79089.4    , array([ 0.184371   ,  0.0297003  ,  0.0031576  ,  4.60892e-39,  1.25161e-09])
48671   , -79089.4    , array([ 0.184371   ,  0.0296706  ,  0.00316076 ,  4.60892e-39,  1.25161e-09])
48672   , -79089.4    , array([ 0.184371   ,  0.0296706  ,  0.0031576  ,  4.61353e-39,  1.25161e-09])
48673   , -79089.4    , array([ 0.184371   ,  0.0296706  ,  0.0031576  ,  4.60892e-39,  1.25287e-09])
48674   , -79089.4    , array([ 0.184371   ,  0.0296706  ,  0.0031576  ,  4.60892e-39,  1.25161e-09])
48675   , -79089.4    , array([ 0.183375   ,  0.0282366  ,  0.0031576  ,  4.60892e-39,  1.32243e-09])
48676   , -79089.4    , array([ 0.183375   ,  0.0282366  ,  0.0031576  ,  4.60892e-39,  1.32243e-09])
48677   , -79089.4    , array([ 0.183559   ,  0.0282366  ,  0.0031576  ,  4.60892e-39,  1.32243e-09])
48678   , -79089.4    , array([ 0.183375   ,  0.0282648  ,  0.0031576  ,  4.60892e-39,  1.32243e-09])
48679   , -79089.4    , array([ 0.183375   ,  0.0282366  ,  0.00316076 ,  4.60892e-39,  1.32243e-09])
48680   , -79089.4    , array([ 0.183375   ,  0.0282366  ,  0.0031576  ,  4.61353e-39,  1.32243e-09])
48681   , -79089.4    , array([ 0.183375   ,  0.0282366  ,  0.0031576  ,  4.60892e-39,  1.32375e-09])
48682   , -79089.4    , array([ 0.179443   ,  0.0231608  ,  0.0031576  ,  4.60892e-39,  1.64807e-09])
48683   , -79089.4    , array([ 0.179443   ,  0.0231608  ,  0.0031576  ,  4.60892e-39,  1.64807e-09])
48684   , -79089.4    , array([ 0.179623   ,  0.0231608  ,  0.0031576  ,  4.60892e-39,  1.64807e-09])
48685   , -79089.4    , array([ 0.179443   ,  0.0231839  ,  0.0031576  ,  4.60892e-39,  1.64807e-09])
48686   , -79089.4    , array([ 0.179443   ,  0.0231608  ,  0.00316076 ,  4.60892e-39,  1.64807e-09])
48687   , -79089.4    , array([ 0.179443   ,  0.0231608  ,  0.0031576  ,  4.61353e-39,  1.64807e-09])
48688   , -79089.4    , array([ 0.179443   ,  0.0231608  ,  0.0031576  ,  4.60892e-39,  1.64972e-09])
48689   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48690   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48691   , -79089      , array([ 0.164705   ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48692   , -79089      , array([ 0.16454    ,  0.0104942  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48693   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.00316076 ,  4.60892e-39,  3.9755e-09 ])
48694   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.61353e-39,  3.9755e-09 ])
48695   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.97948e-09])
48703   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48704   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48705   , -79089      , array([ 0.164705   ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48706   , -79089      , array([ 0.16454    ,  0.0104942  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48707   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.00316076 ,  4.60892e-39,  3.9755e-09 ])
48708   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.61353e-39,  3.9755e-09 ])
48709   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.97948e-09])
48710   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48711   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48712   , -79089      , array([ 0.164705   ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48713   , -79089      , array([ 0.16454    ,  0.0104942  ,  0.0031576  ,  4.60892e-39,  3.9755e-09 ])
48714   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.00316076 ,  4.60892e-39,  3.9755e-09 ])
48715   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.61353e-39,  3.9755e-09 ])
48716   , -79089      , array([ 0.16454    ,  0.0104838  ,  0.0031576  ,  4.60892e-39,  3.97948e-09])
48717   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48718   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48719   , -79076.7    , array([ 0.138483   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48720   , -79076.7    , array([ 0.138345   ,  0.0021502  ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48721   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00316075 ,  4.60892e-39,  2.31326e-08])
48722   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.61353e-39,  2.31326e-08])
48723   , -79076.6    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31558e-08])
48724   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48725   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48726   , -79076.7    , array([ 0.138483   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48727   , -79076.7    , array([ 0.138345   ,  0.0021502  ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48728   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00316075 ,  4.60892e-39,  2.31326e-08])
48729   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.61353e-39,  2.31326e-08])
48730   , -79076.6    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31558e-08])
48731   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48732   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48733   , -79076.7    , array([ 0.138483   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48734   , -79076.7    , array([ 0.138345   ,  0.0021502  ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48735   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00316075 ,  4.60892e-39,  2.31326e-08])
48736   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.61353e-39,  2.31326e-08])
48737   , -79076.6    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31558e-08])
48745   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48746   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48747   , -79076.7    , array([ 0.138483   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48748   , -79076.7    , array([ 0.138345   ,  0.0021502  ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48749   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00316075 ,  4.60892e-39,  2.31326e-08])
48750   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.61353e-39,  2.31326e-08])
48751   , -79076.6    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31558e-08])
48752   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48753   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48754   , -79076.7    , array([ 0.138483   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48755   , -79076.7    , array([ 0.138345   ,  0.0021502  ,  0.00315759 ,  4.60892e-39,  2.31326e-08])
48756   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00316075 ,  4.60892e-39,  2.31326e-08])
48757   , -79076.7    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.61353e-39,  2.31326e-08])
48758   , -79076.6    , array([ 0.138345   ,  0.00214805 ,  0.00315759 ,  4.60892e-39,  2.31558e-08])
48759   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48760   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48761   , -79060      , array([ 0.132608   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48762   , -79060.1    , array([ 0.132476   ,  0.00144664 ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48763   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00316075 ,  4.60892e-39,  3.5928e-08 ])
48764   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.61353e-39,  3.5928e-08 ])
48765   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.59639e-08])
48766   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48767   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48768   , -79060      , array([ 0.132608   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48769   , -79060.1    , array([ 0.132476   ,  0.00144664 ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48770   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00316075 ,  4.60892e-39,  3.5928e-08 ])
48771   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.61353e-39,  3.5928e-08 ])
48772   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.59639e-08])
48773   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48774   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48775   , -79060      , array([ 0.132608   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48776   , -79060.1    , array([ 0.132476   ,  0.00144664 ,  0.00315759 ,  4.60892e-39,  3.5928e-08 ])
48777   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00316075 ,  4.60892e-39,  3.5928e-08 ])
48778   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.61353e-39,  3.5928e-08 ])
48779   , -79060      , array([ 0.132476   ,  0.0014452  ,  0.00315759 ,  4.60892e-39,  3.59639e-08])
48780   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48781   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48782   , -79044.8    , array([ 0.129765   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48783   , -79044.8    , array([ 0.129635   ,  0.00118659 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48784   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00316075 ,  4.60892e-39,  4.47751e-08])
48785   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.61353e-39,  4.47751e-08])
48786   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.48199e-08])
48787   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48788   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48789   , -79044.8    , array([ 0.129765   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48790   , -79044.8    , array([ 0.129635   ,  0.00118659 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48791   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00316075 ,  4.60892e-39,  4.47751e-08])
48792   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.61353e-39,  4.47751e-08])
48793   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.48199e-08])
48794   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48795   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48796   , -79044.8    , array([ 0.129765   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48797   , -79044.8    , array([ 0.129635   ,  0.00118659 ,  0.00315759 ,  4.60892e-39,  4.47751e-08])
48798   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00316075 ,  4.60892e-39,  4.47751e-08])
48799   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.61353e-39,  4.47751e-08])
48800   , -79044.8    , array([ 0.129635   ,  0.00118541 ,  0.00315759 ,  4.60892e-39,  4.48199e-08])
